mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
0.000000e+00, -8.971022e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -8.971022e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -8.971022e-18, 6.132984e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.132984e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.132984e-18, -7.224641e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.224641e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.224641e-17
7.095881e-04, -1.122068e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.122068e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.122068e-16, -8.663494e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -8.663494e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -8.663494e-18, 1.398577e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.398577e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.398577e-16
1.419176e-03, 3.001876e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.001876e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.001876e-17, 7.754298e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.754298e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.754298e-17, 1.299299e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.299299e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.299299e-17
2.128764e-03, -1.932138e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.932138e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.932138e-17, -2.358312e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.358312e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.358312e-17, 6.473605e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.473605e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.473605e-17
2.838353e-03, -1.439437e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.439437e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.439437e-16, -2.782225e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.782225e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.782225e-17, 7.333597e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.333597e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.333597e-17
3.547941e-03, -1.198767e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.198767e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.198767e-18, 1.438231e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.438231e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.438231e-17, 7.172706e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.172706e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 7.172706e-17
4.257529e-03, 2.402393e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.402393e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.402393e-17, -2.784925e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.784925e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.784925e-17, 1.830585e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.830585e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.830585e-16
4.967117e-03, -3.023194e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -3.023194e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -3.023194e-17, -4.131718e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.131718e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.131718e-17, 8.973435e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 8.973435e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 8.973435e-17
5.107462e-03, 5.281567e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.281567e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.281567e-17, -5.621774e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.621774e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.621774e-17, 1.609771e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.609771e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.609771e-17
5.436795e-03, 9.594411e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 9.594411e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 9.594411e-17, -5.574749e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.574749e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.574749e-17, 4.268928e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 4.268928e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 4.268928e-17
