mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
0.000000e+00, 1.378311e-17, -4.950339e-18, 1.214635e-18, -5.096174e-18, 1.367747e-17, -6.070004e-19, 5.223386e-18, -3.369136e-18, -3.597278e-19
7.095881e-04, 3.979323e-19, 3.099067e-17, -1.537108e-17, -1.471535e-17, -6.345999e-18, 1.235128e-17, 5.341217e-18, -1.896327e-17, 8.212137e-18
1.419176e-03, -3.427832e-17, -3.043485e-17, 1.535604e-17, -5.873586e-17, -1.333339e-17, -1.361828e-17, 1.061692e-17, 1.675443e-17, 1.212679e-17
2.128764e-03, -8.979687e-18, 1.672330e-17, -1.427235e-17, 1.168912e-17, -6.768230e-19, -1.814088e-17, 2.262767e-17, 2.133824e-17, -1.309536e-18
2.838353e-03, -1.017644e-17, -2.371137e-17, 7.280287e-18, -2.271846e-17, 1.194922e-17, -8.058993e-18, 2.219925e-18, 2.715032e-17, 1.398273e-17
3.547941e-03, 4.087976e-18, 6.832537e-17, 5.291635e-18, 2.583985e-17, -5.264395e-18, -2.184270e-18, 2.049254e-18, -2.098617e-17, -3.374592e-19
4.257529e-03, 9.424015e-19, -4.816997e-18, 1.296575e-17, -1.034473e-19, 1.011821e-17, 1.078749e-18, 9.775458e-18, -2.139068e-17, -9.954953e-18
4.967117e-03, 1.267121e-17, 2.490545e-17, 6.776339e-18, 2.311466e-17, -3.108572e-17, -2.687527e-19, -6.524940e-18, -1.747186e-17, -7.587530e-18
5.107462e-03, -1.156252e-17, 2.385483e-17, 3.056322e-18, -3.290301e-17, 2.675971e-18, -3.414414e-18, 3.993180e-18, 2.001757e-19, 1.941250e-18
5.436795e-03, -2.028904e-17, -3.531490e-17, -3.586601e-19, -3.678182e-17, 2.598479e-17, -2.445308e-17, -2.578126e-17, 2.686217e-18, 1.134961e-18
5.654029e-03, -8.485030e-18, -3.108356e-18, 3.390608e-19, -4.074848e-17, 2.077840e-17, -1.296218e-17, -3.403507e-18, 1.674516e-17, -6.407894e-18
5.796782e-03, 4.094353e-19, -6.559701e-18, -5.185851e-18, 2.242376e-17, -1.466512e-17, -3.321698e-18, 4.420712e-18, -1.518030e-17, 1.457779e-17
5.890192e-03, 1.387717e-17, -6.864546e-17, 8.956145e-18, 4.792754e-17, -5.029884e-18, 4.207616e-18, -2.665387e-17, 1.301689e-17, -3.607447e-19
5.951018e-03, -2.359380e-17, 4.137653e-17, -1.220864e-17, 4.595319e-17, -4.669775e-18, 7.111119e-18, 5.703999e-18, -1.164052e-17, -1.347413e-18
5.990402e-03, 1.961166e-17, 1.641691e-17, -2.167941e-17, 1.379723e-17, -3.315132e-17, 4.393337e-19, 3.356111e-17, 2.183883e-17, 1.447692e-18
6.015736e-03, 9.720709e-18, 5.485880e-17, -1.821172e-18, -2.941828e-17, -1.267705e-17, 3.446013e-18, -9.128855e-18, 1.494083e-17, -9.269263e-18
6.031905e-03, -1.164002e-17, 6.016399e-18, -7.892025e-18, -2.766973e-18, 3.754330e-18, -2.424637e-17, 1.716490e-17, 1.805368e-17, 1.838374e-18
6.042128e-03, 5.485473e-20, -1.990006e-17, -1.295199e-17, -6.435980e-18, -4.880947e-17, -2.160816e-17, 6.934079e-18, 5.201226e-18, -5.396449e-19
6.048517e-03, -2.398135e-17, -5.048780e-19, 5.921670e-19, 1.041108e-17, 6.761484e-18, -1.450945e-18, -2.495553e-17, -2.464105e-19, -5.712830e-20
6.052453e-03, -8.118784e-18, 2.145514e-17, -1.513227e-17, 3.885252e-17, -2.323359e-17, -4.771462e-18, 1.149610e-17, -1.519934e-17, 1.285647e-17
