mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
0.000000e+00, 3.581816e-01, 1.842723e-17, 3.257120e-18, -2.631282e-17, 3.581816e-01, 2.219622e-17, -1.236409e-17, -3.058322e-18, 3.581816e-01
7.095881e-04, 3.611586e-01, -2.451060e-06, -2.351023e-08, -2.451060e-06, 3.611586e-01, -6.113708e-07, -2.351023e-08, -6.113708e-07, 3.611593e-01
1.419176e-03, 3.758769e-01, -6.241726e-06, 2.721179e-05, -6.241726e-06, 3.758173e-01, 6.692547e-06, 2.721179e-05, 6.692547e-06, 3.758756e-01
2.128764e-03, 4.027344e-01, -4.265114e-05, 2.162591e-05, -4.265114e-05, 4.027296e-01, 1.268151e-06, 2.162591e-05, 1.268151e-06, 4.026953e-01
2.838353e-03, 4.439577e-01, -4.630488e-05, 9.186639e-06, -4.630488e-05, 4.441283e-01, 6.355577e-05, 9.186639e-06, 6.355577e-05, 4.440637e-01
3.547941e-03, 5.254986e-01, 5.255319e-05, -8.663965e-05, 5.255319e-05, 5.257936e-01, -6.055887e-05, -8.663965e-05, -6.055887e-05, 5.254982e-01
4.257529e-03, 6.741886e-01, -1.824142e-05, 2.229719e-04, -1.824142e-05, 6.732952e-01, 1.226916e-04, 2.229719e-04, 1.226916e-04, 6.736841e-01
4.967117e-03, 1.052890e+00, -7.785677e-04, -3.853735e-04, -7.785677e-04, 1.051206e+00, 7.782780e-04, -3.853735e-04, 7.782780e-04, 1.053246e+00
5.107462e-03, 1.193306e+00, -1.032201e-03, -8.474225e-04, -1.032201e-03, 1.194497e+00, 7.209817e-04, -8.474225e-04, 7.209817e-04, 1.194313e+00
5.436795e-03, 1.754233e+00, 1.335176e-03, 3.702413e-04, 1.335176e-03, 1.753288e+00, 2.348297e-03, 3.702413e-04, 2.348297e-03, 1.755650e+00
5.654029e-03, 2.506131e+00, 4.711249e-03, -3.404881e-03, 4.711249e-03, 2.510307e+00, 1.875724e-03, -3.404881e-03, 1.875724e-03, 2.507183e+00
5.796782e-03, 3.362027e+00, -6.042709e-04, 2.839476e-03, -6.042709e-04, 3.360350e+00, 4.749715e-03, 2.839476e-03, 4.749715e-03, 3.355258e+00
5.890192e-03, 4.172240e+00, 2.544149e-03, 6.914932e-04, 2.544149e-03, 4.180236e+00, 1.218497e-03, 6.914932e-04, 1.218497e-03, 4.170825e+00
5.951018e-03, 4.853549e+00, -8.877434e-03, -3.843327e-03, -8.877434e-03, 4.858545e+00, -5.921794e-03, -3.843327e-03, -5.921794e-03, 4.854392e+00
