mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 9.553864e+05, -1.533578e+03, -1.257095e+03, -1.533578e+03, 9.561564e+05, 2.538213e+03, -1.257095e+03, 2.538213e+03, 9.591706e+05
-5.558639e-02, 9.397953e+05, 8.243472e+01, -5.775878e+02, 8.243472e+01, 9.423296e+05, 1.194549e+03, -5.775878e+02, 1.194549e+03, 9.396556e+05
-5.511532e-02, 9.235757e+05, 4.485640e+02, 8.731557e+02, 4.485640e+02, 9.252407e+05, 1.463185e+03, 8.731557e+02, 1.463185e+03, 9.244133e+05
-5.464425e-02, 9.096639e+05, 1.459956e+03, -1.914815e+03, 1.459956e+03, 9.102149e+05, -2.195191e+02, -1.914815e+03, -2.195191e+02, 9.052458e+05
-5.417318e-02, 8.936980e+05, 8.163609e+02, -1.314037e+03, 8.163609e+02, 8.933019e+05, -3.111764e+02, -1.314037e+03, -3.111764e+02, 8.904485e+05
-5.370211e-02, 8.768187e+05, 2.154551e+03, -2.698017e+02, 2.154551e+03, 8.771638e+05, 1.836510e+02, -2.698017e+02, 1.836510e+02, 8.762095e+05
-5.323104e-02, 8.611712e+05, -4.485352e+02, -2.175327e+03, -4.485352e+02, 8.592937e+05, -2.286560e+03, -2.175327e+03, -2.286560e+03, 8.628082e+05
-5.275996e-02, 8.454428e+05, 2.811594e+03, -3.133165e+02, 2.811594e+03, 8.444435e+05, -1.502150e+03, -3.133165e+02, -1.502150e+03, 8.469328e+05
-5.228889e-02, 8.283876e+05, -1.675245e+02, -1.144792e+03, -1.675245e+02, 8.306996e+05, -4.777957e+01, -1.144792e+03, -4.777957e+01, 8.316984e+05
-5.181782e-02, 8.148066e+05, -2.519096e+03, -1.396263e+03, -2.519096e+03, 8.157609e+05, 4.447653e+02, -1.396263e+03, 4.447653e+02, 8.146000e+05
-5.134675e-02, 7.997746e+05, 1.790814e+03, 4.260318e+02, 1.790814e+03, 7.990586e+05, 2.563757e+03, 4.260318e+02, 2.563757e+03, 8.011140e+05
-5.087568e-02, 7.836253e+05, -5.011350e+02, -4.112275e+02, -5.011350e+02, 7.848437e+05, -9.082466e+02, -4.112275e+02, -9.082466e+02, 7.866816e+05
-5.040461e-02, 7.690338e+05, -1.734183e+03, -1.770718e+03, -1.734183e+03, 7.720567e+05, 1.225630e+03, -1.770718e+03, 1.225630e+03, 7.696350e+05
