mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 9.699309e+05, 5.030277e+02, -5.506328e+02, 5.030277e+02, 9.682626e+05, 1.533259e+03, -5.506328e+02, 1.533259e+03, 9.717145e+05
-5.558639e-02, 9.528815e+05, 1.689779e+03, 9.786338e+02, 1.689779e+03, 9.558614e+05, 1.611882e+03, 9.786338e+02, 1.611882e+03, 9.516059e+05
-5.511532e-02, 9.362743e+05, -1.431691e+03, 7.267369e+02, -1.431691e+03, 9.391128e+05, 1.334284e+03, 7.267369e+02, 1.334284e+03, 9.358003e+05
-5.464425e-02, 9.257151e+05, 7.714666e+02, -2.472152e+03, 7.714666e+02, 9.201840e+05, -3.320103e+02, -2.472152e+03, -3.320103e+02, 9.165016e+05
-5.417318e-02, 9.053888e+05, 4.384872e+02, -1.800831e+03, 4.384872e+02, 9.055553e+05, 9.238613e+02, -1.800831e+03, 9.238613e+02, 9.031410e+05
-5.370211e-02, 8.861015e+05, 1.644678e+02, 2.356638e+03, 1.644678e+02, 8.899600e+05, 1.006694e+03, 2.356638e+03, 1.006694e+03, 8.900703e+05
-5.323104e-02, 8.749337e+05, -8.615575e+01, -1.807793e+03, -8.615575e+01, 8.716980e+05, -3.827761e+02, -1.807793e+03, -3.827761e+02, 8.719946e+05
-5.275996e-02, 8.574385e+05, -1.371283e+02, 1.122719e+03, -1.371283e+02, 8.580719e+05, 7.196145e+02, 1.122719e+03, 7.196145e+02, 8.560066e+05
-5.228889e-02, 8.409789e+05, -2.719653e+03, -3.885569e+02, -2.719653e+03, 8.432160e+05, 1.789705e+02, -3.885569e+02, 1.789705e+02, 8.406553e+05
-5.181782e-02, 8.267166e+05, 9.677694e+02, -7.220824e+02, 9.677694e+02, 8.266014e+05, -2.263829e+02, -7.220824e+02, -2.263829e+02, 8.252508e+05
-5.134675e-02, 8.088328e+05, 1.950255e+03, -1.637329e+03, 1.950255e+03, 8.110150e+05, 2.403023e+02, -1.637329e+03, 2.403023e+02, 8.128521e+05
-5.087568e-02, 7.955132e+05, -1.035744e+02, 4.050541e+02, -1.035744e+02, 7.953213e+05, 4.582360e+02, 4.050541e+02, 4.582360e+02, 7.964336e+05
-5.040461e-02, 7.818482e+05, 2.009149e+02, -1.669088e+02, 2.009149e+02, 7.794706e+05, -2.596620e+02, -1.669088e+02, -2.596620e+02, 7.809802e+05
-4.993354e-02, 7.650605e+05, -9.220440e+02, 1.655426e+03, -9.220440e+02, 7.654842e+05, -2.757384e+03, 1.655426e+03, -2.757384e+03, 7.671725e+05
-4.946247e-02, 7.494304e+05, 6.289824e+02, -8.761874e+02, 6.289824e+02, 7.512768e+05, 7.324914e+01, -8.761874e+02, 7.324914e+01, 7.528311e+05
-4.899140e-02, 7.363682e+05, 1.556302e+01, -5.187639e+02, 1.556302e+01, 7.364054e+05, 9.873623e+02, -5.187639e+02, 9.873623e+02, 7.370245e+05
-4.852032e-02, 7.240189e+05, 1.380959e+02, 6.424527e+02, 1.380959e+02, 7.214700e+05, 3.048613e+02, 6.424527e+02, 3.048613e+02, 7.209750e+05
-4.804925e-02, 7.085654e+05, 9.593028e+02, -1.210511e+03, 9.593028e+02, 7.069091e+05, 8.898132e+02, -1.210511e+03, 8.898132e+02, 7.080549e+05
-4.757818e-02, 6.939219e+05, -1.334034e+03, 1.089066e+03, -1.334034e+03, 6.951536e+05, 3.596170e+02, 1.089066e+03, 3.596170e+02, 6.919628e+05
-4.710711e-02, 6.796079e+05, -1.709883e+03, 8.289828e+02, -1.709883e+03, 6.799826e+05, -1.318639e+03, 8.289828e+02, -1.318639e+03, 6.793757e+05
-4.663604e-02, 6.655699e+05, -1.059153e+03, 2.193628e+03, -1.059153e+03, 6.643672e+05, 6.826296e+02, 2.193628e+03, 6.826296e+02, 6.673461e+05
-4.616497e-02, 6.533442e+05, -9.756444e+02, 1.585241e+03, -9.756444e+02, 6.519646e+05, -5.488870e+02, 1.585241e+03, -5.488870e+02, 6.507703e+05
-4.569390e-02, 6.367667e+05, 4.826244e+02, -5.668106e+02, 4.826244e+02, 6.392359e+05, -9.126614e+02, -5.668106e+02, -9.126614e+02, 6.392389e+05
-4.522283e-02, 6.262177e+05, -3.647168e+02, 1.804538e+03, -3.647168e+02, 6.233850e+05, -4.531869e+02, 1.804538e+03, -4.531869e+02, 6.252575e+05
-4.475176e-02, 6.098864e+05, -1.285945e+03, 9.475942e+02, -1.285945e+03, 6.121131e+05, -2.213269e+03, 9.475942e+02, -2.213269e+03, 6.128732e+05
-4.428068e-02, 5.990112e+05, -6.754432e+02, 3.815154e+02, -6.754432e+02, 5.973192e+05, 1.653474e+03, 3.815154e+02, 1.653474e+03, 5.989893e+05
-4.380961e-02, 5.862157e+05, 1.188944e+03, -1.298713e+03, 1.188944e+03, 5.850020e+05, 1.040415e+03, -1.298713e+03, 1.040415e+03, 5.849371e+05
-4.333854e-02, 5.740282e+05, 1.058551e+03, 4.206319e+02, 1.058551e+03, 5.720218e+05, 2.047055e+02, 4.206319e+02, 2.047055e+02, 5.713570e+05
-4.286747e-02, 5.606615e+05, 1.260565e+03, 2.665665e+02, 1.260565e+03, 5.586867e+05, 5.402356e+02, 2.665665e+02, 5.402356e+02, 5.597784e+05
-4.239640e-02, 5.488039e+05, -7.729051e+02, -8.605763e+02, -7.729051e+02, 5.462566e+05, -5.943787e+02, -8.605763e+02, -5.943787e+02, 5.461822e+05
-4.192533e-02, 5.351631e+05, -9.307534e+02, -1.043447e+03, -9.307534e+02, 5.344260e+05, -3.187608e+02, -1.043447e+03, -3.187608e+02, 5.341684e+05
-4.145426e-02, 5.215416e+05, 1.427290e+03, 3.692328e+02, 1.427290e+03, 5.214481e+05, 2.228780e+02, 3.692328e+02, 2.228780e+02, 5.236962e+05
-4.098319e-02, 5.072989e+05, 5.403830e+02, 1.607544e+02, 5.403830e+02, 5.128997e+05, -5.831775e+02, 1.607544e+02, -5.831775e+02, 5.098801e+05
-4.051212e-02, 4.977382e+05, 1.155537e+03, 1.024210e+03, 1.155537e+03, 4.969338e+05, -1.284759e+03, 1.024210e+03, -1.284759e+03, 4.991808e+05
-4.004104e-02, 4.860056e+05, -1.033771e+03, -1.184541e+03, -1.033771e+03, 4.856301e+05, 3.333600e+02, -1.184541e+03, 3.333600e+02, 4.864709e+05
-3.956997e-02, 4.744927e+05, 4.955057e+02, -5.320640e+02, 4.955057e+02, 4.735263e+05, 5.325198e+02, -5.320640e+02, 5.325198e+02, 4.749836e+05
-3.909890e-02, 4.631752e+05, -5.361914e+02, -4.063718e+01, -5.361914e+02, 4.626927e+05, -3.732144e+02, -4.063718e+01, -3.732144e+02, 4.634667e+05
-3.862783e-02, 4.515883e+05, 2.144811e+02, 5.717159e+02, 2.144811e+02, 4.515378e+05, 1.372639e+02, 5.717159e+02, 1.372639e+02, 4.518258e+05
-3.815676e-02, 4.407027e+05, 2.922250e+02, -2.483416e+02, 2.922250e+02, 4.400850e+05, 5.804665e+02, -2.483416e+02, 5.804665e+02, 4.400665e+05
-3.768569e-02, 4.291009e+05, -5.457701e+02, 3.001600e+02, -5.457701e+02, 4.284854e+05, 4.376868e+02, 3.001600e+02, 4.376868e+02, 4.295694e+05
-3.721462e-02, 4.178911e+05, 2.638076e+02, -2.842522e+02, 2.638076e+02, 4.173156e+05, 1.038857e+02, -2.842522e+02, 1.038857e+02, 4.186755e+05
-3.674355e-02, 4.067611e+05, -3.461508e+02, 1.462943e+02, -3.461508e+02, 4.066683e+05, 3.381054e+02, 1.462943e+02, 3.381054e+02, 4.075957e+05
-3.627248e-02, 3.960066e+05, -1.140872e+02, -1.203125e+02, -1.140872e+02, 3.960873e+05, 3.905596e+02, -1.203125e+02, 3.905596e+02, 3.964836e+05
-3.580140e-02, 3.849131e+05, -3.389039e+02, 1.662185e+01, -3.389039e+02, 3.859002e+05, -4.821563e+02, 1.662185e+01, -4.821563e+02, 3.857397e+05
-3.533033e-02, 3.749830e+05, 6.645688e+00, -1.946895e+02, 6.645688e+00, 3.749936e+05, 3.978055e+02, -1.946895e+02, 3.978055e+02, 3.749702e+05
-3.485926e-02, 3.646699e+05, -4.921923e+02, -2.428271e+02, -4.921923e+02, 3.651983e+05, -4.382014e+02, -2.428271e+02, -4.382014e+02, 3.639061e+05
-3.438819e-02, 3.547977e+05, -1.638413e+02, 2.281318e+02, -1.638413e+02, 3.539057e+05, 1.597795e+02, 2.281318e+02, 1.597795e+02, 3.543000e+05
-3.391712e-02, 3.441180e+05, 5.937398e+02, -6.482052e+02, 5.937398e+02, 3.441955e+05, -1.983455e+02, -6.482052e+02, -1.983455e+02, 3.443503e+05
-3.344605e-02, 3.339848e+05, -5.082580e+02, -2.176792e+02, -5.082580e+02, 3.340786e+05, -2.982914e+02, -2.176792e+02, -2.982914e+02, 3.346627e+05
-3.297498e-02, 3.245903e+05, -1.938658e+02, -9.246593e+01, -1.938658e+02, 3.244817e+05, -5.105311e+01, -9.246593e+01, -5.105311e+01, 3.241437e+05
-3.250391e-02, 3.152122e+05, 3.334040e+02, 5.900617e+02, 3.334040e+02, 3.147235e+05, -9.257055e+01, 5.900617e+02, -9.257055e+01, 3.141940e+05
-3.203284e-02, 3.052992e+05, -7.908624e+02, -2.027325e+02, -7.908624e+02, 3.055330e+05, 2.684157e+02, -2.027325e+02, 2.684157e+02, 3.046258e+05
-3.156176e-02, 2.958781e+05, 3.070394e+02, -1.014167e+02, 3.070394e+02, 2.956552e+05, -7.660915e+02, -1.014167e+02, -7.660915e+02, 2.956733e+05
-3.109069e-02, 2.867025e+05, 4.999612e+02, 3.693647e+02, 4.999612e+02, 2.862913e+05, 7.191947e+01, 3.693647e+02, 7.191947e+01, 2.863755e+05
-3.061962e-02, 2.773763e+05, 5.117731e+01, 2.026688e+02, 5.117731e+01, 2.775757e+05, 3.567038e+02, 2.026688e+02, 3.567038e+02, 2.770219e+05
-3.014855e-02, 2.684681e+05, -1.707777e+02, -2.418422e+02, -1.707777e+02, 2.693979e+05, -4.586548e+02, -2.418422e+02, -4.586548e+02, 2.671033e+05
-2.967748e-02, 2.598683e+05, -9.725339e+01, 1.863687e+01, -9.725339e+01, 2.589892e+05, 2.266067e+01, 1.863687e+01, 2.266067e+01, 2.595598e+05
-2.920641e-02, 2.503973e+05, -5.912719e+02, -9.320203e+01, -5.912719e+02, 2.508555e+05, 5.173502e+02, -9.320203e+01, 5.173502e+02, 2.510048e+05
-2.873534e-02, 2.426585e+05, -3.007188e+02, 8.599795e+01, -3.007188e+02, 2.420719e+05, -8.291414e+01, 8.599795e+01, -8.291414e+01, 2.417901e+05
-2.826427e-02, 2.342613e+05, -6.593149e+00, -3.241065e+01, -6.593149e+00, 2.339979e+05, 6.528538e+01, -3.241065e+01, 6.528538e+01, 2.329510e+05
-2.779320e-02, 2.263129e+05, -2.111576e+02, 8.519952e+01, -2.111576e+02, 2.252145e+05, 3.001422e+02, 8.519952e+01, 3.001422e+02, 2.247937e+05
-2.732212e-02, 2.171132e+05, -2.702543e+02, 1.772884e+02, -2.702543e+02, 2.170508e+05, 2.670249e+01, 1.772884e+02, 2.670249e+01, 2.176763e+05
-2.685105e-02, 2.096453e+05, -5.415677e+02, -1.042346e+02, -5.415677e+02, 2.092833e+05, 8.553894e-01, -1.042346e+02, 8.553894e-01, 2.088627e+05
-2.637998e-02, 2.011185e+05, 2.863171e+02, -4.928246e+02, 2.863171e+02, 2.012199e+05, 2.193460e+02, -4.928246e+02, 2.193460e+02, 2.018162e+05
-2.590891e-02, 1.936634e+05, -2.081364e+02, -4.542865e+01, -2.081364e+02, 1.936037e+05, 4.991656e+02, -4.542865e+01, 4.991656e+02, 1.936810e+05
-2.543784e-02, 1.857293e+05, 1.660883e+02, -1.837683e+02, 1.660883e+02, 1.863522e+05, -2.038138e+02, -1.837683e+02, -2.038138e+02, 1.860711e+05
-2.496677e-02, 1.785813e+05, 2.336925e+02, 2.747362e+02, 2.336925e+02, 1.783221e+05, -4.053670e+01, 2.747362e+02, -4.053670e+01, 1.788725e+05
-2.449570e-02, 1.709074e+05, 5.638786e+01, -5.360054e+02, 5.638786e+01, 1.713763e+05, 1.926106e+01, -5.360054e+02, 1.926106e+01, 1.715446e+05
-2.402463e-02, 1.636059e+05, -2.185272e+02, -1.886319e+02, -2.185272e+02, 1.636455e+05, -1.388354e+00, -1.886319e+02, -1.388354e+00, 1.650425e+05
