mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, 1.785231e-10, 1.244358e-09, -1.785231e-10, -0.000000e+00, 1.358002e-10, -1.244358e-09, -1.358002e-10, -0.000000e+00, -0.000000e+00, 1.260012e-11, 8.188706e-10, -1.260012e-11, -0.000000e+00, 7.195569e-10, -8.188706e-10, -7.195569e-10, -0.000000e+00, -0.000000e+00, 6.851904e-10, 8.158693e-11, -6.851904e-10, -0.000000e+00, -2.182138e-10, -8.158693e-11, 2.182138e-10, -0.000000e+00
-5.558639e-02, -0.000000e+00, 1.933183e-10, 9.848091e-10, -1.933183e-10, -0.000000e+00, 8.275944e-11, -9.848091e-10, -8.275944e-11, -0.000000e+00, -0.000000e+00, -5.206521e-10, 3.410564e-10, 5.206521e-10, -0.000000e+00, 4.599131e-10, -3.410564e-10, -4.599131e-10, -0.000000e+00, -0.000000e+00, 6.183718e-10, 9.904196e-11, -6.183718e-10, -0.000000e+00, 7.214398e-11, -9.904196e-11, -7.214398e-11, -0.000000e+00
-5.511532e-02, -0.000000e+00, 1.859907e-10, -1.951123e-09, -1.859907e-10, -0.000000e+00, -2.283080e-10, 1.951123e-09, 2.283080e-10, -0.000000e+00, -0.000000e+00, 1.014782e-10, 4.451162e-10, -1.014782e-10, -0.000000e+00, -1.343371e-09, -4.451162e-10, 1.343371e-09, -0.000000e+00, -0.000000e+00, 6.730733e-10, 1.587970e-10, -6.730733e-10, -0.000000e+00, -6.392241e-10, -1.587970e-10, 6.392241e-10, -0.000000e+00
-5.464425e-02, -0.000000e+00, -5.681751e-10, 1.289745e-09, 5.681751e-10, -0.000000e+00, -1.987775e-10, -1.289745e-09, 1.987775e-10, -0.000000e+00, -0.000000e+00, -3.520987e-10, 5.908545e-10, 3.520987e-10, -0.000000e+00, -1.407099e-09, -5.908545e-10, 1.407099e-09, -0.000000e+00, -0.000000e+00, 7.883398e-10, -1.748806e-09, -7.883398e-10, -0.000000e+00, 2.046300e-10, 1.748806e-09, -2.046300e-10, -0.000000e+00
-5.417318e-02, -0.000000e+00, 9.995216e-11, -1.081716e-09, -9.995216e-11, -0.000000e+00, -1.027466e-10, 1.081716e-09, 1.027466e-10, -0.000000e+00, -0.000000e+00, -6.108584e-10, -2.971235e-10, 6.108584e-10, -0.000000e+00, -8.497927e-10, 2.971235e-10, 8.497927e-10, -0.000000e+00, -0.000000e+00, -1.924394e-10, 5.049104e-10, 1.924394e-10, -0.000000e+00, -2.432483e-10, -5.049104e-10, 2.432483e-10, -0.000000e+00
-5.370211e-02, -0.000000e+00, 7.947334e-10, -2.908881e-10, -7.947334e-10, -0.000000e+00, 4.586060e-10, 2.908881e-10, -4.586060e-10, -0.000000e+00, -0.000000e+00, -6.917112e-11, 3.391225e-10, 6.917112e-11, -0.000000e+00, 6.888764e-10, -3.391225e-10, -6.888764e-10, -0.000000e+00, -0.000000e+00, -1.203300e-10, -3.198891e-10, 1.203300e-10, -0.000000e+00, -1.059843e-09, 3.198891e-10, 1.059843e-09, -0.000000e+00
-5.323104e-02, -0.000000e+00, 4.365069e-10, -8.148222e-11, -4.365069e-10, -0.000000e+00, 2.058104e-10, 8.148222e-11, -2.058104e-10, -0.000000e+00, -0.000000e+00, 8.979954e-11, -1.522179e-10, -8.979954e-11, -0.000000e+00, -4.268963e-10, 1.522179e-10, 4.268963e-10, -0.000000e+00, -0.000000e+00, -3.603365e-10, 1.173870e-09, 3.603365e-10, -0.000000e+00, -2.952461e-10, -1.173870e-09, 2.952461e-10, -0.000000e+00
-5.275996e-02, -0.000000e+00, 3.606422e-10, -1.479711e-09, -3.606422e-10, -0.000000e+00, -9.730873e-11, 1.479711e-09, 9.730873e-11, -0.000000e+00, -0.000000e+00, 5.046495e-10, 2.393071e-10, -5.046495e-10, -0.000000e+00, 1.268020e-10, -2.393071e-10, -1.268020e-10, -0.000000e+00, -0.000000e+00, 3.374861e-10, 3.901481e-10, -3.374861e-10, -0.000000e+00, -9.371777e-11, -3.901481e-10, 9.371777e-11, -0.000000e+00
-5.228889e-02, -0.000000e+00, 1.922534e-10, -5.437075e-10, -1.922534e-10, -0.000000e+00, 3.632273e-10, 5.437075e-10, -3.632273e-10, -0.000000e+00, -0.000000e+00, 3.620434e-10, -1.047969e-10, -3.620434e-10, -0.000000e+00, -2.665319e-10, 1.047969e-10, 2.665319e-10, -0.000000e+00, -0.000000e+00, -4.681773e-10, -3.904095e-10, 4.681773e-10, -0.000000e+00, -1.608778e-09, 3.904095e-10, 1.608778e-09, -0.000000e+00
-5.181782e-02, -0.000000e+00, 1.848999e-10, 1.441842e-09, -1.848999e-10, -0.000000e+00, -7.513836e-10, -1.441842e-09, 7.513836e-10, -0.000000e+00, -0.000000e+00, -6.501089e-11, -7.591401e-10, 6.501089e-11, -0.000000e+00, -3.249809e-12, 7.591401e-10, 3.249809e-12, -0.000000e+00, -0.000000e+00, -8.888206e-12, 9.016646e-10, 8.888206e-12, -0.000000e+00, 1.678987e-10, -9.016646e-10, -1.678987e-10, -0.000000e+00
