mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, -1.398448e-08, -2.231193e-08, 1.398448e-08, -0.000000e+00, -1.970817e+03, 2.231193e-08, 1.970817e+03, -0.000000e+00, -0.000000e+00, -2.793318e-09, 1.970817e+03, 2.793318e-09, -0.000000e+00, -3.676209e-08, -1.970817e+03, 3.676209e-08, -0.000000e+00, -0.000000e+00, -1.970817e+03, -1.568879e-09, 1.970817e+03, -0.000000e+00, -5.867399e-09, 1.568879e-09, 5.867399e-09, -0.000000e+00
-5.558639e-02, -0.000000e+00, -9.796806e-09, -3.923347e-09, 9.796806e-09, -0.000000e+00, -2.055970e+03, 3.923347e-09, 2.055970e+03, -0.000000e+00, -0.000000e+00, -6.705714e-09, 2.055970e+03, 6.705714e-09, -0.000000e+00, 2.901762e-08, -2.055970e+03, -2.901762e-08, -0.000000e+00, -0.000000e+00, -2.055970e+03, -9.081595e-10, 2.055970e+03, -0.000000e+00, 1.664703e-08, 9.081595e-10, -1.664703e-08, -0.000000e+00
-5.511532e-02, -0.000000e+00, 5.682871e-09, 2.505678e-09, -5.682871e-09, -0.000000e+00, -2.210348e+03, -2.505678e-09, 2.210348e+03, -0.000000e+00, -0.000000e+00, -4.945817e-09, 2.210348e+03, 4.945817e-09, -0.000000e+00, 1.985946e-09, -2.210348e+03, -1.985946e-09, -0.000000e+00, -0.000000e+00, -2.210348e+03, 5.183689e-09, 2.210348e+03, -0.000000e+00, 1.714974e-08, -5.183689e-09, -1.714974e-08, -0.000000e+00
-5.464425e-02, -0.000000e+00, 1.972012e-09, -1.025229e-08, -1.972012e-09, -0.000000e+00, -2.117142e+03, 1.025229e-08, 2.117142e+03, -0.000000e+00, -0.000000e+00, -2.405081e-08, 2.117142e+03, 2.405081e-08, -0.000000e+00, 1.328393e-08, -2.117142e+03, -1.328393e-08, -0.000000e+00, -0.000000e+00, -2.117142e+03, -9.588196e-10, 2.117142e+03, -0.000000e+00, -8.547420e-09, 9.588196e-10, 8.547420e-09, -0.000000e+00
-5.417318e-02, -0.000000e+00, 3.518251e-10, 4.075400e-08, -3.518251e-10, -0.000000e+00, -2.084317e+03, -4.075400e-08, 2.084317e+03, -0.000000e+00, -0.000000e+00, 4.439869e-09, 2.084317e+03, -4.439869e-09, -0.000000e+00, 4.083265e-08, -2.084317e+03, -4.083265e-08, -0.000000e+00, -0.000000e+00, -2.084317e+03, -1.410234e-08, 2.084317e+03, -0.000000e+00, -3.434661e-09, 1.410234e-08, 3.434661e-09, -0.000000e+00
-5.370211e-02, -0.000000e+00, -1.323938e-08, 9.044344e-09, 1.323938e-08, -0.000000e+00, -2.098951e+03, -9.044344e-09, 2.098951e+03, -0.000000e+00, -0.000000e+00, 1.565498e-09, 2.098951e+03, -1.565498e-09, -0.000000e+00, 2.907134e-08, -2.098951e+03, -2.907134e-08, -0.000000e+00, -0.000000e+00, -2.098951e+03, -1.263976e-08, 2.098951e+03, -0.000000e+00, 2.766189e-09, 1.263976e-08, -2.766189e-09, -0.000000e+00
-5.323104e-02, -0.000000e+00, 1.173554e-08, -9.955746e-09, -1.173554e-08, -0.000000e+00, -2.198942e+03, 9.955746e-09, 2.198942e+03, -0.000000e+00, -0.000000e+00, -8.366475e-09, 2.198942e+03, 8.366475e-09, -0.000000e+00, 1.402019e-08, -2.198942e+03, -1.402019e-08, -0.000000e+00, -0.000000e+00, -2.198942e+03, -4.729143e-09, 2.198942e+03, -0.000000e+00, -1.632298e-08, 4.729143e-09, 1.632298e-08, -0.000000e+00
-5.275996e-02, -0.000000e+00, 3.417386e-09, 9.321385e-10, -3.417386e-09, -0.000000e+00, -2.252626e+03, -9.321385e-10, 2.252626e+03, -0.000000e+00, -0.000000e+00, 1.143204e-08, 2.252626e+03, -1.143204e-08, -0.000000e+00, 9.396007e-09, -2.252626e+03, -9.396007e-09, -0.000000e+00, -0.000000e+00, -2.252626e+03, -6.164576e-09, 2.252626e+03, -0.000000e+00, 9.885898e-09, 6.164576e-09, -9.885898e-09, -0.000000e+00
-5.228889e-02, -0.000000e+00, -1.348998e-08, -4.224082e-09, 1.348998e-08, -0.000000e+00, -2.207259e+03, 4.224082e-09, 2.207259e+03, -0.000000e+00, -0.000000e+00, -1.274164e-09, 2.207259e+03, 1.274164e-09, -0.000000e+00, -5.414175e-09, -2.207259e+03, 5.414175e-09, -0.000000e+00, -0.000000e+00, -2.207259e+03, 1.326302e-09, 2.207259e+03, -0.000000e+00, -5.799657e-09, -1.326302e-09, 5.799657e-09, -0.000000e+00
-5.181782e-02, -0.000000e+00, -1.167019e-08, -2.088254e-09, 1.167019e-08, -0.000000e+00, -2.176894e+03, 2.088254e-09, 2.176894e+03, -0.000000e+00, -0.000000e+00, -4.511308e-09, 2.176894e+03, 4.511308e-09, -0.000000e+00, 2.317078e-09, -2.176894e+03, -2.317078e-09, -0.000000e+00, -0.000000e+00, -2.176894e+03, 2.093394e-08, 2.176894e+03, -0.000000e+00, 1.343354e-09, -2.093394e-08, -1.343354e-09, -0.000000e+00
