mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, 6.158519e-13, -2.027112e-13, -6.158519e-13, -0.000000e+00, 2.868628e-12, 2.027112e-13, -2.868628e-12, -0.000000e+00, -0.000000e+00, -4.805985e-12, -5.518740e-12, 4.805985e-12, -0.000000e+00, -1.238496e-12, 5.518740e-12, 1.238496e-12, -0.000000e+00, -0.000000e+00, -8.500195e-12, 2.548167e-12, 8.500195e-12, -0.000000e+00, 5.248974e-12, -2.548167e-12, -5.248974e-12, -0.000000e+00
-5.558639e-02, -0.000000e+00, 1.088073e-11, -1.065910e-11, -1.088073e-11, -0.000000e+00, 1.575348e-12, 1.065910e-11, -1.575348e-12, -0.000000e+00, -0.000000e+00, -9.380947e-12, 3.966772e-12, 9.380947e-12, -0.000000e+00, 1.269593e-11, -3.966772e-12, -1.269593e-11, -0.000000e+00, -0.000000e+00, 2.351470e-12, -5.849976e-12, -2.351470e-12, -0.000000e+00, -1.614849e-11, 5.849976e-12, 1.614849e-11, -0.000000e+00
-5.511532e-02, -0.000000e+00, 6.002200e-12, -1.316530e-11, -6.002200e-12, -0.000000e+00, 5.112159e-13, 1.316530e-11, -5.112159e-13, -0.000000e+00, -0.000000e+00, -1.533418e-12, 4.647277e-13, 1.533418e-12, -0.000000e+00, -3.738118e-12, -4.647277e-13, 3.738118e-12, -0.000000e+00, -0.000000e+00, 2.692093e-13, 1.446432e-11, -2.692093e-13, -0.000000e+00, -4.004503e-12, -1.446432e-11, 4.004503e-12, -0.000000e+00
-5.464425e-02, -0.000000e+00, -1.075440e-13, -1.108263e-11, 1.075440e-13, -0.000000e+00, -9.369325e-13, 1.108263e-11, 9.369325e-13, -0.000000e+00, -0.000000e+00, 3.635088e-13, -1.127776e-11, -3.635088e-13, -0.000000e+00, -7.193877e-12, 1.127776e-11, 7.193877e-12, -0.000000e+00, -0.000000e+00, -1.028182e-11, 4.023877e-12, 1.028182e-11, -0.000000e+00, -7.794974e-13, -4.023877e-12, 7.794974e-13, -0.000000e+00
-5.417318e-02, -0.000000e+00, 8.017627e-12, -1.922900e-11, -8.017627e-12, -0.000000e+00, -1.840057e-12, 1.922900e-11, 1.840057e-12, -0.000000e+00, -0.000000e+00, -3.207930e-12, -1.212096e-12, 3.207930e-12, -0.000000e+00, 1.567008e-12, 1.212096e-12, -1.567008e-12, -0.000000e+00, -0.000000e+00, 2.961842e-13, -3.731626e-12, -2.961842e-13, -0.000000e+00, -3.164784e-12, 3.731626e-12, 3.164784e-12, -0.000000e+00
-5.370211e-02, -0.000000e+00, -2.155043e-12, -1.277762e-11, 2.155043e-12, -0.000000e+00, -1.109332e-11, 1.277762e-11, 1.109332e-11, -0.000000e+00, -0.000000e+00, -2.626526e-12, -1.074520e-11, 2.626526e-12, -0.000000e+00, -1.302553e-11, 1.074520e-11, 1.302553e-11, -0.000000e+00, -0.000000e+00, 4.053097e-13, -5.572559e-12, -4.053097e-13, -0.000000e+00, 1.695746e-13, 5.572559e-12, -1.695746e-13, -0.000000e+00
-5.323104e-02, -0.000000e+00, -4.108719e-12, -3.732937e-12, 4.108719e-12, -0.000000e+00, -8.337526e-12, 3.732937e-12, 8.337526e-12, -0.000000e+00, -0.000000e+00, 1.613999e-12, 6.157373e-13, -1.613999e-12, -0.000000e+00, 2.101500e-12, -6.157373e-13, -2.101500e-12, -0.000000e+00, -0.000000e+00, 9.172808e-12, 1.442350e-12, -9.172808e-12, -0.000000e+00, -9.867234e-13, -1.442350e-12, 9.867234e-13, -0.000000e+00
-5.275996e-02, -0.000000e+00, -7.334170e-13, -1.318577e-11, 7.334170e-13, -0.000000e+00, -5.220906e-12, 1.318577e-11, 5.220906e-12, -0.000000e+00, -0.000000e+00, -5.765006e-12, -3.564456e-12, 5.765006e-12, -0.000000e+00, 1.752593e-12, 3.564456e-12, -1.752593e-12, -0.000000e+00, -0.000000e+00, 1.389856e-12, -3.659566e-12, -1.389856e-12, -0.000000e+00, 4.550484e-12, 3.659566e-12, -4.550484e-12, -0.000000e+00
-5.228889e-02, -0.000000e+00, 3.207098e-12, -2.137942e-12, -3.207098e-12, -0.000000e+00, 1.398764e-12, 2.137942e-12, -1.398764e-12, -0.000000e+00, -0.000000e+00, -2.813341e-12, 1.836423e-12, 2.813341e-12, -0.000000e+00, -1.110107e-11, -1.836423e-12, 1.110107e-11, -0.000000e+00, -0.000000e+00, 4.897453e-13, 4.743258e-12, -4.897453e-13, -0.000000e+00, -5.942046e-13, -4.743258e-12, 5.942046e-13, -0.000000e+00
-5.181782e-02, -0.000000e+00, 4.012346e-14, 3.331961e-12, -4.012346e-14, -0.000000e+00, -9.141391e-12, -3.331961e-12, 9.141391e-12, -0.000000e+00, -0.000000e+00, -2.844920e-12, -4.958911e-12, 2.844920e-12, -0.000000e+00, -1.874657e-11, 4.958911e-12, 1.874657e-11, -0.000000e+00, -0.000000e+00, 4.205632e-12, -1.297673e-11, -4.205632e-12, -0.000000e+00, 1.026034e-11, 1.297673e-11, -1.026034e-11, -0.000000e+00
