mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
0.000000e+00, -0.000000e+00, -1.780172e-17, -1.469526e-16, 1.780172e-17, -0.000000e+00, -1.735959e-01, 1.469526e-16, 1.735959e-01, -0.000000e+00, -0.000000e+00, -9.304662e-17, 1.735959e-01, 9.304662e-17, -0.000000e+00, 1.009760e-16, -1.735959e-01, -1.009760e-16, -0.000000e+00, -0.000000e+00, -1.735959e-01, 1.088985e-16, 1.735959e-01, -0.000000e+00, -3.286730e-17, -1.088985e-16, 3.286730e-17, -0.000000e+00
4.710711e-04, -0.000000e+00, -1.787814e-17, -1.552096e-18, 1.787814e-17, -0.000000e+00, -1.741748e-01, 1.552096e-18, 1.741748e-01, -0.000000e+00, -0.000000e+00, -4.147164e-17, 1.741748e-01, 4.147164e-17, -0.000000e+00, 6.341338e-17, -1.741748e-01, -6.341338e-17, -0.000000e+00, -0.000000e+00, -1.741748e-01, 2.389674e-17, 1.741748e-01, -0.000000e+00, 4.726369e-17, -2.389674e-17, -4.726369e-17, -0.000000e+00
9.421422e-04, -0.000000e+00, 2.795190e-17, 5.378812e-17, -2.795190e-17, -0.000000e+00, -1.759445e-01, -5.378812e-17, 1.759445e-01, -0.000000e+00, -0.000000e+00, -4.168709e-17, 1.759445e-01, 4.168709e-17, -0.000000e+00, -7.579526e-17, -1.759445e-01, 7.579526e-17, -0.000000e+00, -0.000000e+00, -1.759445e-01, -3.989502e-17, 1.759445e-01, -0.000000e+00, -8.947622e-18, 3.989502e-17, 8.947622e-18, -0.000000e+00
1.413213e-03, -0.000000e+00, 5.417793e-17, -2.336730e-16, -5.417793e-17, -0.000000e+00, -1.790087e-01, 2.336730e-16, 1.790087e-01, -0.000000e+00, -0.000000e+00, -8.383191e-17, 1.790087e-01, 8.383191e-17, -0.000000e+00, 7.394102e-17, -1.790087e-01, -7.394102e-17, -0.000000e+00, -0.000000e+00, -1.790087e-01, 9.739229e-17, 1.790087e-01, -0.000000e+00, 5.665458e-17, -9.739229e-17, -5.665458e-17, -0.000000e+00
1.884284e-03, -0.000000e+00, 3.324964e-17, -3.490818e-17, -3.324964e-17, -0.000000e+00, -1.835600e-01, 3.490818e-17, 1.835600e-01, -0.000000e+00, -0.000000e+00, -1.849720e-16, 1.835600e-01, 1.849720e-16, -0.000000e+00, 1.799565e-16, -1.835600e-01, -1.799565e-16, -0.000000e+00, -0.000000e+00, -1.835600e-01, 1.811832e-16, 1.835600e-01, -0.000000e+00, -3.947346e-17, -1.811832e-16, 3.947346e-17, -0.000000e+00
2.355356e-03, -0.000000e+00, 1.827193e-17, -1.228228e-16, -1.827193e-17, -0.000000e+00, -1.899167e-01, 1.228228e-16, 1.899167e-01, -0.000000e+00, -0.000000e+00, -2.456238e-17, 1.899167e-01, 2.456238e-17, -0.000000e+00, 1.243066e-16, -1.899167e-01, -1.243066e-16, -0.000000e+00, -0.000000e+00, -1.899167e-01, 4.378548e-17, 1.899167e-01, -0.000000e+00, -7.058750e-18, -4.378548e-17, 7.058750e-18, -0.000000e+00
2.826427e-03, -0.000000e+00, 6.963515e-17, -1.178437e-16, -6.963515e-17, -0.000000e+00, -1.985936e-01, 1.178437e-16, 1.985936e-01, -0.000000e+00, -0.000000e+00, -5.301553e-17, 1.985936e-01, 5.301553e-17, -0.000000e+00, 5.060358e-17, -1.985936e-01, -5.060358e-17, -0.000000e+00, -0.000000e+00, -1.985936e-01, 9.655905e-17, 1.985936e-01, -0.000000e+00, 5.481330e-17, -9.655905e-17, -5.481330e-17, -0.000000e+00
3.297498e-03, -0.000000e+00, 1.009551e-17, -2.708274e-17, -1.009551e-17, -0.000000e+00, -2.104431e-01, 2.708274e-17, 2.104431e-01, -0.000000e+00, -0.000000e+00, -7.768119e-17, 2.104431e-01, 7.768119e-17, -0.000000e+00, -2.368541e-17, -2.104431e-01, 2.368541e-17, -0.000000e+00, -0.000000e+00, -2.104431e-01, 3.795466e-17, 2.104431e-01, -0.000000e+00, -6.243033e-17, -3.795466e-17, 6.243033e-17, -0.000000e+00
3.768569e-03, -0.000000e+00, 2.322810e-17, -5.380742e-17, -2.322810e-17, -0.000000e+00, -2.269600e-01, 5.380742e-17, 2.269600e-01, -0.000000e+00, -0.000000e+00, -1.319613e-16, 2.269600e-01, 1.319613e-16, -0.000000e+00, 9.439613e-17, -2.269600e-01, -9.439613e-17, -0.000000e+00, -0.000000e+00, -2.269600e-01, 1.127082e-16, 2.269600e-01, -0.000000e+00, 6.893109e-17, -1.127082e-16, -6.893109e-17, -0.000000e+00
4.239640e-03, -0.000000e+00, 3.610498e-17, -1.238317e-16, -3.610498e-17, -0.000000e+00, -2.510237e-01, 1.238317e-16, 2.510237e-01, -0.000000e+00, -0.000000e+00, -9.268367e-17, 2.510237e-01, 9.268367e-17, -0.000000e+00, 1.238095e-16, -2.510237e-01, -1.238095e-16, -0.000000e+00, -0.000000e+00, -2.510237e-01, 7.633822e-17, 2.510237e-01, -0.000000e+00, 8.285762e-17, -7.633822e-17, -8.285762e-17, -0.000000e+00
