mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
0.000000e+00, -2.904698e-17, -8.777417e-17, -5.054218e-17, -6.793597e-17, 3.634827e-17, 1.199464e-17, -5.313354e-17, 1.263858e-17, 2.992788e-17
4.710711e-04, -2.700392e-17, 9.650316e-18, -1.455373e-17, -6.593839e-17, 2.449469e-18, 6.657266e-17, -2.627780e-17, 6.241882e-17, -1.861162e-17
9.421422e-04, -1.829758e-17, -7.949182e-17, -1.306769e-17, -3.977242e-17, 1.100028e-17, 3.271465e-17, -1.356861e-17, 3.263991e-17, 6.826734e-19
1.413213e-03, -2.078549e-17, -5.361055e-18, 1.962265e-17, 3.363546e-17, 1.863507e-17, 4.725207e-17, 1.606230e-17, 3.500928e-17, -4.063596e-18
1.884284e-03, 5.946117e-18, 7.120923e-17, -1.353686e-17, -2.812251e-17, 9.818268e-18, -1.054923e-19, -1.447803e-17, 7.513742e-18, -1.710541e-17
2.355356e-03, -5.416539e-17, -5.764621e-17, -1.446911e-17, -6.177940e-17, 2.035124e-17, 6.772839e-17, -1.625699e-17, 5.832135e-17, -9.794467e-18
2.826427e-03, 2.296625e-17, -4.731945e-17, -9.721387e-19, -3.433892e-18, -2.256682e-18, 4.683268e-17, -1.610942e-17, 6.317131e-17, -3.756902e-18
3.297498e-03, -2.393734e-17, -9.972733e-17, -4.766575e-17, -8.076955e-17, 3.233380e-18, 2.805309e-17, -2.040299e-17, 4.019670e-17, 2.827384e-17
3.768569e-03, 1.081325e-17, -5.376541e-17, -3.384437e-17, -8.365514e-17, -1.070668e-17, 4.806753e-17, -3.598775e-17, 3.166645e-17, -1.361017e-18
4.239640e-03, -4.938653e-17, -2.923436e-18, -4.724182e-17, -3.654973e-17, 2.359651e-17, 6.793335e-17, -4.094170e-17, 3.964536e-17, -1.281116e-17
4.710711e-03, 2.603795e-19, -9.848210e-17, -4.085089e-17, -1.015151e-16, -2.489062e-17, 3.672384e-17, -3.304275e-17, 4.687152e-17, -1.217274e-17
5.181782e-03, -2.521119e-17, 2.357032e-17, -1.278830e-17, -3.256637e-17, 1.969378e-17, 4.741274e-17, 7.263683e-18, 4.923159e-17, 2.198166e-17
5.457462e-03, -3.806919e-17, -6.584425e-17, -2.940158e-18, -9.217995e-17, 2.684646e-17, 4.721891e-17, -1.632608e-17, 2.055004e-17, -1.734022e-17
5.665462e-03, -1.230600e-16, -1.471107e-16, -7.128580e-18, -1.702627e-16, 4.883922e-17, 4.916970e-17, -6.867782e-18, 4.911099e-17, 6.630256e-18
5.802662e-03, -4.555302e-17, 8.053103e-18, 7.948393e-18, -3.672714e-17, 3.570717e-17, 7.832155e-17, 2.951315e-18, 8.671248e-17, 3.246906e-17
5.892822e-03, -2.819958e-17, -4.297054e-18, 2.985324e-18, -3.721387e-17, -4.293347e-19, 2.551527e-17, -1.008526e-17, 1.776551e-17, 2.798244e-17
5.951818e-03, -6.883398e-17, -6.059281e-17, -7.216318e-18, -5.810134e-17, 5.965098e-17, 4.570630e-17, -7.839523e-18, 3.773042e-17, 8.385221e-18
5.990234e-03, -1.898917e-17, -9.459571e-17, -4.393857e-18, -5.818712e-17, 2.323342e-18, 6.583808e-17, 2.499572e-17, 5.564127e-17, 3.165843e-17
6.015108e-03, -1.210217e-18, 6.904921e-18, -6.762436e-18, -3.469577e-17, -5.287972e-18, 5.155979e-17, -3.265800e-17, 4.844578e-17, 5.082300e-18
6.031109e-03, -1.618295e-17, -8.036981e-17, -2.899377e-17, -7.713266e-17, 3.273421e-18, 1.697321e-17, -2.106220e-17, 1.420942e-17, -4.878804e-18
6.041320e-03, -5.814102e-17, -5.435010e-17, 7.934358e-18, -4.732645e-17, 2.576858e-18, 4.308487e-17, 1.496595e-19, 3.436859e-17, 1.093200e-17
6.047777e-03, -5.941439e-17, -1.801136e-17, -2.441411e-17, -4.896365e-18, 1.777521e-17, 2.395704e-17, -2.544832e-19, 9.154659e-18, 3.347505e-17
6.051812e-03, -2.245855e-17, -5.613809e-17, 1.181646e-17, -4.629605e-17, 6.603041e-17, -1.167076e-17, -2.951486e-18, 3.732604e-17, 2.457567e-20
6.054298e-03, -9.962137e-17, -9.496567e-17, -7.412627e-18, -5.223546e-17, 8.947594e-17, 7.373613e-17, 3.418929e-18, 6.716338e-17, 1.732405e-17
6.055801e-03, -2.542252e-17, -3.638549e-17, -2.667569e-17, -4.106694e-17, 2.783073e-17, 4.973591e-17, -1.737111e-17, 5.253525e-17, 1.504527e-17
6.056687e-03, -6.800737e-17, -1.347054e-17, -3.929935e-17, -3.956260e-17, 6.491620e-17, 4.773301e-17, -3.819102e-17, 5.311539e-17, -8.628069e-18
6.057191e-03, -2.280788e-17, -3.728681e-17, -1.792215e-17, -9.684545e-17, 6.405305e-18, 3.666382e-17, -3.559850e-17, 5.618715e-17, 6.733933e-18
6.057462e-03, -3.336488e-17, -1.147440e-16, 1.210912e-18, -1.152599e-16, 4.696711e-17, 5.758462e-17, 2.327716e-17, 5.845598e-17, 8.441065e-18
6.057733e-03, -3.338325e-17, -1.653808e-16, -1.286720e-17, -1.027862e-16, 2.707671e-17, 6.347232e-17, -1.787012e-18, 6.917890e-17, 4.843359e-18
6.058237e-03, -7.753304e-18, -1.028477e-16, -6.781250e-17, -1.187466e-16, -2.458266e-17, 4.338294e-18, -4.730101e-17, 1.768738e-17, 3.248598e-17
6.059123e-03, -6.002298e-17, -3.401987e-17, -5.034679e-17, -8.116071e-17, 3.707540e-17, 6.801725e-17, -3.795483e-17, 3.453950e-17, 2.375407e-17
6.060626e-03, -4.745507e-17, -8.890674e-17, -3.018852e-18, -7.789162e-17, 4.077965e-17, -3.157191e-18, -2.240151e-18, 3.421292e-17, 1.726398e-17
6.063111e-03, -1.929163e-17, -9.477244e-17, -8.447845e-17, -1.103701e-16, 2.329507e-17, 5.138619e-17, -4.652495e-17, 3.980528e-17, 4.231950e-18
6.067147e-03, 9.431339e-18, -4.654960e-17, 3.411178e-17, -4.250234e-17, 1.980611e-17, 4.562679e-17, 5.522046e-18, 3.035384e-17, 1.558964e-17
6.073603e-03, -2.771865e-17, -6.211669e-17, 2.689616e-18, -5.519629e-17, 1.507199e-17, 6.674903e-17, -2.771428e-17, 3.969468e-17, 1.570192e-17
6.083815e-03, 1.994426e-17, -1.024845e-17, 1.446132e-17, -4.563142e-17, -1.273966e-17, 2.097652e-17, -4.331478e-18, 6.673345e-17, 2.231815e-17
6.099816e-03, -5.366456e-17, -8.674976e-17, -3.461740e-18, -1.247709e-16, 5.946893e-17, 5.074421e-17, -3.491195e-17, 4.106850e-17, -5.161842e-17
6.124690e-03, 2.573899e-17, -1.019033e-16, -2.347983e-17, -5.862480e-17, -5.091400e-18, 5.934418e-17, -2.149397e-17, 6.639563e-17, -2.420149e-17
6.163106e-03, -7.043930e-17, -8.312169e-18, -1.066057e-16, 1.037715e-16, 4.209841e-17, 4.433287e-17, -1.503077e-16, 6.253084e-17, -1.315250e-16
6.222102e-03, -5.746480e-16, 3.625678e-16, -2.463352e-16, 2.891717e-16, 6.508287e-16, 5.389013e-16, -3.156909e-16, 5.630173e-16, -3.586383e-17
6.312262e-03, -2.854726e-16, 4.656956e-16, -3.657069e-16, 3.108068e-16, 9.893039e-17, -4.551818e-16, -4.347360e-16, -5.438068e-16, -3.591264e-16
6.449462e-03, -7.232824e-16, -1.723497e-16, -7.749271e-17, -4.542324e-16, -3.454309e-15, 8.070630e-17, -1.930504e-16, 1.964627e-16, -1.803152e-15
6.657462e-03, 1.284798e-14, -7.469471e-15, 1.503566e-15, -7.088902e-15, 3.270846e-15, 2.050235e-15, 1.974404e-15, 1.964731e-15, 2.697979e-15
7.066067e-03, -1.906678e-14, 2.792671e-15, 1.886633e-14, 5.898657e-15, 1.242627e-14, -9.864221e-15, 1.909144e-14, -1.105713e-14, 1.788449e-14
7.537138e-03, 1.355352e-14, -2.289148e-14, 5.301281e-14, -2.529662e-14, 1.180385e-14, -6.572772e-15, 5.382738e-14, -7.380254e-15, -1.149825e-14
8.008209e-03, 2.094847e-13, 1.286249e-13, 7.989119e-14, 1.281878e-13, 1.729600e-13, -4.663809e-14, 8.233751e-14, -4.375660e-14, -2.972046e-15
8.479280e-03, -1.580471e-13, -2.053807e-13, -6.522817e-14, -2.112570e-13, 1.918952e-14, 1.432338e-13, -6.481890e-14, 1.455657e-13, -1.755624e-13
8.950351e-03, -4.251236e-13, 5.349459e-13, -2.583692e-13, 5.301304e-13, -1.948004e-13, -5.188733e-16, -2.524407e-13, -4.856341e-15, -1.961392e-13
9.421422e-03, -3.535386e-13, 8.474207e-14, 4.776477e-13, 8.914031e-14, -1.484985e-13, -4.672094e-13, 4.751952e-13, -4.640683e-13, 1.848377e-13
