mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
0.000000e+00, -1.979476e+02, -1.351921e-02, -3.978540e-02, -1.351921e-02, -1.974977e+02, 1.515193e-01, -3.978540e-02, 1.515193e-01, -1.974464e+02
4.710711e-04, -1.979528e+02, -1.363399e-02, -3.967142e-02, -1.363399e-02, -1.975028e+02, 1.513941e-01, -3.967142e-02, 1.513941e-01, -1.974517e+02
9.421422e-04, -1.979684e+02, -1.398085e-02, -3.932647e-02, -1.398085e-02, -1.975180e+02, 1.510141e-01, -3.932647e-02, 1.510141e-01, -1.974677e+02
1.413213e-03, -1.979947e+02, -1.456744e-02, -3.874117e-02, -1.456744e-02, -1.975436e+02, 1.503653e-01, -3.874117e-02, 1.503653e-01, -1.974946e+02
1.884284e-03, -1.980321e+02, -1.540686e-02, -3.789898e-02, -1.540686e-02, -1.975799e+02, 1.494230e-01, -3.789898e-02, 1.494230e-01, -1.975328e+02
2.355356e-03, -1.980812e+02, -1.651832e-02, -3.677459e-02, -1.651832e-02, -1.976276e+02, 1.481487e-01, -3.677459e-02, 1.481487e-01, -1.975831e+02
2.826427e-03, -1.981432e+02, -1.792808e-02, -3.533126e-02, -1.792808e-02, -1.976875e+02, 1.464855e-01, -3.533126e-02, 1.464855e-01, -1.976464e+02
3.297498e-03, -1.982200e+02, -1.967117e-02, -3.351644e-02, -1.967117e-02, -1.977617e+02, 1.443486e-01, -3.351644e-02, 1.443486e-01, -1.977249e+02
3.768569e-03, -1.983154e+02, -2.179476e-02, -3.125448e-02, -2.179476e-02, -1.978535e+02, 1.416086e-01, -3.125448e-02, 1.416086e-01, -1.978223e+02
4.239640e-03, -1.984374e+02, -2.436681e-02, -2.843428e-02, -2.436681e-02, -1.979702e+02, 1.380545e-01, -2.843428e-02, 1.380545e-01, -1.979463e+02
4.710711e-03, -1.986052e+02, -2.750418e-02, -2.488776e-02, -2.750418e-02, -1.981301e+02, 1.333035e-01, -2.488776e-02, 1.333035e-01, -1.981158e+02
5.181782e-03, -1.988815e+02, -3.148979e-02, -2.035364e-02, -3.148979e-02, -1.983932e+02, 1.265249e-01, -2.035364e-02, 1.265249e-01, -1.983924e+02
5.457462e-03, -1.981261e+02, -3.465969e-02, -1.709025e-02, -3.465969e-02, -1.976252e+02, 1.206710e-01, -1.709025e-02, 1.206710e-01, -1.976356e+02
5.665462e-03, -1.986488e+02, -3.578443e-02, -9.944339e-03, -3.578443e-02, -1.981300e+02, 1.114182e-01, -9.944339e-03, 1.114182e-01, -1.981545e+02
5.802662e-03, -1.987753e+02, -3.830597e-02, -1.552315e-02, -3.830597e-02, -1.982627e+02, 1.050564e-01, -1.552315e-02, 1.050564e-01, -1.982870e+02
5.892822e-03, -1.988371e+02, -5.018056e-02, -1.503354e-02, -5.018056e-02, -1.983048e+02, 1.051031e-01, -1.503354e-02, 1.051031e-01, -1.983373e+02
5.951818e-03, -1.986617e+02, -2.864051e-02, -1.133829e-02, -2.864051e-02, -1.981080e+02, 1.087473e-01, -1.133829e-02, 1.087473e-01, -1.981643e+02
5.990234e-03, -1.987200e+02, -3.630121e-02, -3.373541e-04, -3.630121e-02, -1.981961e+02, 1.126049e-01, -3.373541e-04, 1.126049e-01, -1.982168e+02
6.015108e-03, -1.987344e+02, -4.897930e-02, 2.029839e-02, -4.897930e-02, -1.981751e+02, 7.722330e-02, 2.029839e-02, 7.722330e-02, -1.982277e+02
6.031109e-03, -1.985440e+02, -2.652355e-02, -3.964449e-02, -2.652355e-02, -1.980677e+02, 9.872602e-02, -3.964449e-02, 9.872602e-02, -1.981239e+02
6.041320e-03, -1.985462e+02, -6.027333e-02, 1.966784e-02, -6.027333e-02, -1.980146e+02, 1.228433e-01, 1.966784e-02, 1.228433e-01, -1.980948e+02
6.047777e-03, -1.984748e+02, -1.168302e-02, -2.965224e-03, -1.168302e-02, -1.979234e+02, 1.178673e-01, -2.965224e-03, 1.178673e-01, -1.979650e+02
6.051812e-03, -1.983148e+02, -4.162478e-02, -9.698268e-03, -4.162478e-02, -1.977492e+02, 1.195544e-01, -9.698268e-03, 1.195544e-01, -1.978084e+02
6.054298e-03, -1.981285e+02, -4.807212e-02, -3.458704e-03, -4.807212e-02, -1.976687e+02, 1.254868e-01, -3.458704e-03, 1.254868e-01, -1.976511e+02
6.055801e-03, -1.980173e+02, -6.642001e-02, -1.559722e-02, -6.642001e-02, -1.975282e+02, 9.068094e-02, -1.559722e-02, 9.068094e-02, -1.975311e+02
6.056687e-03, -1.979690e+02, -2.852392e-02, -4.342977e-03, -2.852392e-02, -1.974175e+02, 8.771370e-02, -4.342977e-03, 8.771370e-02, -1.974325e+02
6.057191e-03, -1.979140e+02, -2.630758e-02, 3.215461e-03, -2.630758e-02, -1.973608e+02, 1.227061e-01, 3.215461e-03, 1.227061e-01, -1.973820e+02
6.057462e-03, -1.978497e+02, -6.900827e-02, 1.117199e-02, -6.900827e-02, -1.973346e+02, 1.184043e-01, 1.117199e-02, 1.184043e-01, -1.973799e+02
6.057733e-03, -1.978146e+02, -3.130475e-02, -2.483611e-02, -3.130475e-02, -1.972903e+02, 1.078868e-01, -2.483611e-02, 1.078868e-01, -1.973628e+02
6.058237e-03, -1.977715e+02, -5.164980e-02, 1.289178e-02, -5.164980e-02, -1.972284e+02, 1.253472e-01, 1.289178e-02, 1.253472e-01, -1.972780e+02
6.059123e-03, -1.976569e+02, -4.825862e-02, 1.607481e-02, -4.825862e-02, -1.971038e+02, 1.218384e-01, 1.607481e-02, 1.218384e-01, -1.971487e+02
6.060626e-03, -1.974061e+02, -3.501124e-02, -9.721521e-03, -3.501124e-02, -1.968742e+02, 1.048775e-01, -9.721521e-03, 1.048775e-01, -1.969009e+02
6.063111e-03, -1.968800e+02, -4.277825e-02, -1.218712e-02, -4.277825e-02, -1.963756e+02, 1.111796e-01, -1.218712e-02, 1.111796e-01, -1.963982e+02
6.067147e-03, -1.958270e+02, -5.312919e-02, 7.229592e-03, -5.312919e-02, -1.953132e+02, 1.152965e-01, 7.229592e-03, 1.152965e-01, -1.953166e+02
6.073603e-03, -1.934993e+02, -7.471121e-04, -1.350794e-02, -7.471121e-04, -1.930038e+02, 1.443840e-01, -1.350794e-02, 1.443840e-01, -1.929981e+02
6.083815e-03, -1.886871e+02, -6.745202e-02, 1.563575e-02, -6.745202e-02, -1.881429e+02, 1.718786e-01, 1.563575e-02, 1.718786e-01, -1.882164e+02
6.099816e-03, -1.791774e+02, -2.560309e-02, 4.235024e-03, -2.560309e-02, -1.786496e+02, 1.345441e-01, 4.235024e-03, 1.345441e-01, -1.786765e+02
6.124690e-03, -1.601596e+02, -1.433004e-02, 6.814364e-02, -1.433004e-02, -1.596324e+02, 1.305537e-01, 6.814364e-02, 1.305537e-01, -1.597575e+02
6.163106e-03, -1.234685e+02, -4.080700e-02, -1.080995e-01, -4.080700e-02, -1.228088e+02, 1.240361e-01, -1.080995e-01, 1.240361e-01, -1.228320e+02
6.222102e-03, -5.370736e+01, 1.771105e-01, -2.124147e-01, 1.771105e-01, -5.258459e+01, -1.447863e-01, -2.124147e-01, -1.447863e-01, -5.261603e+01
6.312262e-03, 8.039389e+01, -2.329196e-01, -6.331574e-02, -2.329196e-01, 8.074728e+01, 6.777728e-03, -6.331574e-02, 6.777728e-03, 8.031878e+01
6.449462e-03, 3.314405e+02, -5.431648e-01, 1.086259e-01, -5.431648e-01, 3.313378e+02, -4.793226e-01, 1.086259e-01, -4.793226e-01, 3.305656e+02
6.657462e-03, 7.956314e+02, -4.282816e-01, 1.789971e+00, -4.282816e-01, 7.942033e+02, 1.030073e+00, 1.789971e+00, 1.030073e+00, 7.966264e+02
7.066067e-03, 1.941465e+03, 6.661820e-01, -1.651240e+00, 6.661820e-01, 1.940519e+03, 4.993625e+00, -1.651240e+00, 4.993625e+00, 1.949064e+03
7.537138e-03, 3.564311e+03, 1.494529e+00, -1.285661e+00, 1.494529e+00, 3.561711e+03, 4.236162e+00, -1.285661e+00, 4.236162e+00, 3.567333e+03
8.008209e-03, 5.430406e+03, -9.325315e+00, -8.497911e+00, -9.325315e+00, 5.434688e+03, 3.907801e+00, -8.497911e+00, 3.907801e+00, 5.449608e+03
8.479280e-03, 7.525595e+03, -8.562238e+00, -7.085053e+00, -8.562238e+00, 7.539899e+03, 8.785619e+00, -7.085053e+00, 8.785619e+00, 7.556595e+03
8.950351e-03, 9.830399e+03, -4.482908e+00, -2.219124e+01, -4.482908e+00, 9.851149e+03, 3.743342e+00, -2.219124e+01, 3.743342e+00, 9.851760e+03
9.421422e-03, 1.230708e+04, 2.161941e+01, -6.753750e+00, 2.161941e+01, 1.234849e+04, -7.803952e+00, -6.753750e+00, -7.803952e+00, 1.234840e+04
9.892493e-03, 1.501987e+04, -2.895531e+01, 2.138021e+01, -2.895531e+01, 1.497507e+04, -1.231182e+00, 2.138021e+01, -1.231182e+00, 1.500711e+04
1.036356e-02, 1.783295e+04, 6.884236e-01, -2.363130e+01, 6.884236e-01, 1.783114e+04, 1.600661e+01, -2.363130e+01, 1.600661e+01, 1.784247e+04
1.083464e-02, 2.080874e+04, 8.192918e+00, -1.505043e+00, 8.192918e+00, 2.087192e+04, -5.522880e+00, -1.505043e+00, -5.522880e+00, 2.081824e+04
1.130571e-02, 2.395162e+04, 1.001631e+01, -1.932845e+01, 1.001631e+01, 2.403221e+04, 3.322028e+01, -1.932845e+01, 3.322028e+01, 2.398153e+04
1.177678e-02, 2.728702e+04, -2.263150e+01, 7.118882e+01, -2.263150e+01, 2.723397e+04, -4.442532e+01, 7.118882e+01, -4.442532e+01, 2.728535e+04
1.224785e-02, 3.077335e+04, -2.706813e+01, -2.036612e+01, -2.706813e+01, 3.073005e+04, -1.566800e+01, -2.036612e+01, -1.566800e+01, 3.069483e+04
1.271892e-02, 3.434203e+04, -3.498833e+01, 1.439902e+02, -3.498833e+01, 3.438383e+04, -3.078073e+01, 1.439902e+02, -3.078073e+01, 3.431535e+04
1.318999e-02, 3.820259e+04, -5.411112e+01, 1.500539e+01, -5.411112e+01, 3.799570e+04, 4.404711e+01, 1.500539e+01, 4.404711e+01, 3.813047e+04
1.366106e-02, 4.199090e+04, 9.589485e+01, 3.842729e+01, 9.589485e+01, 4.208433e+04, 5.343533e+01, 3.842729e+01, 5.343533e+01, 4.198703e+04
1.413213e-02, 4.592032e+04, 3.725532e+01, 1.607631e+02, 3.725532e+01, 4.615986e+04, -3.499425e+01, 1.607631e+02, -3.499425e+01, 4.615614e+04
1.460320e-02, 5.024629e+04, 4.770058e+01, 9.005390e+01, 4.770058e+01, 5.029388e+04, -4.229607e+01, 9.005390e+01, -4.229607e+01, 5.030494e+04
1.507428e-02, 5.456622e+04, 1.376247e+02, 1.134324e+02, 1.376247e+02, 5.463625e+04, 1.012961e+01, 1.134324e+02, 1.012961e+01, 5.468469e+04
1.554535e-02, 5.917304e+04, -4.813958e+00, -6.569566e+01, -4.813958e+00, 5.915657e+04, 1.262991e+01, -6.569566e+01, 1.262991e+01, 5.903289e+04
1.601642e-02, 6.355341e+04, -1.810618e+02, 3.706103e+01, -1.810618e+02, 6.374884e+04, -1.343006e+02, 3.706103e+01, -1.343006e+02, 6.396716e+04
1.648749e-02, 6.857803e+04, 9.607729e+01, -4.148859e+00, 9.607729e+01, 6.850773e+04, 7.169683e+01, -4.148859e+00, 7.169683e+01, 6.851925e+04
1.695856e-02, 7.362412e+04, -7.709827e+01, 4.251898e+01, -7.709827e+01, 7.340009e+04, -1.646852e+02, 4.251898e+01, -1.646852e+02, 7.334502e+04
1.742963e-02, 7.868598e+04, 1.009675e+02, 5.293748e+01, 1.009675e+02, 7.827926e+04, -3.952424e+00, 5.293748e+01, -3.952424e+00, 7.859423e+04
1.790070e-02, 8.376192e+04, -2.482939e+01, -1.810749e+01, -2.482939e+01, 8.376682e+04, 4.638373e+01, -1.810749e+01, 4.638373e+01, 8.364901e+04
1.837177e-02, 8.907443e+04, 1.649418e+02, 2.175525e+01, 1.649418e+02, 8.921192e+04, -7.078976e+01, 2.175525e+01, -7.078976e+01, 8.893551e+04
1.884284e-02, 9.449722e+04, 8.971493e+01, -2.788368e+01, 8.971493e+01, 9.459375e+04, 2.461442e+01, -2.788368e+01, 2.461442e+01, 9.459611e+04
1.931392e-02, 1.001663e+05, -9.861283e+00, -1.303740e+02, -9.861283e+00, 1.000832e+05, -1.908179e+02, -1.303740e+02, -1.908179e+02, 1.003279e+05
1.978499e-02, 1.059819e+05, -4.170195e+01, 4.336342e+01, -4.170195e+01, 1.059432e+05, 1.002442e+02, 4.336342e+01, 1.002442e+02, 1.059668e+05
2.025606e-02, 1.118134e+05, -9.691669e+00, 2.208320e+01, -9.691669e+00, 1.119406e+05, 1.318400e+01, 2.208320e+01, 1.318400e+01, 1.117949e+05
2.072713e-02, 1.176995e+05, -4.174961e+01, -5.811817e+01, -4.174961e+01, 1.175838e+05, -5.576020e+00, -5.811817e+01, -5.576020e+00, 1.180839e+05
2.119820e-02, 1.241257e+05, -7.877592e+01, 1.551709e+02, -7.877592e+01, 1.236811e+05, -6.685051e+01, 1.551709e+02, -6.685051e+01, 1.241449e+05
2.166927e-02, 1.303660e+05, -2.795700e+02, 2.531850e+02, -2.795700e+02, 1.305043e+05, -2.095495e+02, 2.531850e+02, -2.095495e+02, 1.300828e+05
2.214034e-02, 1.368990e+05, 4.626597e+01, -1.170190e+02, 4.626597e+01, 1.366498e+05, -1.012939e+02, -1.170190e+02, -1.012939e+02, 1.368323e+05
2.261141e-02, 1.432599e+05, 2.891077e+02, -5.169155e+02, 2.891077e+02, 1.430521e+05, 2.340503e+02, -5.169155e+02, 2.340503e+02, 1.439101e+05
2.308248e-02, 1.502785e+05, 1.365281e+02, -2.414360e+01, 1.365281e+02, 1.498725e+05, 1.377973e+02, -2.414360e+01, 1.377973e+02, 1.503472e+05
