damping, xx, xy, xz, yx, yy, yz, zx, zy, zz
1.000000e-05, 7.363140e+05, 6.504062e+02, 4.381029e+02, 6.504062e+02, 7.376207e+05, 2.071518e+02, 4.381029e+02, 2.071518e+02, 8.789768e+04
2.000000e-05, 3.683233e+05, 2.810281e+02, 4.238127e+01, 2.810281e+02, 3.681710e+05, -7.692142e+01, 4.238127e+01, -7.692142e+01, 4.391877e+04
3.000000e-05, 2.459321e+05, -5.622619e+02, -3.193550e+01, -5.622619e+02, 2.455362e+05, -6.359306e+01, -3.193550e+01, -6.359306e+01, 2.927770e+04
5.000000e-05, 1.472999e+05, 1.611612e+02, -6.649912e+01, 1.611612e+02, 1.473203e+05, -7.307977e+01, -6.649912e+01, -7.307977e+01, 1.758591e+04
7.000000e-05, 1.054263e+05, 1.417179e+02, -3.910925e+01, 1.417179e+02, 1.051238e+05, -2.442703e+01, -3.910925e+01, -2.442703e+01, 1.256027e+04
1.000000e-04, 7.371510e+04, -4.419011e+01, 1.520291e+01, -4.419011e+01, 7.373759e+04, 3.058708e+01, 1.520291e+01, 3.058708e+01, 8.790194e+03
2.000000e-04, 3.697438e+04, -2.037499e+01, -5.310581e+00, -2.037499e+01, 3.689282e+04, -8.830032e+00, -5.310581e+00, -8.830032e+00, 4.398107e+03
3.000000e-04, 2.472111e+04, -5.751037e+00, -1.389123e+01, -5.751037e+00, 2.463861e+04, 1.011256e+01, -1.389123e+01, 1.011256e+01, 2.941877e+03
4.000000e-04, 1.854400e+04, 3.203598e+00, 7.366623e+00, 3.203598e+00, 1.857983e+04, -3.779539e+00, 7.366623e+00, -3.779539e+00, 2.213463e+03
5.000000e-04, 1.487118e+04, 1.366174e+01, 1.341680e+00, 1.366174e+01, 1.490875e+04, 6.066056e+00, 1.341680e+00, 6.066056e+00, 1.775471e+03
