mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.430000e-01, 2.940788e+00, 5.440682e-03, -2.955379e-02, -5.907498e-03, -2.927335e+00, 7.607694e+01, 5.299214e-03, -9.796400e-01, -1.123504e-02, 8.738628e-03, -2.952464e+00, -7.609946e+01, -2.920383e+00, 1.017057e-02, 2.590363e-02, 9.980990e-01, -5.803547e-03, -1.376263e-02, -2.628723e-03, -1.042538e+00, -7.431055e-03, 1.034003e+00, 2.517400e-03, 9.526918e-03, -8.156581e-03, -5.811644e-03, -4.740445e-05
-1.403732e-01, 2.673493e+00, 4.325583e-03, -9.773516e-03, -2.724209e-03, -2.664921e+00, 7.151386e+01, 2.829938e-03, -8.095814e-01, -6.377337e-03, -3.953076e-03, -2.668242e+00, -7.155914e+01, -2.660123e+00, -1.489647e-03, 5.578969e-03, 8.147381e-01, -3.520280e-03, 2.193229e-03, -3.548295e-03, -9.776077e-01, -4.479889e-04, 9.692746e-01, 3.675126e-03, -3.935210e-03, -4.160979e-03, -2.630728e-03, -1.739349e-04
-1.377465e-01, 2.416897e+00, 2.523006e-03, -1.271901e-02, -5.919307e-03, -2.432039e+00, 6.742910e+01, 2.294009e-03, -6.744694e-01, 9.837580e-03, 6.359727e-03, -2.420222e+00, -6.737363e+01, -2.427394e+00, 7.052535e-03, 2.102287e-02, 6.684648e-01, -2.752738e-03, -8.660925e-03, -9.324057e-04, -9.102728e-01, -2.148388e-03, 9.124775e-01, -1.290307e-04, -8.477167e-04, 2.974486e-03, -2.570721e-03, 5.285751e-04
-1.351197e-01, 2.257646e+00, 1.833992e-03, -1.228596e-02, -1.839483e-03, -2.251421e+00, 6.442426e+01, -3.257513e-04, -5.707706e-01, -4.863118e-03, 8.886503e-04, -2.260228e+00, -6.442001e+01, -2.252343e+00, 4.253709e-03, 1.676290e-02, 5.771862e-01, -7.635728e-06, -3.612229e-03, -1.655069e-03, -8.584415e-01, 1.327936e-04, 8.583814e-01, 8.849577e-04, 4.689593e-03, -2.725194e-03, -7.262145e-04, 3.605219e-04
-1.324930e-01, 2.116104e+00, 4.924306e-03, -1.480751e-02, -1.041390e-02, -2.089815e+00, 6.148923e+01, 4.639847e-03, -4.871791e-01, -1.926950e-02, -5.522191e-04, -2.107934e+00, -6.162570e+01, -2.089602e+00, 1.098774e-02, 3.004285e-02, 4.969790e-01, -6.859032e-03, -9.608810e-03, -6.078529e-03, -8.152757e-01, 2.192916e-02, 8.037987e-01, 2.602207e-03, 1.270218e-02, -6.389134e-03, -6.083570e-03, 1.523088e-03
-1.298662e-01, 1.968234e+00, -8.625473e-04, -1.581868e-03, -8.143366e-03, -1.957029e+00, 5.895961e+01, 3.104993e-03, -4.192009e-01, -7.700223e-03, 6.453003e-03, -1.961183e+00, -5.901477e+01, -1.955209e+00, 9.770072e-03, 1.077335e-02, 4.211257e-01, -4.356862e-03, -1.107151e-02, -1.110290e-04, -7.659681e-01, 5.141015e-03, 7.599966e-01, -2.356299e-03, 5.417635e-03, -2.868557e-03, -3.478221e-03, 1.081022e-03
-1.272395e-01, 1.852468e+00, -1.870254e-03, 1.070235e-02, -3.059444e-03, -1.837180e+00, 5.662172e+01, 4.919297e-04, -3.601830e-01, -1.011119e-02, -3.252069e-03, -1.846505e+00, -5.667291e+01, -1.841304e+00, 1.508816e-03, -5.756342e-03, 3.620018e-01, -1.346055e-03, 3.954321e-04, -1.052904e-03, -7.216919e-01, 9.325605e-03, 7.203087e-01, -7.971372e-04, 1.087500e-03, -1.947825e-03, -7.356654e-04, 7.897205e-04
-1.246127e-01, 1.724201e+00, -7.387006e-04, 4.349369e-03, -1.711050e-03, -1.731862e+00, 5.442934e+01, -5.142181e-04, -3.070856e-01, 3.527524e-03, -3.252350e-04, -1.728328e+00, -5.441163e+01, -1.724794e+00, 1.007961e-03, -2.166432e-03, 3.099228e-01, 2.365600e-05, -5.038085e-04, 6.905187e-05, -6.828604e-01, 2.807423e-03, 6.796089e-01, -7.818670e-04, -4.182832e-04, -9.958682e-04, 7.611482e-05, 2.984116e-04
-1.219859e-01, 1.627138e+00, -2.359559e-04, 3.322507e-03, -4.186739e-03, -1.627010e+00, 5.233719e+01, 7.482875e-04, -2.643729e-01, 1.219049e-04, -1.894515e-03, -1.625705e+00, -5.234191e+01, -1.626897e+00, 2.943068e-03, 4.295767e-03, 2.632958e-01, -1.356876e-03, -1.240816e-03, -1.561252e-03, -6.446627e-01, -8.019599e-04, 6.442329e-01, -3.361928e-04, 1.052655e-03, 2.422148e-04, -1.097373e-03, 8.710921e-04
-1.193592e-01, 1.518498e+00, 1.160973e-03, 7.311779e-03, -2.328233e-03, -1.539788e+00, 5.049071e+01, 1.870669e-03, -2.251915e-01, 1.338998e-02, -8.092281e-03, -1.525978e+00, -5.044004e+01, -1.529399e+00, -1.896026e-03, -8.426743e-04, 2.228766e-01, -2.331508e-03, 5.120424e-03, -3.483116e-03, -6.090816e-01, -6.559415e-03, 6.070960e-01, 1.962180e-03, -1.595399e-03, 2.058430e-03, -1.567418e-03, 7.070661e-04
-1.167324e-01, 1.433017e+00, -3.017721e-03, 1.597521e-02, -1.651038e-03, -1.439544e+00, 4.860546e+01, -9.106600e-04, -1.892750e-01, 3.723871e-03, -3.888771e-03, -1.435338e+00, -4.859356e+01, -1.433699e+00, -2.095212e-03, -9.267095e-03, 1.887267e-01, 3.314257e-04, 3.890005e-03, 1.478353e-04, -5.745062e-01, -6.021194e-04, 5.724359e-01, -1.502437e-03, -9.987428e-04, 5.333844e-06, 1.277617e-03, 6.369923e-04
-1.141057e-01, 1.352290e+00, 1.211313e-03, -1.522336e-03, 6.490392e-06, -1.361967e+00, 4.687874e+01, 3.159320e-04, -1.589286e-01, 5.532031e-03, -3.735715e-03, -1.356323e+00, -4.685526e+01, -1.355880e+00, -1.386065e-03, 2.557116e-03, 1.599203e-01, -3.430001e-04, 2.701865e-03, -1.812328e-03, -5.424485e-01, -2.032694e-03, 5.404433e-01, 1.575017e-03, 8.354322e-04, -5.329508e-05, -2.730737e-04, 1.141961e-04
-1.114789e-01, 1.265195e+00, 2.007524e-05, 1.555122e-02, -1.872128e-04, -1.282762e+00, 4.521893e+01, 1.219353e-03, -1.313844e-01, 1.007784e-02, -5.823156e-03, -1.272976e+00, -4.516906e+01, -1.272952e+00, -5.441673e-03, -1.342323e-02, 1.326561e-01, -1.163704e-03, 6.410814e-03, -1.049977e-03, -5.108041e-01, -2.652630e-03, 5.084746e-01, 8.629662e-04, -3.401077e-04, 3.601393e-04, 8.853136e-05, 1.132966e-04
-1.088521e-01, 1.200712e+00, -1.082244e-03, 1.168755e-02, 7.538535e-05, -1.209111e+00, 4.357342e+01, 3.878130e-04, -1.072591e-01, 4.559002e-03, -3.566180e-03, -1.204147e+00, -4.356213e+01, -1.202714e+00, -2.973471e-03, -9.463155e-03, 1.101451e-01, -3.437837e-04, 4.089191e-03, -1.392620e-04, -4.838370e-01, -1.721386e-03, 4.805227e-01, -2.309009e-04, -2.526389e-03, -8.536993e-04, 3.088274e-04, 1.925919e-04
-1.062254e-01, 1.125643e+00, 1.201390e-03, 5.517626e-03, -5.855235e-04, -1.136241e+00, 4.211911e+01, 7.988533e-04, -8.812328e-02, 6.433251e-03, -2.356943e-03, -1.130752e+00, -4.209203e+01, -1.131178e+00, -1.650567e-03, -3.305673e-03, 8.875954e-02, -7.056428e-04, 1.884623e-03, -8.346100e-04, -4.545242e-01, -2.696732e-03, 4.534417e-01, 7.217845e-04, 9.606386e-04, 5.899653e-04, -4.910981e-04, 8.504483e-05
-1.035986e-01, 1.061582e+00, 3.225035e-03, -5.031648e-03, -3.804101e-04, -1.073938e+00, 4.059161e+01, 1.420673e-03, -6.763916e-02, 6.777901e-03, -3.392042e-03, -1.066272e+00, -4.058256e+01, -1.063802e+00, -9.192935e-04, 6.271832e-03, 7.161748e-02, -1.387884e-03, 1.688474e-03, -2.523169e-03, -4.311180e-01, -1.913817e-03, 4.252050e-01, 2.534051e-03, 3.401102e-03, -1.134254e-03, -1.306990e-03, 1.503320e-05
-1.009719e-01, 9.979519e-01, -6.195028e-04, -2.133050e-03, 1.983879e-04, -9.995713e-01, 3.923985e+01, -6.455138e-04, -5.365475e-02, 8.626806e-04, 3.037139e-03, -9.987498e-01, -3.924792e+01, -9.972976e-01, 1.803776e-03, 2.453662e-03, 5.246824e-02, 7.426769e-04, -2.447843e-03, 1.147792e-03, -4.029173e-01, 2.383010e-03, 4.012388e-01, -1.030590e-03, -1.430671e-03, 4.117205e-04, 2.897134e-04, -4.033966e-05
-9.834512e-02, 9.401387e-01, -6.906207e-04, 6.060181e-03, 6.823210e-04, -9.335223e-01, 3.790632e+01, -3.194675e-05, -3.865182e-02, -3.934409e-03, 1.018331e-03, -9.386322e-01, -3.791272e+01, -9.384974e-01, -1.519446e-03, -6.553772e-03, 3.856607e-02, 2.708552e-04, 6.062312e-04, 1.203547e-03, -3.768118e-01, 1.862471e-03, 3.792468e-01, -7.766641e-04, -1.610311e-03, 9.548833e-05, 4.717114e-04, -1.787199e-04
-9.571836e-02, 8.783533e-01, 1.438446e-03, -1.026991e-02, -4.558428e-04, -8.847714e-01, 3.663801e+01, 1.744226e-04, -2.653445e-02, 3.978251e-03, 2.962386e-03, -8.813200e-01, -3.662343e+01, -8.817151e-01, 3.193966e-03, 1.044994e-02, 2.644649e-02, -9.982627e-05, -4.008513e-03, -1.660896e-04, -3.556672e-01, -1.312257e-03, 3.547413e-01, 2.792471e-04, 2.558111e-03, 5.738474e-04, -7.511591e-04, -4.276306e-05
-9.309160e-02, 8.287223e-01, 1.230335e-03, -5.645166e-03, -2.157008e-04, -8.237218e-01, 3.539745e+01, -2.714655e-04, -1.553760e-02, -3.041537e-03, 7.852145e-04, -8.271527e-01, -3.540494e+01, -8.268821e-01, 7.971089e-04, 5.781705e-03, 1.566011e-02, 3.908855e-04, -1.140161e-03, -3.827027e-04, -3.333021e-01, 1.508232e-03, 3.345325e-01, 5.365150e-04, 2.500757e-03, -1.339208e-04, -9.667342e-06, -5.892164e-05
-9.046484e-02, 7.834184e-01, -8.150220e-04, -2.059146e-04, -3.275805e-04, -7.762180e-01, 3.413206e+01, -4.383037e-04, -6.398363e-03, -4.508493e-03, 7.587846e-04, -7.816729e-01, -3.413472e+01, -7.816048e-01, 9.361312e-04, 5.370302e-04, 5.843964e-03, 3.123929e-04, -8.168543e-04, 4.009879e-04, -3.126651e-01, 3.740912e-03, 3.156668e-01, -6.232611e-04, -3.718964e-04, 1.717640e-04, 2.497997e-04, 9.554154e-05
-8.783808e-02, 7.339965e-01, -9.469757e-04, -4.173648e-03, -6.481724e-04, -7.298701e-01, 3.298944e+01, -3.716901e-05, 2.062360e-03, -2.889366e-03, 3.436764e-03, -7.324857e-01, -3.300127e+01, -7.308738e-01, 3.134960e-03, 5.347842e-03, -2.006812e-03, -4.261777e-05, -3.953896e-03, 7.754695e-04, -2.948877e-01, 3.208514e-03, 2.947528e-01, -1.026146e-03, 1.436089e-03, -4.212418e-04, -1.993243e-04, 1.222525e-04
-8.521133e-02, 6.911505e-01, 8.001025e-04, -3.858696e-03, 6.271050e-04, -6.824001e-01, 3.183973e+01, 4.946722e-04, 8.932893e-03, -5.908781e-03, 2.407724e-03, -6.877626e-01, -3.185491e+01, -6.857112e-01, 3.050612e-04, 3.531324e-03, -8.870628e-03, -2.072197e-04, -1.618683e-03, 3.618058e-04, -2.759611e-01, 4.650325e-03, 2.773305e-01, 2.091054e-04, 3.602357e-04, -8.526179e-04, -2.694860e-04, -2.412793e-04
-8.258457e-02, 6.430427e-01, 2.607379e-03, -1.346949e-02, -1.172504e-04, -6.411195e-01, 3.079067e+01, 3.878934e-04, 1.548804e-02, -1.934007e-03, 2.443773e-03, -6.416517e-01, -3.081501e+01, -6.379699e-01, 3.001775e-03, 1.342587e-02, -1.467292e-02, -1.939822e-04, -3.835422e-03, -7.749118e-04, -2.603706e-01, 4.307604e-03, 2.567527e-01, 1.079566e-03, 3.348847e-03, -1.023999e-03, -1.047413e-03, -1.259216e-04
