# mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-2.379713e-01, 1.120973e+00, -8.156703e-04, -3.297992e-03, -8.227748e-04, -1.120863e+00, 1.293391e+02, -6.699064e-06, 1.327918e-05, 3.807151e-04, 8.806230e-04, -1.121200e+00, -1.293352e+02, -1.121214e+00, -8.460412e-04, 3.272578e-03, 2.878771e-06, 9.216532e-06, -5.311257e-04, 3.785917e-05, 1.154824e-06, 4.069432e-04, 1.440356e-05, 6.105499e-06, -2.677090e-04, 5.024088e-08, 4.809005e-08, 6.142226e-10
-2.336492e-01, 1.043892e+00, -7.425997e-04, -3.102064e-03, -7.386663e-04, -1.043790e+00, 1.222787e+02, -5.784843e-06, 1.104479e-05, 6.029652e-04, 8.300692e-04, -1.044085e+00, -1.222746e+02, -1.044051e+00, -7.739796e-04, 3.094016e-03, 2.138344e-06, 6.866852e-06, -5.406052e-04, 3.569798e-05, 5.150698e-08, 4.047047e-04, 1.219195e-05, 5.205781e-06, -1.883325e-04, 1.359863e-07, 2.562332e-08, 1.447356e-09
-2.293272e-01, 9.715450e-01, -3.953756e-04, -1.737074e-03, -3.959255e-04, -9.714442e-01, 1.159837e+02, -3.966197e-06, 9.353256e-06, -5.934255e-05, 4.582967e-04, -9.711559e-01, -1.159758e+02, -9.711632e-01, -4.203495e-04, 1.734730e-03, 6.505360e-07, 4.673474e-06, 3.113247e-04, 2.953761e-05, 5.220321e-07, 1.537843e-04, 1.200623e-05, 6.964830e-06, 1.061976e-04, -8.241313e-09, 7.938426e-08, 7.674422e-10
-2.250052e-01, 9.042740e-01, -7.220132e-04, -3.127897e-03, -7.029213e-04, -9.041812e-01, 1.096141e+02, -6.767625e-06, 1.469569e-05, 2.581459e-04, 7.713999e-04, -9.037965e-01, -1.096075e+02, -9.037910e-01, -7.393433e-04, 3.107181e-03, 3.420682e-06, 8.881806e-06, -1.339460e-04, 3.167587e-05, -4.234141e-06, 2.250674e-04, 6.219595e-06, 1.153015e-06, -3.143188e-05, 1.826076e-08, 3.216204e-09, 5.922092e-11
-2.206831e-01, 8.420990e-01, -6.734574e-04, -3.082991e-03, -6.918855e-04, -8.420326e-01, 1.036711e+02, -7.022652e-06, 1.132017e-05, 1.662362e-04, 7.377647e-04, -8.433560e-01, -1.036729e+02, -8.433576e-01, -7.088825e-04, 3.065955e-03, 2.120699e-06, 8.695710e-06, 3.088603e-05, 3.285639e-05, -2.768534e-06, 1.562624e-04, 6.930803e-06, -2.314151e-06, -3.216905e-06, 7.610552e-08, 9.029789e-08, 1.221055e-10
-2.163611e-01, 7.855123e-01, -7.123015e-04, -3.266411e-03, -7.167617e-04, -7.854508e-01, 9.820833e+01, -7.308335e-06, 1.605144e-05, -7.271698e-05, 7.635280e-04, -7.861202e-01, -9.820817e+01, -7.861332e-01, -7.321603e-04, 3.240993e-03, 5.091645e-06, 9.781671e-06, 1.138849e-04, 3.159724e-05, -1.202713e-05, 1.665360e-04, -3.206904e-06, -4.306334e-06, 1.308818e-06, 3.726794e-09, 6.773968e-08, 4.242965e-10
-2.120391e-01, 7.324315e-01, -8.088168e-04, -3.756561e-03, -8.092018e-04, -7.323681e-01, 9.314242e+01, -5.619358e-06, 1.387681e-05, 3.433276e-05, 8.522381e-04, -7.335586e-01, -9.314425e+01, -7.335469e-01, -8.261061e-04, 3.743334e-03, 4.560869e-06, 6.921911e-06, -2.214192e-04, 2.686308e-05, -1.181083e-05, 1.355014e-04, -3.697801e-06, -2.195908e-06, 1.979689e-05, 9.794211e-08, 8.109981e-08, 5.631537e-10
-2.077170e-01, 6.840313e-01, -6.307473e-04, -3.001489e-03, -6.270204e-04, -6.839584e-01, 8.815781e+01, -4.093777e-06, 6.345577e-06, 6.676855e-04, 6.691168e-04, -6.846644e-01, -8.815736e+01, -6.846590e-01, -6.443289e-04, 3.007625e-03, 1.742891e-07, 3.794598e-06, -6.659379e-05, 2.569497e-05, -3.278871e-06, 9.877548e-06, 4.075215e-06, -2.530403e-06, 3.290653e-05, 8.856339e-08, 2.079313e-07, 1.439599e-09
-2.033950e-01, 6.377743e-01, -4.775493e-04, -2.376098e-03, -4.708724e-04, -6.377028e-01, 8.358292e+01, -5.200819e-06, 1.006168e-05, -5.614490e-05, 5.235923e-04, -6.379405e-01, -8.357994e+01, -6.379337e-01, -4.954386e-04, 2.380724e-03, 3.492233e-06, 5.179532e-06, 8.657557e-05, 2.787555e-05, -1.188491e-05, 1.091002e-04, -5.162172e-06, -6.589293e-06, 6.787221e-06, 6.457960e-08, 1.608162e-07, 1.648743e-09
-1.990730e-01, 5.943527e-01, -5.467105e-04, -2.717803e-03, -5.454670e-04, -5.943011e-01, 7.918506e+01, -3.062446e-06, 4.218195e-06, 2.588680e-04, 5.744463e-04, -5.941923e-01, -7.918034e+01, -5.941834e-01, -5.574513e-04, 2.729744e-03, -6.377423e-07, 2.228647e-06, -2.867748e-05, 2.309474e-05, -4.252224e-06, 8.490546e-06, 1.895470e-06, -3.547707e-06, 4.123362e-05, -9.554306e-08, 1.681213e-07, 1.789449e-09
-1.947509e-01, 5.552751e-01, -4.909952e-04, -2.522051e-03, -4.890005e-04, -5.552067e-01, 7.519060e+01, -8.128117e-06, 1.269822e-05, 8.455428e-05, 5.213915e-04, -5.555591e-01, -7.518687e+01, -5.555638e-01, -4.988992e-04, 2.501445e-03, 4.919895e-06, 1.033551e-05, -1.198323e-04, 3.362288e-05, -1.658809e-05, 6.191172e-05, -1.094168e-05, -1.555719e-05, 5.285603e-05, -3.087364e-08, 4.603020e-08, 1.301269e-09
-1.904289e-01, 5.187537e-01, -4.136121e-04, -2.159034e-03, -4.067931e-04, -5.187099e-01, 7.130859e+01, -8.367242e-06, 1.269228e-05, 8.342137e-04, 4.331776e-04, -5.188835e-01, -7.130619e+01, -5.188915e-01, -4.139074e-04, 2.132199e-03, 5.329333e-06, 1.086933e-05, -6.419674e-04, 3.444984e-05, -2.078034e-05, -1.894370e-04, -1.564097e-05, -1.875733e-05, 2.275069e-04, 2.253038e-07, 6.706952e-08, 1.357061e-09
-1.861069e-01, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-1.817848e-01, 4.569962e-01, -3.935857e-04, -2.158221e-03, -3.859748e-04, -4.569569e-01, 6.516776e+01, -3.956662e-06, 5.912188e-06, 1.022844e-03, 4.193554e-04, -4.573356e-01, -6.516772e+01, -4.573312e-01, -4.044604e-04, 2.149053e-03, 3.129657e-07, 4.841028e-06, -5.582620e-04, 2.265757e-05, -6.687089e-06, -3.615177e-04, -2.292651e-06, -8.497534e-06, 2.803037e-04, 9.011589e-08, 1.040725e-07, 1.486280e-09
-1.774628e-01, 4.283352e-01, -4.170004e-04, -2.317231e-03, -4.181241e-04, -4.283026e-01, 6.214168e+01, -5.747723e-06, 7.653628e-06, 8.718764e-04, 4.413750e-04, -4.265958e-01, -6.213066e+01, -4.265859e-01, -4.254861e-04, 2.302703e-03, 2.234576e-06, 7.098327e-06, -5.813849e-04, 2.600353e-05, -1.163823e-05, -3.408962e-04, -7.586081e-06, -1.296065e-05, 3.004970e-04, 5.784536e-08, 8.994478e-08, 1.415864e-09
-1.731408e-01, 3.988904e-01, -4.538232e-04, -2.570633e-03, -4.493638e-04, -3.988645e-01, 5.924852e+01, -7.665878e-06, 1.081740e-05, 6.899438e-04, 4.772817e-04, -4.001706e-01, -5.925427e+01, -4.001711e-01, -4.613800e-04, 2.543419e-03, 4.619281e-06, 1.014762e-05, -6.695571e-04, 3.094628e-05, -1.710850e-05, -3.016882e-04, -1.341061e-05, -1.895648e-05, 3.802227e-04, 2.462641e-08, 8.689250e-08, 1.388249e-09
-1.688187e-01, 3.736720e-01, -8.023879e-04, -4.507667e-03, -8.009445e-04, -3.736521e-01, 5.640705e+01, -5.313724e-06, 1.056464e-05, 1.238807e-03, 8.272897e-04, -3.736331e-01, -5.640555e+01, -3.736312e-01, -8.088367e-04, 4.488387e-03, 4.529763e-06, 7.131385e-06, -1.393970e-03, 2.404568e-05, -1.882158e-05, -6.242466e-04, -1.553943e-05, -1.379127e-05, 7.982813e-04, -4.159160e-08, 1.537794e-07, 1.322604e-09
-1.644967e-01, 3.484500e-01, -1.016588e-03, -5.762353e-03, -1.016590e-03, -3.484216e-01, 5.365298e+01, -5.881477e-06, 8.726840e-06, 1.080253e-03, 1.037881e-03, -3.488465e-01, -5.365407e+01, -3.488413e-01, -1.018196e-03, 5.740920e-03, 3.136227e-06, 7.931858e-06, -9.322513e-04, 2.596757e-05, -1.561070e-05, -5.882452e-04, -1.255623e-05, -1.677836e-05, 5.832176e-04, 1.845406e-08, 1.678305e-07, 1.331498e-09
