mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-9.000000e-02, 7.322456e+05, 2.266098e+02, 4.813532e+02, 2.266098e+02, 7.338545e+05, 5.235018e+02, 4.813532e+02, 5.235018e+02, 1.612919e+05
-8.886792e-02, 7.257530e+05, -1.417520e+03, -7.080574e+02, -1.417520e+03, 7.248281e+05, 2.208590e+00, -7.080574e+02, 2.208590e+00, 1.571576e+05
-8.773585e-02, 7.162993e+05, -6.097025e+02, -5.591718e+02, -6.097025e+02, 7.168466e+05, -6.906561e-01, -5.591718e+02, -6.906561e-01, 1.540622e+05
-8.660377e-02, 7.078678e+05, 7.378292e+02, -5.158004e+02, 7.378292e+02, 7.082195e+05, -1.177629e+02, -5.158004e+02, -1.177629e+02, 1.508858e+05
-8.547170e-02, 6.989101e+05, 1.500460e+03, 2.979249e+01, 1.500460e+03, 6.995663e+05, 2.034126e+02, 2.979249e+01, 2.034126e+02, 1.478226e+05
-8.433962e-02, 6.902462e+05, -5.506051e+02, 3.820067e+01, -5.506051e+02, 6.911301e+05, -1.644278e+02, 3.820067e+01, -1.644278e+02, 1.445348e+05
-8.320755e-02, 6.806353e+05, -1.265512e+03, -8.331753e+01, -1.265512e+03, 6.829261e+05, -4.616899e+02, -8.331753e+01, -4.616899e+02, 1.417140e+05
-8.207547e-02, 6.739296e+05, 1.296490e+03, 6.032755e+02, 1.296490e+03, 6.725025e+05, 3.880963e+02, 6.032755e+02, 3.880963e+02, 1.385365e+05
-8.094340e-02, 6.642783e+05, -6.888946e+02, 4.645701e+02, -6.888946e+02, 6.633704e+05, 2.074417e+02, 4.645701e+02, 2.074417e+02, 1.361042e+05
-7.981132e-02, 6.568556e+05, 4.751408e+02, 2.445104e+01, 4.751408e+02, 6.538026e+05, 8.170447e+02, 2.445104e+01, 8.170447e+02, 1.326309e+05
-7.867925e-02, 6.455428e+05, 1.565673e+02, 7.451475e+02, 1.565673e+02, 6.465078e+05, 2.384285e+02, 7.451475e+02, 2.384285e+02, 1.302222e+05
-7.754717e-02, 6.371797e+05, -8.146657e+02, -2.819742e+02, -8.146657e+02, 6.372276e+05, 1.706454e+01, -2.819742e+02, 1.706454e+01, 1.270928e+05
-7.641509e-02, 6.295196e+05, -1.437505e+03, 3.697454e+02, -1.437505e+03, 6.265694e+05, -4.197495e+02, 3.697454e+02, -4.197495e+02, 1.243995e+05
-7.528302e-02, 6.189679e+05, -1.422864e+02, -8.906256e+02, -1.422864e+02, 6.187870e+05, 9.122198e+01, -8.906256e+02, 9.122198e+01, 1.216941e+05
-7.415094e-02, 6.088273e+05, -2.576927e+02, -1.158903e+02, -2.576927e+02, 6.115196e+05, 6.000880e+01, -1.158903e+02, 6.000880e+01, 1.185289e+05
-7.301887e-02, 6.016763e+05, -1.736979e+03, 3.107464e+02, -1.736979e+03, 5.998343e+05, -1.062683e+02, 3.107464e+02, -1.062683e+02, 1.161278e+05
-7.188679e-02, 5.914839e+05, -1.301584e+03, 4.750416e+00, -1.301584e+03, 5.917270e+05, 3.228846e+02, 4.750416e+00, 3.228846e+02, 1.133462e+05
-7.075472e-02, 5.831856e+05, -5.984717e+02, -9.872470e+02, -5.984717e+02, 5.819130e+05, -4.377289e+02, -9.872470e+02, -4.377289e+02, 1.104879e+05
-6.962264e-02, 5.712087e+05, 1.155977e+02, -4.852577e+02, 1.155977e+02, 5.757527e+05, -7.364515e+01, -4.852577e+02, -7.364515e+01, 1.076826e+05
-6.849057e-02, 5.628991e+05, 6.692910e+02, -4.183932e+02, 6.692910e+02, 5.645838e+05, 3.734307e+02, -4.183932e+02, 3.734307e+02, 1.055516e+05
-6.735849e-02, 5.544652e+05, 3.221803e+02, -5.648577e+02, 3.221803e+02, 5.551452e+05, -1.311311e+02, -5.648577e+02, -1.311311e+02, 1.026384e+05
-6.622642e-02, 5.465520e+05, 1.210687e+03, 5.325479e+02, 1.210687e+03, 5.446498e+05, -1.053976e+03, 5.325479e+02, -1.053976e+03, 9.997465e+04
-6.509434e-02, 5.357617e+05, 1.433147e+03, 4.131750e+02, 1.433147e+03, 5.365815e+05, -6.638396e+02, 4.131750e+02, -6.638396e+02, 9.759761e+04
-6.396226e-02, 5.271787e+05, 1.499235e+03, 4.134323e+02, 1.499235e+03, 5.259173e+05, -4.646074e+02, 4.134323e+02, -4.646074e+02, 9.541472e+04
-6.283019e-02, 5.180025e+05, -1.582129e+01, 9.490356e+02, -1.582129e+01, 5.173380e+05, 8.854091e+02, 9.490356e+02, 8.854091e+02, 9.243400e+04
-6.169811e-02, 5.083827e+05, 6.655811e+02, -3.648228e+02, 6.655811e+02, 5.072612e+05, 4.643776e+01, -3.648228e+02, 4.643776e+01, 9.048987e+04
-6.056604e-02, 5.005880e+05, 3.456228e+02, 6.849712e+02, 3.456228e+02, 4.971206e+05, 2.854600e+02, 6.849712e+02, 2.854600e+02, 8.771011e+04
-5.943396e-02, 4.881583e+05, -5.732519e+02, 2.676307e+02, -5.732519e+02, 4.902258e+05, 6.316698e+01, 2.676307e+02, 6.316698e+01, 8.559169e+04
-5.830189e-02, 4.786429e+05, 2.099836e+01, 9.634738e+02, 2.099836e+01, 4.801281e+05, -3.208256e+02, 9.634738e+02, -3.208256e+02, 8.363323e+04
-5.716981e-02, 4.702236e+05, -9.815455e+01, 4.764855e+02, -9.815455e+01, 4.703081e+05, 2.442720e+01, 4.764855e+02, 2.442720e+01, 8.107338e+04
-5.603774e-02, 4.601101e+05, 1.307006e+03, -2.447377e+02, 1.307006e+03, 4.611456e+05, -3.209958e+02, -2.447377e+02, -3.209958e+02, 7.897138e+04
-5.490566e-02, 4.507517e+05, 4.470305e+02, 2.211514e+02, 4.470305e+02, 4.526076e+05, -5.331452e+01, 2.211514e+02, -5.331452e+01, 7.630012e+04
-5.377358e-02, 4.409106e+05, -1.066927e+03, 4.554575e+02, -1.066927e+03, 4.431136e+05, -5.826368e+02, 4.554575e+02, -5.826368e+02, 7.430657e+04
-5.264151e-02, 4.313658e+05, -1.523704e+02, -6.658486e+02, -1.523704e+02, 4.333990e+05, -3.436732e+02, -6.658486e+02, -3.436732e+02, 7.231470e+04
-5.150943e-02, 4.228439e+05, 3.572091e+02, -1.493972e+02, 3.572091e+02, 4.229754e+05, 8.112210e+02, -1.493972e+02, 8.112210e+02, 7.020521e+04
-5.037736e-02, 4.123448e+05, 4.052984e+02, 5.057592e+01, 4.052984e+02, 4.140171e+05, 1.516173e+02, 5.057592e+01, 1.516173e+02, 6.840338e+04
-4.924528e-02, 4.040792e+05, 3.957533e+02, 2.613765e+02, 3.957533e+02, 4.036423e+05, -7.107312e+02, 2.613765e+02, -7.107312e+02, 6.624482e+04
-4.811321e-02, 3.945472e+05, -2.661935e+00, -1.943878e+02, -2.661935e+00, 3.944937e+05, -3.108564e+02, -1.943878e+02, -3.108564e+02, 6.428856e+04
-4.698113e-02, 3.856235e+05, 7.509587e+01, -2.548206e+02, 7.509587e+01, 3.851775e+05, -3.049576e+01, -2.548206e+02, -3.049576e+01, 6.223953e+04
-4.584906e-02, 3.762482e+05, -1.899594e+02, -1.205234e+02, -1.899594e+02, 3.755937e+05, 4.718664e+01, -1.205234e+02, 4.718664e+01, 6.032762e+04
-4.471698e-02, 3.664600e+05, 2.143229e+02, 1.059820e+02, 2.143229e+02, 3.668768e+05, -1.151159e+02, 1.059820e+02, -1.151159e+02, 5.824662e+04
-4.358491e-02, 3.571665e+05, 2.944530e+02, 2.223214e+00, 2.944530e+02, 3.571666e+05, -9.725492e+01, 2.223214e+00, -9.725492e+01, 5.644684e+04
-4.245283e-02, 3.477254e+05, 1.148009e+02, 1.617605e+01, 1.148009e+02, 3.478642e+05, 1.850579e+02, 1.617605e+01, 1.850579e+02, 5.457461e+04
-4.132075e-02, 3.384623e+05, -1.882533e+02, -9.964599e+01, -1.882533e+02, 3.384734e+05, 2.082642e+00, -9.964599e+01, 2.082642e+00, 5.270461e+04
-4.018868e-02, 3.291273e+05, -1.759705e+02, 5.341536e+01, -1.759705e+02, 3.291193e+05, 3.842691e+01, 5.341536e+01, 3.842691e+01, 5.089873e+04
-3.905660e-02, 3.199613e+05, -1.826400e+02, -5.136544e+01, -1.826400e+02, 3.198253e+05, 2.543458e+00, -5.136544e+01, 2.543458e+00, 4.905654e+04
-3.792453e-02, 3.105295e+05, 5.121457e+02, -5.013454e+01, 5.121457e+02, 3.106733e+05, -1.270576e+01, -5.013454e+01, -1.270576e+01, 4.731409e+04
-3.679245e-02, 3.011509e+05, 1.068760e+01, -3.824503e+00, 1.068760e+01, 3.012727e+05, 2.202106e+02, -3.824503e+00, 2.202106e+02, 4.572635e+04
-3.566038e-02, 2.919467e+05, -4.553710e+01, 1.518165e+02, -4.553710e+01, 2.924678e+05, -2.051638e+02, 1.518165e+02, -2.051638e+02, 4.385043e+04
-3.452830e-02, 2.829300e+05, -3.853424e+02, 5.143093e+01, -3.853424e+02, 2.829932e+05, 1.355375e+01, 5.143093e+01, 1.355375e+01, 4.225917e+04
-3.339623e-02, 2.739843e+05, -1.919720e+01, -3.546971e+01, -1.919720e+01, 2.738493e+05, 1.127384e+02, -3.546971e+01, 1.127384e+02, 4.054836e+04
-3.226415e-02, 2.647168e+05, -2.992969e+02, -1.121017e+02, -2.992969e+02, 2.647442e+05, 2.329751e+01, -1.121017e+02, 2.329751e+01, 3.902136e+04
-3.113208e-02, 2.555899e+05, 9.426897e+01, -2.182795e+02, 9.426897e+01, 2.557325e+05, 9.833895e+01, -2.182795e+02, 9.833895e+01, 3.746808e+04
-3.000000e-02, 2.468732e+05, 3.436467e+02, 2.439311e+02, 3.436467e+02, 2.469615e+05, -8.235931e+01, 2.439311e+02, -8.235931e+01, 3.571599e+04
-2.886792e-02, 2.373817e+05, 1.850438e+01, -1.414615e+01, 1.850438e+01, 2.381296e+05, -4.815483e+01, -1.414615e+01, -4.815483e+01, 3.438799e+04
-2.773585e-02, 2.291788e+05, -1.342607e+02, 2.031643e+01, -1.342607e+02, 2.289611e+05, -1.204734e+01, 2.031643e+01, -1.204734e+01, 3.274581e+04
-2.660377e-02, 2.205293e+05, -1.397268e+02, 1.360238e+01, -1.397268e+02, 2.199065e+05, -5.321565e+01, 1.360238e+01, -5.321565e+01, 3.130027e+04
-2.547170e-02, 2.116050e+05, -2.037852e+02, -1.290594e+01, -2.037852e+02, 2.117037e+05, -2.107982e+02, -1.290594e+01, -2.107982e+02, 2.972259e+04
-2.433962e-02, 2.030465e+05, 1.252019e+02, -7.765036e+01, 1.252019e+02, 2.027037e+05, 1.976683e+02, -7.765036e+01, 1.976683e+02, 2.839032e+04
-2.320755e-02, 1.941278e+05, -2.936214e+02, 3.351808e+01, -2.936214e+02, 1.942578e+05, 6.877652e+01, 3.351808e+01, 6.877652e+01, 2.706212e+04
-2.207547e-02, 1.858336e+05, -7.053727e+01, -1.661967e+01, -7.053727e+01, 1.855965e+05, 1.774471e+02, -1.661967e+01, 1.774471e+02, 2.566731e+04
-2.094340e-02, 1.771890e+05, 3.572575e+01, -7.492126e+01, 3.572575e+01, 1.773871e+05, 1.242817e+02, -7.492126e+01, 1.242817e+02, 2.433004e+04
-1.981132e-02, 1.688396e+05, -1.882358e+02, -8.898991e+01, -1.882358e+02, 1.688661e+05, -2.562341e+01, -8.898991e+01, -2.562341e+01, 2.308122e+04
