mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-9.000000e-02, -1.206314e+06, -9.495522e+04, 5.074901e+05, 1.534554e+04, 7.933229e+05, -2.578178e+07, -1.180377e+04, 1.930730e+05, 2.428259e+05, -8.695759e+04, 1.052671e+06, 2.634465e+07, 1.066041e+06, -1.230349e+05, -4.919620e+05, -1.426855e+05, 9.777416e+03, 1.496570e+05, 3.190995e+04, 3.477915e+05, -8.671994e+04, -4.785792e+05, -3.951245e+04, -1.425583e+05, -2.034449e+03, 4.062714e+04, 3.428928e+03
-8.886792e-02, -9.943457e+05, -1.926947e+04, 1.505999e+05, -1.607666e+04, 1.195747e+06, -2.484224e+07, -1.252939e+04, 1.647248e+05, -1.306135e+05, -8.456709e+04, 1.074678e+06, 2.428061e+07, 1.119321e+06, -3.865227e+04, -1.202476e+05, -1.584063e+05, 5.476881e+03, 7.670293e+04, -1.579320e+04, 4.070861e+05, 9.639898e+04, -4.037747e+05, 1.718247e+03, -1.687229e+04, -1.652756e+04, 1.450989e+04, 6.211927e+03
-8.773585e-02, -9.325660e+05, 3.764440e+04, -2.485049e+04, 5.165314e+03, 1.088150e+06, -2.557965e+07, 7.769202e+03, 1.342444e+05, -8.369174e+04, -1.395679e+05, 9.833573e+05, 2.574147e+07, 9.301786e+05, -6.565616e+04, 3.534978e+04, -1.596362e+05, -9.921652e+03, 1.187818e+05, -6.018531e+04, 4.365597e+05, -1.951514e+04, -3.243550e+05, 5.483162e+04, -2.097773e+04, 9.426279e+03, -4.853077e+03, 2.382405e+03
-8.660377e-02, -8.567291e+05, -1.046072e+03, -1.955441e+05, -4.596060e+03, 9.377576e+05, -2.599380e+07, -1.526374e+03, 1.281021e+05, -5.453869e+04, 7.507008e+04, 8.941846e+05, 2.573474e+07, 9.198590e+05, 7.175744e+04, 1.963689e+05, -1.302335e+05, 1.484090e+03, -8.641621e+04, 8.864897e+03, 3.688609e+05, 4.455411e+04, -3.733559e+05, -9.271489e+03, 3.677939e+03, -8.876786e+03, -8.754440e+03, 1.704882e+02
-8.547170e-02, -8.756383e+05, 4.855789e+04, -1.046184e+05, 1.013111e+04, 9.829992e+05, -2.468402e+07, 1.670079e+04, 1.276662e+05, -6.969901e+04, -2.008056e+04, 9.196951e+05, 2.445964e+07, 9.364051e+05, 9.463486e+03, 9.576932e+04, -1.219061e+05, -1.469713e+04, -5.351473e+03, -2.380498e+04, 3.829056e+05, 3.661062e+04, -3.694328e+05, 2.876169e+04, 2.418043e+04, -1.069102e+04, -2.392195e+04, -2.202372e+03
-8.433962e-02, -8.790405e+05, 4.761100e+04, -4.164103e+05, -1.875121e+04, 9.944232e+05, -2.434206e+07, 1.146855e+04, 1.209753e+05, -7.491127e+04, 1.294856e+05, 9.230997e+05, 2.397098e+07, 9.539683e+05, 1.442138e+05, 4.173605e+05, -1.236143e+05, -1.036452e+04, -1.822997e+05, -3.215285e+03, 3.598147e+05, 6.268046e+04, -3.623772e+05, 5.414676e+03, 1.292038e+05, -7.560020e+03, -3.456134e+04, -8.959231e+02
-8.320755e-02, -8.991606e+05, -1.144242e+04, 7.339968e+04, 6.326518e+03, 7.024208e+05, -2.533998e+07, 9.102258e+02, 1.201848e+05, 1.124900e+05, -2.528513e+04, 8.350507e+05, 2.534567e+07, 8.706107e+05, -2.543381e+04, -6.901275e+04, -9.781908e+04, -1.345568e+03, 3.456682e+04, -8.230536e+02, 2.977223e+05, -2.540493e+04, -4.008010e+05, -1.193372e+02, -3.007780e+04, -6.695572e+03, 4.462488e+03, 4.520784e+02
-8.207547e-02, -1.133356e+06, 1.404139e+04, -7.094153e+04, -3.745847e+03, 6.306241e+05, -2.316588e+07, 3.113040e+03, 1.031369e+05, 3.150349e+05, 2.089133e+04, 9.097143e+05, 2.455187e+07, 8.412574e+05, 1.261364e+04, 6.725766e+04, -9.717985e+04, -2.077917e+03, -2.427066e+04, -2.933044e+03, 3.299576e+05, -1.469555e+05, -3.618264e+05, 5.999427e+03, 3.521901e+04, 3.792315e+04, -3.461160e+03, -1.348356e+03
-8.094340e-02, -9.817484e+05, 7.569751e+04, -3.407587e+05, -2.337903e+03, 8.775369e+05, -2.241397e+07, 1.814522e+04, 9.427735e+04, 6.351174e+04, -2.484493e+04, 9.504992e+05, 2.251954e+07, 9.513212e+05, 3.403921e+04, 3.388853e+05, -8.677628e+04, -1.678288e+04, -2.250508e+04, -5.633081e+04, 3.363192e+05, -3.695541e+04, -3.718822e+05, 5.867451e+04, 7.440678e+04, -9.782136e+02, -2.876481e+04, -1.004321e+03
-7.981132e-02, -7.466232e+05, -4.797051e+03, -2.284596e+05, -1.906855e+04, 8.313152e+05, -2.388384e+07, -9.508449e+03, 9.619489e+04, -5.897638e+04, 1.748415e+05, 7.953968e+05, 2.353673e+07, 8.230886e+05, 1.223002e+05, 2.194597e+05, -7.765811e+04, 1.141133e+04, -1.807702e+05, 4.261623e+04, 3.177886e+05, 3.837078e+04, -3.377975e+05, -3.778505e+04, 7.880564e+04, -1.828762e+04, -5.602273e+03, -2.167120e+03
