mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -2.278481e+01, -9.047855e+02, 5.782612e+02, 1.592717e+04, -2.728945e+04, -1.081937e+03, 3.162788e+01, 3.209019e+02, -1.607694e+02, -1.472034e+04, 2.752986e+04, 7.246142e+02, -3.442330e+02, -3.061550e+02, -4.526281e+02, -6.487853e+01, -8.507807e+02, 4.419537e+02, -2.287439e+01, -3.362060e+02, 4.927201e+01, 5.520229e+01, 9.394450e+02, -2.004700e+02, 3.216967e+01, -1.492182e+02, 2.426199e+02
-9.874214e-02, -1.546348e+01, -8.941044e+02, 5.542633e+02, 1.568547e+04, -2.691607e+04, -1.125976e+03, 2.567334e+01, 3.130706e+02, -1.474238e+02, -1.449550e+04, 2.715031e+04, 7.746223e+02, -3.505939e+02, -3.084115e+02, -4.377515e+02, -6.676898e+01, -8.313531e+02, 4.279178e+02, -1.879961e+01, -3.278472e+02, 4.415793e+01, 5.402037e+01, 9.123864e+02, -1.956813e+02, 3.104789e+01, -1.446579e+02, 2.341708e+02
-9.748428e-02, -1.304919e+01, -8.777980e+02, 5.392865e+02, 1.544383e+04, -2.653763e+04, -1.171187e+03, 2.264634e+01, 3.095159e+02, -1.432547e+02, -1.428146e+04, 2.676309e+04, 8.268133e+02, -3.440119e+02, -3.042793e+02, -4.292173e+02, -6.332799e+01, -8.150090e+02, 4.116333e+02, -1.677925e+01, -3.183548e+02, 4.271529e+01, 5.123702e+01, 8.881438e+02, -1.893025e+02, 2.999001e+01, -1.399757e+02, 2.264676e+02
-9.622642e-02, -1.478917e+01, -8.641250e+02, 5.206414e+02, 1.523550e+04, -2.616071e+04, -1.213319e+03, 2.254870e+01, 3.035186e+02, -1.416579e+02, -1.407635e+04, 2.638042e+04, 8.770316e+02, -3.326784e+02, -2.973226e+02, -4.180645e+02, -6.170596e+01, -7.966128e+02, 3.937315e+02, -1.978073e+01, -3.086248e+02, 4.533030e+01, 5.283146e+01, 8.626390e+02, -1.832319e+02, 2.895519e+01, -1.352826e+02, 2.190169e+02
-9.496855e-02, -1.445664e+01, -8.445181e+02, 5.029541e+02, 1.499609e+04, -2.579469e+04, -1.251134e+03, 2.169055e+01, 2.970815e+02, -1.340526e+02, -1.386945e+04, 2.601123e+04, 9.382170e+02, -3.341795e+02, -2.902883e+02, -4.089006e+02, -5.817060e+01, -7.828422e+02, 3.836677e+02, -1.466596e+01, -3.018992e+02, 3.903284e+01, 4.829380e+01, 8.425726e+02, -1.770044e+02, 2.812087e+01, -1.308310e+02, 2.122070e+02
-9.371069e-02, -1.509777e+01, -8.223554e+02, 4.868176e+02, 1.476866e+04, -2.541242e+04, -1.292921e+03, 2.289212e+01, 2.907408e+02, -1.312102e+02, -1.366684e+04, 2.561891e+04, 9.906465e+02, -3.251479e+02, -2.843325e+02, -3.977831e+02, -5.586799e+01, -7.673391e+02, 3.721671e+02, -1.505397e+01, -2.934075e+02, 3.840986e+01, 4.701412e+01, 8.207575e+02, -1.718336e+02, 2.719818e+01, -1.263930e+02, 2.054035e+02
-9.245283e-02, -9.250783e+00, -8.065604e+02, 4.706716e+02, 1.454691e+04, -2.505722e+04, -1.337209e+03, 1.884021e+01, 2.823504e+02, -1.198035e+02, -1.346594e+04, 2.525717e+04, 1.037451e+03, -3.274747e+02, -2.841704e+02, -3.857239e+02, -5.847831e+01, -7.487780e+02, 3.595787e+02, -1.279951e+01, -2.852620e+02, 3.557899e+01, 4.557684e+01, 7.973854e+02, -1.677857e+02, 2.632429e+01, -1.226538e+02, 1.984431e+02
-9.119497e-02, -1.650791e+01, -7.885406e+02, 4.509301e+02, 1.434846e+04, -2.469957e+04, -1.372293e+03, 2.315959e+01, 2.775645e+02, -1.233321e+02, -1.327912e+04, 2.489612e+04, 1.092537e+03, -3.142019e+02, -2.739377e+02, -3.754006e+02, -5.263487e+01, -7.347599e+02, 3.459081e+02, -1.615153e+01, -2.778999e+02, 3.667683e+01, 4.444380e+01, 7.772732e+02, -1.595046e+02, 2.549728e+01, -1.182800e+02, 1.923550e+02
-8.993711e-02, -1.452454e+01, -7.701513e+02, 4.324618e+02, 1.414468e+04, -2.435528e+04, -1.409271e+03, 2.584633e+01, 2.685911e+02, -1.177709e+02, -1.309076e+04, 2.453865e+04, 1.141316e+03, -3.125154e+02, -2.701275e+02, -3.649311e+02, -5.419224e+01, -7.179868e+02, 3.384668e+02, -1.766108e+01, -2.684647e+02, 3.627780e+01, 4.520596e+01, 7.565718e+02, -1.564945e+02, 2.459429e+01, -1.142858e+02, 1.861905e+02
-8.867925e-02, -1.390697e+01, -7.584241e+02, 4.186709e+02, 1.393249e+04, -2.400622e+04, -1.453004e+03, 1.932247e+01, 2.631953e+02, -1.085168e+02, -1.290043e+04, 2.420010e+04, 1.186551e+03, -3.066117e+02, -2.670652e+02, -3.527446e+02, -5.167147e+01, -7.018931e+02, 3.208470e+02, -1.475242e+01, -2.636094e+02, 3.258753e+01, 4.250456e+01, 7.336792e+02, -1.486832e+02, 2.379772e+01, -1.108460e+02, 1.795506e+02
