mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -5.652296e+03, -2.714266e+04, 1.102342e+04, 2.384405e+05, -3.435984e+05, -1.667404e+04, 1.721832e+03, 8.213137e+03, -9.462028e+03, -1.995189e+05, 3.556155e+05, 1.252372e+04, -2.387342e+03, 1.166540e+03, -1.451435e+04, 1.439854e+03, -1.688054e+04, 7.641208e+03, -2.250052e+03, -7.554090e+03, 3.587941e+03, 1.544138e+03, 2.117207e+04, -3.809022e+03, 8.594465e+02, -3.921088e+03, 6.511368e+03
-9.874214e-02, -2.714160e+03, -1.758993e+04, 1.357976e+04, 2.236416e+05, -3.057043e+05, -2.560711e+04, 1.563697e+03, 5.662405e+03, -6.349539e+03, -1.914074e+05, 3.102965e+05, 4.965102e+03, -1.867976e+03, -4.541476e+03, -9.977842e+03, -3.339703e+03, -1.256080e+04, 6.582193e+03, -5.834374e+03, -7.849932e+03, 5.141070e+03, 3.425638e+03, 1.735034e+04, -5.004219e+03, 8.670744e+02, -4.258285e+03, 5.987340e+03
-9.748428e-02, 2.306946e+03, -2.129091e+04, 1.316473e+04, 2.006098e+05, -3.152839e+05, -2.407972e+04, -3.982961e+03, 6.916040e+03, -6.759699e+02, -1.789380e+05, 3.230049e+05, 1.112612e+04, -1.434481e+04, -5.064867e+03, -1.026968e+04, -2.892389e+03, -1.456506e+04, 9.355561e+03, 3.026842e+03, -9.211778e+03, -5.984909e+02, -4.132669e+02, 1.843667e+04, -5.618973e+03, 9.774906e+02, -4.004009e+03, 5.770804e+03
-9.622642e-02, 4.214039e+03, -2.175884e+04, 1.421595e+04, 1.940122e+05, -3.152731e+05, -2.094791e+04, -2.413136e+03, 9.285296e+03, -5.687090e+03, -1.752577e+05, 3.137440e+05, 1.292521e+04, -1.040624e+04, -2.588145e+03, -1.552847e+04, -1.744694e+03, -1.562658e+04, 1.116789e+04, 2.969677e+03, -5.585518e+03, 1.053640e+03, 6.783219e+02, 2.014487e+04, -7.162861e+03, 8.029811e+02, -3.844365e+03, 5.948029e+03
-9.496855e-02, 1.039670e+03, -1.214798e+04, 1.482567e+04, 1.723368e+05, -2.736550e+05, -2.457664e+04, -4.257379e+03, 6.608330e+03, 1.449925e+03, -1.690369e+05, 2.880055e+05, 1.512309e+04, -6.076133e+03, -4.096295e+03, -8.721782e+03, -6.973162e+02, -1.648117e+04, 9.098141e+03, 4.280915e+03, -1.005267e+04, -3.763117e+03, -1.121995e+03, 2.038789e+04, -2.478882e+03, 8.254589e+02, -3.891450e+03, 5.691236e+03
-9.371069e-02, 2.712700e+01, -2.044536e+04, 8.217076e+03, 2.093434e+05, -3.066694e+05, -2.178599e+04, 1.466897e+03, 3.983255e+03, -3.534201e+03, -1.784551e+05, 3.120512e+05, 1.134431e+04, -1.101505e+04, -6.150247e+03, -9.053237e+03, -3.905280e+03, -1.334312e+04, 9.609523e+03, -2.703610e+03, -6.048915e+03, 2.567759e+03, 1.575076e+03, 1.733713e+04, -5.089483e+03, 7.771044e+02, -3.701100e+03, 5.283312e+03
-9.245283e-02, -6.396397e+03, -5.138995e+03, 1.642643e+04, 1.789089e+05, -2.599376e+05, -1.841376e+04, 4.911945e+03, 8.449125e+03, -1.018629e+04, -1.743709e+05, 2.654335e+05, 1.635849e+04, 8.333367e+03, 4.751451e+03, -1.244199e+04, 3.723648e+03, -1.918955e+04, 1.091650e+04, -2.629955e+03, -7.822592e+03, 1.985238e+03, 1.641739e+03, 2.270375e+04, -1.926177e+03, 7.472941e+02, -3.021277e+03, 6.282552e+03
-9.119497e-02, -5.718115e+03, -1.191491e+04, 1.283050e+04, 2.046470e+05, -2.893063e+05, -1.754609e+04, 6.947757e+03, 5.775422e+03, -1.069643e+04, -1.799169e+05, 2.884120e+05, 1.428956e+04, 1.346340e+03, 2.337465e+03, -1.256379e+04, 3.158364e+02, -1.626820e+04, 1.069065e+04, -5.122626e+03, -5.064766e+03, 5.538621e+03, 1.914080e+03, 2.045066e+04, -4.356972e+03, 7.741673e+02, -2.874224e+03, 5.850127e+03
-8.993711e-02, 3.710286e+02, -2.109415e+04, 1.360071e+04, 1.837022e+05, -2.900089e+05, -2.355043e+04, -2.570267e+03, 8.682510e+03, -3.675553e+03, -1.653359e+05, 2.969389e+05, 1.022220e+04, -3.122133e+03, -2.755692e+03, -1.349124e+04, 5.947439e+02, -1.464441e+04, 5.825002e+03, 9.869498e+02, -6.683057e+03, 7.645628e+02, 5.963491e+02, 1.735363e+04, -3.450684e+03, 6.224582e+02, -3.204522e+03, 4.942240e+03
-8.867925e-02, -3.059725e+02, -2.197924e+04, 4.668949e+03, 2.080600e+05, -2.971123e+05, -2.225033e+04, 2.614882e+03, 4.012452e+03, -4.929013e+03, -1.687045e+05, 2.956068e+05, 8.433041e+03, -9.841531e+03, -5.728275e+03, -7.704019e+03, -4.197720e+03, -1.195463e+04, 9.508028e+03, -4.331189e+03, -4.987467e+03, 4.875637e+03, 3.110358e+03, 1.519309e+04, -5.418847e+03, 6.366041e+02, -2.908757e+03, 4.828972e+03
