mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 1.876097e-08, -1.711529e-08, 4.724286e-08, -3.017690e-08, -4.256704e-08, 1.710321e-07, -5.314563e-10, -5.197415e-09, -9.306529e-09, 7.414912e-09, 4.998732e-09, -2.187835e-07, 3.515475e-09, -2.851149e-09, -3.108545e-08, -1.126492e-09, -5.520333e-09, -5.761928e-09, -5.747375e-10, -4.300210e-09, 1.458975e-09, -4.223095e-09, 1.047311e-09, -1.916902e-08, 3.853647e-10, -6.957965e-10, -1.626907e-09
-9.874214e-02, -4.854981e-09, -3.872416e-09, -3.060524e-09, -3.311913e-08, -5.156617e-09, 2.622605e-08, -1.664053e-09, 2.023081e-09, -1.559073e-08, 1.203703e-08, 1.042275e-08, 5.292725e-08, -2.735321e-09, -2.629020e-08, -4.628176e-08, -3.054629e-09, -1.130763e-09, 6.646392e-10, -2.302717e-09, -4.937548e-09, -4.810523e-09, -8.581225e-09, 2.208948e-09, -1.322699e-08, 1.309582e-10, 2.626986e-11, -9.314394e-11
-9.748428e-02, 1.845845e-08, 6.104025e-09, 2.547539e-08, -1.241186e-08, -1.710673e-08, 2.188586e-07, -4.849834e-09, 9.175866e-10, -1.775955e-08, 7.247190e-09, 1.230727e-08, -1.669873e-07, 2.402233e-09, -1.126555e-08, -9.847179e-09, -5.227465e-09, -4.670803e-09, -3.976712e-09, 3.460832e-09, -4.394749e-09, 6.378770e-09, -5.048875e-09, -4.100563e-09, 1.491358e-09, -8.587414e-10, -3.455991e-10, -6.093908e-10
-9.622642e-02, -5.703356e-09, 8.501452e-09, 2.208339e-08, -3.575641e-09, -9.813821e-09, 8.741878e-08, -2.439855e-09, 2.468255e-10, -1.150223e-08, -9.805787e-09, -8.646062e-09, -1.022214e-07, -2.007397e-08, 1.604018e-08, -1.754428e-08, -8.647458e-10, -1.237018e-09, -1.109857e-08, 1.247134e-09, -4.576677e-09, 1.281007e-08, -4.653095e-09, -3.184931e-10, 3.174309e-09, -3.191137e-10, -8.384331e-10, -3.896347e-10
-9.496855e-02, -2.997340e-08, 3.109979e-08, 2.698619e-08, 1.768489e-08, 2.042769e-08, 5.846059e-08, -9.665154e-10, -3.089600e-10, -1.198261e-08, -5.302170e-09, 8.715916e-09, -6.914287e-08, -6.294816e-09, -1.392768e-08, -4.939468e-08, -3.811112e-09, -3.772458e-09, 9.447033e-09, 1.385391e-09, -1.675696e-09, -6.220280e-09, -8.174634e-10, -1.523663e-09, -1.761366e-08, 2.006636e-09, 2.096104e-09, 1.995171e-10
-9.371069e-02, 9.665618e-09, -2.316045e-09, 3.991227e-08, -2.233854e-08, -3.655580e-08, -1.083297e-07, -1.755071e-09, 8.438901e-11, -6.198531e-09, 1.343406e-08, 1.620160e-08, 1.141197e-07, 3.985583e-09, -4.358600e-09, -7.613501e-08, -2.442195e-09, -1.463772e-10, -1.286133e-08, -1.864883e-09, -5.391121e-09, 3.244820e-09, -8.740565e-09, 2.197242e-09, 4.578010e-09, 2.055978e-10, -3.324122e-10, -8.915046e-10
-9.245283e-02, 1.062741e-09, 6.710679e-09, 4.954798e-08, -5.816387e-09, 1.951011e-11, 5.692705e-08, 9.766179e-11, 2.680794e-09, -8.098334e-09, 6.145603e-09, 1.755270e-08, -8.717973e-08, -1.652905e-09, -4.957973e-09, -5.496664e-08, -3.626699e-09, -2.314448e-09, 4.909541e-09, 1.168557e-10, -1.844485e-09, 3.876380e-09, -2.499969e-09, -8.346916e-10, -5.507201e-09, 2.325744e-10, 1.117894e-10, -1.456614e-09
-9.119497e-02, 3.316651e-09, -7.422369e-09, 4.073268e-08, 2.309618e-09, -1.460439e-08, -1.745203e-07, 1.086163e-09, 4.771378e-10, 7.296989e-09, 6.844037e-09, 2.446474e-08, 1.741028e-07, 1.370673e-08, -1.532265e-08, -7.898456e-08, -4.058240e-09, 2.233358e-11, 5.121799e-10, 2.556907e-09, 9.858017e-10, -1.398676e-08, -5.820409e-09, -4.099142e-09, -6.786599e-09, 5.548293e-10, 2.534156e-09, -3.625383e-10
-8.993711e-02, -1.859875e-08, 1.517536e-08, -2.977134e-08, 1.169790e-08, -5.781744e-09, 1.991800e-07, 1.522151e-09, 2.882789e-09, 2.546331e-09, 4.008924e-08, -5.026582e-09, -1.525622e-07, -1.406995e-08, -4.381520e-08, -5.759363e-08, -2.556833e-09, 2.130535e-10, -3.602830e-09, 1.717983e-09, -9.373633e-09, 1.414947e-10, -5.974904e-09, -6.001743e-10, 3.264950e-09, -1.502308e-10, -6.244743e-10, -1.379398e-09
-8.867925e-02, -8.190182e-09, 8.647786e-09, -6.214181e-08, 8.027958e-09, -1.010106e-08, -1.186543e-07, -3.271340e-10, 1.577445e-09, -6.478396e-09, 3.687370e-08, 1.861440e-08, 3.129058e-08, -1.473690e-10, -1.710537e-08, 1.660133e-09, -2.497347e-09, -1.933199e-09, -4.850058e-09, 9.884821e-10, -5.122798e-09, 1.272767e-08, -8.179391e-09, -2.084396e-09, -4.763394e-09, -3.679980e-10, -5.032327e-10, 9.201743e-10
