mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -1.641816e-10, -1.752416e-10, -2.593366e-10, -1.055924e-11, -9.067079e-11, -1.954783e-10, 4.739514e-11, -9.078263e-11, -2.473673e-11, 6.668408e-11, 1.661628e-10, -8.515357e-10, 2.783754e-10, 3.033389e-10, 5.063570e-11, 9.159952e-12, 1.117118e-10, 4.635595e-11, 5.861947e-11, -6.238464e-11, -7.352950e-11, 6.178848e-11, -2.822509e-11, 1.209285e-10, 3.645921e-11, -3.752240e-11, -3.529026e-11
-7.899371e-02, -4.312907e-10, 2.745444e-10, 3.875300e-10, 2.120937e-10, 9.739921e-11, 4.979029e-10, -9.134811e-11, -1.113339e-10, -5.961417e-11, 2.149169e-10, -1.499430e-11, -8.846417e-10, -1.591882e-11, -1.873696e-10, 1.593346e-11, 1.163673e-10, 6.631969e-11, -1.552157e-12, 2.201067e-11, -1.313636e-10, -5.992854e-11, 3.446489e-11, 2.086706e-11, -4.232509e-11, 4.348984e-11, -1.012211e-11, -4.134354e-12
-7.798742e-02, -4.520876e-10, -1.316871e-11, -8.654633e-11, -1.055643e-10, -5.118007e-11, 8.569625e-11, 3.222476e-11, -3.717428e-11, -3.768115e-11, 3.769912e-10, 8.432847e-11, -5.787193e-10, 2.018350e-11, -1.178733e-11, 1.659744e-10, 5.708789e-11, -1.682233e-11, 2.150558e-11, 1.043066e-11, -3.571827e-11, 4.667795e-11, 3.136462e-11, 2.724738e-11, -7.942182e-11, -5.847980e-13, 1.438599e-11, -1.981331e-11
-7.698113e-02, -4.500742e-10, 1.754131e-10, 7.323298e-11, 1.825927e-10, -4.654356e-11, 2.564669e-10, -1.001677e-10, -6.776917e-11, -2.497554e-11, 2.104419e-10, 7.197241e-11, -5.408399e-10, 4.038646e-11, -7.575438e-11, 1.588042e-10, 5.076622e-11, 1.951362e-12, 6.757255e-12, -2.077224e-12, -5.648679e-12, 4.055379e-11, 4.576527e-11, -7.632712e-12, 8.785461e-12, -8.420193e-12, -1.610175e-11, -1.264945e-11
-7.597484e-02, -4.058947e-10, 2.234428e-11, 1.678995e-10, 2.032379e-10, 7.547862e-11, -7.735048e-11, -6.364820e-11, 1.415233e-11, -6.321148e-13, 3.504532e-10, -1.578282e-11, -1.060069e-09, 6.339753e-11, -1.050163e-10, 1.116176e-10, 1.535628e-10, 7.192204e-12, -8.769322e-12, 1.767299e-11, -5.258887e-11, -9.874503e-12, 8.583270e-11, 5.199174e-11, 8.191530e-11, 1.854021e-12, -9.528627e-12, -1.231782e-12
-7.496855e-02, -3.749064e-10, 7.906565e-11, -1.707594e-10, 3.651561e-11, -9.635754e-11, 4.896585e-10, 7.622591e-12, -1.080769e-10, -2.790570e-11, 2.668652e-10, 8.558161e-11, -7.113869e-10, 1.369864e-10, -8.980727e-12, 3.150319e-10, 8.185622e-11, 1.011192e-12, 1.468269e-11, 2.165482e-11, -7.682049e-11, -4.216090e-11, 8.296850e-11, 2.646328e-11, -3.518825e-11, 1.106935e-11, 1.058211e-12, 5.968605e-12
-7.396226e-02, -3.144607e-10, -1.281992e-10, -4.490929e-11, -1.467378e-11, 5.163737e-12, -2.014094e-10, 3.641312e-11, -3.053282e-11, -5.410043e-11, -1.138475e-11, 9.662087e-11, -1.049608e-10, 1.669818e-10, 1.464902e-10, -9.241469e-11, -2.832624e-11, 1.249850e-10, 3.259751e-12, 1.356602e-13, -3.222396e-11, -4.258647e-11, -4.268398e-12, 2.667935e-11, 3.286644e-11, 3.278110e-11, -1.643344e-11, -3.430690e-11
-7.295597e-02, -3.082014e-10, 2.778096e-10, 6.984878e-11, 1.260157e-10, -4.055243e-11, -2.669488e-12, -5.191670e-11, -6.610157e-11, 7.644018e-12, 2.367632e-10, 9.959579e-11, -4.083881e-10, 1.253679e-10, -1.216864e-10, 2.751162e-10, 6.303417e-12, 3.980000e-12, 2.716492e-11, 6.160398e-11, -1.008939e-11, 4.727789e-12, 1.136535e-10, 2.561737e-12, -6.654910e-11, -7.196367e-12, -1.252634e-11, 1.377308e-11
-7.194969e-02, -2.551581e-10, 9.893261e-11, 1.837188e-10, 9.076973e-11, 4.473941e-11, -1.012997e-10, -9.466435e-11, -3.432217e-11, -2.083074e-11, 2.200347e-10, 2.411903e-11, -7.618487e-10, 1.489201e-10, -6.435970e-11, -3.641034e-11, 7.444900e-11, -1.341276e-11, 1.453401e-11, 1.377331e-12, -4.296004e-11, -4.948227e-11, 6.471212e-11, -1.954702e-11, -2.443268e-11, 2.047628e-11, -9.352616e-12, 3.294568e-13
-7.094340e-02, -2.199481e-10, 5.315746e-11, 1.147806e-10, 1.161446e-10, 3.001912e-11, 1.635695e-10, -6.207991e-11, -9.252161e-11, -4.068596e-11, 2.892432e-10, 1.333256e-10, -2.733692e-10, 1.118692e-10, -1.048620e-10, 1.043669e-10, -9.424863e-12, 6.194342e-12, -5.433463e-12, -1.265601e-11, -3.394915e-11, -6.256089e-12, 2.841548e-11, 3.826976e-11, -4.817739e-12, 2.653647e-11, 2.700882e-13, -4.058938e-12
