mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, -1.094485e-10, -2.558575e-10, 8.958721e-12, -2.534488e-10, 1.765543e-10, 2.688500e-11, 9.117724e-12, 2.805041e-11, 7.020206e-12
-7.899371e-02, -1.399131e-10, -1.788547e-10, 2.607046e-12, -1.788685e-10, 1.193169e-10, 6.357164e-12, 2.844705e-12, 7.973974e-12, 1.754490e-11
-7.798742e-02, -1.146086e-10, -1.082534e-10, -3.682741e-12, -1.066425e-10, 1.512213e-10, -1.944826e-11, -3.603857e-12, -1.832079e-11, 1.239844e-11
-7.698113e-02, -1.001641e-10, -1.478158e-10, 6.398463e-12, -1.466186e-10, 1.998792e-10, 3.506174e-12, 6.918162e-12, 4.294747e-12, 3.088034e-11
-7.597484e-02, -1.990071e-10, -1.451124e-10, 2.451913e-13, -1.453300e-10, 1.288774e-11, 8.504943e-12, 1.436156e-13, 9.159413e-12, -6.547159e-12
-7.496855e-02, -2.557658e-11, -1.328041e-10, 6.784930e-12, -1.305745e-10, 1.507239e-10, 2.323985e-11, 7.138955e-12, 2.435591e-11, 1.588262e-11
-7.396226e-02, -8.482330e-11, -1.450522e-10, 8.227497e-12, -1.426537e-10, 1.234113e-11, -1.511778e-11, 8.602739e-12, -1.442479e-11, -3.767493e-12
-7.295597e-02, -6.474261e-11, -1.277778e-10, 2.296431e-13, -1.248632e-10, 1.564193e-10, 2.075647e-12, 7.062881e-13, 3.114000e-12, 1.977812e-12
-7.194969e-02, -1.886231e-11, -1.259238e-10, -9.617326e-12, -1.215125e-10, 1.701417e-10, -5.115920e-12, -9.632710e-12, -4.423755e-12, 1.899175e-11
-7.094340e-02, -1.113084e-10, -1.397605e-10, 1.531937e-11, -1.393895e-10, 1.306364e-10, 2.213573e-11, 1.574056e-11, 2.310581e-11, 1.125156e-11
-6.993711e-02, -1.240641e-10, -1.796987e-10, -2.197034e-11, -1.777621e-10, 7.733651e-11, -3.839609e-11, -2.164960e-11, -3.776859e-11, 7.828184e-12
-6.893082e-02, -1.568024e-11, -5.542347e-11, -4.068609e-12, -5.235507e-11, -1.907256e-11, -2.544610e-12, -3.679169e-12, -1.528160e-12, 2.438240e-12
-6.792453e-02, -1.370272e-10, -1.044426e-10, 2.745557e-12, -1.044552e-10, 5.911732e-11, 1.812328e-11, 2.871764e-12, 1.893442e-11, 1.404755e-11
-6.691824e-02, -1.500827e-10, -1.637312e-10, 9.687734e-13, -1.574278e-10, -2.663108e-11, 7.459470e-12, 1.228704e-12, 8.162419e-12, -4.148193e-12
-6.591195e-02, -5.987629e-11, -1.688448e-10, -4.853111e-12, -1.657191e-10, 2.439030e-11, 8.884861e-13, -4.659877e-12, 1.859273e-12, 1.728895e-12
-6.490566e-02, -9.310204e-11, -1.233925e-10, -6.288929e-13, -1.251440e-10, 3.769478e-11, -1.348294e-11, -2.863725e-13, -1.256478e-11, 9.638489e-12
-6.389937e-02, -1.985483e-11, -1.185307e-10, -2.290010e-11, -1.180683e-10, 1.397458e-10, -2.867173e-12, -2.243110e-11, -2.843712e-12, -8.054571e-12
-6.289308e-02, -8.275963e-11, -1.309454e-10, 1.471191e-11, -1.292428e-10, 7.109898e-11, 2.678026e-11, 1.492069e-11, 2.737278e-11, 5.672390e-12
-6.188679e-02, -6.846023e-11, -1.303226e-10, 1.514433e-11, -1.295062e-10, -3.486331e-11, 1.973931e-11, 1.549642e-11, 2.072015e-11, 1.152618e-11
-6.088050e-02, -6.426302e-11, -1.253253e-10, 4.623982e-12, -1.266890e-10, 7.720180e-11, 2.970207e-12, 4.305499e-12, 3.327653e-12, 5.717899e-12
-5.987421e-02, -4.038089e-11, -1.206934e-10, -3.000854e-11, -1.204263e-10, 5.398939e-11, 1.519843e-12, -2.976902e-11, 2.145684e-12, 2.918576e-12
