mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -1.377673e-09, -5.366776e-10, 2.512276e-09, -1.241978e-09, 1.011064e-09, 9.268693e-09, 2.415358e-10, 5.026246e-10, 1.557683e-09, 2.964450e-09, -6.354782e-09, 1.596398e-08, -6.501246e-09, -4.474603e-10, -7.293635e-09, -4.261488e-10, 1.205727e-10, -1.548033e-09, 1.960542e-10, 7.804547e-11, 3.177395e-10, -3.864065e-10, -2.492478e-10, -8.123078e-11, 2.637298e-10, -1.450914e-11, -1.013853e-10
-7.899371e-02, 6.790815e-09, -1.042537e-09, 6.153576e-10, -9.805976e-10, -7.029096e-09, 6.216541e-09, -1.188237e-10, 7.257931e-10, 1.673776e-09, -2.368870e-09, -3.245106e-09, 1.677629e-08, -2.436151e-09, 3.810069e-09, -5.552675e-09, -3.180510e-10, -1.387266e-10, 1.440383e-10, -5.014405e-10, 7.374929e-10, 1.115975e-10, 4.875326e-10, 1.536980e-10, 4.525272e-11, 3.100514e-10, 6.398550e-12, -4.350863e-11
-7.798742e-02, 2.998394e-09, 1.699892e-10, 2.080541e-09, -4.850437e-10, -4.059129e-09, 8.118458e-09, -1.004359e-10, 6.766956e-10, 2.716206e-09, -8.108378e-10, -2.048479e-09, 1.468622e-08, -2.069573e-09, 3.495412e-09, -6.978434e-09, -3.500498e-10, 4.368150e-11, -1.585101e-09, -3.511525e-10, 8.025689e-10, 3.662874e-10, 3.665627e-10, 3.517860e-10, -1.349740e-10, 2.842322e-10, -4.128000e-11, -1.710359e-10
-7.698113e-02, 3.969151e-09, -2.685299e-09, 1.274622e-09, -2.413455e-09, -5.095221e-09, 6.644673e-09, 2.658821e-11, 6.375329e-10, 2.637982e-09, -6.593186e-10, -1.833778e-09, 1.494496e-08, -1.984031e-09, 2.554813e-09, -6.502242e-09, -2.042277e-10, 3.748125e-11, -5.053468e-10, 1.466500e-11, 3.960846e-10, 3.931029e-10, 2.876122e-11, -4.493838e-12, 1.215454e-10, 2.479542e-10, 1.972175e-11, 9.946247e-12
-7.597484e-02, 2.994596e-09, -3.628374e-10, 1.728317e-09, -1.195908e-09, -3.154003e-09, 8.452026e-09, 3.302917e-11, 5.129544e-10, 1.667659e-09, -2.065458e-09, -4.574895e-09, 1.543599e-08, -5.694508e-09, 3.771877e-09, -6.064359e-09, -5.359571e-10, -1.398380e-10, -8.102127e-10, 8.317198e-10, 6.211342e-11, 6.142419e-10, -1.925348e-10, -9.165611e-10, -1.102237e-10, 1.961905e-10, 1.030588e-11, -2.554173e-10
-7.496855e-02, 4.978168e-09, -2.168788e-09, 2.450269e-09, -2.272432e-09, -5.783052e-09, 5.861864e-09, -4.510971e-11, 6.225932e-10, 2.440302e-09, 8.895289e-10, -3.922590e-09, 1.448095e-08, -3.596299e-09, 1.319035e-09, -6.791159e-09, -3.808473e-10, 1.028451e-10, -1.054330e-09, -2.653511e-10, -7.948749e-11, -1.026523e-10, -2.009188e-10, 1.453102e-10, -2.092849e-10, 2.786183e-10, -1.078927e-11, -1.345566e-10
-7.396226e-02, -6.972976e-11, 6.421758e-10, 1.611516e-09, 4.155042e-10, -1.127770e-09, 7.742964e-09, 1.264509e-11, 2.807890e-10, 1.969391e-09, 1.097951e-09, 1.828444e-10, 1.254356e-08, -1.828359e-10, 9.521975e-10, -5.351619e-09, -5.554509e-12, 1.877391e-11, -6.253253e-10, 3.752841e-10, 3.921890e-10, 5.848497e-11, 2.181183e-10, -3.815381e-10, 5.117160e-11, 2.011586e-10, 3.390531e-11, -1.143507e-10
-7.295597e-02, 1.236104e-09, -2.643745e-09, 1.702367e-09, -2.384827e-09, -1.957465e-09, 7.969650e-09, -1.527098e-10, 5.222526e-10, 1.910653e-09, -1.245112e-10, -2.115617e-09, 1.336300e-08, -1.556844e-09, 1.755487e-09, -5.299343e-09, -1.325402e-10, -5.943873e-11, -3.394294e-10, -1.039822e-09, -2.617764e-10, 5.828813e-10, -6.082117e-10, 8.315693e-10, -5.261887e-11, 2.319932e-10, -2.489601e-11, -1.825922e-10
-7.194969e-02, 9.472308e-10, -3.900767e-10, 7.374233e-10, -8.596256e-10, -1.527200e-09, 7.802969e-09, 1.610750e-10, 4.473007e-10, 1.297193e-09, -2.216449e-09, -3.645419e-09, 1.348369e-08, -4.481401e-09, 3.762812e-09, -4.879439e-09, -2.925220e-10, 1.114607e-10, -4.635586e-10, -3.303499e-10, -2.227055e-11, 9.009759e-13, -4.122048e-10, 3.300841e-10, 2.910286e-10, 1.589245e-10, -2.169034e-11, 5.534059e-11
-7.094340e-02, 2.103350e-09, -4.392365e-10, 1.307781e-09, -1.126931e-09, -3.203718e-09, 6.761218e-09, -3.998367e-11, 5.437511e-10, 1.435830e-09, -1.543651e-09, -1.638412e-09, 1.133641e-08, -9.281556e-10, 3.509730e-09, -5.141475e-09, -6.034380e-11, -6.826446e-11, -7.543590e-10, 3.182526e-10, 4.857547e-10, -6.285984e-12, 2.143777e-10, -3.619383e-10, 4.000988e-10, 1.750552e-10, -1.797128e-11, -1.047237e-10
-6.993711e-02, -4.603173e-11, 1.186550e-09, 2.075634e-09, 1.072304e-09, -5.013048e-10, 8.045047e-09, -1.471599e-10, 3.763512e-10, 1.295235e-09, 3.441645e-09, -1.851295e-09, 1.269291e-08, -1.936728e-09, -1.518652e-09, -4.698951e-09, -1.219747e-10, 1.007316e-11, -1.103467e-09, 1.941884e-10, 3.299091e-10, -2.687711e-11, 1.065359e-10, -1.870334e-10, -1.231235e-10, 1.701863e-10, -2.790555e-11, -2.868761e-10
-6.893082e-02, 1.995357e-09, -1.354217e-09, 2.031789e-09, -1.116087e-09, -2.521313e-09, 7.077716e-09, -1.336506e-10, 3.826882e-10, 1.721822e-09, 2.393873e-09, -1.974074e-09, 1.204899e-08, -1.685988e-09, -6.542102e-10, -5.172375e-09, -1.360505e-10, -3.427603e-11, -9.992914e-10, 7.741760e-11, 2.953239e-10, 1.911276e-10, 9.789132e-11, -4.130973e-11, -5.426047e-11, 2.260075e-10, -1.774746e-11, -3.473908e-11
-6.792453e-02, 4.173072e-09, -7.272519e-10, 9.855499e-10, -1.394082e-09, -4.918525e-09, 6.390949e-09, -6.649628e-11, 5.871447e-10, 1.747984e-09, 3.914569e-10, -2.674080e-09, 1.214427e-08, -1.936524e-09, 1.220330e-09, -4.792097e-09, -4.042154e-11, -9.410398e-11, -7.837663e-10, -5.069451e-11, 3.717501e-10, 3.822778e-10, 4.510201e-11, 2.988892e-11, -7.649889e-11, 1.873343e-10, -2.543323e-11, -2.875258e-10
-6.691824e-02, 4.080936e-09, -4.563038e-10, 7.283436e-10, -5.866613e-10, -4.848478e-09, 6.021146e-09, 7.568416e-11, 5.233685e-10, 1.476221e-09, -3.742585e-09, -4.381546e-09, 1.228895e-08, -4.031823e-09, 5.029528e-09, -4.128755e-09, -1.707206e-10, 9.135444e-11, -6.372162e-10, 5.636944e-10, 5.070111e-11, -1.877130e-10, -3.659583e-11, -5.719411e-10, -3.865464e-11, 1.840192e-10, 1.383848e-11, 3.208093e-10
-6.591195e-02, -1.591821e-10, -1.092650e-09, 2.092538e-09, -1.195323e-09, -4.246630e-10, 7.777602e-09, -1.125134e-10, 2.554890e-10, 1.986079e-09, 1.346792e-09, -1.987010e-09, 1.053778e-08, -1.759210e-09, 4.871776e-10, -4.889232e-09, -8.530134e-11, 9.239481e-11, 3.171201e-11, -1.210293e-10, 2.396366e-10, 8.166839e-11, -5.566771e-11, 1.507267e-10, -7.577592e-11, 2.087746e-10, 3.383400e-11, -7.537543e-11
-6.490566e-02, 1.084065e-09, -2.100196e-09, 1.798722e-09, -2.823448e-09, -1.489056e-09, 6.825932e-09, 1.484963e-11, 3.060244e-10, 1.650282e-09, -4.473173e-11, -1.877144e-09, 1.073494e-08, -1.609044e-09, 1.586910e-09, -5.118530e-09, -1.838449e-10, -3.411144e-11, -5.777717e-10, 3.615477e-10, 4.205938e-10, -2.999156e-11, 3.419554e-10, -5.179634e-10, -6.442325e-12, 2.096453e-10, 2.560423e-12, -4.113681e-11
-6.389937e-02, 3.763622e-09, -2.594157e-10, 1.562158e-09, 4.696713e-11, -3.666478e-09, 6.975832e-09, -1.277786e-11, 3.330627e-10, 9.840172e-10, 4.737279e-10, -1.786909e-09, 1.135221e-08, -2.154089e-09, 6.917971e-10, -4.090827e-09, -2.861629e-10, 6.052156e-11, -8.992499e-10, -1.485658e-10, 8.402078e-11, -1.175098e-12, -2.853064e-10, 8.325599e-11, 1.197377e-10, 1.266388e-10, -3.135477e-11, 1.227068e-10
-6.289308e-02, 1.265028e-09, 1.060412e-09, 7.530366e-10, 4.675881e-10, -1.387287e-09, 7.362039e-09, 3.363780e-11, 3.222923e-10, 1.034050e-09, -9.863518e-10, -3.146649e-09, 1.109413e-08, -2.649718e-09, 2.270355e-09, -4.248407e-09, -1.173299e-10, -6.112776e-11, -5.763627e-10, 4.928940e-10, 4.623880e-10, 1.180462e-10, 2.204092e-10, -5.824073e-10, 8.435331e-11, 1.384248e-10, 1.897013e-11, -1.026884e-10
-6.188679e-02, 1.195161e-09, -6.069814e-10, 1.724436e-09, -6.062916e-10, -1.312219e-09, 6.979788e-09, -2.959795e-11, 3.168183e-10, 1.375019e-09, 9.476670e-10, -3.518439e-09, 1.144235e-08, -3.367397e-09, 6.595420e-10, -4.353194e-09, -1.801385e-10, 3.223653e-11, -7.637973e-10, 7.881931e-10, 5.783045e-11, 3.438422e-10, -2.089317e-10, -8.534931e-10, -2.688441e-11, 1.569783e-10, 3.141610e-12, -4.669124e-11
