mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, -7.555485e+02, -6.828269e+01, -4.681241e+02, -8.842249e+01, 1.938279e+02, -2.272566e+04, 4.109847e+00, 1.106468e+02, 3.543181e+02, 3.246689e+02, 5.725279e+02, 2.367025e+04, 5.061452e+02, 2.591393e+02, 4.856853e+02, -7.858761e+01, -1.325625e+01, -3.562185e+02, 6.150016e+01, 2.145232e+02, -2.400188e+02, -3.415519e+02, -7.639630e+01, 2.004519e+02, 1.366499e+01, -8.192501e+00, 6.402514e+00
-7.798742e-02, -1.610084e+03, 2.788200e+02, -3.354910e+03, -2.298153e+02, 9.142091e+02, -4.546693e+04, 5.654395e+01, 1.519468e+02, 4.866020e+02, 8.449372e+02, 1.325357e+03, 4.795585e+04, 1.023939e+03, 1.043829e+03, 3.375665e+03, -1.754874e+02, -6.852411e+01, -1.238365e+03, -9.841273e+01, 6.513584e+02, -4.866068e+02, -5.602183e+02, 7.417849e+01, 8.634355e+02, 8.696040e+01, -2.024307e+02, 1.042972e+01
-7.698113e-02, -2.142717e+03, 2.821257e+02, -2.690907e+03, -1.728050e+02, 2.577947e+03, -6.869715e+04, 8.207613e+01, 1.514781e+02, -1.420718e+02, 2.560419e+02, 2.139241e+03, 7.165301e+04, 1.578061e+03, 6.341664e+02, 2.727979e+03, -2.984656e+02, -1.007130e+02, -6.155367e+02, -2.475796e+02, 1.349729e+03, -3.901065e+02, -5.760350e+02, 2.041434e+02, 5.211729e+02, 1.628740e+02, -1.763466e+02, 1.879613e+01
-7.597484e-02, -3.039138e+03, 8.534593e+01, -8.961772e+02, -6.868027e+01, 3.515991e+03, -9.090968e+04, 6.912190e+01, 2.030069e+02, -1.316058e+02, -3.716219e+01, 3.001253e+03, 9.512798e+04, 2.260088e+03, 7.920615e+01, 8.909932e+02, -3.767613e+02, -7.519814e+01, -4.788421e+01, -1.475299e+02, 1.824907e+03, -5.357486e+02, -8.063698e+02, 1.319027e+02, 1.839504e+02, 2.080089e+02, -4.404645e+01, 6.456318e+00
-7.496855e-02, -3.601102e+03, 2.195606e+02, -9.664914e+02, -1.890436e+01, 4.580177e+03, -1.148259e+05, 1.100993e+02, 2.851583e+02, -4.590846e+02, -1.623904e+02, 3.815692e+03, 1.166820e+05, 3.238935e+03, -8.813058e+01, 8.948927e+02, -4.054045e+02, -1.002335e+02, 1.120580e+02, -2.199416e+02, 2.121876e+03, -3.570684e+02, -1.234205e+03, 2.419115e+02, 2.401843e+02, 1.344385e+02, -5.681901e+01, -1.037627e+01
-7.396226e-02, -4.193868e+03, 4.466985e+02, -1.060147e+03, 4.009540e+01, 5.622290e+03, -1.389848e+05, 1.561073e+02, 3.490364e+02, -7.798061e+02, -7.230108e+02, 4.644235e+03, 1.377863e+05, 4.382738e+03, -3.663139e+02, 9.722057e+02, -4.356450e+02, -1.475817e+02, 5.892946e+02, -4.525061e+02, 2.329591e+03, -2.664940e+01, -1.727722e+03, 4.756710e+02, 1.259269e+02, 4.776545e+01, -1.083733e+02, -1.116475e+01
-7.295597e-02, -5.787040e+03, 6.710423e+02, -1.373202e+03, 4.523054e+01, 5.694943e+03, -1.593528e+05, 1.823203e+02, 3.966320e+02, 1.666627e+02, -1.123982e+03, 5.647104e+03, 1.614085e+05, 5.265098e+03, -4.616261e+02, 1.267128e+03, -4.848478e+02, -1.819471e+02, 8.388566e+02, -6.438594e+02, 2.560578e+03, -4.745597e+02, -2.201792e+03, 6.559327e+02, 1.914324e+02, 1.284395e+02, -1.768817e+02, -6.834289e+00
-7.194969e-02, -7.003649e+03, 8.869992e+02, -2.500949e+03, -5.086808e+00, 6.189602e+03, -1.809780e+05, 2.058804e+02, 4.097974e+02, 6.283620e+02, -1.137287e+03, 6.564139e+03, 1.849434e+05, 6.084705e+03, -2.110141e+02, 2.397465e+03, -5.367741e+02, -2.132392e+02, 6.378926e+02, -7.835839e+02, 2.870743e+03, -7.204818e+02, -2.558089e+03, 7.803888e+02, 4.442383e+02, 1.890998e+02, -2.797959e+02, -3.370051e-01
-7.094340e-02, -7.956610e+03, 1.027837e+03, -3.829644e+03, -6.478702e+01, 6.765909e+03, -2.036445e+05, 2.286868e+02, 4.369804e+02, 8.300996e+02, -9.038354e+02, 7.413610e+03, 2.073665e+05, 7.076057e+03, 1.671689e+02, 3.735154e+03, -5.691804e+02, -2.405034e+02, 2.337473e+02, -8.551384e+02, 3.080508e+03, -6.636271e+02, -3.005369e+03, 8.418248e+02, 6.698469e+02, 1.706191e+02, -3.730420e+02, 4.111533e+00
