mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 4.703922e+06, -9.257301e+03, 4.497408e+03, -9.257301e+03, 4.681964e+06, 1.297837e+03, 4.497408e+03, 1.297837e+03, 9.517670e+05
-7.899371e-02, 4.628791e+06, -1.150346e+04, -4.500965e+03, -1.150346e+04, 4.641446e+06, 1.175613e+03, -4.500965e+03, 1.175613e+03, 9.349333e+05
-7.798742e-02, 4.577954e+06, -1.649003e+03, -3.026537e+02, -1.649003e+03, 4.574990e+06, -5.078094e+03, -3.026537e+02, -5.078094e+03, 9.162911e+05
-7.698113e-02, 4.532833e+06, -8.074057e+03, 5.543991e+03, -8.074057e+03, 4.519577e+06, -2.761766e+03, 5.543991e+03, -2.761766e+03, 8.948312e+05
-7.597484e-02, 4.465276e+06, -9.383486e+03, -2.333456e+03, -9.383486e+03, 4.463574e+06, -2.579673e+03, -2.333456e+03, -2.579673e+03, 8.791285e+05
-7.496855e-02, 4.410343e+06, 4.661359e+03, 7.841038e+03, 4.661359e+03, 4.407548e+06, 2.904082e+03, 7.841038e+03, 2.904082e+03, 8.598447e+05
-7.396226e-02, 4.350221e+06, -2.546879e+03, 4.667772e+03, -2.546879e+03, 4.345080e+06, 1.260962e+03, 4.667772e+03, 1.260962e+03, 8.444771e+05
-7.295597e-02, 4.278484e+06, -9.314886e+03, 2.076782e+01, -9.314886e+03, 4.290584e+06, 8.972894e+02, 2.076782e+01, 8.972894e+02, 8.284732e+05
-7.194969e-02, 4.226345e+06, -4.460890e+03, -4.530435e+03, -4.460890e+03, 4.234976e+06, -2.378077e+03, -4.530435e+03, -2.378077e+03, 8.106620e+05
-7.094340e-02, 4.171986e+06, -2.724213e+03, -2.974361e+03, -2.724213e+03, 4.176405e+06, -7.675617e+03, -2.974361e+03, -7.675617e+03, 7.924439e+05
-6.993711e-02, 4.116261e+06, 4.622155e+03, -3.177715e+03, 4.622155e+03, 4.107223e+06, -6.078488e+03, -3.177715e+03, -6.078488e+03, 7.773521e+05
-6.893082e-02, 4.061688e+06, -1.618477e+04, 7.761785e+03, -1.618477e+04, 4.057156e+06, -1.890098e+03, 7.761785e+03, -1.890098e+03, 7.583567e+05
-6.792453e-02, 4.000253e+06, 5.337323e+03, 6.538214e+03, 5.337323e+03, 3.992372e+06, -3.743031e+03, 6.538214e+03, -3.743031e+03, 7.438713e+05
-6.691824e-02, 3.939314e+06, -1.046382e+03, -2.587647e+03, -1.046382e+03, 3.930488e+06, 4.099945e+03, -2.587647e+03, 4.099945e+03, 7.282446e+05
-6.591195e-02, 3.875688e+06, -1.226954e+04, 9.619463e+02, -1.226954e+04, 3.881868e+06, -8.911575e+02, 9.619463e+02, -8.911575e+02, 7.113962e+05
-6.490566e-02, 3.823691e+06, -2.903976e+02, -1.916479e+03, -2.903976e+02, 3.811741e+06, 1.643630e+03, -1.916479e+03, 1.643630e+03, 6.964303e+05
