mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -9.775614e+05, -1.008198e+05, 5.412801e+05, 1.145155e+02, 4.538546e+05, -2.266813e+07, -2.827868e+04, 1.507500e+05, 2.837769e+05, 2.300409e+05, 7.983029e+05, 2.276162e+07, 9.365377e+05, -3.010332e+04, -5.456458e+05, -8.883889e+04, 4.029118e+04, -9.615010e+04, 1.535643e+05, 1.794611e+05, 5.505027e+04, -4.555570e+05, -1.283959e+05, -9.671041e+03, -2.462760e+04, 5.735291e+04, -1.056086e+04
-7.899371e-02, -1.071691e+06, -3.340874e+05, 1.052702e+05, -8.757688e+04, 1.296509e+06, -2.279190e+07, -5.620925e+04, 9.108935e+04, -1.373370e+05, 8.760041e+05, 1.115968e+06, 2.322438e+07, 1.088467e+06, 4.240993e+05, -1.634947e+05, -1.220604e+05, 5.360683e+04, -7.411558e+05, 3.654937e+05, 4.748662e+05, 7.610006e+04, -3.017702e+05, -3.585609e+05, 1.683083e+05, 1.130106e+04, 6.572703e+04, -3.977500e+03
-7.798742e-02, -1.233628e+06, 3.287274e+05, -4.486176e+05, 3.887921e+04, 8.734040e+04, -2.224458e+07, 4.333820e+04, 6.326704e+04, 7.291160e+05, -5.870427e+05, 7.477548e+05, 2.465787e+07, 6.418228e+05, -2.035739e+05, 4.721680e+05, -7.035145e+04, -4.290402e+04, 4.170564e+05, -2.941651e+05, 1.940728e+05, -4.013774e+05, -3.552316e+05, 2.907929e+05, 4.309778e+04, 7.934243e+04, -8.038807e+04, 1.819416e+03
-7.698113e-02, -6.519125e+05, 3.022069e+04, -6.228829e+05, 3.285073e+03, 1.403413e+06, -2.398372e+07, 3.717184e+03, 1.242984e+05, -5.235369e+05, 2.273385e+05, 1.088358e+06, 2.129548e+07, 1.329975e+06, 1.869756e+05, 6.017156e+05, -3.580140e+04, 2.058105e+03, -2.463158e+05, 1.815410e+04, 3.786722e+05, 3.482218e+05, -4.724691e+05, -5.844521e+03, 4.313529e+04, -1.514023e+05, -2.849690e+04, -5.461003e+03
-7.597484e-02, -1.451259e+06, 1.069635e+05, -1.237469e+06, -9.917654e+04, 3.833047e+05, -2.119336e+07, 4.246553e+04, 3.437162e+04, 6.984090e+05, 1.931750e+05, 9.742493e+05, 2.509695e+07, 6.694645e+05, 3.839764e+05, 1.269981e+06, -5.478118e+04, -5.343768e+04, -3.992270e+05, -8.625772e+04, 3.747549e+05, -4.842923e+05, -2.707547e+05, 5.655537e+04, 3.219684e+05, 1.104989e+05, -9.857122e+04, 1.309976e+04
-7.496855e-02, -8.832586e+05, 3.064382e+04, -1.743176e+05, -6.122214e+04, 8.021309e+05, -2.217600e+07, 8.841456e+03, 8.638990e+04, 6.035765e+04, -1.816994e+05, 8.530078e+05, 2.267093e+07, 7.675674e+05, -1.116631e+04, 2.152600e+05, -4.625746e+04, -2.247468e+04, 9.642066e+04, -1.047119e+05, 3.398051e+05, -1.095368e+05, -3.007720e+05, 7.198383e+04, 8.693669e+04, 3.435796e+03, -9.242945e+03, 1.445415e+04
-7.396226e-02, -7.529323e+05, -9.477751e+04, 3.813948e+05, 4.691389e+03, 9.651665e+05, -2.150559e+07, -1.656773e+04, 3.400646e+04, -1.103520e+05, 9.296243e+04, 7.739910e+05, 2.199464e+07, 6.815181e+05, -5.617381e+04, -4.007242e+05, -9.216410e+04, 2.279121e+04, 1.895556e+03, 8.129202e+04, 3.526424e+05, -7.147007e+03, -1.516993e+05, -7.146292e+04, -7.859004e+04, 4.151658e+04, 4.697566e+04, -4.357737e+03
-7.295597e-02, -4.483958e+05, 1.429023e+05, -1.227484e+06, -1.162153e+05, 1.228041e+06, -2.251508e+07, -1.616179e+03, 2.499336e+04, -4.888366e+05, 9.523509e+04, 7.049784e+05, 2.126068e+07, 7.562931e+05, 3.313098e+05, 1.274814e+06, -4.111200e+04, -9.960639e+03, -3.050598e+05, -1.221656e+05, 3.980231e+05, 2.794530e+05, -2.132193e+05, 8.805590e+04, 3.470506e+05, -2.062313e+04, -6.724238e+04, 1.524713e+04
-7.194969e-02, -8.508643e+05, 6.229346e+04, -1.665074e+06, -1.100479e+05, 4.463698e+05, -2.104399e+07, -2.862277e+03, 2.172086e+04, 2.764233e+05, 7.906200e+05, 6.571656e+05, 2.218788e+07, 5.701387e+05, 6.984265e+05, 1.659716e+06, -8.246570e+04, 7.053897e+03, -9.416015e+05, 1.046647e+05, 2.492126e+05, -1.660235e+05, -2.470317e+05, -9.762054e+04, 4.921529e+05, 6.210502e+04, -8.838496e+04, -3.029365e+03
-7.094340e-02, -8.673233e+05, -3.726867e+05, 1.610525e+06, -5.698758e+03, 1.151418e+06, -2.271468e+07, -7.168619e+04, 6.632534e+03, -1.683623e+05, 5.474038e+03, 9.549487e+05, 2.236779e+07, 9.511901e+05, -2.552906e+05, -1.595971e+06, -1.171545e+04, 6.304315e+04, 2.350765e+05, 2.077163e+05, 3.757664e+05, 5.794617e+04, -2.910615e+05, -2.263605e+05, -3.372790e+05, -1.410278e+03, 1.560656e+05, 8.127718e+03
-6.993711e-02, -7.408037e+05, 1.332520e+05, -2.397673e+06, -1.751047e+05, -3.602025e+04, -2.046983e+07, -3.506435e+04, 9.762704e+04, 4.633681e+05, 9.221830e+05, 5.337129e+05, 2.053255e+07, 5.805016e+05, 9.533927e+05, 2.406086e+06, 1.858560e+04, 3.046912e+04, -1.198270e+06, 7.440232e+04, 5.723847e+04, -1.838718e+05, -4.484268e+05, -8.593989e+04, 6.748457e+05, -3.152502e+04, -1.213890e+05, 5.045138e+03
-6.893082e-02, 9.018874e+04, -1.393824e+05, -9.467626e+05, -1.240616e+05, 1.668348e+06, -2.281091e+07, -3.601732e+04, 4.445920e+04, -1.123410e+06, 8.949195e+05, 6.472084e+05, 1.882064e+07, 8.577976e+05, 6.979682e+05, 9.626414e+05, -3.633139e+04, 3.528995e+04, -9.743728e+05, 2.467842e+05, 3.899213e+05, 5.839532e+05, -1.585630e+05, -2.575519e+05, 3.874389e+05, -1.312835e+05, -3.639372e+04, 4.969614e+03
-6.792453e-02, -1.097320e+06, 2.489477e+05, -3.053265e+05, 5.815344e+04, 5.919052e+05, -2.139903e+07, 4.121916e+04, 5.548243e+04, 2.865637e+05, -5.067767e+05, 9.712044e+05, 2.119147e+07, 1.066527e+06, -2.125698e+05, 3.092921e+05, 2.034786e+04, -4.057263e+04, 4.010498e+05, -2.335142e+05, 1.397381e+05, -8.759797e+04, -4.394827e+05, 2.353471e+05, -6.778428e+04, -3.603102e+04, -6.275519e+04, -7.397874e+02
-6.691824e-02, -6.899168e+05, 1.797993e+05, -2.743296e+06, -1.563187e+05, 1.112516e+06, -2.230956e+07, -1.475235e+04, -1.944680e+04, -2.616235e+05, 1.039844e+06, 8.796500e+05, 2.119656e+07, 9.239110e+05, 1.044189e+06, 2.732445e+06, -1.235213e+04, 1.514028e+04, -1.335148e+06, 8.404351e+04, 3.487698e+05, 9.241239e+04, -3.054724e+05, -8.074019e+04, 7.201269e+05, -2.313859e+04, -1.562748e+05, -1.604356e+03
-6.591195e-02, -2.487339e+05, -4.467814e+05, 2.284152e+06, 6.550482e+04, 1.474696e+06, -2.088820e+07, -3.316983e+04, 2.892370e+04, -7.839566e+05, 7.094051e+03, 7.446255e+05, 1.795083e+07, 9.285138e+05, -4.313359e+05, -2.280620e+06, -4.764356e+04, 3.699363e+04, 3.560714e+05, 2.757555e+05, 3.648735e+05, 4.288287e+05, -2.290918e+05, -2.671613e+05, -4.248229e+05, -8.128992e+04, 1.784950e+05, -3.632698e+03
-6.490566e-02, -9.940926e+05, -4.955314e+05, 2.489625e+06, -1.706139e+04, 7.441685e+05, -1.958215e+07, -3.551833e+04, -2.730953e+04, 2.023971e+05, -1.930702e+05, 7.726577e+05, 2.221010e+07, 5.077244e+05, -4.965036e+05, -2.456628e+06, -2.564310e+04, 2.235787e+04, 5.127623e+05, 2.088256e+05, 4.336017e+05, -1.843595e+05, -1.300143e+05, -2.417754e+05, -3.918459e+05, 1.052932e+05, 2.015294e+05, 1.466016e+04
-6.389937e-02, -7.948428e+05, 6.560918e+04, -1.527716e+05, 1.838283e+04, 7.990680e+05, -1.936436e+07, 3.869884e+04, -9.345773e+03, 2.001652e+04, -1.115017e+05, 7.327361e+05, 2.069574e+07, 5.943277e+05, -4.276760e+04, 1.432466e+05, -2.914356e+04, -3.770413e+04, 7.640166e+04, -7.060999e+04, 4.104665e+05, -5.772362e+04, -1.902383e+05, 7.325876e+04, 1.293119e+04, 4.850525e+04, -3.187372e+04, -1.297065e+03
-6.289308e-02, -4.278983e+05, 7.341814e+04, -3.065796e+05, 4.507622e+03, 9.933062e+05, -2.067193e+07, -9.581103e+03, 9.122148e+03, -3.764999e+05, 1.130737e+04, 6.879776e+05, 1.877560e+07, 8.375112e+05, 4.437425e+04, 3.302980e+05, -6.993586e+03, 1.294300e+04, -4.326376e+04, -3.201305e+04, 2.739569e+05, 2.362149e+05, -2.984053e+05, 3.799849e+04, 4.000591e+04, -6.058065e+04, -1.481423e+04, -2.230260e+03
