mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.678306e+04, 2.687171e+00, -1.513559e+00, -2.346290e+00, -1.678719e+04, 1.982906e+04, -9.102185e-01, 8.596575e+03, -2.214657e+00, -4.885938e+00, -1.678075e+04, -1.983507e+04, -1.678470e+04, -2.990813e+00, 1.784020e+00, -8.596497e+03, -3.918202e-01, -5.416087e+00, 2.300092e+00, -2.518532e+03, 4.052000e-01, 2.519412e+03, -2.765079e+00, -6.432736e-01, 2.436846e-01, 4.819455e-01, -1.273063e-01
-7.899371e-02, 1.663288e+04, -7.134058e-01, 4.510475e-01, 6.259888e-01, -1.663231e+04, 1.958185e+04, 1.000321e-01, 8.506819e+03, -2.092856e-01, 1.188944e+00, -1.664032e+04, -1.957533e+04, -1.663058e+04, 1.240446e+00, -4.268687e-01, -8.507433e+03, -2.143675e-01, 9.600356e-01, 2.577072e-01, -2.451900e+03, -8.180934e-01, 2.453112e+03, -3.016318e-01, -3.963294e-01, -1.173784e-01, -5.691819e-02, -1.143709e-02
-7.798742e-02, 1.648446e+04, -3.221170e+00, -3.512772e+00, 5.643794e+00, -1.648362e+04, 1.932952e+04, -2.107122e-01, 8.418347e+03, 4.015692e-01, -3.335744e+00, -1.648238e+04, -1.933009e+04, -1.648522e+04, 2.551050e-02, 3.670538e+00, -8.418486e+03, -5.691564e-01, -1.418191e+00, -2.071586e-01, -2.388905e+03, 3.041063e-02, 2.388705e+03, -6.700124e-02, 8.872542e-01, -1.104212e-01, 3.027803e-01, -7.502487e-02
-7.698113e-02, 1.633345e+04, 4.913805e+00, 1.401507e+00, -6.441889e+00, -1.633047e+04, 1.908853e+04, -5.073294e-01, 8.330414e+03, 1.145914e+00, -1.464491e+00, -1.634240e+04, -1.908041e+04, -1.632714e+04, -2.952273e+00, -1.391423e+00, -8.329767e+03, 4.724189e-01, -3.223584e+00, 1.558717e+00, -2.326627e+03, -1.338394e+00, 2.327843e+03, -1.573584e+00, -8.976802e-01, -6.616660e-03, 6.367408e-02, -3.800592e-03
-7.597484e-02, 1.618548e+04, 3.232993e-01, 4.498311e+00, -4.068881e+00, -1.618626e+04, 1.884527e+04, 1.565440e-01, 8.243907e+03, -9.757473e-01, 5.861600e+00, -1.618898e+04, -1.884284e+04, -1.618498e+04, 2.566424e+00, -4.403407e+00, -8.244348e+03, -5.421067e-01, 6.027412e+00, -2.953945e+00, -2.266946e+03, -5.141180e-01, 2.268588e+03, 2.810127e+00, 4.964251e-01, 1.035691e-02, -3.964125e-01, -3.874036e-02
-7.496855e-02, 1.604493e+04, 1.394599e+00, 1.663322e+00, -3.262837e+00, -1.604718e+04, 1.860050e+04, -5.210646e-01, 8.158945e+03, -5.932042e-01, 3.564822e-01, -1.603029e+04, -1.861295e+04, -1.605168e+04, -1.092462e+00, -1.590642e+00, -8.158573e+03, 1.759461e-01, -6.027290e-01, 1.884882e-01, -2.207306e+03, 1.574249e+00, 2.205955e+03, -3.142063e-01, -2.450698e-01, 1.998593e-01, -8.701740e-02, -3.339333e-02
-7.396226e-02, 1.589667e+04, -8.961295e-01, -2.955563e+00, 3.247540e+00, -1.589815e+04, 1.836593e+04, -1.375187e-01, 8.073281e+03, -4.552018e-01, -3.493453e+00, -1.588830e+04, -1.837450e+04, -1.589905e+04, -6.414561e-01, 3.060420e+00, -8.072717e+03, -2.890787e-01, -2.823818e+00, 1.320113e+00, -2.150365e+03, 7.093296e-01, 2.149788e+03, -1.477998e+00, -1.214624e-01, 1.255182e-01, 3.240490e-01, -4.242833e-02
-7.295597e-02, 1.575268e+04, 1.460038e+00, -9.090257e-02, -1.291349e+00, -1.575532e+04, 1.813978e+04, 2.070995e-02, 7.989137e+03, -2.597005e+00, -1.326214e+00, -1.575625e+04, -1.813888e+04, -1.575266e+04, -1.689437e+00, -1.479872e-02, -7.989805e+03, 4.286748e-01, -2.341829e+00, 1.419122e+00, -2.090684e+03, -9.005824e-01, 2.094455e+03, -1.256960e+00, -4.685559e-01, 9.413740e-02, 1.701471e-01, 4.381039e-02
-7.194969e-02, 1.561128e+04, 8.901939e+00, 5.642096e+00, -1.346153e+01, -1.560559e+04, 1.791733e+04, -8.898116e-02, 7.905329e+03, 3.098716e+00, 1.986067e+00, -1.562448e+04, -1.790221e+04, -1.560483e+04, -2.958543e+00, -5.718437e+00, -7.905546e+03, 4.134266e-01, -1.485960e+00, 1.627030e+00, -2.036776e+03, -1.074317e+00, 2.035407e+03, -1.510178e+00, -1.625035e+00, -3.834864e-01, 4.423923e-02, 3.150392e-02
-7.094340e-02, 1.547270e+04, 7.288766e+00, 4.409272e+00, -1.066863e+01, -1.547075e+04, 1.767946e+04, 1.332400e-02, 7.822755e+03, 1.845028e+00, 1.155112e+00, -1.546267e+04, -1.768578e+04, -1.547527e+04, -3.038450e+00, -4.567205e+00, -7.822291e+03, 6.682431e-01, -2.349858e+00, 2.254275e+00, -1.982674e+03, 9.608840e-01, 1.979889e+03, -2.010050e+00, -1.640115e+00, -1.350548e-01, 9.836967e-02, 6.565137e-02
