mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -3.139110e-08, -4.950987e-07, -8.087250e-07, -3.272989e-07, -4.213104e-07, -1.229335e-06, 2.680787e-07, 6.011979e-08, -5.806754e-08, -5.140894e-08, 2.032942e-07, 8.660339e-07, 3.272157e-07, 1.864050e-07, 3.380813e-07, -2.764247e-07, -2.199905e-08, 3.242150e-08, 6.930249e-08, 1.387865e-07, -1.068494e-07, -2.389277e-07, 3.937434e-08, 1.185051e-07, 8.780751e-09, -3.426923e-08, 1.260485e-08
-7.899371e-02, -8.473194e-09, -3.276779e-07, -1.251743e-07, -7.983255e-07, -7.282144e-08, -8.903841e-07, 2.409452e-07, 1.628784e-07, 9.353175e-08, -1.557700e-07, -8.330396e-08, 1.291619e-06, 2.747389e-07, 1.567961e-07, -4.519707e-07, -1.573636e-07, 1.572216e-07, 5.188477e-09, 6.635911e-08, 1.516892e-07, -1.222490e-07, 5.708536e-08, 4.036943e-09, -1.958854e-07, -2.576977e-08, 2.231483e-08, -3.154351e-08
-7.798742e-02, 3.937300e-08, -2.848840e-07, -1.122362e-06, -4.072646e-07, 6.579814e-08, 2.597724e-07, 3.935992e-07, -7.455688e-08, 2.171398e-08, -1.464989e-07, 1.911006e-08, -3.462893e-07, -8.634971e-08, 3.452706e-07, 8.483398e-07, 1.095313e-08, 8.101598e-08, 3.279968e-08, 1.486982e-07, -3.370879e-08, 1.485461e-07, 2.228010e-07, -2.054882e-08, 1.702946e-07, -5.087953e-08, -4.154145e-08, 4.127931e-08
-7.698113e-02, -1.316854e-07, 8.942314e-08, -2.221018e-07, -1.712071e-07, 3.480987e-07, -2.338221e-06, 1.318905e-07, 4.309808e-07, 6.660622e-08, -1.963619e-07, -4.824624e-08, 5.816082e-07, -1.647450e-07, -6.168393e-08, 2.506102e-07, -2.414327e-08, 2.652321e-07, -4.434592e-08, 4.119450e-08, 2.506554e-07, 1.406125e-07, -1.668813e-07, 1.431500e-07, -1.856506e-07, -4.454478e-08, 3.877900e-08, -1.944986e-08
-7.597484e-02, -2.694545e-07, 5.245583e-07, 2.671565e-07, 3.731701e-07, -4.375669e-07, -8.932933e-07, -9.452327e-08, 1.012921e-07, -1.371457e-08, 1.213476e-07, 1.880942e-07, 1.274577e-06, 1.285537e-07, -6.086607e-08, 1.537484e-07, -2.250132e-07, -1.974911e-07, 1.393859e-07, 1.443827e-07, -1.068872e-08, 6.638537e-08, 1.080377e-07, -1.466245e-07, 2.700293e-08, -5.894739e-08, -5.754872e-08, 2.382215e-08
-7.496855e-02, 2.359574e-07, 1.682866e-08, 7.188438e-08, 8.160891e-08, -2.555624e-07, 1.482626e-06, -1.459324e-07, -3.350579e-07, 4.975648e-08, 1.697136e-07, 2.609184e-07, -6.031741e-07, 1.518799e-07, 1.686500e-07, -1.129344e-07, 3.792849e-09, -2.619161e-08, -3.746936e-08, 3.507531e-10, -4.861681e-08, 1.409738e-07, 2.845840e-07, 4.729945e-08, -4.003052e-09, -4.578655e-08, 4.311540e-08, -3.935801e-08
-7.396226e-02, 8.027277e-08, -2.695032e-07, -6.099734e-08, -4.823531e-07, -1.711780e-07, 1.829277e-06, 9.301860e-08, -2.712766e-07, 1.181908e-07, 1.601100e-07, 1.025275e-07, -2.205304e-07, -1.345108e-08, -1.016113e-07, -2.063367e-07, 2.945140e-08, -5.935818e-08, -8.302309e-09, -8.360203e-08, 8.455056e-08, 1.752597e-07, 2.758397e-07, -1.422701e-08, -1.559965e-07, -7.944287e-08, 2.379532e-08, 3.764485e-08
-7.295597e-02, 3.975122e-07, 1.249406e-07, -4.249102e-07, -4.986295e-08, 5.347832e-08, -1.073507e-06, 7.808674e-08, 8.509954e-08, -2.049262e-08, 1.114998e-07, 2.076491e-07, 1.157598e-06, 3.043280e-07, -7.735596e-07, 8.113077e-07, -2.582945e-07, -2.693011e-07, 1.211025e-07, 1.014986e-07, 7.625312e-08, -1.902506e-08, -3.381272e-08, -3.275291e-08, -8.434132e-08, 4.958940e-08, -9.383847e-08, 2.842359e-08
-7.194969e-02, 1.360760e-07, -1.888063e-07, 3.139312e-07, -1.711432e-07, -4.669521e-07, 6.423009e-07, 6.422568e-08, -2.170329e-07, 1.400341e-08, 5.592532e-07, 3.161613e-07, 1.129815e-06, 3.397713e-07, -3.358430e-07, -2.854311e-08, -2.848043e-07, -6.710850e-08, 7.766821e-08, 8.463624e-08, 2.223725e-08, -6.215287e-08, 9.175492e-08, -8.910707e-08, 2.776315e-08, -1.465171e-08, -2.837217e-08, 5.014541e-08
-7.094340e-02, 2.029268e-07, -1.207606e-07, 3.565770e-07, 1.471653e-07, -6.426608e-07, 1.098547e-06, 5.533073e-08, -3.079385e-07, -4.569743e-08, -6.881204e-08, 2.531034e-07, -5.643447e-07, 4.854699e-07, -1.664998e-07, -2.833036e-07, -8.044984e-08, 8.286302e-09, -9.278193e-08, -4.770015e-08, 6.046495e-09, -2.325613e-07, -1.237106e-07, 2.292174e-07, 8.353930e-08, 4.168491e-08, 2.205842e-08, -7.922763e-08
-6.993711e-02, -1.219678e-07, 2.001041e-07, -1.932291e-07, -4.884000e-07, -1.513285e-07, -1.044916e-06, 1.715773e-07, 2.269282e-07, 4.411252e-08, -2.283453e-07, 2.368908e-07, 2.969426e-07, -1.335522e-07, 8.218368e-08, 3.308747e-08, 1.271568e-08, 2.299400e-07, 4.186908e-08, 1.933627e-07, 2.148322e-07, 2.680748e-07, -1.911524e-07, 6.041024e-08, -3.665601e-07, -8.184704e-08, 1.737681e-08, -3.748895e-08
-6.893082e-02, 4.080984e-07, -2.251374e-07, -5.489926e-07, -6.406883e-07, -2.832546e-07, 8.418934e-07, 1.697598e-07, -1.721597e-07, -4.944600e-09, -6.985515e-07, 2.701665e-07, 2.021428e-07, 3.583709e-07, 5.388501e-07, -2.745857e-07, -8.990648e-08, 4.268221e-07, -4.061902e-08, -5.649370e-08, 7.864086e-09, -7.012023e-08, -3.517826e-08, 5.324942e-08, -3.691038e-07, 4.054945e-08, 7.227478e-08, 1.972375e-08
-6.792453e-02, 2.102530e-07, -1.882349e-07, -9.513401e-08, 4.768155e-07, -2.350876e-07, 3.874066e-07, -2.118669e-08, -1.263398e-07, 1.970363e-08, -1.014633e-07, 1.316319e-07, 1.561408e-07, 2.735720e-07, -1.755901e-07, 2.099982e-07, -9.822223e-08, -1.360266e-07, 8.132350e-08, 9.395963e-08, 1.638245e-08, -9.276755e-08, -3.841465e-10, -5.955922e-08, 4.365504e-07, 1.968545e-08, -1.368583e-07, -3.800336e-08
-6.691824e-02, -4.917567e-07, 3.054567e-07, 7.080663e-07, 2.374460e-07, 5.395459e-07, -1.318300e-06, -1.644588e-07, 4.772075e-07, 2.766140e-08, -4.736308e-07, -4.238901e-07, 4.591239e-07, -4.911035e-07, 2.387894e-07, -7.935011e-07, 2.000362e-07, 1.445668e-07, -5.488363e-09, 1.673371e-08, 5.788358e-08, 5.098999e-08, -1.406842e-07, 1.169339e-09, -4.813262e-08, -1.568349e-08, -6.422178e-09, -1.247382e-09
-6.591195e-02, 3.874690e-07, 3.560813e-07, -2.945782e-07, -1.723645e-08, -3.294719e-08, 5.104512e-07, -1.706543e-08, -1.144631e-07, 4.234061e-08, 2.767552e-07, 1.314431e-07, -5.930460e-07, 2.156855e-07, 5.782114e-08, 5.439840e-07, 5.485415e-08, -7.899735e-08, -2.278859e-08, -4.135325e-08, 5.903804e-08, 1.567800e-08, 6.897296e-08, -9.223177e-08, -1.214662e-07, 1.145079e-08, 4.523375e-08, -3.395775e-09
-6.490566e-02, 2.197571e-07, -8.572624e-08, -3.989115e-07, 1.038112e-07, -3.304518e-08, 2.636048e-07, 1.786881e-07, -1.647637e-09, 6.002228e-08, -1.396169e-08, 2.022059e-07, -1.299018e-07, 1.182425e-07, 2.352226e-07, 3.233030e-07, 8.598735e-08, -7.061842e-08, 5.091053e-08, 1.154036e-07, 3.298296e-08, 1.122908e-07, 7.233375e-08, 1.845150e-08, 1.747485e-07, -2.576964e-08, -3.535378e-08, -1.915670e-08
-6.389937e-02, 9.413203e-08, -5.401974e-07, 7.098186e-08, 1.840885e-07, 9.636461e-08, 9.302470e-07, -1.967709e-08, -2.247486e-07, -1.991948e-08, -1.865577e-08, -2.516674e-07, -3.837174e-07, 1.610103e-07, 1.844767e-07, -3.358680e-07, -2.985131e-08, 1.279219e-07, 2.047834e-08, -3.206788e-08, 2.467079e-08, -2.612303e-07, 1.892594e-08, -1.299386e-07, 4.369171e-07, 6.523246e-08, -7.758305e-08, 1.272372e-08
-6.289308e-02, -1.909420e-07, -1.230234e-07, 2.362215e-07, 1.471097e-07, 5.784655e-08, 8.755089e-07, -6.073612e-08, -8.954175e-08, -3.680964e-08, -2.240030e-08, -4.308232e-08, -3.457092e-07, -2.548566e-07, -2.272231e-08, -3.423243e-07, 1.124959e-07, -1.653465e-07, -3.694187e-08, -1.961766e-07, 2.128363e-08, 1.538763e-07, -2.777483e-08, -8.705014e-08, 1.521168e-07, -1.963727e-08, -1.023208e-08, -4.142788e-08
