mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 4.741092e+05, -1.490685e+05, -1.870385e+05, 2.816710e+05, -3.741682e+05, 4.315997e+05, -2.812174e+04, 1.803706e+05, 6.199651e+04, -2.163519e+05, -4.536019e+05, -3.300796e+05, -4.621561e+05, -5.740396e+04, 1.907034e+05, -1.575680e+05, 6.779635e+03, -2.000463e+05, 8.892377e+04, 3.677217e+04, 2.845180e+03, -6.512568e+04, -9.630412e+04, -2.197307e+03, 3.535260e+03, 1.114301e+04, -2.009795e+03
-7.899371e-02, 6.743120e+04, -7.471770e+04, -1.879507e+05, 2.683001e+05, -4.078035e+05, 4.478671e+05, 4.534622e+04, 1.053207e+05, -2.966565e+05, -1.313432e+05, -6.927847e+05, -2.078573e+05, -2.962707e+04, 9.799068e+03, 1.780403e+05, -1.900299e+05, -1.022442e+03, -5.846872e+04, 2.128884e+04, 1.546410e+05, -9.076295e+04, 2.264244e+05, -5.080291e+03, 2.326221e+04, 1.423333e+04, 1.727619e+04, 4.401100e+03
-7.798742e-02, 8.775010e+05, 1.005573e+05, 1.861614e+05, -2.475627e+05, -6.075093e+05, 3.534557e+05, -2.017211e+03, 2.364447e+05, 2.278316e+05, 1.978969e+05, -2.972478e+05, -5.957253e+05, -9.625805e+05, 3.837739e+04, -1.888577e+05, -1.942860e+05, 1.304342e+04, 1.315323e+05, -3.460674e+04, 3.778811e+04, 7.169924e+04, -3.367360e+05, 3.841206e+04, -2.638125e+04, -1.948077e+04, -2.014771e+04, 1.091019e+03
-7.698113e-02, -2.210762e+05, 2.276367e+05, 1.055124e+05, -3.300043e+05, 1.911732e+05, 5.842535e+05, -1.709890e+04, 5.053991e+04, -8.741316e+04, -4.919644e+04, -8.229661e+05, 1.648472e+05, 6.258596e+05, -1.439401e+05, -1.039551e+05, -6.769350e+04, 1.038675e+04, -1.499355e+05, 8.845102e+04, -5.774369e+04, -1.165238e+05, 2.933139e+05, -9.061785e+04, -4.455840e+04, 8.812294e+03, 1.364560e+04, -6.422984e+02
-7.597484e-02, 1.871212e+05, -1.537101e+05, -3.018808e+05, 4.256056e+05, -8.028315e+04, 4.023252e+05, 1.464095e+04, 1.150292e+05, 5.633679e+04, -2.747939e+05, -3.036847e+05, -1.874693e+05, -1.413138e+05, -3.511157e+04, 2.967873e+05, -1.190754e+05, 1.181430e+04, -2.200916e+05, 1.116673e+05, -8.791243e+04, -1.202804e+04, 7.045936e+04, -1.025752e+05, -2.371912e+03, -4.862917e+03, 1.979661e+04, 2.488255e+03
-7.496855e-02, 4.322655e+04, 2.619705e+05, 1.921390e+05, -4.184454e+05, -3.214701e+05, -2.204229e+05, -7.722925e+03, 7.082654e+04, -1.728159e+05, 9.257661e+04, 6.490033e+05, -6.298056e+05, -2.658536e+05, -9.708682e+04, -1.993758e+05, -2.990416e+04, 3.640219e+04, -3.941584e+04, 5.160398e+04, -5.039204e+04, 2.670339e+04, 1.848061e+05, -4.108121e+04, -5.613189e+04, 2.175277e+04, -8.269409e+03, 2.868557e+03
-7.396226e-02, 1.225437e+05, -5.165482e+04, -4.735471e+04, 9.618645e+04, -1.202952e+05, 2.443507e+05, 6.684677e+03, 1.088274e+05, 9.810095e+03, -1.941233e+04, -5.845798e+04, -2.606000e+05, -1.988563e+05, 3.075034e+04, 4.856115e+04, -1.349051e+05, -1.115245e+04, 9.101923e+03, -2.467055e+03, -1.590498e+05, 1.600465e+04, 1.165325e+05, 2.502634e+02, 5.994396e+03, -7.295213e+03, 3.524039e+03, -4.997745e+02
-7.295597e-02, 1.069529e+05, 3.393058e+05, 5.576802e+05, -8.258348e+05, -9.185236e+04, 4.709695e+05, -3.491652e+04, 1.063494e+05, -3.233453e+04, 4.909330e+05, -5.294932e+05, -9.489827e+04, 1.224684e+03, 3.600671e+04, -5.514258e+05, -1.466780e+05, 7.549464e+03, 3.131360e+05, -1.161577e+05, -4.116855e+04, -5.124016e+04, 1.435767e+05, 1.073733e+05, -4.956750e+04, -5.728423e+03, -4.408466e+04, -2.566707e+03
-7.194969e-02, 4.712583e+05, 3.821390e+05, 3.646251e+05, -7.056043e+05, -2.172044e+05, 3.727361e+05, -3.205548e+04, 1.588751e+05, 1.641333e+05, 1.764907e+05, -3.085168e+05, -2.430420e+05, -4.701775e+05, -1.336410e+05, -3.617704e+05, -1.404982e+05, 2.080941e+04, -1.856279e+04, 4.812595e+04, -4.210872e+04, 1.501337e+04, -9.050145e+04, -5.246949e+04, -7.307751e+04, -1.159333e+04, -7.929747e+03, -1.131955e+03
-7.094340e-02, 2.610078e+03, -2.381149e+04, -1.799600e+05, 1.734472e+05, -1.346538e+05, -2.369836e+05, 6.636353e+03, 7.333589e+04, -2.561063e+04, -2.489755e+05, 8.295194e+05, -5.612093e+05, -2.944074e+05, -1.248662e+05, 1.748394e+05, -3.502762e+04, 1.491977e+04, -2.313901e+05, 9.398214e+04, -2.576491e+05, 8.359665e+04, 1.604511e+05, -8.629335e+04, 7.320065e+03, 9.780745e+03, 2.662813e+04, 2.081841e+03
