mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 1.983050e-07, -1.247949e-07, -1.519866e-08, -1.247513e-07, 5.706762e-09, -1.057501e-07, -1.519887e-08, -1.057466e-07, 3.745065e-08
-7.899371e-02, 1.762095e-07, -5.512279e-08, 4.003942e-08, -5.513110e-08, -1.030210e-08, 1.058268e-09, 4.002302e-08, 1.050814e-09, -1.724013e-09
-7.798742e-02, -8.823696e-09, 1.776033e-07, 9.164126e-08, 1.775216e-07, -9.428205e-08, 1.703589e-07, 9.163572e-08, 1.703760e-07, -4.806845e-09
-7.698113e-02, 1.844038e-07, 6.187040e-08, -1.669557e-09, 6.162810e-08, -8.657586e-08, -2.985742e-08, -1.672914e-09, -2.985731e-08, -3.439402e-08
-7.597484e-02, 3.118598e-07, -2.312843e-07, -6.816013e-08, -2.312482e-07, -7.695302e-08, 4.191059e-08, -6.816537e-08, 4.190925e-08, -3.737332e-08
-7.496855e-02, 2.731569e-07, 5.656913e-08, 2.653317e-08, 5.656536e-08, -1.063663e-08, 2.854079e-08, 2.656058e-08, 2.857730e-08, 4.505079e-08
-7.396226e-02, -2.720713e-07, 8.002106e-08, -9.818847e-09, 8.011905e-08, -2.790520e-07, 5.566979e-08, -9.818937e-09, 5.566603e-08, -2.296389e-08
-7.295597e-02, -1.845750e-07, 1.004642e-07, -4.750892e-08, 1.003936e-07, 7.635787e-08, -9.284013e-08, -4.749459e-08, -9.284899e-08, 3.373022e-08
-7.194969e-02, -2.444517e-07, -7.040388e-08, -3.759891e-08, -7.042701e-08, 5.564238e-08, 1.070469e-08, -3.759476e-08, 1.071458e-08, -4.231948e-09
-7.094340e-02, 4.726675e-08, -1.053609e-07, -5.480765e-08, -1.054349e-07, 2.656442e-07, -2.729007e-08, -5.480490e-08, -2.729018e-08, 2.160869e-08
-6.993711e-02, -2.520426e-07, -1.141824e-07, 1.142104e-07, -1.142436e-07, 9.227434e-08, -7.771032e-08, 1.142223e-07, -7.769711e-08, -4.055518e-08
-6.893082e-02, -1.862041e-07, -1.046478e-07, -2.960102e-08, -1.047090e-07, 1.983751e-07, -3.079299e-08, -2.959861e-08, -3.079111e-08, -2.485399e-08
-6.792453e-02, 3.743600e-08, -1.811769e-08, 2.557076e-09, -1.823093e-08, 1.821062e-07, -8.397302e-08, 2.558097e-09, -8.395234e-08, 1.409778e-08
-6.691824e-02, 3.959066e-07, -7.001405e-10, -2.439901e-08, -6.799018e-10, -3.136758e-08, -3.017920e-08, -2.441435e-08, -3.017960e-08, 4.476252e-08
-6.591195e-02, 2.328964e-07, 4.882284e-08, 5.845683e-09, 4.889093e-08, 2.973010e-07, -4.359925e-08, 5.840739e-09, -4.358890e-08, 3.027686e-08
-6.490566e-02, 5.025720e-08, 1.390799e-07, 2.651371e-09, 1.390188e-07, -1.804509e-08, -4.359325e-08, 2.659345e-09, -4.357225e-08, 1.100322e-08
-6.389937e-02, 5.548931e-08, -1.593666e-07, 3.320322e-08, -1.594136e-07, 9.896370e-09, -6.784820e-08, 3.320344e-08, -6.783254e-08, 6.435976e-09
-6.289308e-02, -9.962077e-08, 9.285323e-09, 6.507037e-09, 9.417532e-09, -1.197911e-07, 3.641007e-08, 6.501618e-09, 3.642674e-08, 2.458983e-08
-6.188679e-02, 2.340490e-07, 1.480043e-07, 4.116343e-09, 1.479464e-07, 4.609727e-08, -2.499129e-08, 4.124937e-09, -2.499842e-08, 2.917878e-09
-6.088050e-02, -6.218512e-08, 4.982872e-08, -6.164022e-09, 4.988217e-08, 2.059743e-08, -7.239382e-08, -6.163635e-09, -7.238720e-08, 1.424514e-08
-5.987421e-02, -4.243053e-08, 5.978541e-08, 1.659328e-11, 5.963552e-08, 6.507607e-08, 4.382283e-09, 2.755988e-11, 4.381293e-09, 3.547396e-09
-5.886792e-02, -4.800518e-07, 2.909821e-08, -3.256167e-08, 2.924902e-08, -1.065507e-07, 3.099856e-08, -3.254177e-08, 3.100573e-08, -1.292007e-08
-5.786164e-02, 5.790403e-08, 5.406188e-09, -2.579225e-08, 5.427999e-09, 8.672564e-08, -1.108371e-08, -2.577264e-08, -1.108803e-08, -1.997216e-08
-5.685535e-02, -5.702023e-08, -4.893686e-08, 1.584870e-08, -4.894241e-08, 1.109049e-08, -3.944331e-08, 1.584846e-08, -3.944791e-08, -2.393601e-08
-5.584906e-02, 1.003640e-08, 2.295596e-08, -2.900200e-09, 2.292954e-08, 1.561690e-07, -6.162354e-08, -2.909108e-09, -6.161867e-08, 4.640816e-09
-5.484277e-02, -1.401023e-07, 3.460809e-08, 8.938145e-09, 3.467769e-08, -6.995502e-08, -3.880523e-08, 8.942862e-09, -3.880180e-08, -3.138974e-08
-5.383648e-02, -6.478063e-08, 3.116778e-08, -5.111642e-08, 3.116413e-08, -6.597084e-09, 8.045538e-09, -5.112128e-08, 8.045835e-09, 1.556839e-08
-5.283019e-02, 6.176406e-08, 1.021590e-08, -1.162812e-08, 1.026040e-08, -1.676664e-07, -5.212166e-09, -1.162023e-08, -5.207305e-09, -1.664785e-08
-5.182390e-02, 2.571952e-07, -9.651309e-08, -2.462146e-08, -9.667745e-08, 2.623966e-07, -2.216637e-08, -2.461308e-08, -2.217770e-08, 3.507168e-08
-5.081761e-02, 5.505915e-09, 3.469599e-09, -2.937875e-08, 3.527404e-09, 9.312504e-08, 1.752121e-08, -2.939156e-08, 1.752585e-08, 1.859773e-08
-4.981132e-02, -6.562980e-08, 8.289674e-08, 1.085951e-08, 8.295785e-08, 1.062350e-07, -1.364021e-08, 1.086271e-08, -1.364783e-08, -9.436755e-10
-4.880503e-02, -4.537447e-08, -4.474748e-08, -4.956459e-08, -4.476958e-08, -8.722331e-08, -1.733354e-08, -4.955316e-08, -1.731733e-08, -1.270778e-08
-4.779874e-02, -1.429711e-08, 1.379846e-08, 3.317306e-09, 1.384882e-08, 3.313244e-09, -1.195095e-08, 3.316026e-09, -1.195538e-08, -1.015356e-08
-4.679245e-02, -1.384234e-09, 9.602877e-09, -1.127752e-08, 9.561999e-09, -4.794063e-08, 8.177280e-09, -1.126924e-08, 8.181278e-09, -4.950652e-09
-4.578616e-02, -3.596231e-08, -4.420755e-08, 1.749452e-10, -4.413374e-08, 2.314275e-08, 3.868782e-10, 1.707135e-10, 3.842463e-10, -3.493803e-09
-4.477987e-02, -4.994505e-08, -3.018010e-08, 2.572368e-09, -3.014570e-08, -3.560217e-08, -1.037841e-08, 2.570253e-09, -1.037814e-08, -2.727021e-09
-4.377358e-02, 2.113851e-08, 3.022279e-08, 1.018141e-08, 3.021679e-08, -2.322107e-08, 8.720084e-09, 1.017637e-08, 8.721662e-09, -4.891844e-09
-4.276730e-02, 7.655914e-08, -2.001017e-08, -2.500589e-08, -2.002455e-08, 1.053655e-08, 4.940153e-09, -2.500644e-08, 4.942361e-09, 1.058328e-08
-4.176101e-02, -3.322842e-08, -3.189549e-08, 2.361760e-09, -3.188816e-08, 5.199436e-08, 8.468386e-09, 2.360114e-09, 8.472870e-09, -1.020348e-08
