mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 4.107864e+07, -1.377647e+04, -4.351519e+04, -1.377647e+04, 4.105138e+07, 1.350473e+04, -4.351519e+04, 1.350473e+04, 8.332550e+06
-7.899371e-02, 4.055284e+07, -5.904980e+04, 1.428268e+04, -5.904980e+04, 4.059197e+07, 8.481841e+03, 1.428268e+04, 8.481841e+03, 8.180016e+06
-7.798742e-02, 4.004920e+07, -7.384580e+04, 2.446916e+04, -7.384580e+04, 4.007262e+07, 1.967752e+03, 2.446916e+04, 1.967752e+03, 8.017777e+06
-7.698113e-02, 3.955466e+07, -3.672859e+04, 1.226304e+03, -3.672859e+04, 3.956773e+07, 1.954911e+03, 1.226304e+03, 1.954911e+03, 7.848321e+06
-7.597484e-02, 3.909447e+07, 8.657232e+04, 7.891010e+04, 8.657232e+04, 3.906358e+07, 4.321954e+03, 7.891010e+04, 4.321954e+03, 7.686320e+06
-7.496855e-02, 3.860778e+07, -2.491782e+04, -1.929432e+04, -2.491782e+04, 3.844824e+07, -1.273597e+04, -1.929432e+04, -1.273597e+04, 7.551983e+06
-7.396226e-02, 3.815046e+07, 4.679520e+03, -9.764407e+03, 4.679520e+03, 3.800512e+07, -5.026273e+03, -9.764407e+03, -5.026273e+03, 7.372234e+06
-7.295597e-02, 3.749925e+07, 5.037160e+04, -4.449185e+04, 5.037160e+04, 3.758061e+07, 6.174255e+04, -4.449185e+04, 6.174255e+04, 7.230865e+06
-7.194969e-02, 3.694904e+07, 5.608835e+04, -4.861417e+04, 5.608835e+04, 3.713240e+07, -7.574686e+03, -4.861417e+04, -7.574686e+03, 7.079989e+06
-7.094340e-02, 3.652519e+07, 2.621047e+04, -2.535532e+04, 2.621047e+04, 3.644605e+07, -1.540059e+04, -2.535532e+04, -1.540059e+04, 6.952344e+06
-6.993711e-02, 3.606977e+07, -7.453693e+04, 6.155598e+04, -7.453693e+04, 3.596804e+07, 2.678890e+04, 6.155598e+04, 2.678890e+04, 6.784171e+06
-6.893082e-02, 3.561351e+07, 1.335157e+03, -3.192280e+04, 1.335157e+03, 3.541185e+07, 1.208997e+04, -3.192280e+04, 1.208997e+04, 6.635963e+06
-6.792453e-02, 3.496499e+07, 3.329457e+04, -5.242093e+04, 3.329457e+04, 3.501413e+07, -2.140370e+04, -5.242093e+04, -2.140370e+04, 6.496216e+06
-6.691824e-02, 3.444957e+07, 3.733518e+04, 4.078893e+04, 3.733518e+04, 3.448719e+07, 7.625286e+03, 4.078893e+04, 7.625286e+03, 6.358956e+06
-6.591195e-02, 3.393277e+07, 2.490709e+04, -1.393055e+04, 2.490709e+04, 3.393520e+07, -4.824864e+04, -1.393055e+04, -4.824864e+04, 6.219701e+06
-6.490566e-02, 3.338849e+07, 1.645304e+04, 7.815925e+04, 1.645304e+04, 3.347753e+07, 2.291008e+04, 7.815925e+04, 2.291008e+04, 6.082100e+06
-6.389937e-02, 3.289167e+07, 3.044103e+04, 2.823587e+04, 3.044103e+04, 3.289627e+07, 3.149267e+04, 2.823587e+04, 3.149267e+04, 5.951462e+06
-6.289308e-02, 3.239102e+07, -4.647664e+02, 2.051545e+04, -4.647664e+02, 3.237811e+07, 2.237327e+04, 2.051545e+04, 2.237327e+04, 5.812854e+06
-6.188679e-02, 3.174321e+07, -1.838599e+04, 6.867596e+04, -1.838599e+04, 3.197852e+07, 7.415358e+04, 6.867596e+04, 7.415358e+04, 5.683550e+06
-6.088050e-02, 3.126563e+07, -5.051777e+04, 1.902117e+04, -5.051777e+04, 3.138796e+07, 3.648317e+04, 1.902117e+04, 3.648317e+04, 5.550222e+06
-5.987421e-02, 3.084151e+07, -5.632003e+04, 2.521175e+03, -5.632003e+04, 3.076464e+07, 4.366191e+04, 2.521175e+03, 4.366191e+04, 5.423745e+06
-5.886792e-02, 3.033503e+07, -2.690762e+03, 1.520525e+04, -2.690762e+03, 3.029879e+07, 4.040409e+04, 1.520525e+04, 4.040409e+04, 5.278804e+06
-5.786164e-02, 2.974879e+07, -4.914049e+04, 4.172793e+04, -4.914049e+04, 2.976345e+07, -2.018625e+04, 4.172793e+04, -2.018625e+04, 5.166502e+06
-5.685535e-02, 2.916103e+07, 1.224884e+05, 3.558562e+04, 1.224884e+05, 2.932709e+07, -1.268655e+04, 3.558562e+04, -1.268655e+04, 5.036497e+06
-5.584906e-02, 2.875099e+07, -5.283913e+04, 4.092593e+04, -5.283913e+04, 2.869182e+07, -3.085113e+04, 4.092593e+04, -3.085113e+04, 4.912744e+06
-5.484277e-02, 2.808467e+07, -1.198551e+04, -2.656310e+03, -1.198551e+04, 2.833806e+07, 8.447965e+03, -2.656310e+03, 8.447965e+03, 4.782490e+06
-5.383648e-02, 2.774174e+07, 6.594823e+04, -6.975080e+03, 6.594823e+04, 2.757742e+07, 3.821976e+04, -6.975080e+03, 3.821976e+04, 4.670239e+06
-5.283019e-02, 2.722967e+07, -7.360545e+04, -6.168748e+04, -7.360545e+04, 2.706483e+07, 2.822698e+04, -6.168748e+04, 2.822698e+04, 4.547302e+06
-5.182390e-02, 2.660652e+07, -1.566241e+05, 3.346276e+04, -1.566241e+05, 2.663825e+07, -2.932267e+04, 3.346276e+04, -2.932267e+04, 4.429793e+06
-5.081761e-02, 2.607935e+07, 3.027813e+04, 3.984101e+04, 3.027813e+04, 2.608961e+07, -1.092273e+04, 3.984101e+04, -1.092273e+04, 4.318465e+06
-4.981132e-02, 2.555107e+07, -1.124973e+05, 1.088897e+04, -1.124973e+05, 2.559188e+07, -3.022486e+04, 1.088897e+04, -3.022486e+04, 4.199876e+06
