mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.272014e-04, -2.709914e-06, 1.284048e-04, -1.884593e-05, -1.657950e-04, 7.742278e-04, -3.057371e-06, -3.067899e-06, -7.255524e-05, 1.303250e-04, -5.143862e-05, -6.665299e-04, -7.890488e-05, -9.381019e-05, 1.773435e-04, -5.419381e-06, 5.533879e-06, 1.889254e-05, -9.090489e-06, -2.242973e-05, 3.308469e-05, -5.951143e-06, 7.807110e-06, 1.174217e-05, 8.534392e-07, -2.013416e-06, -5.422102e-06
-7.899371e-02, -2.730444e-05, 6.629913e-05, 7.877385e-05, -1.865444e-05, -5.724828e-05, -2.453455e-04, -6.666300e-07, 1.482192e-06, -4.350277e-05, 4.973208e-05, -3.941519e-05, -2.767276e-04, -4.921288e-05, -4.184413e-06, 2.324796e-04, -7.107653e-06, 1.378151e-06, 3.479062e-07, -1.013241e-05, -2.221504e-05, -1.459542e-05, -2.195771e-05, 6.611494e-06, -3.271381e-05, -3.538576e-06, -5.920792e-06, 4.328364e-06
-7.798742e-02, -2.325548e-06, 2.840512e-05, 1.221510e-04, 3.726791e-05, -1.768289e-05, 2.080840e-04, 5.304581e-06, -3.299505e-07, -6.008052e-05, 7.111614e-05, 4.116490e-05, -2.835101e-04, 4.614951e-05, -1.075857e-04, 1.317040e-04, 4.887172e-06, 6.180289e-06, 8.112684e-06, -1.545732e-05, -1.727113e-05, 1.891215e-05, -1.736957e-05, 1.557695e-05, 4.610089e-05, -5.979065e-06, -6.693340e-07, -8.611950e-07
-7.698113e-02, 1.387564e-05, 4.348693e-05, -1.737818e-04, 4.202455e-05, -4.445111e-05, -5.433563e-05, 2.460306e-06, -1.604868e-06, -4.022668e-05, 4.169006e-05, -5.277096e-05, 3.307138e-04, -8.009555e-05, -6.414313e-06, -1.149220e-05, -1.798310e-06, 5.219038e-07, 4.584452e-06, -9.842933e-06, -1.213481e-05, -7.762418e-06, -8.324791e-06, 8.625838e-06, 2.939802e-06, 2.281979e-06, -5.856959e-06, -7.912619e-07
-7.597484e-02, 4.123535e-05, 2.846477e-05, 7.671541e-05, 3.100390e-05, -1.978477e-05, -7.143505e-05, -7.064349e-07, 2.202473e-06, -9.593344e-05, -3.663561e-05, 1.886289e-06, -1.063340e-04, -9.618493e-06, 2.841584e-05, -1.354198e-05, 1.784032e-06, 2.123677e-06, 2.663098e-05, -1.560905e-05, -1.153118e-05, 4.597667e-05, -1.333443e-05, 1.603974e-05, 9.787884e-06, -5.393758e-06, -1.956202e-06, -8.937724e-07
-7.496855e-02, -3.409298e-05, 2.644535e-05, 5.351264e-05, 4.111482e-05, -2.467286e-06, -2.949427e-04, 2.288759e-06, 3.551198e-06, -5.764095e-05, 1.526910e-05, -1.897437e-05, 3.150564e-04, -5.207180e-05, -1.491541e-05, -5.884172e-06, 2.667923e-06, 6.582360e-06, 2.245198e-06, -8.222273e-06, -2.196142e-06, -1.331841e-05, -1.438314e-06, 7.895127e-06, -3.595901e-05, 2.508949e-06, 1.085683e-06, -1.223594e-06
-7.396226e-02, -1.010853e-04, 4.083080e-06, 7.561450e-05, 1.712130e-05, 8.305054e-05, -5.066617e-04, -7.890158e-07, 1.265343e-06, -4.411094e-05, 8.732079e-05, 3.779206e-05, 4.370432e-04, 3.008359e-05, -6.681991e-05, -1.702328e-04, 7.179592e-06, 4.296229e-06, 7.119404e-06, 1.132470e-05, -1.157209e-05, -8.440438e-06, -1.486033e-05, -8.511100e-06, -3.227357e-05, -3.136772e-06, 1.824797e-06, -2.707784e-06
-7.295597e-02, -4.155380e-06, 6.458339e-05, -9.685801e-06, 5.953771e-06, -2.037291e-05, -7.980050e-05, -4.760741e-06, 6.332695e-06, -4.231898e-05, 5.628049e-05, -6.076864e-05, -2.846673e-04, -6.297317e-05, -3.795573e-05, -1.427042e-05, 1.803674e-06, -6.133540e-06, 1.896866e-05, -6.606995e-06, -1.622804e-05, -1.378664e-05, -1.148177e-05, 7.601478e-06, -3.490061e-07, -9.615347e-07, -5.691841e-06, -2.827805e-06
-7.194969e-02, -1.013840e-04, 3.527587e-05, -1.409589e-04, 3.163075e-05, 5.050758e-05, -7.837731e-05, 1.285856e-06, 2.115171e-06, -1.047925e-05, 6.766484e-05, -6.184670e-05, -6.539593e-05, -5.661123e-05, -6.142903e-05, 2.608910e-04, 2.539323e-06, 2.175858e-06, 2.088392e-05, 1.409949e-06, -1.507454e-05, -1.900863e-05, -1.680621e-05, -1.621906e-06, 2.231566e-06, 2.012682e-07, 8.135725e-07, 2.208459e-06
-7.094340e-02, -6.057084e-05, 1.185777e-05, -5.266131e-05, -2.028155e-05, 4.540811e-05, -8.636112e-04, 6.526451e-07, -7.381780e-06, -6.195884e-05, 5.009565e-05, -8.939827e-06, 7.774947e-04, -2.158312e-05, -4.108630e-05, -1.193212e-04, 9.544702e-06, 4.479717e-06, 1.847193e-05, 6.976956e-06, -7.794996e-06, -7.029827e-06, -1.768392e-05, -7.243262e-06, -1.142096e-05, -1.749788e-06, -3.639841e-06, 1.720188e-06
