mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 3.277689e+06, 1.161026e+04, 2.024256e+03, 1.161026e+04, 3.294717e+06, -2.394172e+03, 2.024256e+03, -2.394172e+03, 6.659314e+05
-7.899371e-02, 3.252558e+06, 5.068326e+03, 3.854222e+03, 5.068326e+03, 3.236805e+06, -1.402788e+03, 3.854222e+03, -1.402788e+03, 6.541656e+05
-7.798742e-02, 3.201438e+06, -1.670261e+03, -1.798395e+01, -1.670261e+03, 3.205996e+06, 3.096500e+02, -1.798395e+01, 3.096500e+02, 6.417868e+05
-7.698113e-02, 3.171775e+06, -1.023670e+04, -9.950172e+01, -1.023670e+04, 3.157015e+06, 1.662953e+03, -9.950172e+01, 1.662953e+03, 6.289246e+05
-7.597484e-02, 3.122113e+06, -2.021310e+03, -2.222229e+03, -2.021310e+03, 3.127583e+06, 4.600968e+03, -2.222229e+03, 4.600968e+03, 6.161547e+05
-7.496855e-02, 3.078504e+06, -3.412644e+03, -3.051081e+03, -3.412644e+03, 3.090551e+06, 3.919480e+03, -3.051081e+03, 3.919480e+03, 6.034068e+05
-7.396226e-02, 3.045673e+06, -6.818270e+03, 1.289903e+03, -6.818270e+03, 3.042087e+06, 1.764739e+03, 1.289903e+03, 1.764739e+03, 5.908417e+05
-7.295597e-02, 3.003751e+06, 9.263795e+03, -2.610487e+03, 9.263795e+03, 3.004098e+06, -2.541653e+03, -2.610487e+03, -2.541653e+03, 5.789908e+05
-7.194969e-02, 2.958678e+06, 3.295166e+03, 9.469723e+02, 3.295166e+03, 2.963033e+06, 6.314588e+02, 9.469723e+02, 6.314588e+02, 5.672762e+05
-7.094340e-02, 2.929997e+06, -5.089721e+03, -2.688896e+02, -5.089721e+03, 2.918361e+06, -3.454264e+03, -2.688896e+02, -3.454264e+03, 5.541224e+05
-6.993711e-02, 2.881030e+06, -1.747408e+03, 9.504321e+01, -1.747408e+03, 2.879723e+06, -3.258732e+03, 9.504321e+01, -3.258732e+03, 5.436355e+05
-6.893082e-02, 2.837371e+06, 5.887034e+03, 3.692346e+03, 5.887034e+03, 2.837313e+06, 8.574372e+02, 3.692346e+03, 8.574372e+02, 5.329576e+05
-6.792453e-02, 2.799121e+06, -2.518429e+03, -4.520832e+03, -2.518429e+03, 2.796397e+06, -1.483872e+03, -4.520832e+03, -1.483872e+03, 5.203099e+05
-6.691824e-02, 2.757790e+06, -7.000600e+03, -2.718677e+03, -7.000600e+03, 2.753442e+06, 2.065781e+03, -2.718677e+03, 2.065781e+03, 5.096533e+05
-6.591195e-02, 2.718483e+06, 5.471187e+03, -2.286757e+03, 5.471187e+03, 2.713035e+06, 7.695327e+02, -2.286757e+03, 7.695327e+02, 4.972194e+05
-6.490566e-02, 2.684228e+06, 1.086311e+03, -4.213066e+03, 1.086311e+03, 2.666126e+06, -1.878921e+03, -4.213066e+03, -1.878921e+03, 4.861100e+05
-6.389937e-02, 2.628651e+06, -1.631002e+03, 1.222018e+03, -1.631002e+03, 2.637120e+06, 3.485968e+03, 1.222018e+03, 3.485968e+03, 4.754565e+05
-6.289308e-02, 2.590620e+06, -7.016864e+03, -1.734792e+03, -7.016864e+03, 2.587278e+06, -4.098991e+03, -1.734792e+03, -4.098991e+03, 4.655915e+05
-6.188679e-02, 2.544346e+06, -6.052980e+03, -4.167650e+02, -6.052980e+03, 2.551006e+06, -4.360145e+01, -4.167650e+02, -4.360145e+01, 4.549362e+05
-6.088050e-02, 2.500367e+06, 3.611831e+03, 2.475711e+03, 3.611831e+03, 2.511649e+06, -8.800538e+02, 2.475711e+03, -8.800538e+02, 4.441864e+05
