mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, 1.901190e+02, -3.581287e+01, -2.569431e+01, 5.590556e+01, -1.996769e+02, 2.720385e+02, -4.482012e-02, 1.099617e+02, -5.895508e+00, -1.354319e+01, -1.844896e+02, -2.832448e+02, -1.962949e+02, 8.827081e+00, 2.612428e+01, -1.094739e+02, -1.876398e+00, 1.248597e+00, -5.768950e+00, -5.676798e+01, 6.898975e-01, 6.160308e+01, 5.054804e+00, 7.397409e+00, 1.037187e+00, 2.406467e-01, -1.924154e-01
-7.798742e-02, 3.788672e+02, -8.624402e+01, -6.928447e+01, 1.431602e+02, -3.858798e+02, 5.421879e+02, 2.240149e+00, 2.156635e+02, -3.963609e+00, -4.007252e+01, -3.719453e+02, -5.544803e+02, -3.819987e+02, 1.755137e+01, 6.942234e+01, -2.143035e+02, -2.811993e+00, -5.034369e+00, -8.695212e+00, -1.130516e+02, 6.832571e-01, 1.159588e+02, 8.425463e+00, 1.717087e+01, 8.911552e-01, 1.684428e+00, -6.398401e-02
-7.698113e-02, 5.566246e+02, -8.877889e+01, -7.812187e+01, 1.531122e+02, -5.740828e+02, 7.985110e+02, 2.016336e+00, 3.187576e+02, -9.769026e+00, -4.920914e+01, -5.451859e+02, -8.270198e+02, -5.613360e+02, 1.577318e+01, 7.828062e+01, -3.169534e+02, -2.555796e+00, -1.271618e+01, -5.271283e+00, -1.683235e+02, 1.216285e+00, 1.740076e+02, 4.999676e+00, 1.681065e+01, 1.440503e+00, 2.110437e+00, -6.332827e-02
-7.597484e-02, 7.133884e+02, -4.866469e+01, -4.509664e+01, 8.537564e+01, -7.388411e+02, 1.059123e+03, 1.372117e-01, 4.164861e+02, -1.564925e+01, -2.957867e+01, -7.265218e+02, -1.075191e+03, -7.141353e+02, 9.678723e+00, 4.563624e+01, -4.172882e+02, -2.293725e+00, -9.179531e+00, -1.489177e+00, -2.285277e+02, -5.288365e-01, 2.397398e+02, 6.251375e-01, 8.225337e+00, 1.488802e+00, 1.007126e+00, -2.242549e-01
-7.496855e-02, 8.810297e+02, -3.642292e+00, -8.760458e+00, 1.226941e+01, -9.138439e+02, 1.304924e+03, 8.406080e-01, 5.167513e+02, -1.848517e+01, -6.405082e+00, -8.790940e+02, -1.338687e+03, -8.909575e+02, 3.099188e+00, 8.985555e+00, -5.181083e+02, -1.584177e+00, -3.892915e+00, 3.111367e+00, -2.906157e+02, 1.818692e+00, 2.997578e+02, -3.481822e+00, -8.112631e-01, 1.659863e+00, 5.153729e-01, -8.775435e-02
-7.396226e-02, 1.051676e+03, 2.769375e+01, 2.127700e+01, -4.356838e+01, -1.096058e+03, 1.537741e+03, 3.661733e-01, 6.165774e+02, -2.221846e+01, 1.405938e+01, -1.007171e+03, -1.610566e+03, -1.084956e+03, -1.756140e+00, -2.118765e+01, -6.170323e+02, -4.466267e-01, 2.852128e+00, 4.041337e+00, -3.504469e+02, 7.585576e+00, 3.550641e+02, -4.159304e+00, -6.571072e+00, 2.648968e+00, -5.273993e-01, -2.263067e-02
-7.295597e-02, 1.228315e+03, 5.051762e+01, 4.005050e+01, -8.186997e+01, -1.273991e+03, 1.782409e+03, -3.639980e-01, 7.176844e+02, -2.276186e+01, 2.440434e+01, -1.167385e+03, -1.867911e+03, -1.267421e+03, -7.718459e+00, -4.007727e+01, -7.161854e+02, 9.356788e-01, 2.942848e+00, 6.790222e+00, -4.038506e+02, 8.715196e+00, 4.093884e+02, -6.669904e+00, -1.107898e+01, 3.385041e+00, -1.093030e+00, 3.829929e-02
-7.194969e-02, 1.419353e+03, 5.119606e+01, 3.123783e+01, -7.432203e+01, -1.464306e+03, 2.022078e+03, 3.816483e-01, 8.230025e+02, -2.109884e+01, 1.254628e+01, -1.323061e+03, -2.135330e+03, -1.466810e+03, -1.321356e+01, -3.159151e+01, -8.172419e+02, 1.741527e+00, -9.268575e+00, 1.339502e+01, -4.548900e+02, 1.120113e+01, 4.584077e+02, -1.274575e+01, -1.214780e+01, 4.343334e+00, 2.498271e-01, 1.841411e-01
-7.094340e-02, 1.584831e+03, 5.640114e+01, 2.462886e+01, -7.346295e+01, -1.626722e+03, 2.266237e+03, 6.956588e-01, 9.212281e+02, -1.786826e+01, 2.191761e+00, -1.479237e+03, -2.383667e+03, -1.635376e+03, -1.769856e+01, -2.504582e+01, -9.151162e+02, 1.623956e+00, -1.997577e+01, 1.930614e+01, -5.153096e+02, 1.284519e+01, 5.134219e+02, -1.860163e+01, -1.389475e+01, 4.118588e+00, 1.363204e+00, 2.032251e-01
