mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -3.509475e+04, 4.249854e+01, -3.687894e+02, -1.926310e+01, 3.529736e+04, -1.746891e+06, 9.927599e+00, -1.178423e+03, -1.323671e+02, 1.023673e+02, 3.517610e+04, 1.746395e+06, 3.522102e+04, 1.153276e+02, 3.671439e+02, 1.171739e+03, -9.383420e+00, -1.459746e+02, -8.995070e+00, 1.423314e+04, 9.662536e+01, -1.421570e+04, 1.066956e+01, 1.113743e+02, -1.499574e+01, -2.680029e+01, -7.365741e-01
-7.899371e-02, -3.428081e+04, 3.305717e+00, -1.860594e+02, -1.632306e+01, 3.431713e+04, -1.723683e+06, -4.462850e+00, -1.284469e+03, -1.443366e+01, 1.062171e+02, 3.428458e+04, 1.723930e+06, 3.424206e+04, 9.739578e+01, 1.894717e+02, 1.271552e+03, 4.280483e+00, -1.283773e+02, 1.982615e+01, 1.388992e+04, -2.622836e+01, -1.382745e+04, -2.061435e+01, 6.949046e+01, 1.127147e+01, -1.058680e+01, 3.906579e-01
-7.798742e-02, -3.336836e+04, 1.547561e+01, -1.210159e+02, 4.904302e+00, 3.335779e+04, -1.701252e+06, -2.014976e+00, -1.358830e+03, 1.717149e+00, 3.692189e+01, 3.336827e+04, 1.701069e+06, 3.339297e+04, 3.873277e+01, 1.118884e+02, 1.373115e+03, 3.334733e+00, -4.836672e+01, 2.763084e+00, 1.347569e+04, 2.177685e+01, -1.351424e+04, 4.707501e-01, 1.218808e+01, -7.554999e+00, -8.551573e+00, -1.494809e+00
-7.698113e-02, -3.263137e+04, -4.348945e+01, 3.259564e+02, 1.270098e+01, 3.246860e+04, -1.678701e+06, -5.335184e+00, -1.461413e+03, 1.076365e+02, -5.603098e+01, 3.255179e+04, 1.679276e+06, 3.250867e+04, -8.841563e+01, -3.326400e+02, 1.455371e+03, 4.947551e+00, 9.811329e+01, 1.853176e+01, 1.316712e+04, -6.885304e+01, -1.315290e+04, -1.803273e+01, -7.058483e+01, 2.012300e+01, 2.346988e+01, -3.318044e-01
-7.597484e-02, -3.175505e+04, 1.356344e+01, -5.506876e+01, -3.478061e+00, 3.158542e+04, -1.656860e+06, 4.811773e+00, -1.522808e+03, 9.762091e+01, -1.517904e+01, 3.170716e+04, 1.656883e+06, 3.172665e+04, 2.468259e+00, 5.589980e+01, 1.550322e+03, -5.323795e+00, 3.690158e+00, -1.388565e+01, 1.277474e+04, -2.433007e+01, -1.286299e+04, 1.267985e+01, 1.393667e+01, -8.455606e+00, -5.849340e+00, 5.215501e-01
-7.496855e-02, -3.084633e+04, 1.856925e+01, 4.229077e+01, 1.498287e+00, 3.080949e+04, -1.635249e+06, 1.592049e+00, -1.600724e+03, 1.150515e+01, -7.391646e+01, 3.085972e+04, 1.634827e+06, 3.091967e+04, -3.680121e+01, -4.066298e+01, 1.616494e+03, -3.138786e+00, 6.340368e+01, -2.409919e+01, 1.243250e+04, 2.539227e+01, -1.252384e+04, 2.139670e+01, -1.072091e+01, -2.039490e+01, -2.071576e+00, 1.150808e+00
-7.396226e-02, -3.017061e+04, -5.559342e+01, 2.863951e+02, 6.301230e+00, 3.002340e+04, -1.613340e+06, -7.916688e+00, -1.676365e+03, 9.077023e+01, 1.791368e+01, 3.011409e+04, 1.613579e+06, 3.010869e+04, -4.580083e+01, -2.831671e+02, 1.680699e+03, 9.348033e+00, 2.874530e+01, 4.248769e+01, 1.214184e+04, -3.983195e+01, -1.217684e+04, -4.036989e+01, -4.671479e+01, 5.729449e+00, 2.372035e+01, -8.269136e-01
-7.295597e-02, -2.933345e+04, 4.652238e+01, -1.279324e+02, 2.957895e+00, 2.931074e+04, -1.592088e+06, 8.812547e+00, -1.740164e+03, 1.705700e+01, -4.395867e+01, 2.931798e+04, 1.592248e+06, 2.929873e+04, -5.257486e+00, 1.260559e+02, 1.741999e+03, -8.291169e+00, 2.016460e+01, -3.555064e+01, 1.186158e+04, -1.499829e+01, -1.184691e+04, 3.728574e+01, 2.860579e+01, 5.729544e+00, -1.405151e+01, -7.709091e-01
-7.194969e-02, -2.849065e+04, 4.901856e+00, -7.911047e+01, -5.657370e+00, 2.852681e+04, -1.570906e+06, -2.453849e+00, -1.790041e+03, -2.485857e+01, 2.122032e+01, 2.850494e+04, 1.570811e+06, 2.851240e+04, 3.398826e+01, 8.132195e+01, 1.795321e+03, 1.371148e+00, -3.535071e+01, 4.621226e-01, 1.152597e+04, 2.235427e+01, -1.152567e+04, -2.628960e+00, 1.543286e+01, -4.132924e+00, -5.664291e+00, 9.522456e-01
-7.094340e-02, -2.774956e+04, 1.006701e+01, 4.045734e+01, 1.386143e+01, 2.788323e+04, -1.550298e+06, 3.440897e+00, -1.856825e+03, -7.948535e+01, -3.708039e+01, 2.777950e+04, 1.550324e+06, 2.776309e+04, -3.451771e+01, -4.121437e+01, 1.844500e+03, -1.845533e+00, 4.479224e+01, -9.250471e+00, 1.126127e+04, 3.840944e+01, -1.118964e+04, 1.257322e+01, -2.885526e+01, 7.225678e+00, -4.064911e-01, -1.425696e+00
-6.993711e-02, -2.695310e+04, -4.167009e+00, 6.411154e+01, 3.921155e+00, 2.709479e+04, -1.529724e+06, 1.484529e+00, -1.897558e+03, -8.526341e+01, -2.029093e+01, 2.700640e+04, 1.529501e+06, 2.700553e+04, -1.804589e+01, -6.435686e+01, 1.890138e+03, -1.424061e+00, 2.357238e+01, 3.450103e-01, 1.093935e+04, 2.744859e+01, -1.090146e+04, -7.192397e-01, -1.261712e+01, -3.241026e+00, 1.105476e+00, 1.618905e-01
-6.893082e-02, -2.625623e+04, 1.161656e+01, -1.956459e+02, -7.244725e+00, 2.624007e+04, -1.509384e+06, -2.751718e+00, -1.936400e+03, 6.061156e+00, 7.206360e+01, 2.625573e+04, 1.509271e+06, 2.627124e+04, 7.484089e+01, 1.954091e+02, 1.945078e+03, 2.762072e+00, -9.224543e+01, 6.910685e+00, 1.061076e+04, 1.305184e+01, -1.063969e+04, -6.657968e+00, 3.778243e+01, -5.372870e+00, -1.125809e+01, -1.149317e-01
-6.792453e-02, -2.556909e+04, 9.121805e+00, 9.262674e+01, 1.218220e+01, 2.563688e+04, -1.489144e+06, 6.641068e+00, -1.982706e+03, -3.661903e+01, -8.349089e+01, 2.558723e+04, 1.489198e+06, 2.556754e+04, -6.447699e+01, -9.017810e+01, 1.971928e+03, -6.388982e+00, 9.066929e+01, -2.328159e+01, 1.035954e+04, -3.447562e+00, -1.031243e+04, 2.354560e+01, -3.859476e+01, 5.171070e+00, 2.071991e+00, -7.561159e-02
-6.691824e-02, -2.490753e+04, -2.123037e+01, 1.873559e+02, 1.153168e+01, 2.480383e+04, -1.469060e+06, 2.327035e+00, -2.003936e+03, 6.421757e+01, -5.954222e+01, 2.487804e+04, 1.469165e+06, 2.487575e+04, -6.356071e+01, -1.858717e+02, 2.010270e+03, -2.751296e+00, 8.099615e+01, -9.583079e-01, 1.003583e+04, -3.820782e+01, -1.007019e+04, 3.796280e-02, -5.537108e+01, -6.566637e-01, 1.017436e+01, 4.169318e-01
-6.591195e-02, -2.426568e+04, 3.612173e+01, -9.351961e+01, 1.407280e+00, 2.413713e+04, -1.449086e+06, 4.767980e+00, -2.037499e+03, 8.731285e+01, -5.720228e+01, 2.419981e+04, 1.449570e+06, 2.415888e+04, -9.520100e+00, 9.650640e+01, 2.035668e+03, -5.281609e+00, 3.375033e+01, -3.411897e+01, 9.786119e+03, -5.802683e+01, -9.772356e+03, 3.246813e+01, 6.931591e+00, 1.785916e+01, -1.070161e+01, 7.542215e-01
-6.490566e-02, -2.351994e+04, 1.668432e+01, 5.259094e+01, 1.040690e+01, 2.353730e+04, -1.429868e+06, 3.393386e+00, -2.070284e+03, -3.856604e+00, -7.095510e+01, 2.351686e+04, 1.430044e+06, 2.349052e+04, -4.615705e+01, -5.253197e+01, 2.056443e+03, -3.270424e+00, 7.007184e+01, -2.105586e+01, 9.524618e+03, -2.260677e+01, -9.482771e+03, 2.140107e+01, -2.694851e+01, 9.877334e+00, -1.262684e+00, -1.472709e-01
-6.389937e-02, -2.289608e+04, -2.338955e+01, -2.461591e+00, -9.962106e+00, 2.281363e+04, -1.410736e+06, -3.167894e+00, -2.082564e+03, 4.608580e+01, 2.362999e+01, 2.288207e+04, 1.410598e+06, 2.290927e+04, 2.427610e+01, 6.817987e+00, 2.086949e+03, 1.166929e+00, -2.564941e+01, 9.756929e+00, 9.211732e+03, -1.064297e+01, -9.275170e+03, -1.506482e+01, -3.726474e+00, -7.413766e+00, 2.862321e+00, 2.353042e+00
