mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -1.814773e-09, -6.174295e-10, 7.938651e-10, -4.510779e-09, -1.201907e-09, -3.729878e-09, 3.224577e-09, 9.679186e-12, 8.615712e-11, -2.495479e-09, 2.475378e-09, -6.301859e-09, 3.545741e-10, 4.032863e-09, -3.943459e-09, 4.314365e-10, 1.939050e-09, 3.606065e-10, 9.440908e-10, 4.106322e-11, 1.797446e-09, 2.880067e-10, 3.728359e-10, -1.591922e-09, -3.726588e-10, 1.512561e-10, -5.430691e-10
-7.899371e-02, -3.953768e-09, -1.457997e-09, 4.890244e-10, 2.014896e-09, -9.260587e-10, -2.161382e-10, -7.603522e-11, 4.957993e-10, 2.352351e-10, -5.828482e-09, -1.083455e-09, -3.509862e-09, 1.828226e-10, 1.338493e-09, -3.294289e-09, 7.957897e-10, 2.068527e-09, 3.426927e-10, 3.640366e-10, 6.780517e-10, 5.028993e-10, 9.440816e-10, -2.875415e-10, 1.963309e-09, -5.151470e-10, -8.789973e-10, -1.031821e-10
-7.798742e-02, -2.060402e-09, 2.830107e-09, 1.923061e-09, -7.588786e-10, 1.570667e-09, 1.970175e-09, -1.376231e-09, -3.396433e-10, 2.704500e-10, -3.054181e-11, -2.791648e-10, -5.108554e-09, 2.142195e-10, 1.219269e-10, -2.042539e-09, 9.845330e-10, -9.034901e-11, 8.454906e-11, 2.261329e-10, -4.992460e-10, 4.636554e-10, 2.121043e-09, 1.223376e-10, -2.364563e-09, -1.516663e-10, 2.620961e-10, -1.549352e-10
-7.698113e-02, -2.744158e-09, -5.921687e-09, -5.867555e-09, -4.349025e-09, -6.461165e-11, -7.888104e-10, 2.606421e-09, 4.618945e-10, -1.002238e-10, -5.059216e-10, -3.168228e-09, -5.791213e-09, 2.429766e-09, 4.483633e-09, -4.369660e-10, 1.100108e-09, 1.728102e-09, 1.145105e-10, 4.919039e-10, -4.241592e-10, -3.039663e-09, 4.936893e-10, 6.941542e-10, 4.627751e-10, 4.902135e-10, 8.760573e-11, 3.866860e-11
-7.597484e-02, -1.076692e-09, 2.562838e-09, 3.222288e-09, 3.067645e-09, -9.664719e-10, -5.846551e-09, -1.377897e-09, 9.380247e-10, -7.946393e-11, -3.199431e-11, 2.909564e-09, 3.583638e-09, 1.662744e-10, -1.352783e-09, -7.448571e-10, -3.924376e-10, -2.697692e-10, 4.687543e-11, 6.434945e-10, 3.418897e-10, 2.149082e-09, -1.825021e-10, -2.407584e-10, 7.782476e-10, -3.051486e-10, -4.321718e-10, 2.667500e-10
-7.496855e-02, -1.825652e-09, -8.274433e-10, 1.277662e-09, -2.415112e-11, -2.333840e-09, 1.233032e-08, 6.997809e-10, -2.240454e-09, 1.773305e-12, 3.519566e-09, 1.455154e-09, -5.165418e-09, 4.242883e-10, 1.780822e-09, -8.113032e-11, 3.217564e-10, 1.071543e-09, -5.313202e-11, 2.022074e-09, 1.578276e-10, 4.177292e-10, 7.671645e-10, 1.507305e-09, 9.337739e-10, -1.602229e-10, 1.768320e-10, -6.091149e-10
-7.396226e-02, 1.329131e-09, 1.511075e-09, 2.084990e-09, 7.659754e-10, -8.585443e-10, 5.523036e-09, 3.835228e-10, -1.456576e-09, -4.667811e-10, -1.036300e-09, 2.502852e-09, -3.552316e-09, 2.499021e-09, -2.057300e-09, -1.900384e-10, 5.868892e-11, 6.231953e-10, -2.101850e-10, 4.320143e-10, -7.022019e-10, 3.469013e-10, 2.678734e-10, 1.161606e-09, -6.373118e-10, 3.717885e-10, -1.821703e-10, 2.197967e-10
-7.295597e-02, -3.403666e-09, -1.692903e-09, -8.913662e-09, -4.722149e-09, -7.309012e-10, 3.279566e-09, 2.582735e-09, -4.293807e-10, -1.778117e-10, 1.071126e-09, -7.688833e-10, -4.582170e-10, 3.556039e-10, 1.596914e-09, 5.906173e-09, 1.761312e-10, -3.080684e-10, 1.495025e-09, 1.632956e-09, -8.545266e-10, -6.499393e-10, 1.084942e-09, -6.993889e-10, -1.263471e-09, 2.210162e-11, -3.006903e-10, -1.290544e-10
-7.194969e-02, -3.738159e-09, 1.629932e-09, 2.747144e-09, 2.384084e-09, 2.949745e-11, 9.771232e-10, -7.824177e-10, 5.092610e-10, -2.904842e-10, 4.542493e-09, -8.152642e-11, -1.110886e-09, -1.400703e-09, -1.921742e-09, 1.846232e-09, 8.563524e-10, -5.560716e-10, -1.859667e-10, 9.240420e-11, -6.758135e-10, 3.252625e-10, -2.015122e-10, 6.092596e-10, 1.147566e-10, -5.212422e-11, 2.088999e-10, -1.027373e-13
-7.094340e-02, -1.947877e-09, 1.686938e-09, -4.772046e-09, -1.579536e-09, -7.579748e-10, 4.375459e-10, 1.338446e-09, 5.963589e-10, 5.314842e-10, -2.140464e-09, 2.332037e-10, 1.317419e-09, 8.704429e-10, 2.980046e-09, 3.277358e-09, 3.871546e-10, 9.770452e-10, 2.130012e-10, -3.632238e-10, 1.873255e-09, 2.962118e-10, -5.094342e-10, -4.303232e-10, -1.849579e-09, -3.500687e-10, 2.530903e-10, -5.202979e-10
