mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.905383e+05, -6.635010e+03, -1.289060e+04, 1.592181e+04, -2.145482e+05, 2.749048e+05, -1.224721e+03, 1.140371e+05, -1.597710e+04, -1.277036e+04, -1.981986e+05, -2.918502e+05, -1.930970e+05, -2.707598e+02, 1.347965e+04, -1.137557e+05, -1.491423e+03, -7.405238e+03, 1.184599e+03, -5.337225e+04, -1.129253e+03, 6.826624e+04, -2.161871e+03, 1.296284e+03, 1.998231e+03, 5.815120e+02, -2.682005e+02
-7.899371e-02, 1.873233e+05, -6.454308e+04, -3.817683e+04, 9.519049e+04, -1.823096e+05, 2.657718e+05, 1.135641e+03, 1.045117e+05, 4.259778e+03, -1.414672e+04, -1.684745e+05, -2.710988e+05, -1.970391e+05, 1.781458e+04, 3.844235e+04, -1.038238e+05, -2.237917e+03, 9.886824e+03, -1.265039e+04, -5.945410e+04, 2.500424e+03, 5.416989e+04, 1.220829e+04, 1.340607e+04, 6.317717e+01, -1.032266e+02, -1.142251e+02
-7.798742e-02, 1.878136e+05, -3.568884e+04, -4.845863e+04, 7.822802e+04, -1.877687e+05, 2.711501e+05, 3.405735e+03, 1.055708e+05, -4.201308e+02, -3.858032e+04, -2.040937e+05, -2.679817e+05, -1.720473e+05, -4.750490e+02, 4.761256e+04, -1.045249e+05, 3.784213e+02, -2.237422e+04, 6.834441e+03, -5.240964e+04, -2.513622e+03, 5.386216e+04, -5.509109e+03, 6.018696e+03, -3.534146e+02, 2.972741e+03, 3.694825e+02
-7.698113e-02, 1.654794e+05, 3.065080e+04, 3.089430e+04, -5.844834e+04, -1.862848e+05, 2.382921e+05, -3.850564e+03, 9.932869e+04, -1.111814e+04, 2.042129e+04, -1.402220e+05, -2.736906e+05, -1.843855e+05, -3.059120e+03, -3.000673e+04, -9.949176e+04, 1.307705e+02, 7.106624e+03, -2.938124e+01, -5.744315e+04, 3.573014e+03, 6.150980e+04, -1.299641e+03, -6.734635e+03, 1.445243e+03, -2.126048e+03, -3.681792e+02
-7.597484e-02, 1.460886e+05, 4.907617e+04, 3.474333e+04, -7.617806e+04, -1.411722e+05, 2.796750e+05, 1.158055e+02, 9.490658e+04, -5.688162e+02, 1.859425e+04, -2.201830e+05, -2.195495e+05, -1.193031e+05, -9.053605e+03, -3.487397e+04, -9.992382e+04, 3.900956e+02, -7.753787e+01, 7.546317e+03, -6.221270e+04, -7.041442e+03, 6.913298e+04, -7.394755e+03, -1.032868e+04, -1.349248e+03, -6.678230e+01, 4.833747e+01
-7.496855e-02, 1.870985e+05, 4.040584e+04, 3.747483e+04, -6.912057e+04, -2.066459e+05, 2.088540e+05, 1.282195e+03, 1.043705e+05, -5.067567e+03, 2.746326e+04, -8.305446e+04, -3.041496e+05, -2.321311e+05, -4.023220e+03, -3.796927e+04, -1.004561e+05, 1.020130e+03, 1.058469e+04, 1.597263e+03, -6.118720e+04, 1.170715e+04, 5.015276e+04, -7.678261e+02, -7.631563e+03, 1.689233e+03, -9.105765e+02, 2.229574e+02
-7.396226e-02, 1.520611e+05, 2.187454e+04, 2.222462e+04, -4.185702e+04, -1.555039e+05, 2.538690e+05, -2.225134e+03, 9.403403e+04, -2.352355e+03, 1.320986e+04, -1.714982e+05, -2.362088e+05, -1.534413e+05, -5.626743e+03, -2.199997e+04, -9.615540e+04, 1.240752e+03, 2.821084e+03, 2.510527e+02, -5.772729e+04, -2.454700e+02, 5.976845e+04, -5.786712e+02, -3.816058e+03, 2.766137e+02, -1.161933e+03, -9.352409e+01
-7.295597e-02, 1.990081e+05, 2.348791e+04, 1.508772e+04, -3.426741e+04, -1.981389e+05, 2.324100e+05, 7.739181e+02, 1.069161e+05, 1.272359e+03, 7.350743e+03, -1.469267e+05, -2.752639e+05, -2.092067e+05, -6.223368e+03, -1.554316e+04, -1.009113e+05, 1.506581e+03, -2.640778e+03, 5.212357e+03, -4.841272e+04, 2.490589e+03, 4.820114e+04, -4.411146e+03, -5.143407e+03, 1.186331e+03, 3.774217e+01, 2.146224e+02
-7.194969e-02, 1.806795e+05, -2.213952e+04, -3.260290e+04, 4.926894e+04, -1.801126e+05, 2.439318e+05, 7.080540e+02, 1.024034e+05, 2.032889e+03, -3.091864e+04, -1.624806e+05, -2.562320e+05, -1.870796e+05, -4.698141e+03, 3.240861e+04, -9.993850e+04, 9.504203e+01, -2.162943e+04, 7.914672e+03, -5.302797e+04, 2.450213e+03, 4.922467e+04, -7.664588e+03, 3.019122e+03, 7.182755e+02, 2.631186e+03, 7.523829e+01
-7.094340e-02, 1.482084e+05, 3.248462e+04, 1.946757e+04, -4.756151e+04, -1.426895e+05, 2.413336e+05, -8.395833e+01, 9.282007e+04, 4.387885e+03, 1.033903e+04, -1.479184e+05, -2.373381e+05, -1.479451e+05, -4.215791e+03, -1.939905e+04, -9.458680e+04, -3.287136e+02, 3.488866e+02, 3.833691e+03, -6.705596e+04, 8.173474e+02, 6.011618e+04, -3.973975e+03, -6.491181e+03, -1.164958e+03, -4.183492e+02, -3.730885e+01
-6.993711e-02, 1.518851e+05, 1.409733e+04, 2.873536e+04, -3.808071e+04, -1.736230e+05, 2.761525e+05, -1.220068e+02, 9.535716e+04, -2.154741e+04, 2.813070e+04, -2.606012e+05, -2.103020e+05, -1.219151e+05, 3.574166e+03, -2.886063e+04, -1.013663e+05, 6.184638e+02, 1.999942e+04, -8.086633e+03, -2.978884e+04, -1.173360e+04, 6.268523e+04, 8.257760e+03, -1.038684e+03, 9.222629e+02, -2.122744e+03, 4.787252e+01
-6.893082e-02, 1.564599e+05, -1.274371e+04, -8.110490e+03, 2.115044e+04, -1.422730e+05, 2.638184e+05, 2.451134e+03, 9.379427e+04, 7.129123e+03, -1.365211e+03, -2.022538e+05, -2.096354e+05, -1.448692e+05, 3.006162e+03, 7.334736e+03, -9.808791e+04, 9.353152e+02, 3.329574e+03, -2.878531e+03, -5.611412e+04, -2.568022e+03, 5.237479e+04, 4.047493e+03, 3.383174e+03, -1.534792e+03, 2.914062e+02, 3.195040e+02
-6.792453e-02, 1.490248e+05, -4.550149e+04, -4.396580e+04, 8.049596e+04, -1.573164e+05, 2.476129e+05, 6.741083e+01, 9.188399e+04, -9.420442e+03, -3.000539e+04, -2.007867e+05, -2.147719e+05, -1.329772e+05, 8.016514e+03, 4.461628e+04, -9.406875e+04, -2.659104e+03, -7.954218e+03, -3.190642e+03, -4.144752e+04, -6.042454e+03, 5.772783e+04, 2.285400e+03, 8.973261e+03, 4.516597e+02, 1.642197e+03, -2.485988e+02
-6.691824e-02, 1.670556e+05, 3.114143e+04, 1.581629e+04, -4.613156e+04, -1.532717e+05, 2.228276e+05, -3.126462e+03, 9.618250e+04, 1.123618e+04, -5.925123e+03, -1.263549e+05, -2.452901e+05, -1.739975e+05, -1.763381e+04, -1.520506e+04, -9.440325e+04, 4.106589e+02, -2.115260e+04, 1.457671e+04, -6.492741e+04, 3.598440e+03, 5.033671e+04, -1.552032e+04, -8.108922e+03, -1.148534e+03, 1.548460e+03, -2.538371e+02
-6.591195e-02, 1.635102e+05, 2.048232e+04, 1.333063e+03, -2.022644e+04, -1.863536e+05, 2.245747e+05, 1.196839e+03, 9.568550e+04, -1.610721e+04, -8.187678e+03, -1.577082e+05, -2.471862e+05, -1.743202e+05, -8.381416e+03, -1.397327e+03, -9.720170e+04, -8.450146e+02, -1.195526e+04, 7.480439e+03, -3.718822e+04, -1.067606e+03, 5.357968e+04, -7.356550e+03, -3.486220e+03, 1.448075e+03, 1.773827e+03, 3.183972e+01
