mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, -1.701024e-09, -9.948824e-10, 4.084800e-10, -9.902885e-10, 5.712763e-10, -8.500973e-11, 4.099065e-10, -8.581366e-11, -1.639900e-10
-7.899371e-02, -2.278481e-09, -1.010620e-09, -2.782246e-10, -1.018121e-09, 4.384595e-10, 1.902163e-10, -2.789190e-10, 1.907615e-10, -1.224882e-10
-7.798742e-02, -1.604053e-09, -6.512640e-10, -6.731620e-11, -6.533466e-10, -1.535724e-09, 1.634848e-10, -6.719815e-11, 1.616339e-10, -2.691895e-10
-7.698113e-02, -3.451674e-10, -1.460712e-09, 2.589016e-10, -1.471908e-09, -1.174397e-09, 1.636560e-10, 2.568148e-10, 1.642186e-10, 3.099256e-10
-7.597484e-02, 1.304587e-09, -5.679612e-10, 5.650639e-11, -5.626151e-10, 6.324386e-10, 3.018779e-10, 5.542604e-11, 3.051279e-10, -1.313364e-10
-7.496855e-02, 9.493756e-10, -3.352391e-10, -3.902647e-10, -3.340232e-10, 1.267337e-09, -3.432813e-11, -3.915239e-10, -3.349159e-11, 3.336320e-10
-7.396226e-02, -8.451350e-10, -1.257612e-09, -2.760379e-10, -1.257336e-09, 1.274768e-09, -5.903261e-10, -2.757896e-10, -5.898227e-10, 1.231405e-10
-7.295597e-02, -5.615403e-10, -1.074306e-09, -1.047667e-10, -1.072958e-09, -3.031087e-10, -8.170852e-10, -1.030756e-10, -8.157400e-10, -3.322084e-10
-7.194969e-02, -1.087223e-09, -1.675809e-09, -1.848901e-10, -1.669011e-09, -1.500344e-10, -6.073101e-10, -1.851130e-10, -6.091985e-10, 2.172359e-10
-7.094340e-02, -3.642732e-10, -9.743933e-10, 3.395532e-10, -9.782192e-10, -1.114739e-09, 1.593075e-10, 3.418809e-10, 1.608696e-10, -1.247371e-10
-6.993711e-02, -1.192147e-09, -2.088930e-10, 1.304081e-10, -2.149178e-10, 1.175958e-10, 3.356817e-10, 1.305754e-10, 3.362621e-10, -5.098345e-11
-6.893082e-02, -8.829748e-10, -2.450792e-11, -1.862507e-10, -1.881262e-11, 1.409530e-09, 3.794498e-10, -1.848420e-10, 3.811402e-10, -2.283956e-10
-6.792453e-02, -4.621255e-10, -1.025348e-09, 4.680131e-11, -1.039332e-09, 1.949876e-10, 4.747311e-10, 4.744277e-11, 4.754837e-10, 1.703991e-10
-6.691824e-02, -6.031302e-10, -1.332746e-09, -1.974867e-10, -1.357601e-09, 1.561353e-09, -3.322017e-10, -1.963452e-10, -3.319039e-10, -9.704002e-11
-6.591195e-02, -2.196810e-09, -4.363467e-10, 2.161296e-10, -4.392121e-10, -1.732012e-10, -3.854739e-11, 2.165479e-10, -3.675841e-11, -2.180004e-10
-6.490566e-02, -3.055101e-10, -9.233774e-10, 2.452260e-10, -9.203816e-10, -9.461506e-10, -1.486298e-10, 2.456147e-10, -1.475755e-10, -2.724903e-11
-6.389937e-02, 1.048478e-10, -6.420534e-10, -4.794766e-10, -6.404584e-10, 7.500062e-10, 2.335683e-10, -4.810577e-10, 2.348225e-10, -6.221907e-11
-6.289308e-02, -8.212604e-10, -1.093887e-09, -5.573396e-11, -1.097912e-09, 3.838063e-10, -3.532473e-10, -5.535615e-11, -3.518849e-10, -2.855017e-10
-6.188679e-02, 1.031514e-09, -9.913254e-10, -3.854497e-11, -9.960432e-10, -2.381082e-10, 1.683528e-10, -3.962157e-11, 1.677804e-10, 2.237879e-10
-6.088050e-02, -1.515544e-09, -3.971057e-10, 1.514369e-10, -4.027744e-10, -2.441425e-09, 1.029222e-12, 1.509129e-10, 2.367784e-12, 1.206954e-10
-5.987421e-02, -1.050145e-09, -5.533470e-10, -3.471086e-10, -5.427835e-10, -1.192193e-09, -6.466507e-11, -3.460822e-10, -6.448243e-11, -1.225118e-10
-5.886792e-02, -1.051083e-09, -6.399458e-10, -1.729564e-10, -6.341215e-10, 1.794119e-11, 2.517780e-10, -1.717814e-10, 2.515549e-10, -5.265914e-11
-5.786164e-02, -4.556794e-10, -5.382691e-10, -1.393222e-11, -5.389026e-10, 2.982407e-10, 1.056135e-10, -1.415891e-11, 1.061005e-10, -1.485278e-11
-5.685535e-02, -3.573952e-10, -4.391357e-10, -1.709909e-10, -4.297889e-10, 6.352746e-10, 1.765742e-11, -1.711469e-10, 1.817390e-11, 8.349916e-11
-5.584906e-02, 1.691576e-09, -8.076312e-10, 1.038917e-10, -8.103112e-10, 6.755796e-10, 3.353385e-10, 1.040123e-10, 3.361526e-10, 1.979641e-11
