mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 7.172180e-08, 2.226700e-07, 9.165739e-07, 3.264287e-07, -1.304833e-07, 2.611103e-06, 1.754457e-08, -2.721531e-08, 5.239353e-08, -4.784152e-07, -1.159261e-07, -3.282992e-06, -2.300628e-07, 5.052274e-07, 4.050288e-07, -2.756094e-09, -5.217162e-08, 8.584942e-08, 1.716160e-07, -1.194080e-07, -3.574553e-07, -3.693875e-08, -1.869829e-07, -8.536758e-08, -1.078232e-08, 2.239956e-08, -9.224143e-09
-7.899371e-02, -1.330296e-07, -2.527941e-07, 8.986036e-07, -5.465893e-07, -5.025453e-09, -2.596045e-06, -8.802923e-08, 3.844310e-08, -2.623511e-07, -6.804583e-07, 5.095381e-07, 2.621792e-06, -3.749714e-08, 4.396689e-07, 3.363092e-07, 2.298268e-09, 2.176525e-08, 1.989266e-07, 1.072338e-07, -1.177481e-07, 1.585722e-07, -1.608820e-07, -9.301056e-08, -1.156807e-07, -1.312614e-08, 2.363140e-08, -9.844692e-09
-7.798742e-02, 2.058786e-07, -4.640627e-07, -2.108324e-06, -4.214927e-07, -5.310295e-07, 9.764322e-07, -2.537557e-08, 3.969017e-08, -3.809556e-08, -3.783072e-07, -3.442801e-07, 2.864875e-07, -9.415583e-08, 2.674395e-07, 6.066321e-07, -1.139756e-08, -4.056402e-08, 2.497491e-07, 6.595194e-08, -1.780535e-07, -2.213758e-07, -1.870225e-07, -8.800375e-08, -3.595047e-07, -6.238735e-09, 5.525129e-10, 1.547891e-10
-7.698113e-02, 3.632331e-07, 6.992536e-08, -1.227447e-06, 1.687908e-07, -2.580486e-07, -1.472500e-06, 2.766189e-09, 8.842944e-09, -1.613024e-07, -3.351117e-07, 6.727653e-08, 2.109376e-06, 2.442094e-07, 2.978873e-07, 7.116361e-07, -1.774254e-08, -1.258376e-07, 1.817063e-07, 7.816935e-08, -4.501436e-08, -6.094076e-08, -1.026578e-07, -6.521452e-08, -1.766652e-07, -1.188739e-08, 2.031498e-10, -2.735738e-08
-7.597484e-02, -4.842248e-07, 6.351098e-07, -1.047668e-06, 5.035830e-07, 2.226564e-07, 2.152164e-07, 2.638966e-09, 6.252476e-09, 4.993738e-08, -3.613651e-08, -2.852140e-07, 1.708862e-07, -3.222116e-07, 3.230472e-08, -9.311144e-08, -3.957972e-08, -7.942296e-08, 1.510084e-07, 8.151249e-08, -9.440528e-08, -9.486800e-08, -1.183835e-07, -9.688559e-08, -2.825266e-07, 1.348421e-08, -2.975364e-09, -2.795633e-08
-7.496855e-02, -1.983756e-07, -5.402574e-08, 1.421947e-07, -2.723328e-07, 1.009276e-07, -8.311370e-06, -6.953640e-08, 3.400979e-08, -3.221122e-08, -1.870187e-07, 6.452093e-07, 8.636674e-06, 4.479952e-07, 6.250525e-08, 1.057674e-06, 2.944924e-08, -3.248977e-08, 1.566110e-07, 2.420808e-08, -7.067331e-08, -1.295939e-07, -1.732865e-07, -4.161872e-08, 5.437255e-08, -1.941795e-08, -5.040320e-09, -5.164625e-09
-7.396226e-02, -3.677409e-07, 2.253191e-07, 5.552289e-07, -6.603609e-09, 4.330358e-07, -1.291896e-07, -6.073750e-09, 1.765778e-08, -1.740091e-07, 2.096372e-07, 1.205487e-07, -2.335032e-08, 3.683896e-07, -2.712996e-07, -7.225738e-07, -5.874846e-08, -2.622465e-08, 4.277160e-07, 2.463465e-08, -1.248240e-07, -6.350023e-09, -1.306775e-07, -9.538368e-09, -1.755479e-07, -2.508844e-08, -3.548604e-09, -4.672621e-08
-7.295597e-02, -5.686159e-07, 5.158320e-08, 8.997912e-07, 1.067271e-07, 3.940867e-07, -6.347000e-06, -1.385005e-08, -2.230251e-08, 7.932124e-08, -1.249163e-07, 3.756930e-07, 4.588591e-06, 5.573080e-08, 2.419798e-07, 1.449232e-06, -4.205871e-08, -2.342480e-08, 7.447350e-08, 6.432279e-08, 4.550820e-08, -1.181153e-07, -3.374870e-08, -8.545161e-08, 1.144124e-08, 1.738573e-08, -1.855783e-08, -4.088818e-11
-7.194969e-02, -1.890579e-07, -1.071298e-08, -1.484551e-06, -1.484606e-07, 1.085787e-07, 2.941837e-06, -2.994710e-08, 3.652726e-08, -4.159105e-08, 1.392978e-07, 2.849525e-07, -3.631063e-06, 1.391553e-07, 1.174892e-07, -3.724792e-07, -1.175794e-08, -5.166505e-09, -2.158370e-08, 8.170794e-08, -9.665284e-08, 9.702497e-08, -5.364285e-08, -6.821812e-08, 3.083031e-07, 8.808868e-11, -2.783080e-08, -1.636920e-08
-7.094340e-02, 1.860460e-07, -2.277636e-07, 1.178264e-06, -2.666581e-07, -3.226974e-07, 1.103112e-06, -7.479076e-09, 1.477118e-08, -6.057990e-08, 1.765866e-07, 1.183290e-07, -3.022123e-06, 7.856555e-08, 4.510628e-08, 8.181731e-07, -5.107130e-09, -7.196293e-08, 7.211236e-08, 7.242293e-08, -2.826860e-08, -1.005120e-07, -3.162401e-08, -5.629851e-08, 2.397005e-09, -3.611571e-09, -1.095490e-08, -1.613867e-08
