mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -1.053016e+06, -7.764261e+04, 5.598280e+05, 2.700156e+02, 3.772786e+05, -2.407397e+07, 8.468830e+03, 7.825073e+04, 4.198409e+05, -1.977329e+05, 8.125809e+05, 2.539713e+07, 7.637144e+05, -1.688621e+05, -5.458354e+05, -4.789781e+04, -1.704948e+04, 2.341027e+05, -1.149825e+04, 2.917831e+05, -2.590619e+05, -4.206665e+05, -5.675279e+03, -1.164115e+05, 1.604893e+04, 2.818387e+04, 7.382003e+03
-7.899371e-02, -5.558984e+05, -2.930517e+05, 1.030984e+06, -2.946941e+04, 7.211770e+05, -2.277175e+07, -7.322296e+04, 7.123832e+04, -8.889008e+04, 2.390727e+05, 6.119689e+05, 2.277677e+07, 5.794626e+05, -3.964320e+04, -1.018434e+06, -1.322052e+05, 6.857005e+04, -6.413699e+04, 2.281715e+05, 3.288067e+05, -5.607668e+03, -2.297829e+05, -2.354412e+05, -1.171528e+05, 1.716762e+04, 1.169018e+05, 3.190718e+03
-7.798742e-02, -6.229172e+05, -1.501062e+05, 1.754924e+06, 1.329388e+05, 5.941767e+05, -2.304117e+07, -2.270308e+03, 1.288103e+05, 5.387015e+03, -4.698533e+05, 6.121884e+05, 2.282194e+07, 6.336482e+05, -6.378377e+05, -1.756794e+06, -3.383498e+04, 1.396680e+04, 7.297658e+05, 2.810890e+04, 2.079285e+05, 1.983425e+04, -2.846760e+05, -4.480923e+03, -4.753842e+05, -2.638921e+04, 1.189290e+05, -9.922628e+03
-7.698113e-02, -1.007828e+06, 1.325668e+05, -1.079399e+06, -1.006489e+05, 4.758860e+05, -2.124920e+07, 2.112451e+04, 7.166818e+04, 3.451891e+05, 1.229947e+05, 7.697954e+05, 2.316031e+07, 6.536767e+05, 3.075923e+05, 1.069733e+06, -9.803165e+04, -3.431791e+04, -3.112954e+05, -9.133300e+04, 3.283185e+05, -2.379996e+05, -2.816508e+05, 6.790112e+04, 3.308912e+05, 5.156611e+04, -7.856222e+04, 9.641036e+03
-7.597484e-02, -7.964315e+05, 2.310670e+05, -1.226252e+06, 4.502166e+03, 9.128028e+05, -2.319370e+07, 4.351906e+04, 9.389042e+04, -1.191501e+05, -1.380889e+04, 9.096831e+05, 2.172096e+07, 1.110400e+06, 1.983676e+05, 1.243239e+06, -2.704447e+04, -4.165689e+04, -1.547844e+05, -1.585523e+05, 2.540961e+05, 2.214727e+05, -4.647628e+05, 1.615705e+05, 1.409602e+05, -7.662179e+04, -1.048310e+05, -1.002255e+03
-7.496855e-02, -1.059041e+06, 2.127679e+05, -1.457630e+06, -1.566871e+04, 6.083527e+05, -2.077545e+07, 2.369355e+04, 9.990270e+03, 3.370965e+05, 2.505043e+05, 7.662237e+05, 2.406438e+07, 4.271230e+05, 3.608349e+05, 1.431891e+06, -8.784471e+04, -1.755438e+04, -4.087906e+05, -7.719489e+04, 4.703898e+05, -3.367389e+05, -1.389181e+05, 9.159536e+04, 2.287174e+05, 1.271970e+05, -1.051346e+05, -6.449248e+03
-7.396226e-02, -7.882188e+05, 1.018605e+05, -5.642293e+05, -3.176668e+04, 7.390311e+05, -2.159718e+07, 1.019600e+04, 4.747008e+04, 2.421956e+04, 5.202307e+04, 8.111699e+05, 2.159670e+07, 8.306558e+05, 1.616640e+05, 5.600270e+05, -8.249246e+04, -1.287599e+04, -1.623538e+05, -5.083489e+04, 2.815095e+05, -1.089545e+04, -2.976157e+05, 4.484324e+04, 1.704839e+05, -9.444299e+03, -5.191571e+04, 2.502522e+03
-7.295597e-02, -5.444003e+05, 1.352563e+05, -5.348290e+05, 2.026468e+04, 5.115770e+05, -2.135958e+07, 2.209758e+04, 4.478342e+04, 5.271423e+04, -4.506279e+04, 4.923155e+05, 2.177871e+07, 3.825653e+05, 2.897933e+04, 4.960114e+05, -5.952905e+04, -1.776849e+04, -9.860441e+03, -8.190751e+04, 3.227810e+05, -1.390860e+05, -2.524057e+05, 9.590830e+04, 5.484673e+04, 4.159849e+04, -4.452593e+04, -6.541535e+03
-7.194969e-02, -6.421202e+05, -9.276495e+04, 1.373561e+06, 9.570895e+04, 6.903047e+05, -2.165462e+07, -7.612795e+03, 1.976853e+04, -1.023330e+04, -4.809737e+05, 6.665587e+05, 2.194299e+07, 5.884866e+05, -5.121832e+05, -1.359894e+06, -4.986402e+04, 9.930886e+03, 6.436876e+05, -2.130023e+04, 3.260708e+05, -8.655729e+04, -2.369486e+05, 2.608390e+04, -3.872597e+05, 1.468894e+04, 8.514959e+04, -1.859052e+03
-7.094340e-02, -9.585458e+05, 1.271027e+05, -7.289182e+05, -1.305794e+04, 1.124654e+06, -2.206359e+07, 4.348052e+04, 2.908989e+04, -1.104182e+05, -8.001421e+03, 9.901719e+05, 2.198393e+07, 1.011342e+06, 1.192532e+05, 7.407112e+05, -2.056056e+04, -4.374603e+04, -9.521273e+04, -1.015073e+05, 3.518981e+05, 1.100608e+05, -2.946627e+05, 9.904472e+04, 1.074084e+05, -2.552255e+03, -6.729502e+04, 1.249480e+03
-6.993711e-02, -6.612184e+05, 8.004629e+04, -1.114944e+06, -6.856313e+04, 6.115281e+03, -2.120849e+07, -1.094766e+04, 8.839305e+04, 3.499014e+05, 4.601301e+05, 5.588844e+05, 2.024795e+07, 7.927120e+05, 4.509494e+05, 1.118339e+06, -7.051081e+03, 1.257723e+04, -5.845053e+05, 5.083805e+04, -8.955020e+03, -2.652145e+04, -4.917841e+05, -4.777797e+04, 3.085009e+05, -8.185467e+04, -6.711360e+04, -1.249617e+03
-6.893082e-02, -4.990056e+05, -4.036230e+04, 2.233292e+05, 3.847204e+04, 9.113562e+05, -2.182573e+07, -1.405292e+04, 8.994466e+03, -2.840731e+05, 1.085111e+05, 7.077812e+05, 2.033425e+07, 8.599211e+05, -2.393876e+04, -2.408044e+05, -3.800578e+04, 2.231711e+04, -3.402562e+04, 7.506522e+04, 2.893189e+05, 2.268546e+05, -3.234850e+05, -5.441037e+04, -5.228911e+04, -5.174698e+04, 2.241623e+04, -9.070366e+03
-6.792453e-02, -7.003792e+05, -2.710921e+05, 1.550107e+06, 2.515220e+04, 4.325541e+05, -2.058994e+07, -2.386249e+04, 4.972494e+04, 1.399381e+05, -2.033656e+05, 6.725524e+05, 1.990647e+07, 7.957069e+05, -3.437530e+05, -1.556012e+06, -1.008283e+04, 1.587028e+04, 3.898580e+05, 1.106575e+05, 1.333760e+05, -4.209982e+03, -3.851777e+05, -1.266156e+05, -3.106710e+05, -4.256865e+04, 1.122577e+05, 6.695791e+03
-6.691824e-02, -7.333514e+05, 1.704635e+05, -1.059578e+05, 3.201140e+04, 1.102583e+06, -2.122941e+07, 1.499667e+04, 9.957871e+03, -2.155071e+05, -5.059904e+05, 8.015760e+05, 2.126534e+07, 7.410031e+05, -2.018566e+05, 1.337620e+05, -1.583601e+04, -2.088040e+04, 4.095009e+05, -2.059633e+05, 4.196631e+05, 1.072642e+05, -2.376031e+05, 1.894855e+05, -1.275359e+05, 2.397260e+04, -3.516904e+04, 7.500145e+03
-6.591195e-02, -8.906355e+05, 5.276702e+04, 1.267537e+05, 6.953889e+04, 2.323265e+05, -1.996907e+07, 3.243531e+04, 1.433662e+04, 4.119911e+05, -2.835370e+05, 6.394873e+05, 2.113823e+07, 6.055415e+05, -1.724850e+05, -1.382927e+05, -2.010613e+04, -3.213714e+04, 2.812606e+05, -8.983311e+04, 1.602542e+05, -1.859760e+05, -3.013637e+05, 9.193647e+04, -1.913752e+05, 3.462282e+04, -2.136124e+04, -1.085647e+03
-6.490566e-02, -4.231797e+05, 5.943103e+04, 2.496197e+05, 4.258268e+04, 7.040964e+05, -2.062005e+07, 6.884106e+03, 4.655249e+03, -1.879523e+05, -4.289781e+05, 5.446722e+05, 1.968473e+07, 6.304025e+05, -2.842339e+05, -2.315749e+05, -2.242700e+04, -8.435908e+03, 4.446410e+05, -1.417632e+05, 2.295745e+05, 1.430358e+05, -2.394083e+05, 1.346438e+05, -2.025421e+05, -2.391711e+04, 1.795744e+04, 3.358423e+03
-6.389937e-02, -4.989345e+05, 9.778273e+04, 3.474236e+05, 8.286686e+04, 9.511607e+05, -1.979397e+07, 2.257147e+04, -1.416699e+04, -2.635232e+05, -4.745459e+05, 5.948607e+05, 1.994355e+07, 5.298532e+05, -3.034023e+05, -3.209580e+05, -3.495657e+04, -2.095429e+04, 4.753772e+05, -1.371240e+05, 3.877558e+05, 1.052027e+05, -1.337103e+05, 1.376765e+05, -2.467557e+05, 2.990653e+04, -1.006574e+04, 1.942403e+02
-6.289308e-02, -4.585690e+05, 4.328572e+04, -9.231607e+03, 9.025634e+03, 5.275577e+05, -1.916093e+07, 1.228673e+04, -1.610243e+04, -2.708628e+04, -1.232997e+05, 4.381993e+05, 1.966686e+07, 3.843624e+05, -6.103534e+04, 3.394842e+04, -4.365142e+04, -1.184431e+04, 1.041322e+05, -5.478147e+04, 2.660705e+05, -1.376412e+04, -1.444750e+05, 5.243646e+04, -3.537893e+03, 3.756475e+04, -9.083804e+03, 1.406459e+03
-6.188679e-02, -6.915456e+05, 1.404403e+05, -1.319420e+06, -2.880354e+04, 6.746931e+05, -1.888116e+07, 1.148484e+04, -1.652601e+03, 4.663948e+04, 3.732984e+05, 6.071930e+05, 2.055174e+07, 3.817272e+05, 4.262640e+05, 1.331170e+06, -1.922272e+03, -6.248893e+03, -5.223014e+05, -5.356419e+03, 3.798617e+05, -1.285409e+05, -1.175067e+05, 1.385545e+04, 2.480250e+05, 6.100132e+04, -9.475020e+04, -3.445653e+03
