mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, -1.502793e+00, -1.387244e+01, 8.831600e+00, 1.695465e+02, -2.532132e+02, -2.191163e+01, 1.911000e-01, 4.766196e+00, -2.654741e+00, -1.496554e+02, 2.598152e+02, 1.368171e+01, -3.106005e+00, -3.284202e+00, -7.089566e+00, -9.052038e-01, -1.310530e+01, 5.566235e+00, -8.575784e-01, -5.618862e+00, 1.284928e+00, 5.574283e-01, 1.506195e+01, -2.413222e+00, 5.459047e-01, -2.572619e+00, 4.000597e+00
-7.798742e-02, -1.681963e+00, -2.645451e+01, 1.810200e+01, 3.329151e+02, -5.004317e+02, -4.407296e+01, 9.931245e-02, 9.647955e+00, -5.040008e+00, -2.955457e+02, 5.105626e+02, 2.725775e+01, -6.850264e+00, -6.938531e+00, -1.429044e+01, -2.354627e+00, -2.590210e+01, 1.199198e+01, -1.212184e+00, -1.090908e+01, 2.351158e+00, 1.524857e+00, 2.965540e+01, -5.704577e+00, 1.070488e+00, -5.073425e+00, 7.878966e+00
-7.698113e-02, -3.795208e-01, -3.592428e+01, 2.808464e+01, 4.894498e+02, -7.424683e+02, -6.543663e+01, 7.287968e-01, 1.443537e+01, -7.556364e+00, -4.387545e+02, 7.511130e+02, 4.125724e+01, -1.282092e+01, -1.088657e+01, -2.165935e+01, -4.931174e+00, -3.832732e+01, 2.011576e+01, -1.670236e+00, -1.576930e+01, 3.356027e+00, 3.134274e+00, 4.389863e+01, -1.006972e+01, 1.599020e+00, -7.524270e+00, 1.175013e+01
-7.597484e-02, -7.411808e-01, -4.539390e+01, 3.640459e+01, 6.486129e+02, -9.849287e+02, -8.634116e+01, 2.331787e+00, 1.788108e+01, -9.189669e+00, -5.828214e+02, 9.959471e+02, 5.768482e+01, -1.972805e+01, -1.484694e+01, -2.825153e+01, -7.295562e+00, -5.081613e+01, 2.795845e+01, -2.645969e+00, -2.089555e+01, 3.913718e+00, 4.155389e+00, 5.806540e+01, -1.351250e+01, 2.132173e+00, -9.899691e+00, 1.550707e+01
-7.496855e-02, -4.474266e+00, -6.043943e+01, 4.248698e+01, 8.135527e+02, -1.234667e+03, -1.071930e+02, 2.406654e+00, 2.200031e+01, -1.013289e+01, -7.284451e+02, 1.260476e+03, 7.617835e+01, -2.313770e+01, -1.741245e+01, -3.422988e+01, -6.279360e+00, -6.449767e+01, 3.209902e+01, -2.603378e+00, -2.752822e+01, 3.143993e+00, 3.475051e+00, 7.251012e+01, -1.368195e+01, 2.651787e+00, -1.213963e+01, 1.907123e+01
-7.396226e-02, -6.485452e+00, -7.340921e+01, 4.968993e+01, 9.719525e+02, -1.476149e+03, -1.284102e+02, 2.206956e+00, 2.653176e+01, -1.162163e+01, -8.698820e+02, 1.510889e+03, 9.289977e+01, -2.629599e+01, -2.018793e+01, -4.001257e+01, -6.140630e+00, -7.778334e+01, 3.721033e+01, -2.302252e+00, -3.336704e+01, 3.116549e+00, 3.257737e+00, 8.685346e+01, -1.500043e+01, 3.148734e+00, -1.428167e+01, 2.264037e+01
-7.295597e-02, -7.104454e+00, -8.740643e+01, 5.577405e+01, 1.136019e+03, -1.724071e+03, -1.508481e+02, 3.500086e+00, 3.084401e+01, -1.456789e+01, -1.011858e+03, 1.759859e+03, 1.087090e+02, -3.207022e+01, -2.399862e+01, -4.696712e+01, -7.660272e+00, -8.957606e+01, 4.379230e+01, -3.717796e+00, -3.791537e+01, 4.783436e+00, 4.578504e+00, 9.991485e+01, -1.823866e+01, 3.608340e+00, -1.634861e+01, 2.610825e+01
-7.194969e-02, -1.026474e+01, -9.984438e+01, 6.037457e+01, 1.302844e+03, -1.967280e+03, -1.709263e+02, 7.630198e+00, 3.490872e+01, -1.971565e+01, -1.154699e+03, 2.003123e+03, 1.266576e+02, -3.456285e+01, -2.609205e+01, -5.444102e+01, -7.897943e+00, -1.018147e+02, 5.105274e+01, -6.925540e+00, -4.223317e+01, 7.136831e+00, 6.466012e+00, 1.135850e+02, -2.090085e+01, 4.036726e+00, -1.816059e+01, 2.963179e+01
-7.094340e-02, -1.134313e+01, -1.116908e+02, 6.746399e+01, 1.463945e+03, -2.208482e+03, -1.909949e+02, 1.052580e+01, 4.015827e+01, -2.581191e+01, -1.293517e+03, 2.238643e+03, 1.445368e+02, -3.817333e+01, -2.768502e+01, -6.361848e+01, -8.851276e+00, -1.133612e+02, 5.822995e+01, -8.726358e+00, -4.548673e+01, 9.953164e+00, 8.393446e+00, 1.266534e+02, -2.515109e+01, 4.457287e+00, -1.996607e+01, 3.305564e+01
