mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, -2.599859e-02, -1.520244e-02, 7.480789e-02, -1.715735e-03, 4.454088e-02, -1.510686e+00, -4.533033e-03, 1.402542e-03, -1.130600e-02, 1.401052e-02, 3.169564e-02, 1.525292e+00, 2.945614e-02, -3.395060e-03, -7.503237e-02, -3.719311e-03, 4.271261e-03, -4.842875e-03, 1.506185e-02, 2.146974e-02, 6.215846e-03, -1.052336e-02, -1.497302e-02, 4.468096e-03, 4.604748e-04, 6.488463e-03, -4.797519e-05
-7.798742e-02, -1.833846e-02, -2.211674e-02, 2.711054e-01, 9.830160e-03, 1.128161e-01, -3.173207e+00, -4.479789e-03, 1.437356e-03, -5.642490e-02, -7.540794e-02, 4.943518e-02, 3.171988e+00, 3.858710e-02, -8.128505e-02, -2.747183e-01, -8.321730e-03, 3.499114e-03, 1.000295e-01, 4.507354e-03, 5.698214e-02, 1.727091e-02, -1.001055e-02, -5.368010e-03, -4.996043e-02, 3.926621e-04, 1.609895e-02, 2.946916e-04
-7.698113e-02, -3.103603e-02, -2.380406e-02, 3.972883e-01, 1.694692e-02, 1.864351e-01, -4.763123e+00, -3.787671e-03, 4.709064e-03, -9.069457e-02, -1.491080e-01, 8.049026e-02, 4.769242e+00, 5.657363e-02, -1.351389e-01, -4.011374e-01, -1.632177e-02, 1.809604e-03, 1.789116e-01, -8.187666e-03, 8.934354e-02, 1.753138e-02, -8.742507e-03, 5.083822e-03, -8.989182e-02, 2.519061e-03, 2.078102e-02, 1.239514e-03
-7.597484e-02, -3.907241e-02, -2.760011e-03, 2.476159e-01, 1.554090e-02, 2.441678e-01, -6.431902e+00, 1.125315e-03, 4.748749e-03, -1.188512e-01, -1.184179e-01, 1.000672e-01, 6.425896e+00, 7.060402e-02, -8.914369e-02, -2.553226e-01, -2.443886e-02, -2.771511e-03, 1.263639e-01, -1.402770e-02, 1.136272e-01, 2.577198e-02, -8.103262e-03, 1.173603e-02, -5.876100e-02, 6.188953e-03, 6.161331e-03, 8.425908e-04
-7.496855e-02, -4.572080e-02, 1.006703e-02, 9.162466e-02, 9.982504e-03, 2.934182e-01, -8.097871e+00, 5.275667e-03, 7.141359e-03, -1.449309e-01, -6.536960e-02, 1.209212e-01, 8.019548e+00, 9.471505e-02, -3.194505e-02, -1.015141e-01, -3.031632e-02, -6.715720e-03, 5.473139e-02, -1.225630e-02, 1.320545e-01, 3.791458e-02, -1.640538e-02, 1.053152e-02, -2.116804e-02, 5.678441e-03, -6.729380e-03, 5.720061e-04
-7.396226e-02, -5.842958e-03, -5.100840e-03, 8.635518e-02, 1.960469e-03, 4.032926e-01, -9.729101e+00, 1.816772e-03, 1.472398e-02, -2.424024e-01, -9.572295e-03, 1.476478e-01, 9.163946e+00, 1.555738e-01, -2.512596e-03, -9.494962e-02, -3.186281e-02, -2.857681e-03, 4.016755e-03, 8.821116e-03, 1.463665e-01, 9.664877e-02, -3.624588e-02, -1.010386e-02, 2.991605e-03, -9.780595e-03, -3.682467e-03, 4.108511e-04
-7.295597e-02, -1.929114e-02, -6.292390e-03, 9.080026e-02, 7.822506e-04, 5.284935e-01, -1.072856e+01, 6.538131e-04, 2.022082e-02, -3.153151e-01, 5.696722e-03, 2.095494e-01, 9.782713e+00, 2.451334e-01, 4.798867e-03, -1.002144e-01, -3.225602e-02, -1.195657e-03, -1.045486e-02, 1.543433e-02, 1.647339e-01, 1.444332e-01, -6.197014e-02, -1.582119e-02, 1.271495e-02, -2.106266e-02, -3.449776e-03, 2.522505e-05
-7.194969e-02, -1.264490e-01, -9.224343e-04, 7.841057e-02, 2.428415e-03, 6.042214e-01, -1.122339e+01, 2.841665e-03, 2.031800e-02, -2.915963e-01, 5.982376e-03, 2.940263e-01, 1.049838e+01, 3.068628e-01, 6.164961e-03, -9.106642e-02, -3.493456e-02, -3.149057e-03, -1.327809e-02, 1.387622e-02, 1.986349e-01, 1.236624e-01, -7.534035e-02, -1.323116e-02, 1.630903e-02, -1.192657e-02, -6.328788e-03, -4.659023e-04
-7.094340e-02, -2.153760e-01, -1.690415e-02, 1.113663e-01, 3.004792e-03, 6.721650e-01, -1.192001e+01, 3.980942e-03, 1.749157e-02, -2.724375e-01, 3.165083e-02, 3.552605e-01, 1.153755e+01, 3.337517e-01, 1.066839e-02, -1.264563e-01, -3.971250e-02, -3.919860e-03, -2.911847e-02, 2.773646e-02, 2.420056e-01, 1.040382e-01, -7.299281e-02, -2.611383e-02, 1.082170e-02, 2.446288e-03, -3.642341e-03, -9.153084e-04
