mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -3.512376e+04, 3.478385e+01, -1.720826e+02, 2.657954e+00, 3.481981e+04, -1.734750e+06, 2.325853e+00, -1.137419e+03, 1.917736e+02, 1.396515e+01, 3.500237e+04, 1.735443e+06, 3.496065e+04, 3.299762e+01, 1.680562e+02, 1.153750e+03, -1.028664e+00, -3.432657e+01, -1.494937e+01, 1.410931e+04, -1.114266e+02, -1.415020e+04, 1.798538e+01, 2.720713e+01, 1.525486e+01, -1.326696e+01, -1.332677e+00
-7.899371e-02, -3.411523e+04, -1.908998e+00, -1.012772e+02, -8.853815e+00, 3.404449e+04, -1.712696e+06, 4.427165e-01, -1.246456e+03, 4.598952e+01, 3.266798e+01, 3.408197e+04, 1.712869e+06, 3.406903e+04, 4.284504e+01, 1.091219e+02, 1.243396e+03, -1.588194e+00, -4.610536e+01, 4.083684e-01, 1.377481e+04, -1.673497e+01, -1.378046e+04, -3.982103e+00, 1.392224e+01, 8.742731e+00, -5.992134e+00, 1.626544e+00
-7.798742e-02, -3.329283e+04, -8.713203e+01, 1.755558e+02, -9.166080e+00, 3.310898e+04, -1.690454e+06, -1.499913e+01, -1.331826e+03, 1.108934e+02, 1.138232e+02, 3.322514e+04, 1.690707e+06, 3.322472e+04, 3.007630e+01, -1.779745e+02, 1.344049e+03, 1.406943e+01, -7.068532e+01, 6.941226e+01, 1.340239e+04, -3.681950e+01, -1.345746e+04, -7.128386e+01, -2.528337e+01, 3.911829e+00, 2.511561e+01, 7.524390e-01
-7.698113e-02, -3.245876e+04, -2.258796e+01, -1.303180e+01, -4.130816e+00, 3.228340e+04, -1.668385e+06, -5.199745e+00, -1.429860e+03, 1.128944e+02, 9.156248e+01, 3.238330e+04, 1.668956e+06, 3.234930e+04, 4.217541e+01, 7.780859e+00, 1.419324e+03, 6.776106e+00, -7.784022e+01, 3.528962e+01, 1.308272e+04, -6.580691e+01, -1.307599e+04, -3.156467e+01, 2.554401e+01, 1.644263e+01, 4.686148e+00, -1.650772e+00
-7.597484e-02, -3.162589e+04, 1.247425e+01, -1.931466e+02, -9.190715e+00, 3.145367e+04, -1.646855e+06, -5.952684e-01, -1.508038e+03, 1.078798e+02, 6.545435e+01, 3.155866e+04, 1.647187e+06, 3.154928e+04, 7.484519e+01, 1.980774e+02, 1.501325e+03, 4.323874e-01, -8.920441e+01, 2.971245e+00, 1.274077e+04, -4.744519e+01, -1.277222e+04, -4.104669e+00, 3.817047e+01, 1.092724e+01, -1.271513e+01, 5.624544e-01
-7.496855e-02, -3.082986e+04, -2.748729e+01, 2.669684e+02, 4.572314e+00, 3.068591e+04, -1.625381e+06, -2.451496e+00, -1.568447e+03, 8.614546e+01, -7.671269e+01, 3.077946e+04, 1.625550e+06, 3.078155e+04, -8.455251e+01, -2.666455e+02, 1.581140e+03, 1.226984e+00, 1.038145e+02, 1.532940e+00, 1.240346e+04, -2.935666e+01, -1.245117e+04, -3.888011e+00, -5.235490e+01, 8.810693e-01, 1.794495e+01, 9.945021e-01
-7.396226e-02, -2.997518e+04, -1.244538e+01, 1.835981e+01, -2.104904e+00, 2.985057e+04, -1.604617e+06, 7.988751e-01, -1.639632e+03, 6.626918e+01, 1.896853e+01, 2.995160e+04, 1.604378e+06, 3.000310e+04, 1.376826e+01, -1.889800e+01, 1.657361e+03, -1.612842e+00, -1.979611e+01, 9.962847e+00, 1.205134e+04, -2.848692e+00, -1.215693e+04, -1.139126e+01, 6.111667e+00, -1.519396e+01, -5.262442e-01, 5.940010e-01
-7.295597e-02, -2.914455e+04, 2.577736e+01, 9.459362e+01, 9.880083e+00, 2.917915e+04, -1.583515e+06, 5.730587e+00, -1.705140e+03, -2.144963e+01, -1.368207e+02, 2.915775e+04, 1.583414e+06, 2.915979e+04, -8.667027e+01, -9.246374e+01, 1.710653e+03, -6.454800e+00, 1.333628e+02, -4.376705e+01, 1.178576e+04, 1.187588e+01, -1.178546e+04, 4.144632e+01, -4.116170e+01, -2.464150e+00, 1.094630e+00, 1.025633e+00
-7.194969e-02, -2.844504e+04, -2.476442e+01, 3.969140e+02, 2.283502e+01, 2.843202e+04, -1.562592e+06, 2.827920e+00, -1.767518e+03, 1.280706e+01, -1.648373e+02, 2.842358e+04, 1.562848e+06, 2.839685e+04, -1.578431e+02, -3.957231e+02, 1.765129e+03, -3.353921e+00, 2.051754e+02, -1.748511e+01, 1.150376e+04, -1.507671e+01, -1.146857e+04, 1.606280e+01, -1.071008e+02, 1.044156e+01, 2.257096e+01, 6.258542e-01
-7.094340e-02, -2.770374e+04, -1.429486e+01, 2.125668e+02, 2.150034e+01, 2.764876e+04, -1.542139e+06, -3.488830e+00, -1.815313e+03, 3.384370e+01, -4.051862e+01, 2.768234e+04, 1.542261e+06, 2.767709e+04, -7.158657e+01, -2.179985e+02, 1.820863e+03, 5.959820e+00, 7.544839e+01, 1.134023e+01, 1.117449e+04, -1.633526e+01, -1.118282e+04, -5.249937e+00, -5.509795e+01, 1.053984e+00, 1.442141e+01, -2.675006e+00
