mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -2.529944e-09, 9.060994e-10, -3.850714e-09, 1.776522e-09, 4.802958e-09, -2.667051e-09, 1.858110e-09, -2.509999e-09, -7.436401e-10, 4.190547e-09, 1.232665e-09, 3.489785e-09, 2.681938e-09, -1.852160e-09, 4.127018e-09, 1.617056e-09, -8.964029e-10, 2.328500e-10, -1.692062e-10, 8.658503e-10, -2.116170e-10, -1.985576e-10, 2.253794e-10, -2.922705e-10, 1.998307e-10, 1.968668e-10, 2.826214e-11
-6.222222e-02, -1.504614e-09, -3.281870e-10, -4.981745e-09, -1.678300e-09, 2.239274e-09, 3.219283e-10, 7.815091e-11, -1.340261e-09, 7.562982e-12, 6.843618e-10, 1.665240e-09, 3.127050e-09, 2.360108e-09, -2.303658e-09, 2.550815e-10, 8.122748e-11, 5.254294e-11, 2.464625e-10, -2.722111e-10, 2.994986e-10, -4.406246e-10, -8.459000e-11, 7.024675e-11, -5.535207e-10, 8.015975e-11, 9.477899e-11, -3.704583e-11
-4.444444e-02, 1.504942e-09, -6.135234e-11, 1.030006e-09, -3.336124e-10, 1.113076e-09, 2.833090e-10, -6.357584e-11, -3.143554e-11, 1.224750e-10, -1.190843e-09, -1.574443e-10, -4.819409e-10, -1.435576e-09, -6.208689e-10, -1.052192e-09, -2.240474e-10, 5.198342e-10, 1.083143e-10, -1.362052e-10, -4.675758e-11, -2.241936e-10, -6.740156e-11, 1.535429e-10, -2.341150e-10, 1.975175e-11, 2.204359e-11, -3.220400e-11
-2.666667e-02, 5.179535e-10, -2.750734e-10, 3.147728e-11, -3.405823e-10, 1.183074e-09, -1.575240e-10, -3.014733e-10, -1.482513e-10, -2.380362e-10, -1.131914e-09, -1.158708e-11, 3.327132e-10, -1.546051e-10, -1.190810e-09, -5.315311e-10, -8.176873e-11, 1.282059e-10, 4.680786e-11, 2.728195e-11, -6.988731e-12, 9.498192e-11, 1.061347e-10, -2.572192e-11, 4.801901e-12, -3.010245e-11, 2.748420e-11, 1.117978e-11
-8.888889e-03, 2.477585e-10, -2.740237e-12, 9.935400e-11, -7.264005e-11, -4.137553e-10, 2.240582e-10, 1.653834e-11, 1.075646e-10, 2.205448e-11, -3.530683e-11, -2.307545e-10, -2.844193e-10, -4.947151e-11, -4.775062e-11, 8.946575e-11, -2.531403e-11, -4.246615e-12, 9.202710e-11, -1.344786e-11, 1.523322e-11, 6.022605e-11, 7.875184e-11, 2.576176e-11, -1.893411e-11, 1.350372e-11, 1.588339e-12, 6.598353e-12
8.888889e-03, 1.099996e-11, 1.839040e-11, -3.942734e-11, 1.587006e-11, -1.108985e-11, -2.686637e-11, 9.020870e-12, 1.308274e-12, 2.699510e-12, -5.111572e-11, 1.890448e-11, 3.463316e-11, -7.308227e-12, 2.744810e-11, -3.204938e-11, -3.868284e-11, 1.267657e-11, 7.309522e-12, -5.108957e-12, -8.323176e-13, 2.996912e-12, 1.562278e-12, 4.146109e-12, -8.672898e-12, -7.334150e-13, 2.177823e-13, -2.025913e-12
1.107872e-02, -8.728559e-12, 3.150748e-11, -9.781163e-11, 2.231371e-11, -5.284985e-11, -5.002069e-11, 2.481402e-11, 2.967904e-12, -1.864771e-12, -7.751883e-11, 2.027527e-11, 7.760833e-11, 1.614391e-11, 6.067552e-11, -2.683713e-11, -6.437590e-11, 1.253028e-11, 1.070398e-11, -7.657395e-12, 6.000776e-13, 5.437120e-12, 3.527175e-12, 5.265859e-12, -1.023406e-11, -5.441639e-13, -1.850756e-13, -2.441293e-12
1.140805e-02, -5.909302e-13, 3.253672e-11, -1.154220e-10, 2.089494e-11, -5.248675e-11, -5.291504e-11, 2.737986e-11, 4.763014e-12, -2.271769e-13, -8.172294e-11, 2.425646e-11, 8.941185e-11, 5.390669e-12, 6.916548e-11, -3.188781e-11, -7.278404e-11, 1.389836e-11, 1.201428e-11, -8.809297e-12, -1.245537e-12, 4.376255e-12, 2.305614e-12, 6.253454e-12, -1.252308e-11, -7.253628e-13, -2.643995e-13, -2.732200e-12
1.162528e-02, -5.478661e-13, 3.105622e-11, -1.221619e-10, 2.919172e-11, -6.109629e-11, -5.524821e-11, 2.960993e-11, 4.513850e-12, 4.320307e-13, -8.959870e-11, 2.968385e-11, 8.970763e-11, -1.648509e-12, 7.445704e-11, -3.045946e-11, -7.745558e-11, 1.379558e-11, 1.337506e-11, -9.850756e-12, -1.805014e-12, 3.432867e-12, 1.623599e-12, 7.487998e-12, -1.399868e-11, -4.047456e-13, -2.961855e-14, -2.945858e-12
1.176804e-02, -1.018822e-11, 3.329436e-11, -1.248636e-10, 2.924129e-11, -6.402965e-11, -6.094265e-11, 3.057904e-11, 3.977765e-12, -8.239241e-13, -9.371325e-11, 3.576040e-11, 9.697447e-11, 6.245132e-12, 7.806563e-11, -3.758002e-11, -7.843379e-11, 1.563006e-11, 1.426090e-11, -9.921339e-12, -1.145214e-12, 4.214574e-12, 2.755100e-12, 7.810121e-12, -1.434786e-11, -4.151707e-14, -1.152194e-13, -3.015771e-12
