mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.662238e+05, -5.348828e+03, -3.955664e+03, 8.429714e+03, -1.691919e+05, 2.661207e+05, -8.075565e+01, 1.019540e+05, -3.161550e+03, -2.294103e+03, -1.769710e+05, -2.624076e+05, -1.611257e+05, 8.251140e+02, 3.911099e+03, -1.024210e+05, 8.125062e+01, -5.407861e+02, -3.987653e+02, -6.405169e+04, -1.908486e+03, 6.908029e+04, 4.270565e+02, 9.321932e+02, 5.663297e+01, -2.499328e+01, 5.857288e+00
-6.222222e-02, 1.652648e+05, -9.512530e+03, -7.445878e+03, 1.560941e+04, -1.645472e+05, 2.286323e+05, 3.091144e+02, 9.477954e+04, 8.332760e+02, -2.833911e+03, -1.643120e+05, -2.290607e+05, -1.650158e+05, 3.445519e+03, 7.487640e+03, -9.439999e+04, -4.700681e+02, 2.152037e+03, -2.655790e+03, -4.615930e+04, 3.423777e+02, 4.484143e+04, 2.606209e+03, 2.248469e+03, 2.569839e+01, -2.180113e+01, -1.471153e+01
-4.444444e-02, 1.572616e+05, -2.117495e+03, -2.537656e+03, 4.257296e+03, -1.570873e+05, 1.983301e+05, 8.853380e+01, 8.678109e+04, 1.156371e+02, -1.565890e+03, -1.572769e+05, -1.983767e+05, -1.569973e+05, 5.166690e+02, 2.523255e+03, -8.678148e+04, -4.069523e+01, -3.503322e+02, -5.044224e+01, -3.191762e+04, -3.401931e+01, 3.180727e+04, 6.752537e+01, 3.134438e+02, -3.274863e+01, 8.569770e+01, 4.356760e+00
-2.666667e-02, 1.722912e+05, 6.449987e+02, 1.822966e+02, -8.049767e+02, -1.717780e+05, 1.933648e+05, -2.767823e+01, 8.902668e+04, 2.697746e+02, -5.366526e+02, -1.724354e+05, -1.927550e+05, -1.721372e+05, -6.933593e+02, -1.814020e+02, -8.903998e+04, 2.496381e+01, -8.934920e+02, 5.248465e+02, -2.089977e+04, -1.917990e+01, 2.071959e+04, -5.257638e+02, -1.532174e+02, -3.671253e+01, 8.307983e+01, -2.302474e-01
-8.888889e-03, 1.984936e+05, -1.092533e+02, -7.264758e+02, 7.155009e+02, -1.980910e+05, 2.022266e+05, 1.610531e+01, 9.675142e+04, 8.039689e+01, -8.034718e+02, -2.001973e+05, -2.002027e+05, -1.980473e+05, -1.966496e+02, 7.265579e+02, -9.677944e+04, -1.653488e+01, -5.209632e+02, 2.179229e+02, -1.245705e+04, -8.172563e+01, 1.253946e+04, -2.179957e+02, 1.644332e-01, -3.746205e+01, 7.475104e+01, -2.395466e-02
8.888889e-03, 4.450135e+05, 1.272909e+01, 1.831495e+01, -2.773485e+01, -4.450051e+05, 4.014159e+05, -2.726813e-01, 2.003980e+05, 4.953149e+00, 7.107281e+00, -4.450091e+05, -4.014128e+05, -4.450122e+05, -7.957781e+00, -1.833811e+01, -2.003981e+05, 3.232889e-01, -3.924472e+00, 3.037214e+00, -3.483272e+03, 2.399059e-01, 3.478628e+03, -3.021792e+00, -1.204970e+00, -5.175728e-01, -2.649639e-01, 3.725232e-03
1.107872e-02, 7.174699e+05, -4.632752e-01, -8.095724e-01, 1.115149e+00, -7.174536e+05, 6.379887e+05, 5.208185e-03, 3.197993e+05, 9.022992e+00, -4.893679e-01, -7.174679e+05, -6.379755e+05, -7.174665e+05, 1.703660e-01, 8.123966e-01, -3.197995e+05, -1.167973e-02, -4.328568e-02, -3.472750e-02, -1.245858e+03, 3.002684e-01, 1.237765e+03, 3.256684e-02, 4.598258e-02, -1.087158e+00, 3.775247e-02, -4.890619e-04
1.140805e-02, 8.117010e+05, 1.823887e+00, 4.245508e+00, -5.313311e+00, -8.116959e+05, 7.203465e+05, -5.950334e-02, 3.612847e+05, 2.488956e+00, 2.951048e+00, -8.117035e+05, -7.203391e+05, -8.116994e+05, -5.303710e-01, -4.242403e+00, -3.612848e+05, 5.298006e-02, 7.081812e-01, -8.404662e-02, -7.258591e+02, -4.456574e-02, 7.238968e+02, 8.185021e-02, -1.577119e-01, -3.669311e-01, -2.048622e-01, -4.752481e-04
1.162528e-02, 8.752131e+05, 6.780462e-01, -7.255167e-01, -8.893766e-02, -8.752155e+05, 7.758204e+05, 1.193362e-03, 3.892323e+05, -1.639364e+00, -1.884872e+00, -8.752170e+05, -7.758186e+05, -8.752131e+05, -1.292305e+00, 7.266772e-01, -3.892324e+05, -3.987263e-03, -1.836125e+00, 8.415837e-01, -3.590766e+02, -1.942750e-01, 3.608341e+02, -8.425691e-01, -6.639570e-02, 1.249675e-01, 2.001005e-01, -2.187595e-04
1.176804e-02, 8.919142e+05, 2.845617e+00, 1.823574e+00, -4.350768e+00, -8.919168e+05, 7.901741e+05, -4.691165e-02, 3.964943e+05, -2.419798e+00, -1.319989e+00, -8.919255e+05, -7.901646e+05, -8.919133e+05, -2.816124e+00, -1.820701e+00, -3.964945e+05, 3.949547e-02, -2.925855e+00, 1.543283e+00, -1.492230e+02, -3.976250e-01, 1.521654e+02, -1.545797e+00, -2.929131e-01, 6.942065e-02, 2.199847e-01, -5.960445e-04
