mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, -1.028425e-10, -2.261645e-10, -2.778284e-12, -2.240493e-10, -8.338568e-11, -1.562420e-11, -1.930359e-12, -1.493797e-11, 1.268376e-11
-6.222222e-02, 9.192519e-12, -1.297584e-10, 8.533328e-13, -1.251107e-10, 1.026456e-10, -1.523410e-12, 1.397967e-12, -7.893906e-13, 2.105889e-11
-4.444444e-02, -5.742117e-11, -8.443276e-11, -1.379517e-12, -8.259898e-11, 4.365003e-11, 2.205787e-12, -1.161816e-12, 2.352999e-12, 5.337511e-12
-2.666667e-02, -3.719437e-11, -4.071499e-11, 4.415141e-12, -4.036358e-11, 1.286680e-11, -6.988392e-13, 4.589533e-12, -4.643115e-13, 1.775219e-12
-8.888889e-03, -1.115251e-11, -1.235751e-11, -1.208678e-13, -1.182075e-11, 4.972452e-12, 1.429437e-12, -9.778394e-14, 1.505606e-12, 1.025965e-13
8.888889e-03, -5.779607e-13, -1.016776e-12, -6.862938e-15, -9.030339e-13, 3.844601e-13, 2.358065e-14, 1.102352e-14, 4.456292e-14, 3.090176e-14
1.107872e-02, -1.000562e-13, -2.017402e-13, -4.335484e-15, -1.574178e-13, 6.895443e-14, 7.598946e-16, 3.562405e-15, 1.116375e-14, 6.653971e-15
1.140805e-02, -5.485988e-14, -1.281492e-13, -4.242492e-15, -7.795419e-14, 3.938704e-14, -3.705913e-16, 4.042066e-15, 6.762211e-15, 4.182839e-15
1.162528e-02, -3.991148e-14, -8.116472e-14, -4.302583e-15, -4.931587e-14, 1.929077e-14, -3.672478e-15, 3.534455e-15, 5.064571e-15, 2.652792e-15
1.176804e-02, -3.197607e-14, -6.138447e-14, -2.658874e-15, -2.809175e-14, 1.469107e-14, -3.718772e-15, 2.775284e-15, 5.282332e-15, 1.821128e-15
1.186145e-02, -1.925983e-14, -5.314455e-14, -2.770394e-15, -1.894701e-14, 1.510031e-14, -7.321945e-15, 3.340626e-15, 7.064298e-15, 1.636614e-15
1.192227e-02, -2.165736e-14, -5.044932e-14, -4.552409e-15, -4.067799e-15, 1.049305e-14, -3.304598e-15, 3.272886e-15, 5.826003e-15, 1.232742e-15
1.196166e-02, -1.579496e-14, -3.305345e-14, -2.773681e-15, -2.030863e-14, 7.023357e-15, -2.445864e-15, 3.728102e-15, 3.378927e-15, 1.142766e-15
1.198699e-02, -1.330314e-14, -5.260566e-14, -5.301473e-15, -6.755445e-15, 8.103571e-15, -3.281017e-15, 4.375619e-15, 3.943786e-15, 1.123902e-15
1.200316e-02, -1.620046e-14, -3.448070e-14, -1.929065e-15, -2.019111e-14, 1.191743e-14, -8.316855e-16, 1.630382e-15, 2.884634e-15, 9.742387e-16
1.201338e-02, -1.067254e-14, -3.609500e-14, -2.998495e-16, -4.201127e-15, 5.539601e-15, -1.872441e-15, -9.986066e-16, 4.159172e-15, 9.506129e-16
1.201977e-02, -1.612978e-14, -4.488845e-14, -1.778901e-15, -2.001341e-16, 3.280671e-15, -4.244569e-15, 2.831015e-15, 5.062024e-15, 1.186800e-15
1.202371e-02, -1.394358e-14, -3.752367e-14, -1.130384e-15, -8.483675e-15, 4.160817e-15, -3.848378e-15, 3.862646e-16, 3.599892e-15, 9.959630e-16
1.202609e-02, -9.941433e-15, -3.141832e-14, -3.838654e-15, -6.087588e-15, 6.597716e-15, -2.930479e-15, 3.482137e-15, 3.031943e-15, 9.263197e-16
1.202749e-02, -1.173017e-14, -4.037043e-14, -1.159396e-15, -2.247796e-15, 9.787025e-15, -4.159687e-15, 1.620341e-15, 4.872009e-15, 1.030358e-15
1.202829e-02, -1.523445e-14, -4.574665e-14, -2.353803e-15, -4.131638e-15, 7.532250e-15, -2.285180e-15, 3.367955e-15, 3.758496e-15, 9.873030e-16
1.202872e-02, -1.372459e-14, -2.635581e-14, 6.319904e-16, -1.172818e-14, 8.487868e-15, -1.882357e-15, -4.531881e-16, 2.544840e-15, 9.710507e-16
1.202915e-02, -1.576537e-14, -2.789198e-14, -2.668143e-15, -7.378562e-15, 6.614425e-15, -2.336888e-15, 2.023319e-15, 3.363118e-15, 1.068924e-15
1.202994e-02, -1.559937e-14, -4.996435e-14, -1.561656e-15, 7.489641e-15, 6.396612e-15, -2.180196e-15, 1.504666e-15, 2.854279e-15, 8.452741e-16
1.203135e-02, -1.541224e-14, -3.283336e-14, -1.226725e-15, -2.539348e-15, 6.112487e-15, -4.659481e-15, 1.098385e-15, 4.763984e-15, 9.609927e-16
1.203373e-02, -1.136158e-14, -2.998799e-14, -4.100885e-15, -7.114881e-15, 5.998653e-15, -1.773732e-15, 3.194380e-15, 2.693504e-15, 9.455887e-16
1.203766e-02, -8.829532e-15, -4.230976e-14, 5.966447e-16, -2.853962e-15, 1.110099e-14, -2.644953e-15, 1.115861e-15, 4.280583e-15, 1.015083e-15
1.204405e-02, -1.187610e-14, -2.799664e-14, -1.516489e-15, -1.365137e-14, 1.058063e-14, -3.745995e-15, 1.160929e-15, 3.649994e-15, 9.640642e-16
1.205427e-02, -1.407099e-14, -4.705444e-14, -2.169104e-16, 4.212443e-15, 7.613440e-15, -2.584159e-15, -1.506323e-16, 3.613111e-15, 1.003734e-15
1.207044e-02, -1.107540e-14, -2.950976e-14, -2.263379e-15, -5.695016e-15, 6.163417e-15, -2.506620e-15, 2.133982e-15, 4.445020e-15, 7.351098e-16
1.209578e-02, -1.254380e-14, -3.419285e-14, -3.657115e-15, 1.606342e-15, 4.611492e-15, -1.422319e-15, 2.100735e-15, 2.563577e-15, 7.298283e-16
1.213516e-02, -1.251605e-14, -3.008318e-14, -2.823303e-15, 1.707162e-15, 4.687750e-15, -3.013244e-15, 2.509730e-15, 4.042844e-15, 6.750387e-16
1.219599e-02, -6.605656e-15, -1.832882e-14, -2.811726e-15, -8.667577e-15, 3.275386e-15, -2.980550e-15, 2.513417e-15, 4.304769e-15, 7.527869e-16
1.228940e-02, -7.769149e-15, -1.728839e-14, -2.202015e-15, -7.318349e-15, 1.903638e-15, -2.290195e-15, 2.435250e-15, 2.649988e-15, 5.521850e-16
1.243215e-02, -2.575988e-15, -1.481790e-14, 1.115060e-16, 1.534261e-14, 1.397981e-15, -2.862966e-15, 1.401667e-16, 1.931747e-15, 3.076649e-16
1.264938e-02, -3.698917e-15, -8.547309e-15, -7.711375e-16, 6.902362e-16, 9.156788e-16, -2.263587e-15, 6.574033e-16, 2.776149e-15, 2.744803e-16
1.297872e-02, -2.343719e-15, -1.036059e-14, -9.159270e-16, 1.457145e-15, 3.815360e-15, -2.267297e-15, 5.243321e-16, 2.632013e-15, 8.317005e-17
2.666667e-02, 2.467636e-16, -5.214478e-15, -2.512430e-16, 5.475224e-15, 2.942135e-15, -4.856556e-16, -1.427366e-17, 4.262459e-17, 3.610481e-17
4.444444e-02, 1.054892e-15, -4.148797e-15, 1.068677e-16, 4.056743e-15, -1.374065e-15, -1.641266e-16, -2.804056e-16, 3.308953e-16, 3.466913e-17
6.222222e-02, 8.520173e-16, -3.543988e-16, -2.992257e-16, 3.292040e-15, -3.477178e-16, 2.776558e-16, 4.859216e-16, -2.397960e-16, -2.574663e-17
8.000000e-02, -4.615726e-16, -1.909539e-15, -9.325331e-17, 1.516827e-15, 4.059695e-16, -2.707471e-16, -8.882547e-18, 3.822201e-16, 2.696451e-17
