mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 3.278933e+06, 5.773483e+02, 1.861505e+03, 5.773483e+02, 3.290177e+06, 1.691545e+03, 1.861505e+03, 1.691545e+03, 6.646331e+05
-7.848101e-02, 3.229270e+06, -7.557151e+03, -2.179360e+03, -7.557151e+03, 3.218052e+06, -1.577979e+03, -2.179360e+03, -1.577979e+03, 6.467349e+05
-7.696203e-02, 3.177407e+06, 2.466119e+03, 1.534018e+03, 2.466119e+03, 3.151130e+06, -4.427631e+02, 1.534018e+03, -4.427631e+02, 6.260127e+05
-7.544304e-02, 3.098830e+06, 5.201178e+03, -3.443700e+02, 5.201178e+03, 3.101819e+06, -4.823122e+03, -3.443700e+02, -4.823122e+03, 6.110146e+05
-7.392405e-02, 3.049714e+06, -5.975743e+03, 7.290838e+02, -5.975743e+03, 3.029832e+06, 1.213634e+02, 7.290838e+02, 1.213634e+02, 5.914698e+05
-7.240506e-02, 2.982274e+06, 1.251318e+03, 6.628280e+02, 1.251318e+03, 2.979679e+06, -1.078213e+03, 6.628280e+02, -1.078213e+03, 5.704289e+05
-7.088608e-02, 2.918703e+06, -3.689247e+02, -1.625372e+03, -3.689247e+02, 2.918970e+06, -4.239439e+02, -1.625372e+03, -4.239439e+02, 5.527398e+05
-6.936709e-02, 2.851058e+06, -3.193623e+03, 1.649068e+03, -3.193623e+03, 2.859812e+06, 8.533149e+02, 1.649068e+03, 8.533149e+02, 5.367148e+05
-6.784810e-02, 2.794867e+06, -5.542348e+03, 1.849518e+03, -5.542348e+03, 2.789595e+06, -5.470649e+01, 1.849518e+03, -5.470649e+01, 5.207873e+05
-6.632911e-02, 2.731939e+06, 4.067951e+03, -9.527014e+02, 4.067951e+03, 2.726768e+06, -1.995994e+03, -9.527014e+02, -1.995994e+03, 5.038733e+05
-6.481013e-02, 2.673664e+06, 8.816826e+02, 4.825129e+03, 8.816826e+02, 2.667011e+06, 1.574366e+03, 4.825129e+03, 1.574366e+03, 4.834933e+05
-6.329114e-02, 2.605323e+06, -1.232476e+02, 2.454488e+03, -1.232476e+02, 2.606499e+06, 1.421268e+03, 2.454488e+03, 1.421268e+03, 4.685095e+05
-6.177215e-02, 2.541997e+06, 5.504008e+03, -9.450678e+02, 5.504008e+03, 2.538298e+06, 2.282398e+03, -9.450678e+02, 2.282398e+03, 4.553577e+05
-6.025316e-02, 2.477256e+06, -3.053022e+03, -6.643636e+02, -3.053022e+03, 2.480550e+06, 1.887829e+03, -6.643636e+02, 1.887829e+03, 4.374540e+05
-5.873418e-02, 2.413639e+06, -1.592009e+03, -4.296371e+03, -1.592009e+03, 2.415059e+06, -6.684135e+01, -4.296371e+03, -6.684135e+01, 4.231803e+05
-5.721519e-02, 2.350702e+06, -4.180587e+03, -4.023566e+03, -4.180587e+03, 2.353105e+06, -6.945136e+03, -4.023566e+03, -6.945136e+03, 4.069795e+05
-5.569620e-02, 2.288263e+06, -1.346051e+03, 2.445485e+03, -1.346051e+03, 2.292347e+06, 2.785207e+03, 2.445485e+03, 2.785207e+03, 3.901361e+05
-5.417722e-02, 2.227633e+06, 1.571592e+04, -5.516369e+02, 1.571592e+04, 2.221741e+06, -1.374632e+03, -5.516369e+02, -1.374632e+03, 3.775519e+05
-5.265823e-02, 2.165731e+06, 3.030636e+03, 1.726569e+03, 3.030636e+03, 2.159243e+06, -6.237501e+02, 1.726569e+03, -6.237501e+02, 3.617773e+05
-5.113924e-02, 2.100943e+06, 2.511686e+03, -2.189751e+03, 2.511686e+03, 2.096894e+06, -2.422932e+03, -2.189751e+03, -2.422932e+03, 3.478491e+05
-4.962025e-02, 2.037665e+06, -2.821042e+03, -1.320001e+03, -2.821042e+03, 2.033687e+06, 1.109082e+03, -1.320001e+03, 1.109082e+03, 3.338200e+05
-4.810127e-02, 1.973347e+06, 4.782114e+02, 2.037252e+03, 4.782114e+02, 1.972824e+06, 1.001382e+03, 2.037252e+03, 1.001382e+03, 3.213900e+05
-4.658228e-02, 1.910809e+06, 7.567694e+02, 1.130393e+03, 7.567694e+02, 1.910149e+06, -5.369056e+02, 1.130393e+03, -5.369056e+02, 3.075278e+05
-4.506329e-02, 1.849913e+06, 9.031451e+02, -1.695639e+03, 9.031451e+02, 1.843674e+06, -3.138401e+02, -1.695639e+03, -3.138401e+02, 2.949496e+05
-4.354430e-02, 1.781831e+06, 5.985809e+02, 3.679577e+02, 5.985809e+02, 1.785421e+06, -1.595692e+02, 3.679577e+02, -1.595692e+02, 2.823055e+05
-4.202532e-02, 1.720767e+06, -1.015807e+03, -2.012872e+01, -1.015807e+03, 1.721975e+06, -1.789349e+02, -2.012872e+01, -1.789349e+02, 2.692250e+05
-4.050633e-02, 1.656801e+06, -1.867883e+03, -3.807101e+02, -1.867883e+03, 1.659082e+06, 5.226551e+02, -3.807101e+02, 5.226551e+02, 2.576094e+05
-3.898734e-02, 1.594933e+06, 2.847040e+03, -4.764158e+01, 2.847040e+03, 1.597384e+06, -1.796330e+03, -4.764158e+01, -1.796330e+03, 2.450372e+05
-3.746835e-02, 1.535579e+06, -6.249171e+02, -4.158075e+02, -6.249171e+02, 1.533769e+06, 1.357890e+01, -4.158075e+02, 1.357890e+01, 2.326835e+05
-3.594937e-02, 1.469926e+06, -2.781765e+03, 4.035697e+02, -2.781765e+03, 1.474026e+06, 1.167006e+03, 4.035697e+02, 1.167006e+03, 2.219934e+05
-3.443038e-02, 1.409977e+06, -2.373555e+01, -5.511152e+02, -2.373555e+01, 1.410305e+06, 5.954499e+01, -5.511152e+02, 5.954499e+01, 2.110505e+05
-3.291139e-02, 1.346825e+06, -2.108357e+03, 1.084733e+02, -2.108357e+03, 1.351209e+06, -1.122880e+02, 1.084733e+02, -1.122880e+02, 2.001187e+05
-3.139241e-02, 1.293129e+06, -5.134094e+02, 1.232125e+02, -5.134094e+02, 1.286005e+06, 1.157029e+01, 1.232125e+02, 1.157029e+01, 1.883080e+05
