mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -9.391478e+05, -1.821420e+04, 1.359094e+05, -1.289936e+03, 8.256205e+05, -2.343956e+07, -3.607177e+03, 9.826290e+04, 6.238523e+04, -8.230079e+03, 9.004696e+05, 2.334393e+07, 9.348633e+05, -3.172276e+04, -1.262411e+05, -7.044107e+04, 5.311139e+03, 2.842634e+04, 1.224691e+04, 3.152837e+05, 2.592378e+03, -3.936212e+05, -1.200407e+04, -1.080572e+04, -8.733709e+03, 1.228793e+04, 1.019863e+02
-6.222222e-02, -6.152908e+05, -6.032086e+04, 2.203008e+05, -3.574758e+03, 6.429317e+05, -2.014561e+07, -3.708804e+03, 1.866624e+03, -1.549076e+04, 4.622981e+04, 6.271363e+05, 2.016418e+07, 6.175082e+05, -1.080897e+04, -2.230846e+05, -1.147750e+03, 3.289545e+03, -1.213446e+04, 4.396112e+04, 2.491397e+05, -5.435075e+03, -2.316531e+05, -4.490353e+04, -1.830961e+04, -7.116358e+02, 1.781482e+04, 3.646720e+02
-4.444444e-02, -4.407204e+05, -1.239374e+04, 7.852012e+04, 2.426371e+03, 4.444775e+05, -1.737975e+07, 4.824618e+02, -3.371994e+04, -2.534620e+03, -7.654250e+03, 4.414880e+05, 1.737189e+07, 4.416339e+05, -1.953567e+04, -7.871285e+04, 3.564817e+04, -3.587588e+02, 1.954617e+04, 4.925263e+03, 1.739280e+05, 3.294251e+03, -1.742880e+05, -4.641092e+03, -1.325553e+04, -3.043892e+02, 5.616417e+03, -1.288998e+02
-2.666667e-02, -2.762773e+05, 4.904425e+03, 5.533282e+03, 2.709872e+03, 2.879541e+05, -1.660364e+07, -1.484067e+02, -4.535092e+04, -7.670317e+03, -1.886888e+04, 2.805488e+05, 1.657267e+07, 2.829223e+05, -1.114767e+04, -5.523640e+03, 4.478787e+04, 1.436487e+02, 1.869769e+04, -5.798417e+03, 1.141618e+05, 4.718111e+03, -1.134657e+05, 5.783320e+03, -9.698876e+03, -5.718973e+02, -1.967275e+02, 7.098996e+00
-8.888889e-03, -1.650374e+05, -2.320780e+03, 2.939746e+04, 2.829133e+03, 1.741450e+05, -1.698492e+07, 7.255565e+02, -4.064347e+04, -6.876583e+03, -1.142773e+04, 1.703221e+05, 1.691775e+07, 1.773478e+05, -1.090924e+04, -2.938814e+04, 3.919237e+04, -7.235660e+02, 1.504217e+04, -1.224251e+03, 6.721259e+04, 4.263840e+03, -7.116783e+04, 1.222875e+03, -8.914013e+03, -1.924012e+03, 1.274604e+03, 9.344443e-01
8.888889e-03, -5.457767e+04, 1.224915e+02, -5.522192e+02, -1.605470e+01, 5.475233e+04, -3.282321e+07, -1.890102e+01, -1.644476e+04, -1.140861e+02, -6.091761e+01, 5.462888e+04, 3.282298e+07, 5.464235e+04, 4.330659e+01, 5.529661e+02, 1.644141e+04, 1.897588e+01, -7.170507e+00, -5.485245e+01, 2.217663e+04, 6.540873e+01, -2.213466e+04, 5.509956e+01, 7.010627e+00, -2.904671e+00, -3.069508e+01, -1.100746e-01
1.107872e-02, -2.997194e+04, -4.773995e+00, 2.428797e+01, 1.518233e+00, 3.031329e+04, -5.195143e+07, 6.543627e-01, -9.133328e+03, -2.290259e+02, -1.934545e+00, 3.008100e+04, 5.195078e+07, 3.013090e+04, -4.927071e+00, -2.425839e+01, 9.119190e+03, -6.627455e-01, 5.946092e+00, 1.612355e+00, 1.223065e+04, 1.323815e+02, -1.216778e+04, -1.644995e+00, -3.657490e+00, -1.120668e+01, 1.425247e+00, 1.621905e-02
1.140805e-02, -2.498458e+04, 2.249244e+01, -1.508672e+02, -9.797211e+00, 2.509057e+04, -5.862382e+07, -4.792171e+00, -7.555390e+03, -7.313170e+01, 1.838040e+01, 2.502077e+04, 5.862352e+07, 2.504946e+04, 3.134258e+01, 1.508911e+02, 7.547940e+03, 4.783683e+00, -3.617427e+01, -4.698099e+00, 1.014937e+04, 4.289550e+01, -1.014016e+04, 4.666094e+00, 2.065284e+01, -6.278622e+00, -7.050148e+00, 1.637194e-02
1.162528e-02, -2.143114e+04, 2.085290e+00, 4.620591e+01, 7.846693e+00, 2.138202e+04, -6.311761e+07, 5.461828e-01, -6.414439e+03, 3.081575e+01, -3.776306e+01, 2.141778e+04, 6.311760e+07, 2.142543e+04, -2.772146e+01, -4.617132e+01, 6.413049e+03, -5.501638e-01, 4.352219e+01, -7.186124e+00, 8.661979e+03, -1.714497e+01, -8.682128e+03, 7.171363e+00, -2.525843e+01, -1.504371e+00, 1.375238e+00, 7.663526e-03
1.176804e-02, -1.897922e+04, 2.120717e+01, -1.842166e+01, 7.056789e+00, 1.892896e+04, -6.427454e+07, -1.976029e+00, -5.645464e+03, 2.769647e+01, -5.747955e+01, 1.897293e+04, 6.427429e+07, 1.900923e+04, -2.891804e+01, 1.844396e+01, 5.635553e+03, 1.963970e+00, 5.354848e+01, -1.768628e+01, 7.654482e+03, -1.611522e+01, -7.696360e+03, 1.764670e+01, -3.071371e+01, -7.983639e+00, -2.963938e+00, 1.926175e-02
