mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 2.191818e-10, -3.263861e-10, 1.770994e-10, 9.502111e-12, 1.279315e-10, 1.237210e-10, 1.702730e-11, -3.615377e-11, -9.021246e-12, -2.886308e-11, 2.801233e-11, 1.554039e-10, -3.365863e-11, 4.547405e-10, 3.811330e-10, -1.751571e-10, 1.391500e-10, 1.347607e-11, -6.694043e-11, 2.504052e-11, 2.825729e-11, -2.158531e-11, 2.507610e-11, 3.743380e-11, -1.927372e-12, 1.531418e-11, -1.136283e-11
-9.874214e-02, 1.535306e-10, -2.606848e-10, 1.855617e-10, -1.607242e-10, 3.743720e-10, 1.610706e-10, 6.970216e-11, -1.343882e-11, -1.889209e-11, 8.954721e-11, 8.264174e-11, 1.104076e-10, 2.438243e-11, 3.586462e-10, 3.454175e-10, -1.852996e-10, 4.078292e-11, -3.583659e-11, -8.836961e-11, 1.424082e-12, -1.721969e-11, 1.849492e-11, -5.340350e-13, 3.774548e-11, 1.087203e-11, 1.004443e-11, -7.908923e-12
-9.748428e-02, 1.538441e-10, -3.759974e-10, 2.046443e-10, 6.772488e-11, 1.193433e-10, 2.661911e-10, 5.419865e-11, -9.118225e-11, -2.534351e-11, 3.446822e-11, 1.592573e-10, 1.225957e-10, 3.651193e-11, 1.495768e-10, 3.689163e-10, -2.185927e-10, 3.685120e-11, -8.610317e-12, -6.803177e-11, 8.051361e-11, -2.223237e-11, -1.175665e-11, -4.799088e-11, -4.293532e-11, 4.161765e-12, 7.010924e-12, -2.488912e-11
-9.622642e-02, 1.555913e-10, -1.678491e-10, -6.587551e-11, 8.523714e-11, 1.296999e-10, 2.445698e-11, 3.155071e-11, -4.725492e-11, -5.252158e-11, 1.229024e-10, 1.056952e-10, -3.212013e-11, 1.195611e-10, 2.906941e-10, 4.211355e-10, -1.523175e-10, 7.470467e-12, 1.647393e-11, -7.965794e-11, 3.723617e-11, 8.324423e-12, -1.215478e-11, 1.853034e-11, -1.322895e-11, -4.867494e-12, 1.787694e-11, -1.611046e-11
-9.496855e-02, 1.854607e-10, -2.952805e-10, 1.567763e-10, 8.208689e-12, 1.688290e-10, 1.653022e-10, -2.982939e-11, -2.018910e-11, -3.799874e-11, 8.725781e-11, 1.193824e-10, 1.186225e-10, 1.545447e-10, -2.329141e-11, 2.307241e-10, -1.643986e-10, 6.752428e-11, -3.892965e-11, -7.664972e-11, 2.212613e-11, 7.638236e-11, 8.477746e-12, 3.750929e-11, 2.444838e-12, -7.070945e-12, 1.792266e-11, -1.212104e-11
-9.371069e-02, 8.177176e-11, -1.146061e-10, -1.149145e-10, 8.266248e-12, 1.859267e-10, 1.493066e-10, -2.349308e-11, -2.964722e-11, -2.762885e-11, 7.238850e-11, 5.377803e-12, 2.533587e-10, -5.291180e-11, 2.347766e-10, 2.663219e-10, -1.174482e-10, 5.993095e-11, -1.952491e-11, -9.001022e-11, 1.649508e-11, 1.994317e-11, -2.071873e-11, 1.620505e-11, 6.050553e-12, 1.976190e-11, 1.500305e-11, -3.305307e-11
-9.245283e-02, 2.095330e-10, -2.731177e-10, 1.754704e-11, 7.174258e-11, 1.176883e-10, 1.064931e-10, 1.445198e-11, -6.702457e-12, -2.165042e-11, 7.547311e-11, 1.217470e-12, 2.240206e-10, 9.322057e-11, 1.842056e-10, 4.615855e-10, -1.922664e-10, 1.134875e-10, 4.028688e-11, -3.770371e-11, -3.207677e-11, -4.502150e-11, -5.159299e-11, 1.051785e-11, 1.531939e-12, 2.196042e-11, -4.320882e-12, -1.945387e-11
-9.119497e-02, 1.172231e-10, -2.045712e-10, 9.151617e-11, -4.127855e-11, 1.162052e-10, 7.684598e-11, 2.359497e-11, -4.029431e-11, -1.012915e-11, -2.193152e-11, 1.729199e-10, 2.086614e-10, 2.761779e-11, 2.110831e-10, 3.401913e-10, -1.243567e-10, 7.193253e-11, 5.107006e-11, -8.150088e-11, 5.062366e-11, -1.068111e-10, 3.259749e-11, -6.427131e-11, 1.157903e-11, -1.479152e-11, 1.705876e-11, -3.148207e-11
-8.993711e-02, 4.727742e-11, -1.832368e-10, 1.216418e-10, 8.279576e-11, -1.972499e-11, 1.041741e-10, -7.759079e-12, 2.486610e-11, -2.637756e-11, 4.229295e-11, 4.386369e-11, 1.419864e-11, 9.202777e-11, 1.886918e-10, 4.000666e-10, -1.130989e-10, 9.534937e-11, 1.786497e-11, -5.499774e-11, 8.802633e-11, -1.134713e-11, -2.465465e-11, -4.645864e-13, -4.145508e-11, -2.479676e-11, 7.632216e-12, -1.424520e-11
-8.867925e-02, 6.990096e-11, -1.755259e-10, 1.586074e-10, 1.335783e-10, -8.271426e-11, 1.736611e-10, -3.048167e-11, -3.609834e-11, -4.343402e-11, -4.617680e-11, 2.031672e-10, 1.270224e-10, 3.212398e-11, 2.483142e-10, 1.943442e-10, -1.067827e-10, 6.319620e-11, 2.336285e-11, -3.366758e-11, 4.774082e-11, -2.161698e-11, 8.802710e-12, 2.395448e-11, 1.981087e-12, -1.793642e-12, -5.482452e-12, -1.122137e-11
