mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-9.874214e-02, 2.397598e+02, -1.256454e+00, 1.583381e+00, -7.285071e-02, -2.409567e+02, 4.179669e+02, -2.010808e-01, 1.496811e+02, -7.592521e-01, 2.006707e+00, -2.250415e+02, -4.291032e+02, -2.460381e+02, 1.220974e+00, -1.538212e+00, -1.492440e+02, -2.130539e-01, 1.442384e+00, 1.971771e-02, -1.247846e+02, 1.185789e+00, 1.246373e+02, -1.875283e-01, -3.595100e-01, 6.551198e-02, -1.361439e-01, -4.198978e-02
-9.748428e-02, 4.772230e+02, -7.818622e-01, 2.184012e+00, -7.931505e-01, -4.852655e+02, 8.325937e+02, -3.791553e-01, 2.979054e+02, -6.750123e+00, 2.619148e+00, -4.616872e+02, -8.500423e+02, -4.864653e+02, 2.016247e+00, -2.120487e+00, -2.988104e+02, -3.516174e-01, 9.925843e-01, 1.387928e+00, -2.410287e+02, 2.336938e-01, 2.475359e+02, -1.673150e+00, -1.435069e+00, 2.514467e-01, -2.048378e-01, -7.193515e-02
-9.622642e-02, 7.111066e+02, 2.734037e+00, 5.205304e+00, -6.181456e+00, -7.265250e+02, 1.235647e+03, -6.173207e-02, 4.442991e+02, -1.235245e+01, 5.446768e+00, -6.905698e+02, -1.263485e+03, -7.245717e+02, 2.114486e+00, -5.283772e+00, -4.460035e+02, 6.787120e-02, 2.123664e+00, 1.914858e+00, -3.558943e+02, 8.019017e-02, 3.673676e+02, -1.931461e+00, -2.483548e+00, 5.175460e-01, -3.935137e-01, 4.129548e-03
-9.496855e-02, 9.441160e+02, 6.771832e+00, 8.865239e+00, -1.320728e+01, -9.634929e+02, 1.631449e+03, -2.028405e-01, 5.891728e+02, -1.497030e+01, 8.464871e+00, -9.153466e+02, -1.669669e+03, -9.608145e+02, 1.830285e+00, -8.976874e+00, -5.904912e+02, 4.698427e-01, 3.699062e+00, 1.522505e+00, -4.689916e+02, 5.732918e-01, 4.821970e+02, -1.456533e+00, -3.222975e+00, 7.747338e-01, -7.466446e-01, 2.883876e-02
-9.371069e-02, 1.174429e+03, -2.119677e+00, 2.903727e+00, 3.847260e-02, -1.199262e+03, 2.020887e+03, -4.232631e-01, 7.320790e+02, -1.866755e+01, 4.944902e+00, -1.137465e+03, -2.069734e+03, -1.196161e+03, 3.920287e+00, -2.848731e+00, -7.335075e+02, -3.423922e-01, 3.765730e+00, 1.141069e-01, -5.781667e+02, 1.103754e+00, 5.940794e+02, -4.253442e-01, -1.333949e+00, 1.104995e+00, -6.506051e-01, -7.471413e-02
-9.245283e-02, 1.401170e+03, -1.261519e+01, -2.539393e+00, 1.491757e+01, -1.427842e+03, 2.406521e+03, 5.666052e-03, 8.726495e+02, -1.975419e+01, 3.658152e+00, -1.361057e+03, -2.458317e+03, -1.425926e+03, 7.576117e+00, 2.662087e+00, -8.743805e+02, -1.223928e+00, 7.071607e+00, -3.053776e+00, -6.859898e+02, 1.529525e+00, 7.023765e+02, 2.575011e+00, 1.343900e+00, 1.203246e+00, -6.717090e-01, -1.199884e-01
-9.119497e-02, 1.628955e+03, -7.782254e+00, 1.615806e+00, 7.050833e+00, -1.652529e+03, 2.785264e+03, 3.709779e-01, 1.012184e+03, -1.651037e+01, 7.575270e+00, -1.579568e+03, -2.840430e+03, -1.657324e+03, 7.664210e+00, -1.598341e+00, -1.013485e+03, -9.314461e-01, 9.893962e+00, -4.123609e+00, -7.935454e+02, 3.191271e+00, 8.048020e+02, 3.871049e+00, 8.810022e-01, 9.854131e-01, -9.660900e-01, -5.605161e-02
-8.993711e-02, 1.859154e+03, -1.178717e+01, -2.184735e+00, 1.467998e+01, -1.881242e+03, 3.156240e+03, 1.013822e+00, 1.151470e+03, -1.480662e+01, 5.458745e+00, -1.793418e+03, -3.221471e+03, -1.893778e+03, 7.922829e+00, 2.011445e+00, -1.152149e+03, -5.132969e-01, 9.291218e+00, -4.421065e+00, -8.961684e+02, 4.936168e+00, 9.041622e+02, 4.523114e+00, 1.894073e+00, 8.890049e-01, -8.659554e-01, 4.716866e-02
-8.867925e-02, 2.090211e+03, -2.129927e+01, -8.298907e+00, 2.902935e+01, -2.107604e+03, 3.529952e+03, 1.150145e+00, 1.290190e+03, -1.232468e+01, 1.891035e+00, -2.023912e+03, -3.591591e+03, -2.122792e+03, 9.359401e+00, 8.130741e+00, -1.290497e+03, -7.605851e-01, 8.851246e+00, -5.374798e+00, -9.933097e+02, 4.464580e+00, 1.000532e+03, 5.425612e+00, 3.839455e+00, 6.408099e-01, -6.783696e-01, 3.648628e-02
-8.742138e-02, 2.318528e+03, -1.870280e+01, -4.807395e+00, 2.269525e+01, -2.329625e+03, 3.900371e+03, 4.030944e-01, 1.427496e+03, -8.502545e+00, 3.503783e+00, -2.257575e+03, -3.952955e+03, -2.346425e+03, 8.738007e+00, 4.830331e+00, -1.427656e+03, -1.234374e+00, 9.407537e+00, -5.547889e+00, -1.089171e+03, 3.799827e+00, 1.094087e+03, 5.170953e+00, 3.403003e+00, 2.094544e-01, -6.698974e-01, -8.110481e-02
-8.616352e-02, 2.538192e+03, -9.341230e+00, 1.389843e+00, 7.939554e+00, -2.548865e+03, 4.261857e+03, -8.414792e-02, 1.561759e+03, -8.777551e+00, 6.056869e+00, -2.487515e+03, -4.306691e+03, -2.561882e+03, 6.506663e+00, -1.298161e+00, -1.562275e+03, -1.231442e+00, 8.604706e+00, -4.080822e+00, -1.181729e+03, 2.685243e+00, 1.188193e+03, 3.533376e+00, 1.453058e+00, 1.836738e-01, -6.560360e-01, -1.270643e-01
-8.490566e-02, 2.754125e+03, -2.071701e+00, 4.511717e+00, -1.818771e+00, -2.764301e+03, 4.613498e+03, -2.475525e-01, 1.693923e+03, -8.722574e+00, 6.346447e+00, -2.707577e+03, -4.655545e+03, -2.774987e+03, 4.529638e+00, -4.388559e+00, -1.694027e+03, -1.248897e+00, 6.511980e+00, -2.080010e+00, -1.273063e+03, 2.116591e+00, 1.280392e+03, 1.467000e+00, -2.302892e-01, 2.875821e-01, -4.716738e-01, -1.447075e-01
-8.364780e-02, 2.966819e+03, -1.000661e+00, 3.208715e+00, -1.774446e+00, -2.977121e+03, 4.960056e+03, -1.603632e-01, 1.824775e+03, -9.235015e+00, 4.189771e+00, -2.926595e+03, -4.997717e+03, -2.985056e+03, 3.702915e+00, -3.064387e+00, -1.825013e+03, -1.502815e+00, 4.553841e+00, -1.151048e+00, -1.362976e+03, 1.376155e+00, 1.371708e+03, 4.782049e-01, -3.889485e-01, 3.225023e-01, -1.501246e-01, -1.604536e-01
-8.238994e-02, 3.174656e+03, -1.388764e+00, 2.235892e+00, -7.719307e-01, -3.184025e+03, 5.308872e+03, -2.444569e-01, 1.953524e+03, -1.051582e+01, 2.591746e+00, -3.159170e+03, -5.327001e+03, -3.183769e+03, 3.352811e+00, -1.999608e+00, -1.955206e+03, -1.937666e+00, 3.334170e+00, -6.380527e-01, -1.449050e+03, -1.599363e+00, 1.462712e+03, -2.170468e-01, -3.065346e-01, 1.365744e-01, 1.484758e-01, -2.103669e-01
-8.113208e-02, 3.385120e+03, -2.792061e-01, 2.924473e+00, -2.769991e+00, -3.395299e+03, 5.651134e+03, -5.199667e-01, 2.081845e+03, -1.252992e+01, 1.575197e+00, -3.387842e+03, -5.656848e+03, -3.387105e+03, 2.332326e+00, -2.530508e+00, -2.084374e+03, -2.403844e+00, 1.679040e+00, 4.571495e-01, -1.530831e+03, -3.970907e+00, 1.549290e+03, -1.587201e+00, -6.825205e-01, 1.276389e-01, 5.160972e-01, -2.845424e-01
-7.987421e-02, 3.595849e+03, 3.498875e+00, 8.158939e+00, -1.114158e+01, -3.608755e+03, 5.980145e+03, -8.624077e-01, 2.209380e+03, -1.412677e+01, 5.585030e+00, -3.596896e+03, -5.990112e+03, -3.598521e+03, 2.124073e+00, -7.683944e+00, -2.211572e+03, -2.384270e+00, 3.858322e+00, -1.564940e-01, -1.612688e+03, -3.845704e+00, 1.632300e+03, -1.097442e+00, -1.311234e+00, 3.843398e-01, 2.527362e-01, -3.176980e-01
-7.861635e-02, 3.805549e+03, 1.528250e+00, 7.842440e+00, -8.411065e+00, -3.819833e+03, 6.306388e+03, -2.599004e-01, 2.335950e+03, -1.464924e+01, 7.027006e+00, -3.805821e+03, -6.317691e+03, -3.809489e+03, 3.404390e+00, -7.526848e+00, -2.338052e+03, -2.213743e+00, 6.039209e+00, -1.263199e+00, -1.693311e+03, -3.448150e+00, 1.712747e+03, 2.798300e-01, -7.321164e-01, 5.384068e-01, 1.432278e-01, -2.428913e-01
-7.735849e-02, 4.014583e+03, -9.551838e+00, 3.337823e-01, 9.769971e+00, -4.028063e+03, 6.633503e+03, 1.052357e+00, 2.461838e+03, -1.468641e+01, 4.860738e+00, -4.024819e+03, -6.636752e+03, -4.014043e+03, 6.879122e+00, -2.825756e-01, -2.463766e+03, -2.297334e+00, 8.332692e+00, -3.340970e+00, -1.770422e+03, -4.517488e+00, 1.791512e+03, 2.795437e+00, 1.708666e+00, 6.443967e-01, 2.950458e-01, -1.228749e-01
-7.610063e-02, 4.221736e+03, -1.961302e+01, -4.704450e+00, 2.442068e+01, -4.232797e+03, 6.956619e+03, 1.836916e+00, 2.586429e+03, -1.384673e+01, 4.426275e+00, -4.242462e+03, -6.950048e+03, -4.215698e+03, 1.003663e+01, 4.576862e+00, -2.587923e+03, -2.245798e+00, 1.135306e+01, -5.747768e+00, -1.846186e+03, -5.756505e+00, 1.868685e+03, 5.498163e+00, 3.916120e+00, 7.200413e-01, 2.206442e-01, -4.188688e-02
-7.484277e-02, 4.429395e+03, -2.552488e+01, -9.541868e+00, 3.450042e+01, -4.438999e+03, 7.276183e+03, 2.157196e+00, 2.710331e+03, -1.367024e+01, 1.582678e+00, -4.460805e+03, -7.260059e+03, -4.418865e+03, 1.094363e+01, 9.343718e+00, -2.711874e+03, -2.218217e+00, 1.062008e+01, -5.943224e+00, -1.919100e+03, -6.958776e+00, 1.943345e+03, 5.812694e+00, 4.980632e+00, 7.394597e-01, 3.972417e-01, -8.876423e-03
-7.358491e-02, 4.635333e+03, -2.614765e+01, -8.748201e+00, 3.448148e+01, -4.645727e+03, 7.586989e+03, 2.127965e+00, 2.832793e+03, -1.456897e+01, 3.380940e+00, -4.668865e+03, -7.569742e+03, -4.624546e+03, 1.228045e+01, 8.590481e+00, -2.834741e+03, -2.343794e+00, 1.269054e+01, -6.928190e+00, -1.990796e+03, -7.368741e+00, 2.016399e+03, 6.736997e+00, 5.093802e+00, 7.166409e-01, 1.481952e-01, -2.485494e-02
-7.232704e-02, 4.844473e+03, -2.573429e+01, -5.241036e+00, 3.145101e+01, -4.857995e+03, 7.886470e+03, 2.396645e+00, 2.955215e+03, -1.519761e+01, 8.492349e+00, -4.860987e+03, -7.885072e+03, -4.840889e+03, 1.447601e+01, 5.028739e+00, -2.956618e+03, -2.359649e+00, 1.748338e+01, -8.945070e+00, -2.061583e+03, -5.356982e+00, 2.084800e+03, 8.835884e+00, 5.185788e+00, 9.317017e-01, -3.138636e-01, -1.437668e-03
-7.106918e-02, 5.051341e+03, -3.161668e+01, -8.568091e+00, 4.004972e+01, -5.069373e+03, 8.186332e+03, 2.479619e+00, 3.076743e+03, -1.766579e+01, 7.455579e+00, -5.062711e+03, -8.192999e+03, -5.050710e+03, 1.597395e+01, 8.320202e+00, -3.077783e+03, -2.288437e+00, 1.830394e+01, -9.900521e+00, -2.128065e+03, -4.788545e+00, 2.152618e+03, 9.844692e+00, 6.247268e+00, 1.321897e+00, -3.827691e-01, 1.335405e-02
-6.981132e-02, 5.251521e+03, -3.545099e+01, -1.257477e+01, 4.705094e+01, -5.276759e+03, 8.487617e+03, 2.396342e+00, 3.196397e+03, -2.334880e+01, 3.832849e+00, -5.274435e+03, -8.491260e+03, -5.249574e+03, 1.548988e+01, 1.231945e+01, -3.198387e+03, -2.180125e+00, 1.584615e+01, -9.119047e+00, -2.191214e+03, -6.251850e+00, 2.222571e+03, 9.071785e+00, 6.767207e+00, 1.744441e+00, -1.303625e-01, 1.574076e-02
-6.855346e-02, 5.450232e+03, -3.520202e+01, -1.255912e+01, 4.698914e+01, -5.478358e+03, 8.787373e+03, 2.667416e+00, 3.314889e+03, -2.621629e+01, 3.592187e+00, -5.486430e+03, -8.783002e+03, -5.444875e+03, 1.495207e+01, 1.220123e+01, -3.317707e+03, -2.039990e+00, 1.536510e+01, -8.787913e+00, -2.254776e+03, -7.729511e+00, 2.290471e+03, 8.888790e+00, 6.799232e+00, 1.859368e+00, 1.670103e-02, 5.561387e-02
-6.729560e-02, 5.645669e+03, -3.391382e+01, -1.152202e+01, 4.487815e+01, -5.677155e+03, 9.083408e+03, 2.644021e+00, 3.431911e+03, -2.968211e+01, 4.221521e+00, -5.697775e+03, -9.069257e+03, -5.636233e+03, 1.470929e+01, 1.114559e+01, -3.435744e+03, -1.971178e+00, 1.538665e+01, -8.555839e+00, -2.316830e+03, -9.591525e+00, 2.357978e+03, 8.680105e+00, 6.482122e+00, 1.984415e+00, -2.180891e-02, 6.117804e-02
