mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-9.874214e-02, -1.613271e+03, 8.966621e+00, -1.540028e+02, -1.191452e+01, 1.566570e+03, -3.672067e+04, -7.063913e+00, 3.533668e+02, 3.509210e+01, 3.378029e+01, 1.583012e+03, 3.693123e+04, 1.554828e+03, 4.282448e+01, 1.756277e+02, -3.737270e+02, 6.333725e+00, -4.713044e+01, -4.393969e+00, 6.246453e+02, -2.246685e+01, -6.031243e+02, 1.591531e+00, 3.467314e+01, 1.774624e+01, -1.548857e+00, 1.484800e+00
-9.748428e-02, -3.239313e+03, 2.785755e+01, -2.930508e+02, -1.909411e+01, 2.947217e+03, -7.287585e+04, -7.833087e+00, 6.862149e+02, 1.810809e+02, 2.308293e+01, 3.109242e+03, 7.341291e+04, 3.091439e+03, 5.169185e+01, 3.340494e+02, -7.063504e+02, 7.178786e+00, -4.804937e+01, -2.625967e+01, 1.181460e+03, -4.780595e+01, -1.231442e+03, 2.138524e+01, 6.222399e+01, 2.976943e+01, -2.718371e+00, 2.655616e+00
-9.622642e-02, -4.852948e+03, 5.660079e+01, -4.769353e+02, -2.058045e+01, 4.316343e+03, -1.082638e+05, -3.460307e+00, 9.964626e+02, 3.296354e+02, 5.648190e+01, 4.618315e+03, 1.092794e+05, 4.588046e+03, 8.303621e+01, 5.162363e+02, -1.014920e+03, 5.631613e+00, -9.182210e+01, -3.650112e+01, 1.755982e+03, -9.407257e+01, -1.850307e+03, 3.640836e+01, 1.033872e+02, 4.523740e+01, -1.184610e+01, 7.052403e-01
-9.496855e-02, -6.381123e+03, 7.608629e+01, -6.137724e+02, -3.046561e+01, 5.716958e+03, -1.431113e+05, 2.272404e+00, 1.288460e+03, 4.110332e+02, 9.531170e+01, 6.088816e+03, 1.444596e+05, 6.031393e+03, 1.223672e+02, 6.502927e+02, -1.305454e+03, 2.475738e-01, -1.457086e+02, -4.005788e+01, 2.328783e+03, -1.409670e+02, -2.429401e+03, 4.157917e+01, 1.554306e+02, 5.745935e+01, -2.255246e+01, -8.065036e-03
-9.371069e-02, -7.890509e+03, 2.784794e+01, -4.185278e+02, -3.724887e+01, 7.056855e+03, -1.773754e+05, -7.898794e+00, 1.558125e+03, 5.182938e+02, 9.144065e+01, 7.523625e+03, 1.791585e+05, 7.441484e+03, 1.004550e+02, 4.738809e+02, -1.582238e+03, 7.642921e+00, -1.214415e+02, -1.641107e+01, 2.877310e+03, -1.965563e+02, -2.989295e+03, 1.125049e+01, 1.188063e+02, 7.320796e+01, -4.709284e+00, 3.009587e+00
-9.245283e-02, -9.306802e+03, -3.060642e+01, -2.958475e+02, -4.315692e+01, 8.424260e+03, -2.111249e+05, -2.089999e+01, 1.812307e+03, 5.500835e+02, 1.677588e+02, 8.916632e+03, 2.130931e+05, 8.827410e+03, 1.279645e+02, 3.623685e+02, -1.847319e+03, 1.955747e+01, -1.726855e+02, 3.129515e+01, 3.423056e+03, -2.157854e+02, -3.529650e+03, -3.940234e+01, 9.294904e+01, 8.032798e+01, 1.103417e+01, 4.385645e+00
-9.119497e-02, -1.062351e+04, -1.579690e+01, -4.578028e+02, -4.526774e+01, 9.859410e+03, -2.444060e+05, -1.365678e+01, 2.043162e+03, 4.831505e+02, 2.363712e+02, 1.026732e+04, 2.464288e+05, 1.015410e+04, 1.856357e+02, 5.154526e+02, -2.094889e+03, 1.373108e+01, -2.537574e+02, 3.717539e+01, 3.991658e+03, -2.055603e+02, -4.027834e+03, -4.113781e+01, 1.350541e+02, 8.669516e+01, -3.151598e+00, 2.534221e+00
-8.993711e-02, -1.191742e+04, -2.975744e+01, -3.217378e+02, -2.844745e+01, 1.120234e+04, -2.772051e+05, -1.550194e+01, 2.251266e+03, 4.611274e+02, 2.336446e+02, 1.155964e+04, 2.793819e+05, 1.141779e+04, 1.451316e+02, 3.766648e+02, -2.325129e+03, 1.830290e+01, -2.229280e+02, 5.333637e+01, 4.537614e+03, -2.106123e+02, -4.515740e+03, -5.068637e+01, 1.093655e+02, 1.023140e+02, 7.067905e+00, -2.441205e-01
-8.867925e-02, -1.308896e+04, -6.979217e+01, -1.076242e+02, -2.127110e+01, 1.248838e+04, -3.098139e+05, -2.813808e+01, 2.452829e+03, 3.901292e+02, 2.269701e+02, 1.277419e+04, 3.116008e+05, 1.265609e+04, 1.073269e+02, 1.753969e+02, -2.529021e+03, 3.105656e+01, -1.866304e+02, 7.922718e+01, 5.032165e+03, -1.656029e+02, -5.012416e+03, -7.734049e+01, 6.691574e+01, 9.706830e+01, 2.711721e+01, 2.728789e-01
