mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 1.901125e+05, -3.515144e+03, -5.410440e+02, 3.939349e+03, -1.919166e+05, 3.296195e+05, 9.415498e+01, 1.194919e+05, -2.280427e+02, 3.960252e+01, -1.690147e+05, -3.456461e+05, -1.995385e+05, 4.146899e+02, 5.172188e+02, -1.186018e+05, -2.892466e+01, 3.235114e+02, -7.093079e+01, -1.031279e+05, 2.424883e+03, 1.006910e+05, 8.310177e+01, 4.847763e+02, 1.547121e+02, 1.229869e+02, 6.509290e+00
-9.874214e-02, 1.911056e+05, 1.517381e+03, 3.058619e+03, -4.055181e+03, -1.912044e+05, 3.349478e+05, -4.138735e+02, 1.185011e+05, -9.791681e+02, 3.151062e+03, -1.888013e+05, -3.366280e+05, -1.916622e+05, 1.526659e+03, -2.962976e+03, -1.186962e+05, -3.098311e+02, 1.969878e+03, 1.022819e+02, -9.527968e+04, -5.394785e+02, 9.748227e+04, -3.812718e+02, -1.056397e+03, -5.054804e+01, -3.394557e+02, -7.327303e+01
-9.748428e-02, 1.864610e+05, -7.627795e+02, -2.103615e+03, 2.909905e+03, -1.972466e+05, 3.243089e+05, 1.307350e+02, 1.171754e+05, -8.546317e+03, -2.177280e+03, -1.874653e+05, -3.326651e+05, -1.906170e+05, -2.621746e+02, 2.037159e+03, -1.191143e+05, 8.951524e+01, -2.685059e+03, 2.073173e+03, -8.954831e+04, -9.743533e+02, 9.792651e+04, -1.980867e+03, -6.537408e+02, 3.461843e+02, 2.302323e+02, 2.565989e+01
-9.622642e-02, 1.854138e+05, 6.353059e+03, 6.907468e+03, -1.147731e+04, -1.863560e+05, 3.165455e+05, 3.739680e+02, 1.155907e+05, -3.613789e+02, 6.673196e+03, -1.764580e+05, -3.247090e+05, -1.879722e+05, 4.183746e+02, -7.066782e+03, -1.149229e+05, 5.774716e+02, 4.483476e+03, -1.235355e+03, -9.308802e+04, 7.302826e+02, 9.260604e+04, 1.570153e+03, -1.013342e+03, 7.691357e+01, -5.302270e+02, 9.528297e+01
-9.496855e-02, 1.850713e+05, 6.703536e+01, -1.088171e+03, 3.062546e+02, -1.904230e+05, 3.127801e+05, -5.983305e+02, 1.147584e+05, -3.800998e+03, -1.874412e+03, -1.809371e+05, -3.211233e+05, -1.876538e+05, -8.702555e+02, 1.194749e+03, -1.148125e+05, 6.166314e+01, -1.978593e+03, 6.115139e+02, -8.673671e+04, 5.374906e+01, 8.997259e+04, -8.150163e+02, -1.623481e+02, 3.320150e+02, -3.125116e+01, -5.599533e+01
-9.371069e-02, 1.811268e+05, -1.420454e+04, -8.390633e+03, 2.075449e+04, -1.844506e+05, 3.064258e+05, 2.478587e+02, 1.124624e+05, -2.077632e+03, -3.722339e+03, -1.722317e+05, -3.149795e+05, -1.865467e+05, 4.193360e+03, 8.548999e+03, -1.125833e+05, -1.353117e+03, 2.084596e+03, -2.850867e+03, -8.685168e+04, 7.896857e+02, 8.792052e+04, 2.454606e+03, 3.165900e+03, 1.931006e+02, 1.839539e+02, -1.086538e+02
-9.245283e-02, 1.793914e+05, -2.483323e+03, -2.639281e+02, 2.903281e+03, -1.789910e+05, 3.067333e+05, 4.341386e+02, 1.110446e+05, 3.498780e+02, 1.676405e+03, -1.832794e+05, -3.028679e+05, -1.787804e+05, 1.619410e+03, 2.132017e+02, -1.114048e+05, -4.852448e+01, 3.171749e+03, -2.186067e+03, -8.458704e+04, -1.127098e+02, 8.427181e+04, 2.315958e+03, 1.091880e+03, -3.688231e+01, -2.175091e+02, 3.666761e+01
-9.119497e-02, 1.827864e+05, 1.016768e+04, 6.870695e+03, -1.541140e+04, -1.782615e+05, 2.954671e+05, 1.467071e+02, 1.108160e+05, 4.807795e+03, 4.551813e+03, -1.641527e+05, -3.046917e+05, -1.891411e+05, -1.479342e+03, -6.987282e+03, -1.097721e+05, 5.135701e+02, 1.315796e+03, 4.850323e+02, -8.642635e+04, 2.754886e+03, 7.858474e+04, -2.552569e+02, -1.827888e+03, -3.094716e+02, -2.505568e+02, 6.499197e+01
-8.993711e-02, 1.832294e+05, -1.653550e+04, -1.291355e+04, 2.754174e+04, -1.853920e+05, 2.943858e+05, 8.754155e+02, 1.106484e+05, -2.098838e+03, -7.917087e+03, -1.758681e+05, -3.011644e+05, -1.868212e+05, 1.890547e+03, 1.272684e+04, -1.107037e+05, 1.512870e+02, -2.274159e+03, -9.579863e+02, -7.674428e+04, 1.949915e+01, 7.939802e+04, 1.292040e+03, 3.438671e+03, 1.561827e+02, 4.097709e+02, 9.912826e+01
-8.867925e-02, 1.841512e+05, 1.411267e+03, 3.192020e+03, -4.726239e+03, -1.745242e+05, 2.998157e+05, -6.586626e+02, 1.099165e+05, 6.045120e+03, 2.244428e+03, -1.906173e+05, -2.873262e+05, -1.773112e+05, 3.936031e+02, -2.997160e+03, -1.092690e+05, -5.444752e+02, 1.574604e+03, -5.584496e+02, -7.771047e+04, -7.693240e+02, 7.382946e+04, 1.429325e+02, -3.455150e+02, -5.508129e+02, -1.115094e+02, -1.161133e+02
-8.742138e-02, 1.788726e+05, 2.717126e+03, 2.359486e+03, -5.344985e+03, -1.784876e+05, 2.891498e+05, -5.291478e+02, 1.083987e+05, 3.207605e+01, 3.198417e+02, -1.809073e+05, -2.872417e+05, -1.782649e+05, -1.381620e+03, -2.250491e+03, -1.088140e+05, -2.088492e+02, -6.901020e+02, 2.832340e+02, -7.470832e+04, -2.876324e+02, 7.492289e+04, -5.478407e+02, -3.484430e+02, -1.350423e+02, 1.249801e+02, -7.085658e+01
-8.616352e-02, 1.703945e+05, 1.216777e+04, 7.494122e+03, -1.811657e+04, -1.701046e+05, 2.856142e+05, -2.455674e+02, 1.050807e+05, -4.693366e+02, 3.739566e+03, -1.846979e+05, -2.751990e+05, -1.643130e+05, -2.166217e+03, -7.493812e+03, -1.052304e+05, 2.135113e+02, -5.863980e+02, 2.049403e+03, -7.245910e+04, -1.484556e+03, 7.470631e+04, -2.055907e+03, -2.751970e+03, 9.405124e+01, -1.029406e+02, -2.219075e+00
-8.490566e-02, 1.729381e+05, -6.092155e+02, -2.530343e+03, 2.600833e+03, -1.724390e+05, 2.734948e+05, -1.424588e+01, 1.050594e+05, 5.567497e+02, -3.279138e+03, -1.652001e+05, -2.794782e+05, -1.745230e+05, -9.772529e+02, 2.580081e+03, -1.042542e+05, -2.412652e+02, -2.741038e+03, 1.131888e+03, -7.276280e+04, 5.803987e+02, 7.188928e+04, -1.229630e+03, 7.544782e+01, 7.116291e+01, 3.960766e+02, -2.583355e+01
-8.364780e-02, 1.652452e+05, 2.312169e+03, 4.585704e+02, -2.530356e+03, -1.659451e+05, 2.775313e+05, 1.528769e+02, 1.029950e+05, -1.371530e+03, -1.499761e+02, -1.830393e+05, -2.645765e+05, -1.594871e+05, -3.372358e+02, -4.746487e+02, -1.040150e+05, -1.624633e+02, -3.724029e+02, 3.451622e+02, -7.019885e+04, -1.757691e+03, 7.330361e+04, -3.425547e+02, -3.277162e+02, -1.563983e+01, 1.151866e+02, 7.972960e-01
-8.238994e-02, 1.652162e+05, -2.929254e+03, -2.005358e+03, 4.124354e+03, -1.630317e+05, 2.770870e+05, -2.865860e+02, 1.017159e+05, -6.649522e+02, -2.390884e+03, -1.867551e+05, -2.589842e+05, -1.564667e+05, -2.194308e+02, 2.167648e+03, -1.029908e+05, -5.289510e+02, -1.566874e+03, 4.705003e+02, -6.665908e+04, -2.973383e+03, 7.139369e+04, -7.628954e+02, 4.587543e+02, -2.799854e+02, 3.595879e+02, -8.015949e+01
-8.113208e-02, 1.694214e+05, 4.693452e+03, 3.100201e+03, -7.301270e+03, -1.728937e+05, 2.671101e+05, -1.514745e+02, 1.023154e+05, -2.537467e+03, 7.745716e+02, -1.768322e+05, -2.654724e+05, -1.668375e+05, -1.403140e+03, -3.011780e+03, -1.023871e+05, -2.122716e+02, -1.064784e+03, 1.270871e+03, -6.337133e+04, -7.973718e+02, 6.626526e+04, -1.415649e+03, -1.056572e+03, 2.657779e+02, 2.249301e+02, -3.777954e+01
-7.987421e-02, 1.656377e+05, 1.313697e+03, 5.222600e+03, -6.009558e+03, -1.665021e+05, 2.560168e+05, -3.930067e+02, 1.004651e+05, -1.520837e+00, 5.601063e+03, -1.555645e+05, -2.644174e+05, -1.693133e+05, 1.072018e+03, -5.182183e+03, -9.985751e+04, 2.433939e+02, 4.529842e+03, -2.246564e+03, -6.678211e+04, 9.964452e+02, 6.572039e+04, 2.194366e+03, 5.691740e+01, 1.423765e+02, -6.436742e+02, -1.493779e+01
-7.861635e-02, 1.677851e+05, -4.446992e+03, -5.725833e+03, 1.035108e+04, -1.691110e+05, 2.627095e+05, 1.350993e+03, 1.007804e+05, -8.292056e+02, -3.308322e+03, -1.766251e+05, -2.564342e+05, -1.661271e+05, 9.636856e+02, 5.431966e+03, -1.012454e+05, 2.774503e+01, -1.062232e+03, 4.869033e+02, -6.140769e+04, -3.643355e+02, 6.218964e+04, -4.503418e+00, 8.638798e+02, 1.025900e+02, 4.695559e+02, 1.338804e+02
