mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-1.000000e-01, 8.057556e+05, 1.015531e+03, 2.845109e+02, 1.015531e+03, 8.054266e+05, 5.169561e+02, 2.845109e+02, 5.169561e+02, 1.914191e+05
-9.874214e-02, 7.974605e+05, 1.305254e+03, -6.573574e+01, 1.305254e+03, 7.971770e+05, -2.365026e+02, -6.573574e+01, -2.365026e+02, 1.876233e+05
-9.748428e-02, 7.881437e+05, 6.118167e+02, -4.713723e+02, 6.118167e+02, 7.884068e+05, -1.815622e+02, -4.713723e+02, -1.815622e+02, 1.837420e+05
-9.622642e-02, 7.780941e+05, -2.288308e+02, -7.853882e+02, -2.288308e+02, 7.788228e+05, -1.583593e+02, -7.853882e+02, -1.583593e+02, 1.796175e+05
-9.496855e-02, 7.693279e+05, -2.310395e+01, -4.273202e+02, -2.310395e+01, 7.706319e+05, 3.205078e+02, -4.273202e+02, 3.205078e+02, 1.760126e+05
-9.371069e-02, 7.596149e+05, 6.041260e+02, -1.699716e+02, 6.041260e+02, 7.612500e+05, -1.382431e+02, -1.699716e+02, -1.382431e+02, 1.723339e+05
-9.245283e-02, 7.516439e+05, -4.867717e+02, 3.213716e+02, -4.867717e+02, 7.520632e+05, -1.769182e+02, 3.213716e+02, -1.769182e+02, 1.680525e+05
-9.119497e-02, 7.431156e+05, -3.673221e+02, -1.133773e+02, -3.673221e+02, 7.433933e+05, 3.864326e+02, -1.133773e+02, 3.864326e+02, 1.639480e+05
-8.993711e-02, 7.325425e+05, -2.638973e+02, -1.946797e+02, -2.638973e+02, 7.331681e+05, -4.715881e+02, -1.946797e+02, -4.715881e+02, 1.607567e+05
-8.867925e-02, 7.249255e+05, -2.094784e+02, 3.448088e+01, -2.094784e+02, 7.236571e+05, -4.628224e+02, 3.448088e+01, -4.628224e+02, 1.567307e+05
-8.742138e-02, 7.145141e+05, 2.006539e+03, -1.701809e+02, 2.006539e+03, 7.151498e+05, 2.944167e+01, -1.701809e+02, 2.944167e+01, 1.531525e+05
-8.616352e-02, 7.047551e+05, -3.672622e+02, 3.791805e+02, -3.672622e+02, 7.040252e+05, 4.873032e+02, 3.791805e+02, 4.873032e+02, 1.500801e+05
-8.490566e-02, 6.948460e+05, -4.011448e+02, -1.265906e+03, -4.011448e+02, 6.957129e+05, 2.992917e+02, -1.265906e+03, 2.992917e+02, 1.462833e+05
-8.364780e-02, 6.851561e+05, 2.431213e+03, -4.192222e+02, 2.431213e+03, 6.865315e+05, 2.366621e+02, -4.192222e+02, 2.366621e+02, 1.428023e+05
-8.238994e-02, 6.764854e+05, 2.408905e+03, 7.660084e+02, 2.408905e+03, 6.739747e+05, 8.747610e+02, 7.660084e+02, 8.747610e+02, 1.398494e+05
-8.113208e-02, 6.685497e+05, 1.444330e+02, -6.347081e+02, 1.444330e+02, 6.629644e+05, -4.700831e+01, -6.347081e+02, -4.700831e+01, 1.363413e+05
-7.987421e-02, 6.578190e+05, -4.691795e+02, -3.209596e+02, -4.691795e+02, 6.545872e+05, 1.522207e+02, -3.209596e+02, 1.522207e+02, 1.327266e+05
-7.861635e-02, 6.465952e+05, 3.290831e+01, 2.865854e+02, 3.290831e+01, 6.457600e+05, 1.557585e+02, 2.865854e+02, 1.557585e+02, 1.296061e+05
-7.735849e-02, 6.351391e+05, -1.599577e+03, -5.311132e+02, -1.599577e+03, 6.366544e+05, 1.790341e+02, -5.311132e+02, 1.790341e+02, 1.266675e+05
-7.610063e-02, 6.244224e+05, 1.796902e+03, 9.008022e+02, 1.796902e+03, 6.271771e+05, 2.429893e+02, 9.008022e+02, 2.429893e+02, 1.235072e+05
-7.484277e-02, 6.154259e+05, -5.263731e+02, -6.871972e+02, -5.263731e+02, 6.170891e+05, -2.874548e+02, -6.871972e+02, -2.874548e+02, 1.202046e+05
-7.358491e-02, 6.060564e+05, -5.445113e+02, 7.031421e+01, -5.445113e+02, 6.051909e+05, 5.186850e+02, 7.031421e+01, 5.186850e+02, 1.173561e+05
-7.232704e-02, 5.934801e+05, 1.146611e+03, 6.297281e+02, 1.146611e+03, 5.969026e+05, 1.151111e+03, 6.297281e+02, 1.151111e+03, 1.144877e+05
-7.106918e-02, 5.863833e+05, 1.541182e+03, -2.674708e+02, 1.541182e+03, 5.851692e+05, 5.367055e+02, -2.674708e+02, 5.367055e+02, 1.110879e+05
-6.981132e-02, 5.735846e+05, -4.684189e+01, 1.828110e+02, -4.684189e+01, 5.765632e+05, 6.147944e+02, 1.828110e+02, 6.147944e+02, 1.084050e+05
-6.855346e-02, 5.643780e+05, 4.729494e+02, -4.326242e+02, 4.729494e+02, 5.648896e+05, 3.863744e+02, -4.326242e+02, 3.863744e+02, 1.055909e+05
-6.729560e-02, 5.552775e+05, -1.429079e+03, 4.937226e+02, -1.429079e+03, 5.547307e+05, -4.087646e+02, 4.937226e+02, -4.087646e+02, 1.024453e+05
-6.603774e-02, 5.439962e+05, 1.530557e+03, 4.119993e+02, 1.530557e+03, 5.437567e+05, 1.194530e+02, 4.119993e+02, 1.194530e+02, 9.993459e+04
-6.477987e-02, 5.348725e+05, -1.069515e+03, 5.492741e+02, -1.069515e+03, 5.337459e+05, 6.868810e+02, 5.492741e+02, 6.868810e+02, 9.678528e+04
-6.352201e-02, 5.244372e+05, 7.819837e+02, -2.652011e+02, 7.819837e+02, 5.240215e+05, 6.403240e+02, -2.652011e+02, 6.403240e+02, 9.400541e+04
-6.226415e-02, 5.120747e+05, -1.758613e+02, -8.274235e+02, -1.758613e+02, 5.143766e+05, 2.975413e+01, -8.274235e+02, 2.975413e+01, 9.154192e+04
-6.100629e-02, 5.011797e+05, 9.879023e+02, -4.489524e+02, 9.879023e+02, 5.018040e+05, -6.466195e+01, -4.489524e+02, -6.466195e+01, 8.936933e+04
-5.974843e-02, 4.918662e+05, -7.130839e+02, 5.601805e+02, -7.130839e+02, 4.915474e+05, -1.047872e+02, 5.601805e+02, -1.047872e+02, 8.655157e+04
-5.849057e-02, 4.818932e+05, 2.698175e+02, -2.401128e+02, 2.698175e+02, 4.809514e+05, -5.076263e+02, -2.401128e+02, -5.076263e+02, 8.387661e+04
-5.723270e-02, 4.700464e+05, 7.818984e+02, -4.595274e+02, 7.818984e+02, 4.727699e+05, -9.149809e+02, -4.595274e+02, -9.149809e+02, 8.118324e+04
-5.597484e-02, 4.594969e+05, -9.427722e+02, 1.921745e+02, -9.427722e+02, 4.618198e+05, -7.118644e+02, 1.921745e+02, -7.118644e+02, 7.877875e+04
-5.471698e-02, 4.506166e+05, -4.872320e+02, 6.182645e+01, -4.872320e+02, 4.497049e+05, -2.044120e+02, 6.182645e+01, -2.044120e+02, 7.634812e+04
-5.345912e-02, 4.393470e+05, -3.238972e+02, 4.348063e+02, -3.238972e+02, 4.406183e+05, 9.964141e+01, 4.348063e+02, 9.964141e+01, 7.384858e+04
-5.220126e-02, 4.302343e+05, 7.434579e+02, 1.175626e+02, 7.434579e+02, 4.277738e+05, -8.705616e+02, 1.175626e+02, -8.705616e+02, 7.163596e+04
-5.094340e-02, 4.187033e+05, -7.330959e+00, 5.042847e+02, -7.330959e+00, 4.181271e+05, -2.155347e+02, 5.042847e+02, -2.155347e+02, 6.930027e+04
-4.968553e-02, 4.075753e+05, 6.051723e+02, -7.672482e+02, 6.051723e+02, 4.084564e+05, 3.342328e+02, -7.672482e+02, 3.342328e+02, 6.699704e+04
-4.842767e-02, 3.973208e+05, -7.488795e+02, 2.944977e+02, -7.488795e+02, 3.976536e+05, -2.941189e+02, 2.944977e+02, -2.941189e+02, 6.478442e+04
-4.716981e-02, 3.871232e+05, 3.305183e+01, -9.659431e+01, 3.305183e+01, 3.868073e+05, 2.547990e+02, -9.659431e+01, 2.547990e+02, 6.263970e+04
-4.591195e-02, 3.765616e+05, -1.071914e+02, -1.180277e+02, -1.071914e+02, 3.767243e+05, 7.603670e+01, -1.180277e+02, 7.603670e+01, 6.040596e+04
-4.465409e-02, 3.660449e+05, -1.099405e+02, -7.132542e+01, -1.099405e+02, 3.665491e+05, -3.316552e+02, -7.132542e+01, -3.316552e+02, 5.823304e+04
-4.339623e-02, 3.554732e+05, -2.253679e+01, 7.176179e+01, -2.253679e+01, 3.556680e+05, -1.105068e+02, 7.176179e+01, -1.105068e+02, 5.620228e+04
-4.213836e-02, 3.455431e+05, 3.706661e+02, -1.655488e+02, 3.706661e+02, 3.450717e+05, -1.544582e+02, -1.655488e+02, -1.544582e+02, 5.406985e+04
-4.088050e-02, 3.350151e+05, -3.509019e+02, -6.352270e+01, -3.509019e+02, 3.346341e+05, -7.544215e+01, -6.352270e+01, -7.544215e+01, 5.205745e+04
-3.962264e-02, 3.252306e+05, 7.794874e+01, 9.385567e+01, 7.794874e+01, 3.240676e+05, 7.189660e+01, 9.385567e+01, 7.189660e+01, 5.000835e+04
-3.836478e-02, 3.143586e+05, 5.237502e+02, -1.125168e+02, 5.237502e+02, 3.140695e+05, 3.335450e+01, -1.125168e+02, 3.335450e+01, 4.807040e+04
-3.710692e-02, 3.043852e+05, -3.208446e+02, 8.345495e+01, -3.208446e+02, 3.040736e+05, 2.949935e+01, 8.345495e+01, 2.949935e+01, 4.604573e+04
-3.584906e-02, 2.942451e+05, -1.562009e+02, 1.658686e+02, -1.562009e+02, 2.934475e+05, 3.749003e+01, 1.658686e+02, 3.749003e+01, 4.419183e+04
-3.459119e-02, 2.837086e+05, 3.055367e+01, -1.265951e+02, 3.055367e+01, 2.833595e+05, -2.014274e+02, -1.265951e+02, -2.014274e+02, 4.236267e+04
-3.333333e-02, 2.736491e+05, -7.752180e+01, -5.973681e+01, -7.752180e+01, 2.737041e+05, 1.955188e+01, -5.973681e+01, 1.955188e+01, 4.046486e+04
