mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-1.000000e-01, 8.040488e+05, -6.451112e+02, 3.914872e+02, -6.451112e+02, 8.077904e+05, -5.780826e+02, 3.914872e+02, -5.780826e+02, 1.914377e+05
-9.874214e-02, 7.966849e+05, -1.955851e+03, 2.082694e+02, -1.955851e+03, 7.964487e+05, 3.222642e+01, 2.082694e+02, 3.222642e+01, 1.881378e+05
-9.748428e-02, 7.882768e+05, -5.283171e+02, -3.034610e+01, -5.283171e+02, 7.871373e+05, 3.559953e+02, -3.034610e+01, 3.559953e+02, 1.840068e+05
-9.622642e-02, 7.809090e+05, 6.056820e+02, -4.073863e+02, 6.056820e+02, 7.765710e+05, -6.056168e+02, -4.073863e+02, -6.056168e+02, 1.800228e+05
-9.496855e-02, 7.696628e+05, 2.338554e+02, 1.331000e+02, 2.338554e+02, 7.696254e+05, 6.370915e+02, 1.331000e+02, 6.370915e+02, 1.760955e+05
-9.371069e-02, 7.600201e+05, 6.476100e+02, 2.085892e+02, 6.476100e+02, 7.620999e+05, 5.819932e+02, 2.085892e+02, 5.819932e+02, 1.717123e+05
-9.245283e-02, 7.521809e+05, -9.840624e+02, -2.395129e+02, -9.840624e+02, 7.509808e+05, 9.177727e+02, -2.395129e+02, 9.177727e+02, 1.681051e+05
-9.119497e-02, 7.414840e+05, 5.215816e+02, 1.829263e+02, 5.215816e+02, 7.435150e+05, -5.229988e+00, 1.829263e+02, -5.229988e+00, 1.642666e+05
-8.993711e-02, 7.306100e+05, -9.091430e+02, -1.479541e+02, -9.091430e+02, 7.354011e+05, -1.160605e+02, -1.479541e+02, -1.160605e+02, 1.606444e+05
-8.867925e-02, 7.244257e+05, -5.289051e+02, 3.193696e+02, -5.289051e+02, 7.230596e+05, 1.905861e+01, 3.193696e+02, 1.905861e+01, 1.569575e+05
-8.742138e-02, 7.156850e+05, -1.910570e+03, -1.588448e+02, -1.910570e+03, 7.127922e+05, 5.052305e+02, -1.588448e+02, 5.052305e+02, 1.530972e+05
-8.616352e-02, 7.050450e+05, 9.243164e+02, 8.538773e+02, 9.243164e+02, 7.034741e+05, -1.015898e+03, 8.538773e+02, -1.015898e+03, 1.501556e+05
-8.490566e-02, 6.945322e+05, 6.823525e+02, -2.645931e+02, 6.823525e+02, 6.943985e+05, 1.227606e+02, -2.645931e+02, 1.227606e+02, 1.468905e+05
-8.364780e-02, 6.844121e+05, -6.319973e+02, -6.703360e+01, -6.319973e+02, 6.847405e+05, 3.480648e+02, -6.703360e+01, 3.480648e+02, 1.437150e+05
-8.238994e-02, 6.751324e+05, -1.134099e+02, 2.599493e+02, -1.134099e+02, 6.746499e+05, 1.892698e+02, 2.599493e+02, 1.892698e+02, 1.402936e+05
-8.113208e-02, 6.649912e+05, -6.140419e+02, 3.593055e+02, -6.140419e+02, 6.651250e+05, -3.469335e+02, 3.593055e+02, -3.469335e+02, 1.367949e+05
-7.987421e-02, 6.544074e+05, 1.251751e+03, 6.321414e-02, 1.251751e+03, 6.562751e+05, 2.791086e+02, 6.321414e-02, 2.791086e+02, 1.333348e+05
-7.861635e-02, 6.441786e+05, 1.684899e+03, 1.698949e+02, 1.684899e+03, 6.468322e+05, -1.928241e+02, 1.698949e+02, -1.928241e+02, 1.299976e+05
-7.735849e-02, 6.352279e+05, 3.042798e+02, 7.035564e+02, 3.042798e+02, 6.367246e+05, 1.515949e+02, 7.035564e+02, 1.515949e+02, 1.262492e+05
-7.610063e-02, 6.267150e+05, -1.845494e+03, -3.436589e+02, -1.845494e+03, 6.248370e+05, 4.106761e+02, -3.436589e+02, 4.106761e+02, 1.232652e+05
-7.484277e-02, 6.160555e+05, 1.371638e+03, 5.881133e+02, 1.371638e+03, 6.144589e+05, -4.452367e+02, 5.881133e+02, -4.452367e+02, 1.207992e+05
-7.358491e-02, 6.054717e+05, -1.586317e+02, -6.261250e+02, -1.586317e+02, 6.062604e+05, -1.834142e+02, -6.261250e+02, -1.834142e+02, 1.168655e+05
-7.232704e-02, 5.947379e+05, 7.306185e+02, -1.910149e+02, 7.306185e+02, 5.961249e+05, -2.424636e+02, -1.910149e+02, -2.424636e+02, 1.139979e+05
-7.106918e-02, 5.847192e+05, -6.214240e+02, 1.837075e+01, -6.214240e+02, 5.859288e+05, 3.308890e+02, 1.837075e+01, 3.308890e+02, 1.110593e+05
-6.981132e-02, 5.748600e+05, -2.265276e+03, 2.139811e+02, -2.265276e+03, 5.743510e+05, -4.639697e+01, 2.139811e+02, -4.639697e+01, 1.085351e+05
-6.855346e-02, 5.653424e+05, -2.951247e+02, 3.021540e+02, -2.951247e+02, 5.646117e+05, -6.038874e+02, 3.021540e+02, -6.038874e+02, 1.049361e+05
-6.729560e-02, 5.547311e+05, -1.997793e+02, -5.522733e+02, -1.997793e+02, 5.541019e+05, -5.066277e+01, -5.522733e+02, -5.066277e+01, 1.024031e+05
-6.603774e-02, 5.425146e+05, -2.776442e+02, -2.391971e+02, -2.776442e+02, 5.446729e+05, 1.977795e+02, -2.391971e+02, 1.977795e+02, 1.000357e+05
-6.477987e-02, 5.320323e+05, -4.717845e+02, 4.223027e+02, -4.717845e+02, 5.344761e+05, -2.690842e+02, 4.223027e+02, -2.690842e+02, 9.727749e+04
-6.352201e-02, 5.238629e+05, 1.009393e+03, 3.040458e+02, 1.009393e+03, 5.212809e+05, 9.164839e+01, 3.040458e+02, 9.164839e+01, 9.485314e+04
-6.226415e-02, 5.119995e+05, 4.076211e+02, -5.984157e+02, 4.076211e+02, 5.137673e+05, 1.031681e+02, -5.984157e+02, 1.031681e+02, 9.135290e+04
-6.100629e-02, 5.025625e+05, 5.386346e+02, -4.942342e+02, 5.386346e+02, 5.017305e+05, 4.473480e+02, -4.942342e+02, 4.473480e+02, 8.897140e+04
-5.974843e-02, 4.909151e+05, 2.515496e+02, -2.341243e+01, 2.515496e+02, 4.924688e+05, -8.905609e+02, -2.341243e+01, -8.905609e+02, 8.635481e+04
