mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-9.874214e-02, -7.205290e+01, 1.163084e+02, -2.840726e+01, 1.419948e+02, 6.102114e+01, -2.995463e+01, 6.779452e+01, 1.806796e+01, 6.470876e+00, 9.047323e+01, 1.448662e+02, 7.390790e+01, 8.047398e+01, -1.150220e+02, -1.023113e+00, -5.261144e+01, 8.638274e+01, 2.119954e+00, 4.548431e+00, -5.713914e+01, 8.646712e+00, 5.058152e+01, -4.772087e+01, 6.014338e-01, -2.174592e+00, -1.080022e+00, 1.411834e+01
-9.748428e-02, -1.507678e+02, 2.350877e+02, -5.564955e+01, 2.848740e+02, 1.247095e+02, -6.226846e+01, 1.326137e+02, 3.602906e+01, 1.264314e+01, 1.784281e+02, 2.828898e+02, 1.469529e+02, 1.673437e+02, -2.349737e+02, 2.893662e+00, -1.027924e+02, 1.693835e+02, 5.478049e+00, 8.660037e+00, -1.121840e+02, 1.672375e+01, 9.916045e+01, -9.501165e+01, 1.522305e+00, -4.698566e+00, -2.049866e+00, 2.804196e+01
-9.622642e-02, -2.270037e+02, 3.515420e+02, -8.116542e+01, 4.226986e+02, 1.880150e+02, -9.569918e+01, 1.957041e+02, 5.387516e+01, 1.894399e+01, 2.635775e+02, 4.170943e+02, 2.194710e+02, 2.513511e+02, -3.524809e+02, 5.037452e+00, -1.514407e+02, 2.502502e+02, 9.548901e+00, 1.267757e+01, -1.654052e+02, 2.424384e+01, 1.466639e+02, -1.407052e+02, 1.383498e+00, -6.835220e+00, -2.708725e+00, 4.155811e+01
-9.496855e-02, -2.985380e+02, 4.656684e+02, -1.028159e+02, 5.522654e+02, 2.479637e+02, -1.307105e+02, 2.567571e+02, 7.167089e+01, 2.669558e+01, 3.513575e+02, 5.618219e+02, 2.924601e+02, 3.311510e+02, -4.618525e+02, 2.931790e+00, -1.998340e+02, 3.320864e+02, 1.112370e+01, 1.680479e+01, -2.174494e+02, 3.174117e+01, 1.931979e+02, -1.847453e+02, 9.813788e-01, -7.993724e+00, -3.622972e+00, 5.487672e+01
-9.371069e-02, -3.660995e+02, 5.720499e+02, -1.230162e+02, 6.776253e+02, 2.949948e+02, -1.642799e+02, 3.162358e+02, 9.019546e+01, 3.749614e+01, 4.338206e+02, 7.113740e+02, 3.657439e+02, 4.039703e+02, -5.616072e+02, -4.053301e+00, -2.473595e+02, 4.136903e+02, 1.164434e+01, 1.979589e+01, -2.679495e+02, 3.782432e+01, 2.389768e+02, -2.268900e+02, -7.662400e-03, -7.575570e+00, -4.140451e+00, 6.786996e+01
-9.245283e-02, -4.122846e+02, 6.671056e+02, -1.527059e+02, 7.982787e+02, 3.373186e+02, -1.859934e+02, 3.831870e+02, 1.041948e+02, 4.483015e+01, 5.084265e+02, 8.499677e+02, 4.502541e+02, 4.581239e+02, -6.539796e+02, -2.076531e+01, -2.988919e+02, 4.972181e+02, 1.401277e+01, 2.385426e+01, -3.222767e+02, 4.222116e+01, 2.883679e+02, -2.687811e+02, -3.226072e+00, -8.373840e+00, -4.623801e+00, 8.008396e+01
-9.119497e-02, -4.455088e+02, 7.518728e+02, -1.918709e+02, 9.308513e+02, 3.702118e+02, -2.007308e+02, 4.554869e+02, 1.158841e+02, 5.170549e+01, 5.718348e+02, 9.762077e+02, 5.425453e+02, 4.995319e+02, -7.432517e+02, -4.112933e+01, -3.527205e+02, 5.808041e+02, 1.959324e+01, 2.915008e+01, -3.795786e+02, 4.629242e+01, 3.405262e+02, -3.113620e+02, -5.190407e+00, -1.008698e+01, -4.654771e+00, 9.167186e+01
-8.993711e-02, -4.815949e+02, 8.341735e+02, -2.316453e+02, 1.072688e+03, 3.973025e+02, -2.202807e+02, 5.261244e+02, 1.285555e+02, 6.000129e+01, 6.306109e+02, 1.099350e+03, 6.318431e+02, 5.399864e+02, -8.314780e+02, -5.887139e+01, -4.054758e+02, 6.623226e+02, 2.604925e+01, 3.433311e+01, -4.361428e+02, 5.122638e+01, 3.924530e+02, -3.539423e+02, -5.819886e+00, -1.133018e+01, -4.239363e+00, 1.031879e+02
-8.867925e-02, -5.188628e+02, 9.174785e+02, -2.683831e+02, 1.206415e+03, 4.225745e+02, -2.409416e+02, 5.951712e+02, 1.415866e+02, 6.941597e+01, 6.925045e+02, 1.233832e+03, 7.241969e+02, 5.827697e+02, -9.174518e+02, -7.656302e+01, -4.579407e+02, 7.452933e+02, 3.039700e+01, 3.921187e+01, -4.926824e+02, 5.516438e+01, 4.437618e+02, -3.959340e+02, -6.894854e+00, -1.191592e+01, -4.213996e+00, 1.148337e+02
