mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, 3.292648e+01, 3.855787e+00, 4.377589e+01, -1.253001e+01, -1.862733e+02, -3.707953e+01, -2.708621e+01, 2.560348e+01, 8.782469e+00, -9.438960e+01, 1.706899e+02, 1.700970e+01, -2.061307e+01, -8.830516e+00, -2.514575e+01, 8.980287e-01, -1.983110e+01, 1.371244e+01, 2.824534e+01, -1.006288e+01, -1.964821e+01, -4.651102e+00, 1.742241e+01, -1.050931e+01, 6.110305e-01, -4.148395e+00, 4.015597e+00
-7.798742e-02, 3.140535e+01, 3.050983e+01, 6.736403e+01, 4.661167e+01, -2.542544e+02, -7.403239e+01, -2.406769e+01, 2.200476e+01, 2.109907e+01, -2.168596e+02, 2.837580e+02, 1.665091e+01, -7.152083e+00, -2.219630e+01, -2.171233e+01, -2.488775e+00, -3.653064e+01, 2.048011e+01, 1.880197e+01, -2.214028e+01, -2.722771e+01, -5.364625e-01, 3.222839e+01, -6.121627e+00, 1.093689e+00, -9.378602e+00, 7.921256e+00
-7.698113e-02, -3.804575e+00, 4.262644e+01, 6.847886e+01, 2.788726e+02, -3.384175e+02, -1.068097e+02, 4.982512e+00, -9.046421e-01, 2.050918e+01, -3.874524e+02, 4.331373e+02, -6.177929e+00, 4.636147e+01, -2.871869e+01, -5.205060e+00, -8.759858e+00, -4.407616e+01, 1.323546e+01, -2.501358e+01, -2.833336e+01, -8.532844e+00, 1.489361e+01, 4.289519e+01, 3.931480e+00, 1.345538e+00, -1.385912e+01, 1.180667e+01
-7.597484e-02, -4.222029e+00, 2.006979e+01, 6.874759e+01, 5.259310e+02, -6.084916e+02, -1.452113e+02, 1.474986e+01, -6.129293e+00, 1.347038e+01, -5.537747e+02, 6.912755e+02, -1.556613e+01, 3.658769e+01, -4.340537e+01, -6.638512e+00, -2.557541e+01, -4.356853e+01, 1.632772e+01, -4.563026e+01, -2.854138e+01, 8.133923e+00, 2.782215e+01, 4.575597e+01, -7.113476e+00, 1.878287e+00, -1.788349e+01, 1.488752e+01
-7.496855e-02, 4.509455e+00, -1.714905e+01, 5.212573e+01, 7.300255e+02, -9.380130e+02, -1.800802e+02, 6.146760e+00, -1.889002e+01, 4.135723e+01, -7.110380e+02, 1.075650e+03, 3.184262e+00, -1.605803e+01, -7.453715e+01, 7.103191e+00, -4.168926e+01, -4.816639e+01, 1.816178e+01, -4.405053e+01, -3.762709e+01, -2.090151e+00, 2.681146e+01, 4.803452e+01, -6.820971e+00, 2.491011e+00, -2.251345e+01, 1.598053e+01
-7.396226e-02, -2.154078e+01, -6.500298e+01, 1.095883e+01, 9.983686e+02, -1.291741e+03, -1.946052e+02, 9.515531e+00, -4.261729e+01, 7.320766e+01, -8.985995e+02, 1.558695e+03, 5.553663e+01, -4.425350e+01, -9.150693e+01, 2.949715e+01, -3.825370e+01, -6.433508e+01, 1.265606e+01, -4.560194e+01, -5.320644e+01, -1.904864e+01, 1.544503e+01, 6.235202e+01, 1.389085e+01, 3.137642e+00, -2.533883e+01, 1.740637e+01
-7.295597e-02, -3.611265e+01, -1.116270e+02, -3.627078e+01, 1.295575e+03, -1.695699e+03, -2.069808e+02, 1.944130e+01, -6.451450e+01, 9.388727e+01, -1.093536e+03, 2.034646e+03, 1.127035e+02, -9.246603e+01, -1.108874e+02, 4.823230e+01, -4.443817e+01, -7.635358e+01, 2.167618e+01, -5.029670e+01, -6.084308e+01, -2.706390e+01, 9.760568e+00, 7.690049e+01, 2.343194e+01, 3.776345e+00, -2.715393e+01, 1.969878e+01
-7.194969e-02, -2.365409e+01, -1.174761e+02, -6.332660e+01, 1.504841e+03, -2.014049e+03, -2.133990e+02, 4.105574e+01, -8.140203e+01, 9.734740e+01, -1.248865e+03, 2.308892e+03, 1.626123e+02, -1.578588e+02, -1.309689e+02, 5.086495e+01, -6.825913e+01, -8.340475e+01, 6.159793e+01, -5.811488e+01, -5.318790e+01, -2.326686e+01, 1.446505e+01, 9.359220e+01, 7.310731e+00, 4.322745e+00, -2.822770e+01, 2.367555e+01
-7.094340e-02, -2.712271e+01, -1.274515e+02, -6.809892e+01, 1.685242e+03, -2.263931e+03, -2.289810e+02, 4.548575e+01, -8.414797e+01, 9.746408e+01, -1.393285e+03, 2.563289e+03, 1.925404e+02, -1.730383e+02, -1.348598e+02, 5.342316e+01, -7.256264e+01, -9.656433e+01, 7.367098e+01, -5.753683e+01, -5.745936e+01, -2.272505e+01, 1.314055e+01, 1.096011e+02, 3.960810e+00, 4.989355e+00, -2.972121e+01, 2.734831e+01
-6.993711e-02, -4.427768e+01, -1.563212e+02, -7.163135e+01, 1.852256e+03, -2.546661e+03, -2.442104e+02, 3.210735e+01, -8.127866e+01, 1.140935e+02, -1.547098e+03, 2.934316e+03, 2.388688e+02, -1.729285e+02, -1.318180e+02, 5.695077e+01, -5.775327e+01, -1.186363e+02, 6.372648e+01, -4.127377e+01, -7.647314e+01, -4.203428e+01, -2.896537e-01, 1.291476e+02, 2.027862e+01, 5.612053e+00, -3.197508e+01, 3.025918e+01
-6.893082e-02, -3.432173e+01, -1.516495e+02, -6.442979e+01, 1.923148e+03, -2.785967e+03, -2.451809e+02, 3.263568e+01, -8.315403e+01, 1.333366e+02, -1.671578e+03, 3.186612e+03, 2.965672e+02, -2.022818e+02, -1.363232e+02, 4.233880e+01, -5.860944e+01, -1.397185e+02, 8.794473e+01, -2.609695e+01, -8.090007e+01, -6.244925e+01, -6.697871e+00, 1.554227e+02, 1.719383e+01, 5.938311e+00, -3.378231e+01, 3.412201e+01
-6.792453e-02, -3.373728e+01, -1.464406e+02, -6.485380e+01, 2.042767e+03, -2.997884e+03, -2.524600e+02, 4.473952e+01, -8.896179e+01, 1.404863e+02, -1.803582e+03, 3.402755e+03, 3.388947e+02, -2.204541e+02, -1.420710e+02, 3.612251e+01, -6.170145e+01, -1.564515e+02, 1.101640e+02, -2.724319e+01, -8.250069e+01, -6.820633e+01, -7.285891e+00, 1.755816e+02, 1.470131e+01, 6.323722e+00, -3.457104e+01, 3.761894e+01
