mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.899371e-02, -5.086182e-02, -7.733013e-04, 2.791446e-03, -4.075660e-05, 4.783199e-02, -1.334937e+00, -1.624512e-04, 4.381682e-03, 1.985542e-03, 2.790948e-05, 4.919965e-02, 1.353287e+00, 4.788611e-02, -4.367114e-04, -2.766080e-03, -4.773115e-03, 1.368579e-04, 4.397995e-04, 3.898106e-04, 2.014663e-02, -1.334567e-03, -1.865719e-02, -4.459565e-04, -1.032288e-03, 4.961178e-04, 3.161684e-04, 2.379282e-05
-7.798742e-02, -9.977306e-02, -7.836847e-04, 1.477536e-02, 8.534129e-04, 9.515003e-02, -2.667187e+00, 3.442236e-05, 8.429951e-03, 2.990040e-03, -5.538105e-03, 9.746802e-02, 2.696045e+00, 9.548880e-02, -6.164311e-03, -1.470184e-02, -9.245155e-03, 2.069075e-05, 7.438563e-03, -4.697693e-04, 3.948400e-02, -2.081383e-03, -3.709310e-02, 5.752420e-04, -3.904032e-03, 6.976736e-04, 1.016223e-03, -4.331132e-05
-7.698113e-02, -1.438555e-01, -2.728237e-04, 3.180119e-02, 2.105269e-03, 1.453494e-01, -4.000407e+00, 4.436074e-04, 1.235806e-02, -7.581531e-04, -1.578272e-02, 1.438162e-01, 4.022378e+00, 1.418202e-01, -1.489000e-02, -3.156356e-02, -1.343052e-02, -3.708743e-04, 1.903841e-02, -2.607907e-03, 5.902880e-02, -6.791940e-04, -5.467751e-02, 2.745610e-03, -8.241352e-03, 5.006146e-04, 1.779176e-03, -5.428977e-05
-7.597484e-02, -1.879023e-01, -6.468386e-04, 3.794057e-02, 2.375492e-03, 1.946022e-01, -5.302486e+00, 4.679027e-04, 1.582502e-02, -4.019282e-03, -1.800835e-02, 1.895931e-01, 5.318503e+00, 1.879177e-01, -1.715063e-02, -3.774089e-02, -1.723495e-02, -4.001946e-04, 2.185111e-02, -2.789321e-03, 7.834043e-02, 1.140880e-03, -7.236064e-02, 2.917583e-03, -9.330353e-03, 3.713479e-04, 2.150482e-03, -5.081229e-05
-7.496855e-02, -2.331444e-01, -6.197850e-05, 3.634676e-02, 2.357177e-03, 2.393930e-01, -6.589034e+00, 5.129085e-04, 1.917233e-02, -3.963331e-03, -1.839477e-02, 2.347233e-01, 6.604644e+00, 2.338254e-01, -1.735992e-02, -3.640279e-02, -2.077377e-02, -4.184690e-04, 2.209161e-02, -3.175852e-03, 9.629490e-02, 2.180618e-03, -9.074643e-02, 3.373883e-03, -8.555261e-03, 2.628162e-04, 2.098560e-03, -8.418686e-05
-7.396226e-02, -2.809004e-01, -5.686196e-05, 3.904561e-02, 2.528765e-03, 2.840404e-01, -7.828708e+00, 5.223142e-04, 2.288750e-02, -2.569046e-03, -1.942765e-02, 2.822498e-01, 7.835580e+00, 2.833059e-01, -1.877209e-02, -3.948292e-02, -2.359325e-02, -4.072484e-04, 2.360579e-02, -3.280791e-03, 1.130396e-01, 3.056664e-03, -1.107996e-01, 3.579083e-03, -8.832833e-03, -4.974515e-04, 2.339300e-03, -1.328265e-04
-7.295597e-02, -3.289383e-01, -5.844680e-04, 3.921610e-02, 2.159625e-03, 3.305474e-01, -9.026437e+00, 3.384772e-04, 2.601368e-02, -1.964340e-03, -1.856475e-02, 3.306415e-01, 9.022214e+00, 3.332072e-01, -1.845096e-02, -3.981176e-02, -2.604732e-02, -2.515972e-04, 2.296636e-02, -2.937726e-03, 1.298218e-01, 3.520494e-03, -1.302782e-01, 3.187010e-03, -8.341893e-03, -1.160583e-03, 2.606556e-03, -1.144747e-04
-7.194969e-02, -3.741316e-01, -3.293392e-04, 3.734062e-02, 2.167832e-03, 3.725204e-01, -1.025359e+01, 2.392004e-04, 2.888833e-02, -2.768969e-04, -1.849675e-02, 3.752157e-01, 1.024140e+01, 3.792263e-01, -1.829253e-02, -3.819431e-02, -2.822383e-02, -1.440031e-04, 2.285373e-02, -3.095454e-03, 1.456369e-01, 3.825328e-03, -1.491628e-01, 3.380367e-03, -8.322444e-03, -1.603585e-03, 2.617462e-03, -1.336702e-04
-7.094340e-02, -4.169162e-01, 3.939295e-04, 3.995517e-02, 2.897381e-03, 4.126614e-01, -1.149737e+01, 2.947065e-04, 3.143871e-02, 1.232961e-03, -2.130181e-02, 4.171816e-01, 1.148255e+01, 4.218541e-01, -2.036814e-02, -4.116896e-02, -3.021443e-02, -1.627813e-04, 2.581009e-02, -3.775665e-03, 1.614288e-01, 3.625777e-03, -1.668312e-01, 4.185164e-03, -9.914782e-03, -1.776203e-03, 2.592912e-03, -1.921358e-04
-6.993711e-02, -4.593454e-01, 1.020563e-03, 4.725870e-02, 3.465500e-03, 4.516966e-01, -1.272762e+01, 3.487531e-04, 3.357434e-02, 3.327242e-03, -2.746024e-02, 4.583341e-01, 1.271552e+01, 4.631668e-01, -2.460907e-02, -4.858722e-02, -3.217635e-02, -2.802558e-04, 3.209835e-02, -5.279593e-03, 1.771677e-01, 2.837162e-03, -1.838627e-01, 5.581805e-03, -1.217428e-02, -1.688346e-03, 2.859413e-03, -1.483392e-04
-6.893082e-02, -4.976073e-01, 1.371425e-03, 4.792225e-02, 3.312179e-03, 4.924887e-01, -1.396285e+01, 3.678853e-04, 3.543349e-02, 1.695963e-03, -2.884246e-02, 4.977077e-01, 1.394153e+01, 5.032164e-01, -2.525981e-02, -4.920860e-02, -3.413898e-02, -3.382487e-04, 3.319702e-02, -5.800474e-03, 1.930785e-01, 3.889553e-03, -1.999837e-01, 6.019015e-03, -1.173656e-02, -1.883833e-03, 2.873155e-03, -1.120964e-04
-6.792453e-02, -5.369812e-01, 2.249903e-03, 4.216016e-02, 3.111550e-03, 5.307559e-01, -1.516961e+01, 4.771287e-04, 3.719231e-02, 2.024393e-03, -2.726448e-02, 5.376485e-01, 1.513440e+01, 5.449996e-01, -2.358341e-02, -4.336107e-02, -3.559319e-02, -4.001951e-04, 3.096835e-02, -5.946848e-03, 2.073154e-01, 4.665259e-03, -2.170995e-01, 6.251172e-03, -9.951574e-03, -2.507645e-03, 2.464757e-03, -1.472745e-04
-6.691824e-02, -5.766154e-01, 2.718271e-03, 3.612604e-02, 2.685085e-03, 5.676787e-01, -1.635795e+01, 5.570253e-04, 3.869198e-02, 3.260901e-03, -2.456974e-02, 5.770588e-01, 1.631309e+01, 5.864305e-01, -2.143485e-02, -3.739146e-02, -3.675233e-02, -4.478111e-04, 2.783097e-02, -5.720988e-03, 2.211600e-01, 5.481754e-03, -2.340154e-01, 6.117612e-03, -7.768294e-03, -3.074968e-03, 2.166252e-03, -1.877111e-04
-6.591195e-02, -6.148979e-01, 2.634207e-03, 3.256521e-02, 2.286528e-03, 6.066357e-01, -1.752271e+01, 5.470276e-04, 3.958531e-02, 2.594262e-03, -2.241310e-02, 6.157243e-01, 1.747065e+01, 6.265147e-01, -1.998646e-02, -3.400896e-02, -3.784693e-02, -4.303402e-04, 2.558907e-02, -5.396546e-03, 2.358531e-01, 6.817893e-03, -2.495927e-01, 5.833747e-03, -6.209292e-03, -3.326519e-03, 2.131925e-03, -2.078354e-04
-6.490566e-02, -6.549473e-01, 3.571576e-03, 2.520301e-02, 1.843726e-03, 6.411442e-01, -1.868396e+01, 4.779670e-04, 4.024549e-02, 6.156880e-03, -2.178638e-02, 6.534466e-01, 1.864614e+01, 6.635980e-01, -1.833632e-02, -2.671076e-02, -3.881624e-02, -3.937867e-04, 2.400434e-02, -6.052404e-03, 2.505155e-01, 4.904570e-03, -2.646387e-01, 6.411399e-03, -4.681367e-03, -2.875433e-03, 1.797325e-03, -1.752157e-04
-6.389937e-02, -6.937179e-01, 4.443596e-03, 1.834824e-02, 1.223773e-03, 6.760266e-01, -1.984757e+01, 4.212920e-04, 4.070156e-02, 8.948853e-03, -2.085866e-02, 6.898118e-01, 1.983305e+01, 6.978700e-01, -1.633943e-02, -1.974162e-02, -3.968957e-02, -3.917930e-04, 2.194532e-02, -6.521067e-03, 2.660090e-01, 2.775820e-03, -2.782467e-01, 6.751704e-03, -2.808904e-03, -1.998933e-03, 1.392393e-03, -1.184078e-04
-6.289308e-02, -7.321467e-01, 3.600679e-03, 2.041805e-02, 9.682225e-04, 7.102369e-01, -2.098217e+01, 3.408136e-04, 4.122530e-02, 1.150157e-02, -2.002640e-02, 7.266511e-01, 2.097329e+01, 7.347456e-01, -1.610712e-02, -2.173814e-02, -3.986589e-02, -3.467670e-04, 2.138744e-02, -5.962539e-03, 2.797170e-01, 2.031871e-03, -2.932667e-01, 6.115104e-03, -2.763012e-03, -1.918720e-03, 1.603481e-03, -8.377088e-05
-6.188679e-02, -7.695697e-01, 1.906263e-03, 2.533522e-02, 8.798543e-04, 7.430725e-01, -2.211901e+01, 3.320179e-04, 4.139738e-02, 1.458100e-02, -1.888650e-02, 7.615232e-01, 2.212978e+01, 7.680821e-01, -1.651644e-02, -2.661108e-02, -4.004718e-02, -3.499108e-04, 2.125840e-02, -5.019688e-03, 2.940511e-01, 3.628100e-04, -3.068394e-01, 5.135470e-03, -3.580560e-03, -1.217703e-03, 2.103465e-03, -6.718062e-05
-6.088050e-02, -8.045343e-01, 9.757208e-04, 2.681144e-02, 8.296652e-04, 7.789927e-01, -2.324871e+01, 4.420185e-04, 4.107301e-02, 1.449502e-02, -1.765294e-02, 7.953280e-01, 2.328088e+01, 7.993371e-01, -1.642194e-02, -2.810839e-02, -4.045025e-02, -4.476522e-04, 2.061970e-02, -4.484791e-03, 3.097335e-01, -5.711526e-04, -3.185795e-01, 4.625244e-03, -3.723230e-03, -1.618343e-04, 2.324118e-03, -7.803660e-05
-5.987421e-02, -8.390461e-01, 4.780982e-04, 2.882446e-02, 8.594928e-04, 8.158526e-01, -2.435007e+01, 4.861371e-04, 4.073520e-02, 1.328041e-02, -1.762809e-02, 8.298499e-01, 2.439090e+01, 8.326535e-01, -1.685485e-02, -3.010868e-02, -4.052457e-02, -4.915018e-04, 2.097723e-02, -4.292744e-03, 3.245508e-01, -2.824920e-04, -3.308291e-01, 4.431298e-03, -4.095587e-03, 3.313710e-04, 2.494254e-03, -7.694313e-05
-5.886792e-02, -8.730952e-01, 1.743180e-04, 2.549399e-02, 4.597247e-04, 8.506631e-01, -2.545428e+01, 3.683335e-04, 4.032846e-02, 1.303084e-02, -1.471896e-02, 8.633298e-01, 2.550633e+01, 8.649362e-01, -1.461202e-02, -2.675879e-02, -4.045835e-02, -3.748864e-04, 1.778392e-02, -3.531978e-03, 3.387564e-01, -3.561750e-04, -3.428813e-01, 3.664394e-03, -2.729719e-03, 8.576282e-04, 2.360199e-03, -7.400233e-05
-5.786164e-02, -9.059977e-01, 6.497859e-04, 2.035445e-02, 1.072203e-04, 8.819412e-01, -2.656521e+01, 3.749019e-04, 3.980045e-02, 1.414789e-02, -1.367182e-02, 8.954500e-01, 2.662333e+01, 8.965524e-01, -1.287607e-02, -2.169274e-02, -4.009768e-02, -4.235739e-04, 1.590884e-02, -3.703601e-03, 3.517894e-01, -1.119000e-03, -3.557160e-01, 3.753557e-03, -1.548543e-03, 1.103012e-03, 1.998743e-03, -3.941351e-05
-5.685535e-02, -9.376376e-01, 1.320126e-03, 1.875597e-02, 3.171941e-04, 9.123874e-01, -2.766138e+01, 5.846955e-04, 3.915253e-02, 1.481253e-02, -1.566354e-02, 9.271410e-01, 2.771657e+01, 9.285459e-01, -1.361001e-02, -2.015274e-02, -3.929532e-02, -6.686248e-04, 1.751861e-02, -4.693235e-03, 3.641494e-01, -1.505292e-03, -3.690933e-01, 4.688248e-03, -2.266658e-03, 8.932880e-04, 1.773075e-03, -1.671288e-05
-5.584906e-02, -9.700702e-01, 7.913397e-04, 1.987574e-02, 4.997012e-04, 9.438859e-01, -2.872476e+01, 7.179893e-04, 3.845154e-02, 1.546787e-02, -1.504306e-02, 9.594656e-01, 2.878162e+01, 9.603880e-01, -1.371603e-02, -2.131220e-02, -3.832837e-02, -7.838695e-04, 1.735689e-02, -4.385387e-03, 3.766770e-01, -2.380001e-03, -3.817957e-01, 4.438286e-03, -2.800477e-03, 8.536000e-04, 1.856348e-03, -4.278708e-05
-5.484277e-02, -1.002940e+00, -1.209563e-03, 2.215631e-02, 6.916811e-05, 9.753632e-01, -2.975828e+01, 5.394870e-04, 3.739989e-02, 1.637268e-02, -1.162144e-02, 9.919910e-01, 2.981465e+01, 9.930418e-01, -1.217026e-02, -2.355830e-02, -3.746678e-02, -6.375725e-04, 1.463764e-02, -2.826708e-03, 3.888287e-01, -3.109484e-03, -3.946107e-01, 2.795969e-03, -2.654897e-03, 8.834367e-04, 2.259498e-03, -5.741283e-06
-5.383648e-02, -1.032173e+00, -2.429831e-03, 2.085818e-02, -4.469473e-04, 1.003801e+00, -3.083680e+01, 4.689942e-04, 3.636574e-02, 1.652769e-02, -8.614949e-03, 1.021836e+00, 3.087769e+01, 1.024956e+00, -1.023936e-02, -2.213076e-02, -3.644682e-02, -6.001954e-04, 1.175863e-02, -1.892597e-03, 3.993810e-01, -2.435564e-03, -4.079414e-01, 1.759514e-03, -1.931576e-03, 2.962376e-04, 2.381148e-03, 4.104044e-05
-5.283019e-02, -1.059905e+00, -3.883713e-03, 2.633052e-02, -5.644114e-04, 1.032405e+00, -3.192545e+01, 4.954913e-04, 3.525055e-02, 1.592052e-02, -8.076967e-03, 1.050138e+00, 3.196049e+01, 1.053778e+00, -1.085329e-02, -2.750115e-02, -3.537483e-02, -6.386679e-04, 1.202848e-02, -1.141501e-03, 4.107533e-01, -2.053666e-03, -4.197748e-01, 9.435489e-04, -2.464726e-03, 1.166321e-04, 2.818267e-03, 7.134070e-05
-5.182390e-02, -1.087685e+00, -4.565999e-03, 3.194565e-02, -2.370206e-04, 1.060701e+00, -3.299007e+01, 5.812845e-04, 3.393157e-02, 1.565964e-02, -9.777929e-03, 1.078140e+00, 3.302412e+01, 1.081680e+00, -1.269986e-02, -3.313290e-02, -3.416143e-02, -7.291773e-04, 1.439293e-02, -1.162350e-03, 4.223052e-01, -2.229969e-03, -4.311603e-01, 9.341873e-04, -3.976650e-03, 1.337357e-04, 3.134190e-03, 8.447862e-05
-5.081761e-02, -1.118339e+00, -4.776731e-03, 3.468254e-02, 1.742017e-04, 1.087143e+00, -3.401343e+01, 7.097345e-04, 3.272402e-02, 1.834303e-02, -1.088060e-02, 1.107243e+00, 3.405534e+01, 1.110256e+00, -1.393147e-02, -3.589494e-02, -3.261251e-02, -8.364742e-04, 1.594975e-02, -1.287118e-03, 4.331482e-01, -3.654854e-03, -4.429058e-01, 1.108464e-03, -5.128856e-03, 2.882463e-04, 3.250940e-03, 6.227499e-05
-4.981132e-02, -1.144197e+00, -5.340629e-03, 3.407814e-02, -3.935586e-05, 1.115056e+00, -3.507119e+01, 7.047672e-04, 3.132959e-02, 1.702748e-02, -9.397925e-03, 1.133892e+00, 3.510947e+01, 1.137028e+00, -1.292135e-02, -3.523939e-02, -3.124378e-02, -8.489147e-04, 1.447157e-02, -8.041850e-04, 4.443313e-01, -2.973475e-03, -4.536698e-01, 5.791326e-04, -4.728992e-03, 1.957629e-04, 3.259766e-03, 8.345391e-05
-4.880503e-02, -1.167784e+00, -4.643011e-03, 3.003414e-02, -1.302259e-04, 1.141794e+00, -3.613411e+01, 8.003566e-04, 2.984649e-02, 1.489968e-02, -9.760117e-03, 1.159034e+00, 3.616137e+01, 1.163037e+00, -1.225373e-02, -3.118157e-02, -2.979929e-02, -9.679865e-04, 1.414067e-02, -1.396427e-03, 4.549319e-01, -1.716579e-03, -4.644112e-01, 1.108929e-03, -4.358149e-03, -1.788662e-04, 2.919139e-03, 1.112635e-04
