mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-9.874214e-02, -1.504544e+03, -2.994813e+01, 1.078568e+02, -8.903854e+00, 1.660765e+03, -3.684613e+04, -5.202741e+00, 3.390679e+02, -8.728360e+01, -4.030280e+00, 1.557508e+03, 3.671463e+04, 1.535799e+03, -1.072220e+01, -1.063979e+02, -3.672798e+02, 2.247083e+00, 1.402188e+01, 1.382300e+01, 6.405531e+02, 2.098169e+01, -5.733238e+02, -1.907945e+01, -2.391913e+01, 8.663761e+00, 9.567924e+00, 2.136331e+00
-9.748428e-02, -2.993847e+03, -5.548507e+01, 1.215325e+02, -2.208611e+01, 3.325988e+03, -7.288767e+04, -1.513947e+01, 6.676509e+02, -1.971231e+02, 3.057124e+01, 3.128991e+03, 7.220156e+04, 3.138237e+03, 1.889832e+01, -1.154218e+02, -7.041483e+02, 8.913435e+00, -2.127292e+01, 3.125128e+01, 1.242129e+03, 8.404386e+01, -1.175242e+03, -4.212335e+01, -1.381133e+01, -3.605599e+00, 1.616286e+01, 4.443984e+00
-9.622642e-02, -4.513701e+03, -1.013049e+02, 2.722491e+02, -2.276245e+01, 4.818755e+03, -1.083510e+05, -3.165898e+01, 9.762036e+02, -1.874125e+02, 3.897554e+01, 4.641315e+03, 1.075208e+05, 4.686837e+03, 1.203226e+01, -2.603025e+02, -1.019462e+03, 2.259951e+01, -1.196074e+01, 5.689679e+01, 1.811751e+03, 1.252771e+02, -1.784321e+03, -7.302932e+01, -5.248166e+01, -5.971046e+00, 3.420100e+01, 6.644444e+00
-9.496855e-02, -5.989408e+03, -9.458873e+01, 3.700543e+02, -1.941992e+01, 6.244823e+03, -1.434113e+05, -3.045026e+01, 1.266780e+03, -1.595122e+02, -6.892263e+01, 6.097643e+03, 1.426167e+05, 6.155141e+03, -4.970957e+01, -3.517702e+02, -1.317591e+03, 1.852407e+01, 9.052907e+01, 2.535700e+01, 2.373452e+03, 1.306102e+02, -2.365363e+03, -4.755585e+01, -9.528421e+01, -3.277176e+00, 3.803778e+01, 9.207389e+00
-9.371069e-02, -7.420562e+03, -8.889403e+01, 4.583484e+02, -1.630580e+01, 7.698950e+03, -1.777555e+05, -2.185126e+01, 1.544954e+03, -1.765704e+02, -1.212947e+02, 7.542623e+03, 1.768667e+05, 7.611259e+03, -9.668350e+01, -4.448126e+02, -1.586866e+03, 1.030600e+01, 1.488817e+02, 1.250438e+01, 2.928296e+03, 1.424868e+02, -2.928517e+03, -3.398304e+01, -1.116657e+02, -1.054432e+01, 3.878709e+01, 8.848488e+00
-9.245283e-02, -8.765705e+03, -1.045499e+02, 5.783200e+02, -2.142953e+01, 9.063071e+03, -2.121912e+05, -2.362738e+01, 1.807530e+03, -1.943906e+02, -1.481667e+02, 8.899910e+03, 2.110287e+05, 9.002956e+03, -1.231680e+02, -5.639991e+02, -1.829840e+03, 1.022936e+01, 1.818535e+02, 1.597985e+01, 3.444210e+03, 1.748468e+02, -3.484461e+03, -4.086110e+01, -1.227740e+02, -2.276173e+01, 4.584137e+01, 1.024677e+01
-9.119497e-02, -1.013310e+04, -9.860261e+01, 5.612177e+02, -3.012736e+01, 1.032969e+04, -2.457986e+05, -2.705021e+01, 2.047580e+03, -1.339864e+02, -1.722673e+02, 1.022907e+04, 2.447633e+05, 1.033435e+04, -1.217407e+02, -5.396729e+02, -2.060943e+03, 1.137120e+01, 1.921102e+02, 3.941116e+00, 3.952644e+03, 1.546059e+02, -4.023800e+03, -3.363459e+01, -1.015764e+02, -2.138843e+01, 4.573916e+01, 1.231617e+01
-8.993711e-02, -1.161253e+04, -7.944543e+01, 5.498511e+02, -2.484990e+01, 1.154016e+04, -2.780902e+05, -1.507487e+01, 2.270705e+03, 3.376436e+01, -2.111415e+02, 1.160099e+04, 2.776764e+05, 1.167559e+04, -1.493562e+02, -5.339217e+02, -2.277260e+03, 4.507078e-02, 2.288511e+02, -1.513235e+01, 4.449822e+03, 6.079000e+01, -4.555912e+03, -1.221608e+01, -1.082586e+02, -6.942708e+00, 3.900944e+01, 1.125449e+01
-8.867925e-02, -1.298839e+04, -4.076056e+01, 4.760675e+02, -1.793568e+01, 1.279137e+04, -3.102414e+05, 1.546138e+00, 2.476108e+03, 1.100872e+02, -2.672666e+02, 1.293361e+04, 3.099791e+05, 1.301257e+04, -1.785923e+02, -4.759017e+02, -2.479032e+03, -1.628953e+01, 2.742087e+02, -4.876593e+01, 4.934801e+03, 1.432191e+01, -5.079835e+03, 2.504480e+01, -1.179812e+02, -5.315322e+00, 2.525634e+01, 9.469129e+00
