mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -5.068917e-10, 3.240737e-10, 7.069264e-11, 1.099776e-10, -2.899845e-10, 2.968703e-10, -1.433382e-10, -1.008803e-10, 1.840315e-11, 5.185862e-10, 1.090992e-10, -1.354008e-09, 2.774717e-10, -1.103612e-10, 3.061899e-10, 6.783825e-11, -8.706727e-12, 3.239949e-11, 3.160218e-12, -4.833042e-11, -1.036274e-10, 1.759457e-10, 1.518019e-11, -1.998225e-10, 8.287403e-14, 1.747917e-11, -1.863995e-11
-9.874214e-02, -4.438824e-10, 2.159674e-10, 2.035273e-10, 1.666419e-10, 3.380374e-11, 1.792737e-11, -7.780114e-11, -7.408240e-11, -1.938189e-12, 2.383366e-10, 1.094251e-10, -8.933520e-10, 7.489307e-11, 2.237763e-10, -2.645556e-11, 4.604329e-12, 1.553052e-10, 2.911496e-12, 2.185929e-12, 2.176083e-11, 3.652816e-11, 1.083063e-10, 5.851548e-11, -4.240983e-11, 8.128292e-12, 8.550813e-12, -2.424192e-11
-9.748428e-02, -4.425163e-10, 1.047593e-12, -5.881572e-12, 2.137084e-11, -3.704408e-11, 1.569842e-10, 9.429034e-12, -3.344826e-11, -1.079375e-12, 3.800029e-10, 8.015732e-11, -6.873773e-10, 2.290521e-10, -7.126238e-11, 1.367326e-10, 5.632533e-11, 9.767999e-12, 4.261280e-11, 2.831667e-11, -3.305495e-12, 8.519005e-11, 1.887176e-10, -2.578955e-11, 7.906263e-11, -3.921464e-12, -3.798743e-11, -2.177715e-11
-9.622642e-02, -5.887075e-10, 1.584166e-10, 3.443246e-10, 9.206478e-11, -1.285429e-10, 1.141372e-10, -5.348349e-11, -3.193535e-11, -2.600581e-11, 6.174003e-11, 6.112309e-11, -7.082489e-10, 1.545911e-10, 2.280784e-11, -2.503233e-10, 7.435602e-11, 1.475799e-10, 2.482371e-12, -1.028679e-11, -3.200087e-11, 6.061913e-11, 1.532724e-10, -3.894858e-14, -3.189231e-11, -8.068433e-12, -1.572450e-11, -2.843398e-11
-9.496855e-02, -4.179169e-10, 3.017581e-10, 6.187911e-13, 1.365056e-10, -1.333924e-10, 3.049624e-10, 1.199129e-11, -7.626089e-11, -3.525398e-11, 4.240869e-10, 1.551873e-10, -7.823675e-10, 2.923982e-10, -1.736514e-10, 4.578079e-10, 3.308321e-11, -3.944229e-11, 2.938104e-11, 8.600710e-11, -3.814016e-11, 2.618692e-11, 1.258425e-10, 1.041496e-10, -3.541104e-11, 1.570099e-11, -1.726460e-11, -2.557662e-12
-9.371069e-02, -4.410500e-10, 2.035974e-11, 1.791163e-10, -2.011519e-11, 6.125239e-11, -4.488617e-10, -3.606149e-11, -9.094804e-12, -2.575368e-11, 3.193197e-10, -4.373210e-11, -8.788256e-10, 2.849704e-10, 1.830679e-10, -9.217691e-11, 6.428697e-11, 1.856854e-10, 7.309976e-12, 3.995432e-11, -6.590896e-11, -1.109208e-10, 1.477726e-10, 5.039172e-11, -1.086788e-10, 3.454361e-11, 2.122827e-11, -3.325530e-11
-9.245283e-02, -4.514241e-10, 1.705091e-10, 1.729248e-10, 6.744943e-11, -1.329817e-10, 2.254436e-10, -4.284749e-11, -1.179130e-10, -6.601263e-11, 3.198578e-10, 1.222285e-10, -1.159395e-09, 2.001017e-10, 6.019390e-11, -1.495065e-12, 5.945222e-11, 4.637607e-11, 2.692418e-11, 5.349332e-11, -1.147517e-10, -5.624126e-11, 2.887853e-11, 3.783161e-11, -5.740129e-11, 4.785358e-11, 7.626322e-12, -2.064224e-11
-9.119497e-02, -4.452182e-10, 2.380058e-10, 1.541657e-10, 2.837491e-10, -1.560287e-11, 1.721551e-10, -1.377549e-10, -5.863926e-11, -1.409178e-11, 4.327047e-10, 1.903982e-13, -1.389582e-09, 8.822948e-11, -1.266975e-10, 2.557896e-10, 1.557025e-10, 1.323175e-11, 1.985277e-12, -3.717599e-11, -1.121828e-10, 1.017638e-11, 1.575919e-10, 2.223302e-11, -8.065044e-12, 1.383540e-11, -3.019586e-13, 1.451718e-11
-8.993711e-02, -4.900540e-10, 2.209720e-10, -1.240853e-10, 9.140844e-11, 6.184078e-11, -9.670455e-11, -9.492146e-12, -2.437542e-11, -1.712751e-11, 3.676922e-10, 3.538008e-11, -5.995822e-10, 1.803229e-10, -1.108476e-11, 3.787643e-10, 2.311992e-11, -1.426733e-11, -7.857109e-12, -5.874970e-11, -4.314124e-11, -4.992539e-11, 1.153655e-10, 4.334700e-11, -8.278782e-11, 2.104486e-11, 2.624785e-11, -1.737793e-11
-8.867925e-02, -5.120613e-10, -8.586403e-11, -1.720872e-10, -3.792653e-11, -1.153396e-10, -1.753497e-10, 6.805523e-11, -4.528076e-11, -5.181954e-11, 3.129830e-10, -1.176385e-11, -7.628625e-10, 1.828441e-10, -1.337572e-12, 2.184149e-10, 3.381007e-11, -3.307433e-11, 4.097500e-11, -2.136355e-11, -4.905776e-11, -8.784664e-11, 3.969009e-11, 2.974444e-11, 2.021924e-11, 2.680548e-11, -8.737917e-12, -2.821295e-11
