mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.714804e+04, 4.476317e+00, 5.853764e+00, -9.168942e+00, -1.714319e+04, 2.026841e+04, 1.374967e-01, 8.782634e+03, 2.280945e+00, 5.092653e+00, -1.715434e+04, -2.025962e+04, -1.714379e+04, -1.466583e-01, -5.947218e+00, -8.782904e+03, 3.236967e-01, 3.142802e+00, -1.036676e+00, -2.575046e+03, -1.081390e+00, 2.574826e+03, 1.193642e+00, -5.078858e-01, -3.949225e-01, -3.128249e-01, 4.423201e-02
-7.157895e-02, 1.590121e+04, 3.568058e+00, 3.832941e+00, -6.845820e+00, -1.590838e+04, 1.820972e+04, -1.573187e-01, 8.048030e+03, -3.710614e+00, 3.185099e+00, -1.588177e+04, -1.823067e+04, -1.591062e+04, 5.174234e-01, -3.716195e+00, -8.047687e+03, -3.568227e-01, 2.257790e+00, -8.221795e-01, -2.061311e+03, 1.686610e+00, 2.062498e+03, 6.439291e-01, -4.698051e-01, 5.062984e-01, -2.161082e-01, -4.897298e-02
-6.315789e-02, 1.474053e+04, 4.325840e+00, 7.221173e-01, -5.056293e+00, -1.473580e+04, 1.639287e+04, -3.119658e-01, 7.369345e+03, 3.338429e+00, -2.564252e+00, -1.473642e+04, -1.639241e+04, -1.474011e+04, -2.938443e+00, -6.372467e-01, -7.369137e+03, 3.719998e-03, -4.313384e+00, 2.649314e+00, -1.636374e+03, 4.458562e-01, 1.632806e+03, -2.758260e+00, -1.148369e+00, -3.741158e-01, 3.929366e-01, -2.966672e-02
-5.473684e-02, 1.359249e+04, 1.523456e+00, 2.728595e+00, -3.795441e+00, -1.359212e+04, 1.469707e+04, -7.946915e-02, 6.714005e+03, -8.493117e-02, 2.522146e+00, -1.359922e+04, -1.469139e+04, -1.359023e+04, 1.895546e-01, -2.747420e+00, -6.714300e+03, 1.331080e-01, 1.433765e+00, -4.233581e-01, -1.276471e+03, -4.999150e-01, 1.276998e+03, 4.449981e-01, -2.731172e-01, -9.220164e-02, -2.306960e-01, 5.496935e-03
-4.631579e-02, 1.247991e+04, -9.673971e-01, -2.288247e+00, 2.828158e+00, -1.247839e+04, 1.312150e+04, -2.266209e-02, 6.086864e+03, 9.696770e-01, -2.317109e+00, -1.248012e+04, -1.312006e+04, -1.247936e+04, -3.237132e-01, 2.320001e+00, -6.086851e+03, -8.830069e-02, -1.528511e+00, 6.062827e-01, -9.772173e+02, 4.556438e-02, 9.762684e+02, -6.440306e-01, 6.003415e-02, -1.147717e-01, 1.860570e-01, -9.902226e-03
-3.789474e-02, 1.136356e+04, 8.315376e-01, 1.090961e+00, -1.729210e+00, -1.136275e+04, 1.162723e+04, -2.387599e-02, 5.470972e+03, 6.349551e-01, 7.859264e-01, -1.136173e+04, -1.162806e+04, -1.136388e+04, -9.399326e-02, -1.085769e+00, -5.470902e+03, 8.402760e-03, 2.677747e-01, 1.508570e-03, -7.252314e+02, 1.753850e-01, 7.244484e+02, -6.605589e-03, -1.494053e-01, -4.073117e-02, -5.182168e-02, -1.369017e-03
-2.947368e-02, 1.021969e+04, -8.412475e-01, -7.816700e-01, 1.469616e+00, -1.021996e+04, 1.018684e+04, 1.052053e-02, 4.856206e+03, -2.431165e-01, -2.810865e-01, -1.022072e+04, -1.018617e+04, -1.021947e+04, 3.760102e-01, 7.897587e-01, -4.856219e+03, -3.461233e-02, 2.319846e-01, -2.473183e-01, -5.160884e+02, -8.942591e-02, 5.164392e+02, 2.392457e-01, 1.695033e-01, 1.582964e-02, -7.565702e-04, -2.054691e-03
-2.105263e-02, 9.026716e+03, -6.093150e-01, -1.130969e+00, 1.544542e+00, -9.027240e+03, 8.769409e+03, 1.868567e-02, 4.232103e+03, -2.761697e-01, -8.652872e-01, -9.026297e+03, -8.770294e+03, -9.026912e+03, 8.128921e-02, 1.134233e+00, -4.232075e+03, -2.815738e-02, -3.260581e-01, 7.174666e-02, -3.457366e+02, 6.007445e-03, 3.459665e+02, -7.474495e-02, 7.574138e-02, 4.166780e-02, 6.164608e-02, -7.643339e-04
-1.263158e-02, 7.718514e+03, 7.307433e-01, 1.264350e+00, -1.764741e+00, -7.717790e+03, 7.315679e+03, -1.135926e-02, 3.570228e+03, 4.547172e-01, 9.234808e-01, -7.718027e+03, -7.315485e+03, -7.718438e+03, -1.339834e-01, -1.272137e+00, -3.570221e+03, 3.128896e-02, 2.989557e-01, -5.537235e-02, -2.104404e+02, 4.216522e-02, 2.099866e+02, 6.178187e-02, -8.170698e-02, -4.587725e-02, -6.728622e-02, 1.606138e-03
-4.210526e-03, 6.231623e+03, 3.261653e-02, 7.538131e-03, -3.924325e-02, -6.231611e+03, 5.766664e+03, -4.670489e-04, 2.843622e+03, 3.799198e-03, -4.239661e-02, -6.231651e+03, -5.766617e+03, -6.231622e+03, -5.231844e-02, -8.729712e-03, -2.843620e+03, 3.283084e-03, -6.206858e-02, 3.093178e-02, -1.065735e+02, 1.901373e-03, 1.065703e+02, -3.003312e-02, -3.709495e-03, 2.522999e-04, 5.494824e-03, 2.216197e-04
4.210526e-03, 4.299744e+03, 2.310954e-02, -8.240673e-03, -1.639235e-02, -4.299735e+03, 3.890137e+03, -2.418500e-04, 1.936332e+03, 8.091708e-03, -4.112124e-02, -4.299713e+03, -3.890161e+03, -4.299746e+03, -3.383748e-02, 8.436323e-03, -1.936329e+03, -2.299687e-04, -4.546178e-02, 2.155935e-02, -3.521868e+01, 1.890909e-03, 3.520879e+01, -2.169925e-02, -2.662531e-03, 1.358884e-04, 4.404627e-03, -3.406043e-05
1.107872e-02, 1.532941e+03, -1.034069e-02, -1.332696e-02, 2.140170e-02, -1.532941e+03, 1.369649e+03, 4.048888e-04, 6.856317e+02, -8.862628e-04, -4.686268e-03, -1.532951e+03, -1.369638e+03, -1.532941e+03, 6.226913e-03, 1.325002e-02, -6.856314e+02, -2.684374e-04, 3.966585e-03, -3.415387e-03, -6.107088e+00, 6.755386e-05, 6.108395e+00, 3.463897e-03, 1.540802e-03, 4.688441e-05, -6.888034e-05, 1.142642e-05
1.140805e-02, 1.276523e+03, -1.076697e-02, -2.160608e-02, 2.858772e-02, -1.276517e+03, 1.141706e+03, 5.094811e-04, 5.714389e+02, 1.534475e-03, -1.495951e-02, -1.276538e+03, -1.141684e+03, -1.276520e+03, 2.645972e-03, 2.150219e-02, -5.714385e+02, -3.154475e-04, -3.210456e-03, -3.711302e-04, -5.787604e+00, 1.170629e-05, 5.787025e+00, 4.368956e-04, 1.504168e-03, -3.525447e-04, 9.120209e-04, 1.558461e-05
1.162528e-02, 1.086864e+03, -7.881383e-03, -7.513286e-03, 1.409033e-02, -1.086868e+03, 9.733924e+02, 2.794142e-04, 4.870708e+02, -5.161190e-04, -1.195750e-03, -1.086846e+03, -9.734143e+02, -1.086868e+03, 4.699390e-03, 7.369910e-03, -4.870698e+02, -1.451362e-06, 4.110750e-03, -3.259690e-03, -5.678603e+00, 9.096077e-04, 5.677475e+00, 3.351227e-03, 1.466049e-03, 5.387899e-04, -2.642267e-04, 2.170137e-05
1.176804e-02, 9.561733e+02, -1.282114e-02, -1.476764e-02, 2.505208e-02, -9.561856e+02, 8.575560e+02, 4.523373e-04, 4.289712e+02, -7.918943e-03, -3.348469e-03, -9.561847e+02, -8.575544e+02, -9.561752e+02, 8.715497e-03, 1.468398e-02, -4.289705e+02, -3.000057e-04, 6.627063e-03, -4.823690e-03, -5.641445e+00, -1.873763e-04, 5.649226e+00, 4.876098e-03, 1.823056e-03, 9.189853e-04, -2.410229e-04, 1.241726e-05
1.186145e-02, 8.814114e+02, -1.810648e-02, -2.552945e-02, 3.913522e-02, -8.814295e+02, 7.912806e+02, 6.367686e-04, 3.957323e+02, -1.155624e-02, -1.084254e-02, -8.814272e+02, -7.912794e+02, -8.814145e+02, 9.857694e-03, 2.538012e-02, -3.957318e+02, -3.467605e-04, 4.538652e-03, -4.421922e-03, -5.618497e+00, -3.453720e-04, 5.629830e+00, 4.517622e-03, 2.286040e-03, 1.313409e-03, 2.959047e-04, 2.259017e-05
1.192227e-02, 8.285124e+02, -1.705365e-02, -2.445521e-02, 3.723825e-02, -8.285197e+02, 7.444029e+02, 6.224994e-04, 3.722203e+02, -3.017310e-03, -1.029475e-02, -8.285012e+02, -7.444200e+02, -8.285166e+02, 9.565000e-03, 2.430625e-02, -3.722192e+02, -3.343878e-04, 4.685034e-03, -4.541804e-03, -5.623534e+00, 7.286026e-04, 5.625183e+00, 4.636484e-03, 2.259381e-03, 7.689073e-04, 2.607125e-04, 2.246538e-05
