mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, -2.328543e-10, -1.691026e-10, 4.322111e-11, -1.667344e-10, 1.247420e-11, 8.591431e-12, 4.344862e-11, 9.488978e-12, 1.506239e-12
-7.899371e-02, -1.885497e-10, -1.768216e-10, 2.666158e-11, -1.757973e-10, 3.592338e-13, 1.817388e-11, 2.705346e-11, 1.914747e-11, 6.464030e-12
-7.798742e-02, -1.305940e-10, -2.044411e-10, 1.178540e-11, -2.016836e-10, 1.355854e-10, -9.490233e-12, 1.195307e-11, -8.552167e-12, 6.113348e-12
-7.698113e-02, -1.674009e-10, -1.456672e-10, -1.705897e-11, -1.419902e-10, 2.396256e-11, -1.816688e-11, -1.749988e-11, -1.738061e-11, -4.040339e-12
-7.597484e-02, -9.049364e-11, -1.268960e-10, -4.310105e-12, -1.286471e-10, 5.266428e-11, 2.170185e-11, -4.116374e-12, 2.239220e-11, -6.518890e-12
-7.496855e-02, -4.376852e-11, -1.517791e-10, -2.539516e-11, -1.504601e-10, 7.105280e-11, 1.115867e-11, -2.537445e-11, 1.256729e-11, -6.053663e-12
-7.396226e-02, -6.588349e-11, -8.536304e-11, 4.649905e-12, -8.538007e-11, 1.276753e-10, 2.536328e-11, 5.064635e-12, 2.626442e-11, 2.513676e-11
-7.295597e-02, -1.788039e-10, -2.482762e-10, 2.728313e-11, -2.472243e-10, -4.092053e-11, -1.150177e-11, 2.726875e-11, -1.055079e-11, -5.572128e-12
-7.194969e-02, -1.142038e-10, -1.214464e-10, 8.309514e-12, -1.196962e-10, -1.083002e-11, -1.314951e-11, 8.703097e-12, -1.221033e-11, -1.038515e-11
-7.094340e-02, -3.767243e-11, -1.067836e-10, -2.379252e-11, -1.045364e-10, 2.687010e-11, 1.027156e-11, -2.328183e-11, 1.141449e-11, 1.402894e-11
-6.993711e-02, -1.435496e-10, -1.919700e-10, 7.046671e-12, -1.877177e-10, -1.591259e-11, 6.072056e-12, 7.073571e-12, 7.065797e-12, -1.253352e-12
-6.893082e-02, -5.028334e-11, -9.775705e-11, -5.723314e-12, -9.532679e-11, 9.803111e-11, 8.986741e-12, -5.298628e-12, 9.722213e-12, 1.270013e-11
-6.792453e-02, -1.444517e-10, -1.261379e-10, -9.499725e-12, -1.226280e-10, -1.206804e-11, -1.425896e-11, -8.948464e-12, -1.349421e-11, 6.852953e-13
-6.691824e-02, -7.081755e-11, -1.395129e-10, 1.717758e-11, -1.384939e-10, 8.563997e-12, -2.965940e-12, 1.755771e-11, -2.425503e-12, 3.666887e-12
-6.591195e-02, -2.289177e-11, -1.514516e-10, -1.829075e-11, -1.500722e-10, 2.064407e-11, 1.455607e-11, -1.780177e-11, 1.530835e-11, 3.745689e-12
-6.490566e-02, -1.604653e-10, -1.761456e-10, 1.154913e-11, -1.737337e-10, 3.794671e-11, 9.142707e-12, 1.158851e-11, 9.918511e-12, -1.197113e-11
-6.389937e-02, -1.346784e-10, -5.935756e-11, -3.373304e-12, -5.967258e-11, 3.943358e-11, -4.199236e-12, -3.255686e-12, -3.543938e-12, 2.957621e-12
-6.289308e-02, -2.039870e-11, -1.052605e-10, 1.306129e-11, -1.050057e-10, 2.145637e-11, 7.017394e-12, 1.378359e-11, 8.087246e-12, -3.791743e-12
-6.188679e-02, -2.753177e-12, -1.308562e-10, -3.239606e-12, -1.310736e-10, 2.102743e-11, 8.905681e-12, -3.120992e-12, 9.534976e-12, 1.945341e-11
-6.088050e-02, -9.256666e-11, -1.487835e-10, 8.560230e-12, -1.497201e-10, 6.623223e-11, -1.437212e-11, 8.533629e-12, -1.379111e-11, 1.516195e-11
-5.987421e-02, -1.108793e-10, -1.534215e-10, 5.325761e-12, -1.533283e-10, -2.170294e-13, 1.882398e-12, 5.692337e-12, 2.434973e-12, -1.434723e-12
-5.886792e-02, -6.749508e-11, -1.124416e-10, 4.564378e-12, -1.141349e-10, 5.219410e-11, 2.699455e-12, 4.956295e-12, 3.111020e-12, 4.296856e-12
-5.786164e-02, 4.679109e-13, -1.003963e-10, -4.541369e-12, -1.003065e-10, 6.525857e-11, 1.497992e-11, -4.311794e-12, 1.593273e-11, 4.303618e-12
-5.685535e-02, -5.851315e-11, -1.236963e-10, -5.306884e-12, -1.226905e-10, -5.925521e-11, -6.052505e-12, -5.260171e-12, -5.395635e-12, 1.060901e-12
-5.584906e-02, -2.027764e-11, -1.104287e-10, 7.054384e-14, -1.112907e-10, 5.341014e-11, 1.695602e-11, 3.243716e-13, 1.734828e-11, 2.259773e-12
-5.484277e-02, -3.695676e-11, -1.687248e-10, 9.826766e-12, -1.674428e-10, 3.879407e-11, 8.066641e-12, 9.925671e-12, 8.938215e-12, 7.397009e-12
-5.383648e-02, -7.011305e-11, -1.111780e-10, 1.045242e-11, -1.091418e-10, 3.659236e-11, 1.765372e-11, 1.070315e-11, 1.816147e-11, -2.122751e-12
-5.283019e-02, -1.245204e-10, -9.007284e-11, 2.892771e-12, -8.771068e-11, 1.313062e-11, 3.711937e-12, 3.177064e-12, 4.333485e-12, -8.081365e-12
-5.182390e-02, -8.258661e-11, -1.130720e-10, -4.652035e-12, -1.098418e-10, -4.864143e-11, 6.199500e-13, -4.635563e-12, 1.007254e-12, -8.178846e-13
-5.081761e-02, -3.582078e-11, -8.176340e-11, 2.499802e-12, -8.154003e-11, 2.956606e-11, -1.459670e-12, 2.680366e-12, -1.111274e-12, 8.502519e-12
-4.981132e-02, -3.876972e-11, -8.130639e-11, -4.690512e-12, -8.260607e-11, 5.936981e-12, 5.046878e-12, -4.498335e-12, 5.616261e-12, -8.806507e-13
-4.880503e-02, -3.341083e-11, -8.017240e-11, -3.655435e-12, -7.941706e-11, 9.475217e-11, 2.932331e-12, -3.405790e-12, 3.451143e-12, 6.034889e-12
-4.779874e-02, -5.159070e-11, -8.991594e-11, 2.903212e-12, -8.908247e-11, 5.567649e-11, 4.883900e-12, 3.052974e-12, 5.367127e-12, 2.896768e-12
-4.679245e-02, -4.940725e-11, -6.665288e-11, -3.351591e-12, -6.574638e-11, 1.603022e-11, 5.631354e-12, -3.185091e-12, 6.043664e-12, 3.518528e-12
-4.578616e-02, -5.131729e-11, -7.414157e-11, 3.685847e-13, -7.319388e-11, 3.678150e-11, -1.186771e-12, 5.291699e-13, -6.856232e-13, 3.335609e-12
-4.477987e-02, -4.748666e-11, -9.074363e-11, -5.243565e-13, -8.891582e-11, 2.447814e-11, 4.332473e-12, -3.951566e-13, 4.753937e-12, 1.231410e-12
-4.377358e-02, -3.143906e-11, -7.950136e-11, -7.000102e-13, -7.902303e-11, 3.529852e-11, -2.854307e-12, -7.364605e-13, -2.462838e-12, 2.280349e-12
-4.276730e-02, -3.557612e-11, -6.453183e-11, 8.225408e-14, -6.299924e-11, 2.148364e-11, 3.223108e-12, 2.198075e-13, 3.605452e-12, 2.187751e-12
-4.176101e-02, -5.428915e-11, -5.882757e-11, -2.046326e-12, -5.776302e-11, 2.322513e-11, 6.949877e-12, -1.821405e-12, 7.287790e-12, 1.807787e-12
-4.075472e-02, -2.749921e-11, -5.697716e-11, -2.315201e-12, -5.658058e-11, 3.987884e-11, 2.196683e-12, -2.253425e-12, 2.471194e-12, 4.679364e-12
-3.974843e-02, -5.116595e-11, -7.283961e-11, -2.278214e-12, -7.166397e-11, 6.945991e-12, 7.757508e-12, -2.140381e-12, 8.044223e-12, 1.230104e-12
-3.874214e-02, -2.375325e-11, -6.413281e-11, 1.283147e-12, -6.313149e-11, 2.331613e-11, 8.322562e-13, 1.470813e-12, 1.166334e-12, 4.623920e-12
-3.773585e-02, -4.629833e-11, -6.276082e-11, 2.154255e-12, -6.130594e-11, 2.663229e-11, 1.093127e-12, 2.256167e-12, 1.382544e-12, 2.942783e-12
-3.672956e-02, -4.204516e-11, -6.021064e-11, 1.278396e-12, -6.101019e-11, 5.395433e-12, 5.306120e-12, 1.404327e-12, 5.555113e-12, 2.036830e-12
-3.572327e-02, -2.787590e-11, -4.888080e-11, -1.498604e-12, -4.764600e-11, 4.008737e-11, 5.818024e-12, -1.532895e-12, 6.169052e-12, 4.564962e-12
-3.471698e-02, -2.528483e-11, -6.091938e-11, 1.745358e-13, -6.127316e-11, 3.889840e-11, 5.030402e-12, 3.158491e-13, 5.327609e-12, 3.544922e-12
-3.371069e-02, -3.310163e-11, -6.518597e-11, 2.469787e-12, -6.495065e-11, 2.763206e-11, -6.297369e-13, 2.534133e-12, -2.348798e-13, 1.403141e-12
-3.270440e-02, -2.731733e-11, -5.047225e-11, 2.301957e-12, -5.054916e-11, 2.696451e-11, 4.814359e-12, 2.446495e-12, 5.116926e-12, 3.230382e-12
-3.169811e-02, -1.521399e-11, -4.769275e-11, 3.113556e-12, -4.706242e-11, 2.090129e-11, 2.679848e-12, 3.202425e-12, 2.894852e-12, 2.581059e-12
-3.069182e-02, -3.350280e-11, -4.397941e-11, 5.507687e-14, -4.342555e-11, 2.408851e-12, 8.662223e-13, 1.033874e-13, 1.058733e-12, -1.915006e-13
-2.968553e-02, -2.905575e-11, -4.727452e-11, 2.073971e-12, -4.626964e-11, 2.378237e-11, -4.047587e-13, 2.070141e-12, -1.726251e-13, 1.164095e-12
-2.867925e-02, -2.919216e-11, -4.638223e-11, -1.135440e-12, -4.605092e-11, 2.052370e-11, -7.372822e-14, -1.062118e-12, 1.079542e-13, 2.012347e-12
-2.767296e-02, -1.911541e-11, -4.554797e-11, 1.142470e-12, -4.482163e-11, 2.029228e-11, 3.870399e-12, 1.302065e-12, 4.096709e-12, 8.937329e-13
-2.666667e-02, -2.344623e-11, -4.353432e-11, -9.356949e-13, -4.307027e-11, 8.783921e-12, -3.231914e-13, -8.133255e-13, -1.113751e-13, 1.240363e-12
-2.566038e-02, -2.333917e-11, -3.878762e-11, 1.138290e-13, -3.834161e-11, 1.319629e-11, 3.698742e-12, 1.787335e-13, 3.858937e-12, 1.152291e-12
-2.465409e-02, -1.735202e-11, -4.421272e-11, -1.345326e-12, -4.347341e-11, 1.008081e-11, 2.153234e-12, -1.237526e-12, 2.365284e-12, 9.519429e-13
-2.364780e-02, -2.898823e-11, -3.938921e-11, 7.646772e-13, -3.889176e-11, 1.208174e-11, 1.689449e-12, 8.870307e-13, 1.862684e-12, 4.832811e-13
-2.264151e-02, -2.278168e-11, -3.099566e-11, -1.211977e-12, -3.049264e-11, 1.094491e-11, 4.270984e-13, -1.125632e-12, 6.040993e-13, 2.390512e-12
-2.163522e-02, -2.159609e-11, -3.317321e-11, 6.978590e-13, -3.242390e-11, 1.000789e-11, 1.082811e-12, 7.605521e-13, 1.250347e-12, 2.186682e-12
-2.062893e-02, -2.215080e-11, -3.785505e-11, -1.546146e-12, -3.768066e-11, 5.934809e-12, 8.078855e-13, -1.487453e-12, 9.299641e-13, 1.419313e-12
-1.962264e-02, -2.373832e-11, -2.930294e-11, 1.220972e-12, -2.902901e-11, 1.297808e-11, 1.844693e-12, 1.317815e-12, 1.994843e-12, -3.103610e-14
-1.861635e-02, -1.585120e-11, -2.793448e-11, -3.107999e-13, -2.757015e-11, 1.402211e-11, 5.700995e-13, -2.962117e-13, 6.925442e-13, 1.413795e-12
-1.761006e-02, -1.834826e-11, -2.722961e-11, -1.095001e-12, -2.700889e-11, 9.323147e-12, 1.081978e-12, -1.012137e-12, 1.219713e-12, 4.497533e-13
-1.660377e-02, -2.307409e-11, -2.951526e-11, -6.006314e-13, -2.902056e-11, 1.113978e-11, 7.629965e-13, -5.328119e-13, 9.054578e-13, 9.339429e-13
-1.559748e-02, -1.597519e-11, -2.375177e-11, 5.186912e-13, -2.320246e-11, 9.896721e-12, 1.054516e-12, 5.861902e-13, 1.148974e-12, 1.038263e-12
-1.459119e-02, -1.589527e-11, -2.274099e-11, -5.079979e-13, -2.195677e-11, 3.018891e-12, -4.479641e-13, -4.284077e-13, -3.415737e-13, 3.825123e-13
-1.358491e-02, -1.587970e-11, -2.085007e-11, 5.481236e-13, -2.067148e-11, 1.027802e-11, -2.820858e-13, 6.292500e-13, -2.034385e-13, 2.763244e-13
