mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 6.568094e+05, 3.285886e+02, -3.367787e+02, 3.285886e+02, 6.572746e+05, 7.659155e+02, -3.367787e+02, 7.659155e+02, 1.329339e+05
-7.848101e-02, 6.457181e+05, 3.572185e+02, -3.565048e+01, 3.572185e+02, 6.439391e+05, 3.659928e+01, -3.565048e+01, 3.659928e+01, 1.292898e+05
-7.696203e-02, 6.323847e+05, 6.899348e+01, -4.303066e+02, 6.899348e+01, 6.333728e+05, 1.049291e+03, -4.303066e+02, 1.049291e+03, 1.253345e+05
-7.544304e-02, 6.210372e+05, -1.612394e+03, -3.364339e+02, -1.612394e+03, 6.191919e+05, -1.441880e+02, -3.364339e+02, -1.441880e+02, 1.221143e+05
-7.392405e-02, 6.079931e+05, 2.497734e+02, -6.215863e+02, 2.497734e+02, 6.079281e+05, -5.104591e+02, -6.215863e+02, -5.104591e+02, 1.184188e+05
-7.240506e-02, 5.950103e+05, -9.324836e+02, 1.711791e+02, -9.324836e+02, 5.959754e+05, -3.246358e+02, 1.711791e+02, -3.246358e+02, 1.148737e+05
-7.088608e-02, 5.842647e+05, 4.075214e+02, -1.286206e+02, 4.075214e+02, 5.829512e+05, -1.016325e+03, -1.286206e+02, -1.016325e+03, 1.108439e+05
-6.936709e-02, 5.711378e+05, 9.203947e+01, 4.905937e+02, 9.203947e+01, 5.710832e+05, 3.374832e+02, 4.905937e+02, 3.374832e+02, 1.074773e+05
-6.784810e-02, 5.584286e+05, -2.719261e+03, -6.118589e+02, -2.719261e+03, 5.588704e+05, -3.681554e+02, -6.118589e+02, -3.681554e+02, 1.039403e+05
-6.632911e-02, 5.475684e+05, 2.563843e+02, 9.790366e+02, 2.563843e+02, 5.450928e+05, -4.930499e+02, 9.790366e+02, -4.930499e+02, 1.003718e+05
-6.481013e-02, 5.334425e+05, 1.702302e+03, -6.764397e+02, 1.702302e+03, 5.339881e+05, 1.354801e+01, -6.764397e+02, 1.354801e+01, 9.705094e+04
-6.329114e-02, 5.194507e+05, -1.669672e+03, -8.930423e+02, -1.669672e+03, 5.231694e+05, -1.871221e+02, -8.930423e+02, -1.871221e+02, 9.361631e+04
-6.177215e-02, 5.079248e+05, -2.273931e+02, 2.525401e+02, -2.273931e+02, 5.080427e+05, -2.766539e+02, 2.525401e+02, -2.766539e+02, 9.112055e+04
-6.025316e-02, 4.955244e+05, -1.467879e+03, -6.482966e+02, -1.467879e+03, 4.962253e+05, 2.501475e+02, -6.482966e+02, 2.501475e+02, 8.743180e+04
-5.873418e-02, 4.840268e+05, 4.561617e+02, 1.980047e+02, 4.561617e+02, 4.828717e+05, 4.991973e+02, 1.980047e+02, 4.991973e+02, 8.411192e+04
-5.721519e-02, 4.702309e+05, 1.315605e+02, 5.428148e+02, 1.315605e+02, 4.711808e+05, -3.444415e+02, 5.428148e+02, -3.444415e+02, 8.112357e+04
-5.569620e-02, 4.588083e+05, 5.387686e+02, -8.957220e+02, 5.387686e+02, 4.566717e+05, -5.504799e+00, -8.957220e+02, -5.504799e+00, 7.836586e+04
