mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -1.396905e+06, -8.152981e+02, 8.988963e+04, -7.699578e+03, 1.557497e+06, -1.986570e+07, -4.954151e+03, 2.980111e+05, -9.922346e+04, -6.986253e+04, 1.448834e+06, 1.959269e+07, 1.465694e+06, -2.997594e+04, -6.631614e+04, -3.048585e+05, 1.101790e+02, 5.803941e+04, -1.815150e+04, 4.835338e+05, 6.244222e+04, -4.470042e+05, 9.426808e+03, -2.486438e+03, -3.741776e+03, 4.852183e+03, 3.841765e+03
-9.874214e-02, -1.297416e+06, 8.345453e+04, -3.265568e+05, 1.271513e+03, 1.672914e+06, -2.015787e+07, 2.747182e+04, 2.721981e+05, -2.221714e+05, -4.877183e+04, 1.425115e+06, 1.974398e+07, 1.414854e+06, 3.092302e+04, 3.377339e+05, -3.042159e+05, -2.617537e+04, -5.394573e+03, -6.504675e+04, 5.394773e+05, 8.645296e+04, -4.112964e+05, 6.536547e+04, 3.078516e+04, 6.730171e+02, -3.988307e+04, 9.742778e+01
-9.748428e-02, -1.317433e+06, -2.846778e+03, 1.986383e+03, -1.087198e+04, 1.732230e+06, -1.766661e+07, -1.618955e+04, 2.801076e+05, -2.645488e+05, 5.834868e+04, 1.484280e+06, 1.652137e+07, 1.558353e+06, 4.186627e+04, -1.715539e+04, -2.682822e+05, 1.558979e+04, -6.323945e+04, 2.459475e+04, 4.765626e+05, 1.827432e+05, -4.560079e+05, -2.349509e+04, 6.550001e+04, -3.235421e+04, 4.706767e+03, -7.081266e+02
-9.622642e-02, -1.343123e+06, 9.847328e+04, -2.799359e+05, 1.140466e+04, 1.467812e+06, -1.909829e+07, 2.689776e+04, 2.531278e+05, -7.240941e+04, -1.124837e+05, 1.385294e+06, 1.901000e+07, 1.369268e+06, -2.100025e+04, 2.708635e+05, -2.453663e+05, -2.507961e+04, 6.461972e+04, -8.379502e+04, 4.918533e+05, 4.470408e+03, -4.428337e+05, 8.709395e+04, 1.174953e+02, -3.998854e+03, -3.483434e+04, -1.471011e+03
-9.496855e-02, -1.596527e+06, -1.242566e+04, 2.330494e+05, 3.784742e+02, 1.395674e+06, -1.631764e+07, -3.539049e+03, 2.171492e+05, 1.327338e+05, -6.262861e+04, 1.508283e+06, 1.711078e+07, 1.438132e+06, -8.112740e+04, -2.354757e+05, -2.486475e+05, 3.198778e+03, 8.925127e+04, 4.102319e+03, 4.694951e+05, -8.925587e+04, -4.334537e+05, -2.919663e+03, -1.881694e+04, 2.976963e+04, 1.726031e+04, -5.521641e+02
-9.371069e-02, -1.410936e+06, -1.246955e+04, 1.090508e+05, 8.443938e+03, 1.085697e+06, -1.928973e+07, -3.974341e+03, 2.004238e+05, 2.080773e+05, -5.720325e+04, 1.280517e+06, 1.982392e+07, 1.248433e+06, -7.060249e+04, -1.209779e+05, -2.185742e+05, 4.635341e+03, 8.191910e+04, -7.756060e+03, 4.104194e+05, -1.061667e+05, -4.737458e+05, 9.722297e+03, -1.644289e+04, 2.912355e+04, 1.853691e+04, -9.940179e+02
-9.245283e-02, -1.250462e+06, 4.836477e+04, -5.742008e+05, -1.509948e+04, 1.016523e+06, -2.450677e+07, 1.062909e+04, 2.145196e+05, 1.290316e+05, 2.025747e+05, 1.156628e+06, 2.469815e+07, 1.200858e+06, 2.003161e+05, 5.727917e+05, -1.688199e+05, -7.072103e+03, -2.569804e+05, 7.967053e+03, 3.825014e+05, -4.470198e+03, -4.874833e+05, -2.260983e+03, 1.330774e+05, -9.122987e+03, -4.132446e+04, -2.322144e+03
-9.119497e-02, -8.461619e+05, -1.694581e+04, 1.671435e+05, 1.013074e+04, 1.174224e+06, -2.650418e+07, -4.938642e+03, 1.810422e+05, -2.143194e+05, -5.702457e+03, 1.001006e+06, 2.537454e+07, 1.087800e+06, -5.152923e+04, -1.829957e+05, -1.666872e+05, 7.644278e+03, 3.956762e+04, 1.919143e+04, 4.024738e+05, 1.318618e+05, -4.285804e+05, -1.232304e+04, -1.899451e+04, -3.976951e+04, 1.648686e+04, -3.078421e+03
-8.993711e-02, -9.848724e+05, -2.484922e+04, 4.453578e+04, -6.478023e+03, 1.265864e+06, -2.490586e+07, -5.106590e+03, 1.708718e+05, -1.860729e+05, 2.331551e+04, 1.112312e+06, 2.379598e+07, 1.209732e+06, 2.534141e+04, -3.515762e+04, -1.777770e+05, 3.013806e+03, -2.859396e+04, 1.572360e+04, 3.912609e+05, 1.587864e+05, -4.324197e+05, -2.142626e+04, 3.629194e+03, -2.806545e+04, 1.778464e+03, 2.510792e+03
-8.867925e-02, -1.156902e+06, -6.164237e+04, 9.672226e+04, -1.030837e+04, 9.571262e+05, -2.501492e+07, -1.793229e+04, 1.609179e+05, 1.248150e+05, 8.886832e+04, 1.080768e+06, 2.538207e+07, 1.059026e+06, 2.867365e+04, -9.991070e+04, -1.560971e+05, 1.717888e+04, -5.869525e+04, 4.984269e+04, 3.869387e+05, -6.252560e+04, -4.246521e+05, -5.161218e+04, -1.024379e+04, 1.088534e+04, 2.238527e+04, 6.815883e+02
-8.742138e-02, -9.364601e+05, -5.365451e+04, 3.147070e+05, 1.868808e+04, 1.133094e+06, -2.472484e+07, -7.483212e+03, 1.367660e+05, -1.191488e+05, -1.744726e+04, 1.020047e+06, 2.426360e+07, 1.036152e+06, -6.849628e+04, -3.173513e+05, -1.571342e+05, 9.002925e+03, 6.653801e+04, 3.497495e+04, 4.099691e+05, 4.773431e+04, -3.810094e+05, -3.232577e+04, -8.693332e+04, -6.631275e+03, 2.342949e+04, -1.119939e+03
-8.616352e-02, -8.121859e+05, 6.059560e+04, -2.174416e+05, 8.774493e+03, 1.056895e+06, -2.528545e+07, 7.934656e+03, 1.212724e+05, -1.513821e+05, -6.459820e+04, 9.148909e+05, 2.460963e+07, 9.505613e+05, -2.193514e+03, 2.180084e+05, -1.325616e+05, -6.691656e+03, 3.461337e+04, -5.174198e+04, 3.783291e+05, 7.133126e+04, -3.610946e+05, 5.279665e+04, -7.296274e+03, -1.401419e+04, -1.809078e+04, -3.923479e+02
-8.490566e-02, -1.100175e+06, 2.850055e+04, -2.731483e+05, -2.640847e+04, 8.534215e+05, -2.365893e+07, -1.808769e+03, 1.129527e+05, 1.600079e+05, 9.423972e+03, 9.930010e+05, 2.447265e+07, 9.385004e+05, 7.817752e+04, 2.831505e+05, -1.281399e+05, -4.129574e+03, -6.239657e+04, -2.925041e+04, 3.825124e+05, -1.016569e+05, -3.710127e+05, 1.835533e+04, 6.508694e+04, 2.539646e+04, -1.689394e+04, 4.636770e+03
-8.364780e-02, -1.023263e+06, -4.387916e+04, 2.400070e+05, 1.336537e+04, 9.699481e+05, -2.323649e+07, -3.440201e+03, 1.138180e+05, 3.926723e+04, -1.283337e+04, 9.915083e+05, 2.354344e+07, 9.630442e+05, -4.607344e+04, -2.379678e+05, -1.224324e+05, 3.291668e+03, 4.557075e+04, 2.729824e+04, 3.833418e+05, -4.196475e+04, -3.571876e+05, -2.693195e+04, -6.634983e+04, 1.210905e+04, 1.425383e+04, -1.409485e+02
-8.238994e-02, -1.024801e+06, 1.747902e+04, -1.501664e+05, -1.830087e+03, 9.521780e+05, -2.229155e+07, 2.276639e+03, 9.872477e+04, 4.774922e+04, 3.708887e+04, 9.939148e+05, 2.250239e+07, 9.771342e+05, 4.785662e+04, 1.451436e+05, -1.042457e+05, -1.742882e+03, -5.587240e+04, -3.441710e+03, 3.648569e+05, -3.602283e+04, -3.639778e+05, 4.390800e+03, 2.982327e+04, 7.830750e+03, -1.176308e+04, -4.635336e+02
-8.113208e-02, -1.054009e+06, 2.056786e+04, 6.570604e+04, 1.129286e+04, 8.196436e+05, -2.197397e+07, 9.930003e+03, 8.704873e+04, 1.535989e+05, -7.525862e+04, 9.456756e+05, 2.283195e+07, 8.806718e+05, -3.867885e+04, -5.946373e+04, -9.820401e+04, -1.003787e+04, 6.378098e+04, -2.280103e+04, 3.741914e+05, -9.886419e+04, -3.481291e+05, 2.182472e+04, -2.112540e+04, 2.700739e+04, -9.410450e+03, 5.091889e+02
-7.987421e-02, -1.026311e+06, -1.443378e+04, -3.252908e+04, 1.910391e+03, 7.297477e+05, -2.245303e+07, -1.434271e+04, 8.535612e+04, 1.940396e+05, 8.319215e+04, 8.919691e+05, 2.336920e+07, 8.200120e+05, 3.194115e+04, 2.456122e+04, -8.483998e+04, 1.700559e+04, -6.254581e+04, 3.247571e+04, 3.425154e+05, -1.291758e+05, -3.387336e+05, -2.610472e+04, 3.940901e+03, 2.928417e+04, 9.954569e+03, -2.791003e+03
-7.861635e-02, -1.070975e+06, -4.495407e+03, 5.353559e+04, 2.090900e+04, 6.360512e+05, -2.211499e+07, 1.546591e+03, 8.697045e+04, 2.634329e+05, 7.888085e+04, 9.147254e+05, 2.260350e+07, 9.208843e+05, -1.188595e+04, -5.921129e+04, -6.444854e+04, 6.932727e+03, -3.586435e+04, 3.538656e+04, 2.643975e+05, -9.617804e+04, -4.057691e+05, -1.842006e+04, 9.136261e+03, 8.510332e+03, 8.532429e+03, -7.166796e+03
