mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -5.210645e-10, -1.494807e-09, -1.485005e-09, 1.550171e-09, 1.870994e-09, 1.786291e-09, -1.648213e-09, 2.271703e-10, -2.903743e-10, 2.515034e-10, -2.611117e-09, -2.652682e-09, -4.065334e-09, 1.281359e-09, 1.890263e-09, -4.074622e-10, 1.219141e-09, 1.100605e-10, -7.969627e-11, 1.421715e-10, -6.926821e-11, 7.321902e-11, -9.699625e-11, 5.338845e-11, 9.816608e-11, 5.851351e-11, -6.284680e-11
-9.874214e-02, 7.948064e-10, -5.054397e-10, -1.801226e-09, -1.741285e-09, -6.102464e-10, 2.951515e-09, -1.125920e-09, 3.246276e-10, -2.615525e-10, 1.600289e-09, -4.843331e-09, -1.371503e-09, -4.606139e-09, 2.483089e-09, 3.584731e-11, 1.418579e-10, 4.032735e-10, 2.504855e-10, -5.813335e-10, 8.263521e-11, 9.545661e-11, -3.099974e-11, -2.179257e-10, -2.699239e-10, -4.333803e-14, 1.245420e-10, 4.190082e-11
-9.748428e-02, -2.230086e-10, 9.876474e-10, -9.918714e-10, -4.100911e-10, 1.133377e-09, 2.183213e-09, -8.216915e-10, 3.199870e-10, 4.821951e-11, 7.054396e-10, -2.603367e-09, -2.836982e-09, -4.586705e-09, 1.430362e-09, -1.027228e-10, -4.914929e-10, 8.438526e-10, 1.819864e-10, -2.022880e-10, -6.744698e-11, 2.630153e-10, 4.175203e-11, -4.015654e-10, -9.513679e-12, 8.435390e-11, 7.750727e-11, 1.980783e-11
-9.622642e-02, -8.575414e-10, 1.409028e-09, -2.516078e-10, 8.203113e-10, 2.412247e-09, -1.336875e-09, -9.975023e-10, -9.892070e-13, 4.539170e-10, 3.954406e-10, -2.220936e-09, -3.290206e-09, -3.108094e-09, 2.087781e-09, -1.121539e-09, -4.962143e-10, 9.604171e-10, 6.157970e-10, -4.466742e-11, -3.689578e-10, -1.332933e-10, 2.560000e-10, -7.285697e-10, 2.397767e-10, 7.281503e-11, -3.245040e-12, 6.166104e-11
-9.496855e-02, -2.256536e-10, 4.243530e-10, -1.517315e-09, 2.133754e-09, 2.301071e-09, 3.299961e-10, -1.257955e-09, 3.205193e-12, -1.233988e-11, 1.669466e-09, -2.672710e-09, -3.057594e-09, -1.198957e-09, 6.124726e-10, 8.157982e-11, -2.767212e-10, 6.679308e-10, 9.871548e-11, -1.743153e-10, -2.322737e-10, -7.543651e-11, 2.949417e-10, -3.683748e-10, -2.289353e-11, 5.828012e-11, 4.869244e-11, -7.134442e-11
-9.371069e-02, 5.088608e-10, 1.553465e-09, 1.879512e-11, 7.914901e-10, -1.166372e-09, 1.822038e-09, -1.220753e-09, 1.312696e-10, -3.825972e-10, -4.566629e-10, -2.712500e-09, -2.292805e-09, -3.958496e-09, 1.180544e-09, -2.324191e-09, -8.087870e-10, 3.423087e-10, -1.929792e-10, -1.369335e-10, 2.010392e-10, -9.326311e-11, 3.564496e-10, -4.768557e-10, -1.394370e-10, 1.301302e-10, 7.762333e-12, 3.835025e-11
-9.245283e-02, -3.072906e-10, -4.500758e-10, -2.591128e-09, 1.911616e-09, -5.625446e-10, 7.898609e-10, -8.169950e-10, 8.038173e-11, 1.435285e-10, -1.245863e-09, -3.857084e-09, -3.034384e-09, -3.164721e-09, 4.725895e-10, -1.219609e-09, 1.573172e-12, 8.587623e-10, 3.067486e-10, -4.569736e-11, 3.442592e-10, -1.581347e-10, 2.727946e-10, 9.438544e-11, 6.954905e-11, 2.840570e-11, 4.808778e-11, 3.025396e-11
-9.119497e-02, -1.098492e-10, -5.984011e-10, -8.209548e-10, 2.989024e-10, -6.607972e-10, -7.268574e-10, -6.993458e-10, 1.975200e-10, -1.471705e-10, 8.717525e-10, -2.227002e-09, -2.670258e-09, -3.445239e-09, -2.162809e-10, -8.758894e-10, -3.797151e-10, 3.580098e-10, 3.180217e-10, -1.051538e-10, -1.399089e-10, 1.331219e-10, -1.984518e-10, 1.623369e-10, 6.964929e-12, 1.151266e-10, -1.761193e-12, -1.271078e-11
-8.993711e-02, 6.001382e-10, 2.059020e-09, -1.109414e-09, 2.059907e-10, -1.642360e-09, 1.211112e-09, -1.389942e-09, 5.322722e-10, -1.019159e-10, -7.524199e-10, -3.731053e-09, -1.080020e-09, -1.981362e-09, -1.689631e-09, -1.273816e-09, -1.802062e-10, 7.384468e-10, 4.766463e-10, -1.934200e-11, -2.808859e-10, 5.291227e-10, -1.595558e-11, -1.554996e-10, -1.915486e-10, 9.572548e-11, 7.728743e-11, 1.665055e-11
-8.867925e-02, -1.336492e-09, -1.116359e-09, 4.267842e-11, 2.010114e-09, -7.085621e-10, -2.280999e-10, -6.731674e-10, -6.295181e-10, -3.784506e-10, -7.200807e-10, -2.149972e-09, -1.526700e-09, -3.327814e-09, -1.648808e-10, 3.300845e-10, 9.104655e-11, 3.458483e-10, 2.767302e-10, -6.118592e-11, -1.927086e-10, 7.344088e-11, -5.731698e-11, -2.759519e-10, 1.714206e-10, 1.316427e-10, 2.617651e-11, 9.583884e-12
-8.742138e-02, -7.456486e-10, 1.105874e-09, -1.232602e-09, 2.258610e-09, 7.397137e-10, -2.879152e-10, -1.265249e-09, -1.406110e-10, -5.160786e-10, -9.856194e-10, -3.320668e-09, -1.147177e-10, -2.083463e-09, -9.040260e-11, -9.460765e-10, -7.599633e-12, 2.437144e-10, 3.664754e-10, -1.641281e-10, -1.480930e-11, -2.845481e-11, -2.517774e-11, -4.803789e-10, -1.342781e-10, -2.512199e-11, 7.275585e-11, -6.561776e-11
-8.616352e-02, 2.276328e-10, 1.712836e-09, 1.641215e-09, -1.393813e-09, -5.303098e-10, -5.322796e-10, -1.008245e-09, 6.157445e-10, 1.508417e-10, 1.829537e-09, 2.421399e-10, -3.064525e-09, -9.170999e-10, -3.053569e-09, -2.269977e-09, 5.973537e-10, 2.198458e-10, 2.213984e-11, -3.993037e-10, -4.776686e-10, 4.713251e-10, -5.862694e-10, 9.394003e-11, -3.443369e-10, 5.209739e-11, 1.519787e-11, 1.185683e-10
-8.490566e-02, -9.352740e-10, 8.878549e-10, -1.043936e-09, 1.378969e-09, -3.883849e-10, -4.969027e-10, -7.886389e-10, 5.144768e-11, 6.426986e-11, -1.920402e-09, -2.931541e-09, 6.966102e-10, -2.932358e-09, 6.906084e-10, -1.307444e-09, 5.135241e-10, -5.081153e-11, -1.238539e-10, 6.122181e-11, -4.113821e-10, 2.389664e-10, -1.918119e-10, -2.268915e-10, -1.343691e-10, 1.872415e-10, 2.231925e-11, -1.029195e-11
-8.364780e-02, -8.938687e-10, -4.973251e-10, -9.845225e-11, 3.251739e-10, -3.330025e-10, 4.978432e-10, -4.932601e-10, -2.407269e-10, -1.408289e-11, -9.415637e-10, -2.618175e-09, -3.900284e-10, -2.032239e-09, 1.095047e-09, -3.615282e-10, 8.057707e-10, 5.492514e-10, 3.029291e-10, -1.870484e-10, -1.542731e-10, 4.122077e-10, -1.191804e-10, -1.241876e-10, -1.422595e-10, 1.271013e-10, 3.146124e-11, 2.162690e-11
-8.238994e-02, 8.160524e-10, 3.840212e-10, 1.259368e-10, -8.064587e-11, 1.820849e-09, 2.524274e-10, -7.409640e-10, 2.029874e-10, -4.820901e-10, -2.874786e-10, -1.127944e-09, -1.640258e-09, -2.993684e-09, -2.083088e-10, -1.470897e-10, 2.908777e-10, 6.492159e-10, 5.494207e-10, -7.983015e-11, -4.014682e-11, 1.954277e-10, -1.919930e-10, 1.899188e-10, -2.041995e-10, 5.566983e-11, 9.161398e-11, -5.763425e-11
-8.113208e-02, -6.475704e-10, -2.132209e-09, -4.399376e-10, -2.788560e-11, -9.342743e-10, -3.418974e-10, -8.672992e-10, -6.569811e-10, -5.985123e-10, -2.048437e-09, -6.107996e-10, -8.598715e-11, -7.410534e-10, 2.676262e-10, -2.690108e-09, 6.495721e-10, 4.313923e-10, 2.627061e-10, -1.443200e-10, 4.190267e-10, -2.814327e-12, -5.887445e-11, -2.511932e-10, 3.818335e-11, 8.952992e-11, 1.355592e-11, -4.780570e-11
-7.987421e-02, 5.336578e-10, -4.300319e-10, -5.650939e-10, 4.509564e-10, 3.115988e-10, 2.235811e-09, -1.326682e-09, 2.964923e-10, -4.565529e-10, -4.322982e-10, -1.686190e-09, -1.195909e-09, -9.160983e-10, -3.787954e-10, -1.532800e-09, -3.525940e-10, 1.724119e-10, 9.199176e-11, 7.747706e-11, 7.934947e-11, 2.073857e-11, 1.771820e-10, 1.469596e-10, -2.037446e-10, 7.811017e-11, 4.954118e-11, 1.865366e-11
-7.861635e-02, -3.653280e-10, 6.394648e-10, -1.054816e-09, 2.136057e-10, 6.615814e-10, 3.496012e-10, -6.219354e-10, -3.663612e-10, -1.100155e-10, -1.528503e-09, -1.641737e-09, -1.372351e-09, -4.699207e-10, 7.266870e-10, -8.370518e-10, 1.185018e-09, 7.365779e-10, 7.341548e-10, 1.199931e-11, -9.304339e-11, 3.382464e-10, -1.427931e-10, -3.371714e-12, -3.416698e-10, 1.311029e-10, 1.046382e-10, -2.406229e-11
-7.735849e-02, -2.569074e-10, 8.112394e-10, -1.682968e-09, 9.620402e-10, 5.232074e-10, -1.543790e-09, -5.192210e-10, -6.324719e-10, -1.537665e-10, -6.318866e-10, -1.178677e-09, -1.011292e-09, -1.171715e-09, -1.967799e-09, -2.414509e-09, 2.630565e-10, 1.348710e-10, 1.409330e-10, 3.848100e-12, 1.677964e-10, 1.314472e-10, -8.406143e-11, -3.066523e-11, -1.207359e-10, 2.114301e-11, 1.019482e-10, 1.008467e-11
-7.610063e-02, -6.639760e-10, -7.286197e-11, -1.716480e-09, 1.670080e-10, 1.142232e-09, 9.055060e-10, -7.737009e-10, 1.705583e-10, -4.050192e-10, -1.026102e-09, -1.439197e-09, -4.136853e-10, -7.959368e-10, -1.780182e-09, 1.328102e-10, 2.562151e-10, 5.340364e-10, 2.367098e-10, -2.522411e-10, 2.278141e-12, 3.363337e-10, -2.193230e-10, -1.333747e-10, -2.609543e-11, 1.319263e-10, 6.371363e-11, -3.244647e-11
-7.484277e-02, 1.006732e-09, -7.274318e-10, -1.800716e-09, 2.795803e-09, 2.140606e-09, -1.595164e-09, -1.000204e-09, -2.928518e-10, -3.555625e-10, -6.734494e-10, -2.142061e-09, 5.955255e-11, -9.535162e-10, -9.897748e-10, 4.958470e-10, -4.530046e-11, 5.321721e-10, 1.037365e-10, -2.615204e-10, 5.561128e-11, 1.596871e-10, 8.774798e-11, -6.796295e-12, -1.108617e-10, 5.529799e-11, 6.124039e-11, -3.945163e-11
-7.358491e-02, -1.453558e-09, 1.604995e-09, -2.492914e-09, 4.289010e-10, 5.436641e-11, -2.911038e-10, -6.517834e-10, -3.039481e-10, 1.911627e-11, 4.829888e-10, -1.000718e-09, -1.067784e-09, -6.782774e-10, -1.416819e-09, -1.534613e-09, 3.984717e-10, -8.666248e-12, 2.826196e-10, -9.285685e-11, -2.987221e-10, 4.257288e-10, -4.054671e-10, 8.530833e-11, -1.802906e-10, 6.674819e-11, 3.084719e-11, 3.552589e-11
-7.232704e-02, -3.032572e-10, -3.004677e-11, -4.798398e-10, 7.445462e-10, -2.112509e-10, 1.849413e-11, -5.277055e-10, -4.335373e-10, -5.332587e-11, -6.503491e-10, -1.764525e-09, -1.056071e-10, -3.611664e-10, -1.763807e-11, -2.042041e-09, 1.872376e-10, -8.818392e-11, 5.325473e-11, -1.176681e-10, -4.124317e-12, 2.367113e-10, -1.346335e-10, 1.139366e-10, -4.271387e-11, 7.932157e-11, 4.818368e-11, 5.392483e-12
-7.106918e-02, 6.780064e-10, 1.215914e-09, -6.525123e-10, 1.312612e-09, -6.226035e-10, 9.007456e-10, -9.122600e-10, 1.005769e-10, -6.838630e-11, -2.413852e-10, -8.095465e-10, -3.251159e-10, -3.318945e-10, -8.236927e-11, -1.839157e-09, 4.816941e-10, 7.321923e-11, 2.468211e-11, -1.633951e-10, 5.876454e-11, 3.637797e-11, -1.459417e-10, 1.224840e-10, -1.365974e-10, -1.511420e-11, 2.982152e-11, 8.629332e-12
-6.981132e-02, -5.622464e-10, 3.408614e-10, -2.174674e-09, 1.979962e-09, 9.288045e-11, 3.608258e-10, -7.809867e-10, -3.906488e-10, -5.552319e-10, -9.196879e-10, -8.494696e-10, -2.938957e-10, -6.490632e-10, -4.573510e-10, -6.564913e-10, 2.493992e-10, 1.351750e-10, 6.803345e-11, -9.222856e-11, 5.218127e-11, 1.140304e-10, 1.655838e-10, -2.174094e-10, 4.297455e-11, 9.092148e-11, 2.334319e-11, -7.184248e-12
-6.855346e-02, -2.711462e-10, 1.226044e-09, -1.080277e-09, -3.292086e-10, -1.117353e-09, -3.462969e-10, -7.354820e-10, -2.242056e-10, -2.272787e-10, 2.514563e-11, 3.646188e-11, -1.268239e-09, -9.139256e-10, -8.876528e-10, -1.920007e-09, 6.582191e-10, -5.638784e-11, 1.273752e-10, -9.220551e-11, -1.637949e-12, 2.004580e-10, -2.072469e-10, -5.161268e-11, -1.218772e-10, 7.921526e-11, 3.303649e-11, 1.216279e-11
-6.729560e-02, -4.938664e-10, 2.604668e-10, 1.226449e-09, 9.840562e-11, -7.285191e-10, 1.706028e-09, -7.004540e-10, 1.085178e-10, -1.583059e-10, -5.780242e-10, -8.221926e-10, -6.446104e-10, -9.370182e-10, 1.778609e-10, 4.615052e-11, -1.611627e-10, 4.132764e-10, -2.721479e-11, -6.020782e-11, -8.641381e-11, 5.344943e-11, 2.158346e-10, -2.295393e-10, -9.788560e-11, 9.919818e-11, 2.591511e-11, 1.334643e-11
