mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -5.977547e+04, 9.215272e+04, -2.047203e+04, 1.153793e+05, 4.434372e+04, -2.377780e+04, 5.355504e+04, 1.593759e+04, 7.283391e+03, 6.868180e+04, 1.169143e+05, 5.896021e+04, 6.481264e+04, -9.169565e+04, -1.499253e+03, -4.133907e+04, 6.887658e+04, 2.544993e+03, 2.923737e+03, -4.508816e+04, 6.133148e+03, 4.036154e+04, -3.793177e+04, 3.313285e+02, -9.703340e+02, -3.457782e+02, 1.132540e+04
-9.874214e-02, -5.478864e+04, 9.277769e+04, -2.469551e+04, 1.103925e+05, 5.267990e+04, -2.385007e+04, 5.423824e+04, 1.279046e+04, 3.005302e+03, 7.517063e+04, 1.134230e+05, 5.855335e+04, 6.314099e+04, -9.118941e+04, -1.274967e+02, -4.231312e+04, 6.847198e+04, 8.257345e+02, 4.308268e+03, -4.576307e+04, 7.615124e+03, 4.006307e+04, -3.794441e+04, 6.249512e+02, -2.487268e+03, -1.371457e+03, 1.112276e+04
-9.748428e-02, -7.036800e+04, 9.608142e+04, -1.861973e+04, 1.167854e+05, 4.858454e+04, -2.752892e+04, 4.882422e+04, 1.576770e+04, 6.808591e+03, 6.467758e+04, 1.060346e+05, 5.758812e+04, 7.498183e+04, -9.953373e+04, 6.355169e+03, -3.747461e+04, 6.349920e+04, 4.513637e+03, 2.229187e+03, -4.175828e+04, 5.227360e+03, 3.717744e+04, -3.724793e+04, 8.392343e+02, -1.525850e+03, -1.705934e+02, 1.101579e+04
-9.622642e-02, -5.084713e+04, 8.908081e+04, -2.195049e+04, 1.023558e+05, 5.207128e+04, -2.562592e+04, 5.148951e+04, 1.260759e+04, 3.209761e+03, 7.070995e+04, 1.073505e+05, 5.771566e+04, 5.859000e+04, -8.730266e+04, -2.946542e+03, -3.987623e+04, 6.507893e+04, 1.959017e+03, 4.158686e+03, -4.286346e+04, 6.729584e+03, 3.835301e+04, -3.540485e+04, -1.059938e+03, -1.871428e+03, -8.769924e+02, 1.047489e+04
-9.496855e-02, -6.289245e+04, 9.238024e+04, -1.247382e+04, 1.036555e+05, 4.324716e+04, -3.004210e+04, 4.558488e+04, 1.568761e+04, 9.115268e+03, 6.886031e+04, 1.227664e+05, 5.833711e+04, 6.829178e+04, -8.659830e+04, -4.014606e+02, -3.706898e+04, 6.504050e+04, 5.449142e+02, 2.403595e+03, -3.988682e+04, 5.191175e+03, 3.563610e+04, -3.461881e+04, 4.205682e+02, 2.940671e+01, -5.766609e+02, 1.070171e+04
-9.371069e-02, -4.453037e+04, 7.676627e+04, -1.964460e+04, 9.566667e+04, 3.153219e+04, -2.333319e+04, 4.898626e+04, 1.376645e+04, 8.057632e+03, 6.225602e+04, 1.150213e+05, 5.818413e+04, 4.749097e+04, -7.201167e+04, -1.070483e+04, -3.849659e+04, 6.470985e+04, 2.829006e+02, 2.352254e+03, -4.040831e+04, 4.481034e+03, 3.715239e+04, -3.239126e+04, -1.993144e+03, 6.354571e+02, -2.461306e+02, 9.957533e+03
-9.245283e-02, -2.890388e+04, 7.437231e+04, -2.756211e+04, 9.617230e+04, 3.576264e+04, -1.119136e+04, 5.746604e+04, 8.492440e+03, 3.603442e+03, 5.636739e+04, 1.053428e+05, 7.618707e+04, 3.861315e+04, -7.486033e+04, -1.586726e+04, -4.343991e+04, 6.809926e+04, 3.482899e+03, 4.100558e+03, -4.597192e+04, 2.509939e+03, 4.137946e+04, -3.421565e+04, -3.124128e+03, -1.904706e+03, -5.223955e+02, 9.462737e+03
-9.119497e-02, -2.392262e+04, 6.040759e+04, -3.471024e+04, 1.146181e+05, 1.653756e+04, -1.224107e+04, 5.749078e+04, 1.009363e+04, 7.328342e+03, 4.445177e+04, 9.537876e+04, 7.055598e+04, 2.722562e+04, -6.708238e+04, -1.651154e+04, -4.214766e+04, 6.480258e+04, 5.390056e+03, 4.319793e+03, -4.513806e+04, 3.963359e+03, 4.155222e+04, -3.348791e+04, 8.355345e-01, -8.191930e+02, 4.731529e+02, 8.962017e+03
-8.993711e-02, -3.345428e+04, 7.045044e+04, -2.853105e+04, 1.109021e+05, 2.653676e+04, -1.884333e+04, 5.482292e+04, 1.005392e+04, 5.861988e+03, 4.900229e+04, 1.004181e+05, 7.142740e+04, 3.709698e+04, -7.319748e+04, -1.169832e+04, -4.173320e+04, 6.481179e+04, 4.875006e+03, 3.921223e+03, -4.479913e+04, 3.881644e+03, 4.101138e+04, -3.421480e+04, -1.001707e+03, -1.157492e+03, 1.873458e+02, 9.348499e+03
-8.867925e-02, -2.580159e+04, 6.200454e+04, -2.988204e+04, 1.017247e+05, 1.364565e+04, -1.400751e+04, 5.496146e+04, 1.066554e+04, 9.107354e+03, 4.940849e+04, 1.134085e+05, 7.541525e+04, 3.092848e+04, -6.350078e+04, -1.643138e+04, -4.168610e+04, 6.711157e+04, 2.037915e+03, 3.836016e+03, -4.509871e+04, 2.379783e+03, 4.056965e+04, -3.255201e+04, -7.074936e+02, 2.261692e+02, -1.470128e+02, 9.168381e+03
-8.742138e-02, -2.555833e+04, 5.997985e+04, -3.102160e+04, 1.075653e+05, 1.276721e+04, -1.599670e+04, 5.321633e+04, 1.014563e+04, 8.053148e+03, 4.648452e+04, 1.038468e+05, 7.015787e+04, 2.949908e+04, -6.224410e+04, -1.444696e+04, -4.016316e+04, 6.341201e+04, 3.207427e+03, 4.312437e+03, -4.364688e+04, 3.468637e+03, 3.917865e+04, -3.206585e+04, 4.991831e+02, -2.631376e+02, -4.726776e+01, 8.791049e+03
-8.616352e-02, -1.432044e+04, 5.457009e+04, -3.307955e+04, 9.608642e+04, 2.201189e+04, -1.636974e+04, 5.324168e+04, 6.456199e+03, 3.034051e+03, 4.915152e+04, 9.043488e+04, 6.747612e+04, 1.876750e+04, -5.739080e+04, -1.593337e+04, -4.031949e+04, 6.119431e+04, 2.595861e+03, 5.388877e+03, -4.301642e+04, 5.043294e+03, 3.908951e+04, -3.038116e+04, -8.595355e+02, -1.342912e+03, -3.537663e+02, 8.017100e+03
-8.490566e-02, -1.558000e+04, 5.665547e+04, -2.740896e+04, 8.508377e+04, 2.293117e+04, -1.709986e+04, 5.088159e+04, 7.008546e+03, 4.526309e+03, 5.329986e+04, 1.043623e+05, 7.213935e+04, 2.344387e+04, -5.517088e+04, -1.747427e+04, -4.011961e+04, 6.327956e+04, 1.744355e+02, 5.210223e+03, -4.263485e+04, 3.953333e+03, 3.821219e+04, -2.980329e+04, -7.075389e+02, -7.480525e+02, -8.103976e+02, 8.253209e+03
-8.364780e-02, -2.183219e+04, 5.798200e+04, -2.715536e+04, 9.523175e+04, 1.339076e+04, -1.696078e+04, 4.977642e+04, 9.175674e+03, 7.108278e+03, 4.686850e+04, 1.044911e+05, 7.050140e+04, 2.807215e+04, -5.725800e+04, -1.509860e+04, -3.827917e+04, 6.122146e+04, 2.082354e+03, 4.438882e+03, -4.171921e+04, 2.946516e+03, 3.706144e+04, -2.999110e+04, 4.442984e+01, -1.585314e+02, -3.644687e+02, 8.270364e+03
-8.238994e-02, -2.117164e+04, 5.900421e+04, -2.574990e+04, 8.733371e+04, 2.257172e+04, -1.873433e+04, 4.795738e+04, 7.196506e+03, 4.558194e+03, 4.893269e+04, 9.748728e+04, 6.949829e+04, 2.805069e+04, -5.856560e+04, -1.317662e+04, -3.735757e+04, 5.917562e+04, 1.619079e+03, 4.586922e+03, -4.013139e+04, 3.247797e+03, 3.595775e+04, -2.890087e+04, -7.127436e+02, -8.723680e+02, -6.029959e+02, 7.894030e+03
